UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.767056,74.263091,542.288,0,0,0,No Data,No Data
1179727209,2007-05-21T06:00:09Z,16.766904,74.263251,540.962,0.0240777,0,0,No Data,No Data
1179727258,2007-05-21T06:00:58Z,16.765838,74.263893,537.657,0.1609815,0,0,No Data,No Data
1179727299,2007-05-21T06:01:39Z,16.764921,74.264372,537.552,0.2750827,0,0,No Data,No Data
1179727349,2007-05-21T06:02:29Z,16.763832,74.265002,544.821,0.413667,0,0,No Data,No Data
1179727390,2007-05-21T06:03:10Z,16.762898,74.265473,555.093,0.5291549,0,0,No Data,No Data
1179727428,2007-05-21T06:03:48Z,16.761977,74.265631,557.14,0.6330546,0,0,No Data,No Data
1179727465,2007-05-21T06:04:25Z,16.761052,74.265786,552.398,0.7372858,0,0,No Data,No Data
1179727498,2007-05-21T06:04:58Z,16.760285,74.266104,548.019,0.8291376,0,0,No Data,No Data
1179727543,2007-05-21T06:05:43Z,16.759213,74.266421,550.23,0.9531155,0,0,No Data,No Data
1179727593,2007-05-21T06:06:33Z,16.757990,74.266740,552.595,1.093449,0,0,No Data,No Data
1179727636,2007-05-21T06:07:16Z,16.756922,74.266741,556.449,1.212251,0,0,No Data,No Data
1179727673,2007-05-21T06:07:53Z,16.756006,74.266900,553.699,1.315591,0,0,No Data,No Data
1179727692,2007-05-21T06:08:12Z,16.755549,74.266901,552.598,1.36637,0,0,No Data,No Data
1179727735,2007-05-21T06:08:55Z,16.754475,74.266898,553.579,1.485882,0,0,No Data,No Data
1179727778,2007-05-21T06:09:38Z,16.753404,74.266897,551.788,1.605025,0,0,No Data,No Data
1179727826,2007-05-21T06:10:26Z,16.752183,74.266898,552.149,1.740858,0,0,No Data,No Data
1179727870,2007-05-21T06:11:10Z,16.751111,74.266895,555.191,1.860179,0,0,No Data,No Data
1179727900,2007-05-21T06:11:40Z,16.750344,74.266893,553.634,1.945516,0,0,No Data,No Data
1179727937,2007-05-21T06:12:17Z,16.749424,74.266890,548.748,2.047868,0,0,No Data,No Data
1179727968,2007-05-21T06:12:48Z,16.748661,74.266890,547.951,2.132747,0,0,No Data,No Data
1179728004,2007-05-21T06:13:24Z,16.747746,74.266891,548.16,2.23457,0,0,No Data,No Data
1179728041,2007-05-21T06:14:01Z,16.746831,74.266892,546.11,2.336424,0,0,No Data,No Data
1179728091,2007-05-21T06:14:51Z,16.745610,74.266574,542.318,2.476469,0,0,No Data,No Data
1179728123,2007-05-21T06:15:23Z,16.744847,74.266415,541.461,2.56303,0,0,No Data,No Data
1179728172,2007-05-21T06:16:12Z,16.743624,74.266414,545.298,2.69912,0,0,No Data,No Data
1179728190,2007-05-21T06:16:30Z,16.743163,74.266411,546.61,2.750339,0,0,No Data,No Data
1179728233,2007-05-21T06:17:13Z,16.742094,74.266410,546.146,2.869306,0,0,No Data,No Data
1179728283,2007-05-21T06:18:03Z,16.740873,74.266729,545.044,3.009427,0,0,No Data,No Data
1179728315,2007-05-21T06:18:35Z,16.740109,74.266889,544.132,3.096091,0,0,No Data,No Data
1179728356,2007-05-21T06:19:16Z,16.739193,74.267367,544.507,3.210033,0,0,No Data,No Data
1179728387,2007-05-21T06:19:47Z,16.738429,74.267525,544.996,3.296718,0,0,No Data,No Data
1179728425,2007-05-21T06:20:25Z,16.737512,74.267842,544.42,3.404279,0,0,No Data,No Data
1179728463,2007-05-21T06:21:03Z,16.736594,74.268000,544.052,3.507776,0,0,No Data,No Data
1179728509,2007-05-21T06:21:49Z,16.735525,74.268476,544.522,3.637146,0,0,No Data,No Data
1179728583,2007-05-21T06:23:03Z,16.733691,74.268790,543.589,3.843994,0,0,No Data,No Data
1179728625,2007-05-21T06:23:45Z,16.732775,74.269268,544.047,3.957942,0,0,No Data,No Data
1179728674,2007-05-21T06:24:34Z,16.731554,74.269426,544.474,4.094865,0,0,No Data,No Data
