YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,22.05,16.49796831,0.72
01-02-1961 00:00,22.46,16.49796831,1.78
01-03-1961 00:00,28.51,16.49796831,3.23
01-04-1961 00:00,30.93,16.49796831,7.52
01-05-1961 00:00,31.75,16.49796831,58.81
01-06-1961 00:00,28.76,16.49796831,162.45
01-07-1961 00:00,25.88,16.49796831,352.65
01-08-1961 00:00,26.15,16.49796831,217.5
01-09-1961 00:00,25.66,16.49796831,168.88
01-10-1961 00:00,24.93,16.49796831,165.62
01-11-1961 00:00,23.17,16.49796831,6.43
01-12-1961 00:00,20.72,16.49796831,2.56
01-01-1962 00:00,19.93,18.15096628,1.94
01-02-1962 00:00,23.71,18.15096628,2.26
01-03-1962 00:00,27.09,18.15096628,9.01
01-04-1962 00:00,30.21,18.15096628,26.43
01-05-1962 00:00,31.8,18.15096628,42.41
01-06-1962 00:00,29.64,18.15096628,59.04
01-07-1962 00:00,26.49,18.15096628,273.7
01-08-1962 00:00,26.11,18.15096628,203.45
01-09-1962 00:00,25.89,18.15096628,251.53
01-10-1962 00:00,25.52,18.15096628,35.67
01-11-1962 00:00,23.3,18.15096628,28.4
01-12-1962 00:00,20.94,18.15096628,55.25
01-01-1963 00:00,20.98,19.49405614,0.41
01-02-1963 00:00,24,19.49405614,6.73
01-03-1963 00:00,27.3,19.49405614,14.12
01-04-1963 00:00,29.53,19.49405614,11.34
01-05-1963 00:00,31.82,19.49405614,19.22
01-06-1963 00:00,28.94,19.49405614,185.16
01-07-1963 00:00,26.64,19.49405614,237.21
01-08-1963 00:00,25.56,19.49405614,340.97
01-09-1963 00:00,26.24,19.49405614,91.09
01-10-1963 00:00,25.84,19.49405614,89.15
01-11-1963 00:00,24.17,19.49405614,8.96
01-12-1963 00:00,21.65,19.49405614,0.24
01-01-1964 00:00,20.83,19.05934968,0
01-02-1964 00:00,23.82,19.05934968,0.66
01-03-1964 00:00,28.33,19.05934968,4.07
01-04-1964 00:00,31.52,19.05934968,3.32
01-05-1964 00:00,32.21,19.05934968,3.37
01-06-1964 00:00,29.4,19.05934968,141.81
01-07-1964 00:00,26.33,19.05934968,247.36
