AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Maharashtra,1961,0.72,1.78,3.23,7.52,58.81,162.45,352.65,217.5,168.88,165.62,6.43,2.56
Maharashtra,1962,1.94,2.26,9.01,26.43,42.41,59.04,273.7,203.45,251.53,35.67,28.4,55.25
Maharashtra,1963,0.41,6.73,14.12,11.34,19.22,185.16,237.21,340.97,91.09,89.15,8.96,0.24
Maharashtra,1964,0.0,0.66,4.07,3.32,3.37,141.81,247.36,249.5,208.25,42.27,14.51,0.54
Maharashtra,1965,9.55,2.0,1.59,11.58,5.64,106.03,296.49,188.42,84.62,6.16,1.96,14.67
Maharashtra,1966,11.26,0.53,6.83,6.36,55.55,77.89,310.83,125.32,174.5,11.08,63.28,16.57
Maharashtra,1967,0.15,0.04,18.08,7.84,5.37,151.34,336.2,160.27,129.96,27.56,1.17,93.7
Maharashtra,1968,6.76,15.75,24.4,12.49,1.42,97.86,248.68,167.55,189.92,38.49,15.34,1.5
Maharashtra,1969,0.53,0.0,0.8,3.55,5.29,121.86,300.92,203.81,261.18,14.07,26.17,0.75
Maharashtra,1970,7.69,0.3,6.57,10.67,29.95,233.92,174.51,336.11,184.94,37.21,0.0,0.0
Maharashtra,1971,1.17,3.87,6.79,5.27,36.97,145.28,94.54,225.36,149.54,87.59,0.0,0.0
Maharashtra,1972,0.0,0.41,0.0,2.77,7.44,112.63,149.92,149.55,73.04,10.45,25.71,2.44
Maharashtra,1973,0.51,2.91,0.81,3.11,4.67,106.1,314.28,301.95,144.72,120.73,2.28,0.31
Maharashtra,1974,0.0,1.6,1.48,6.86,38.94,88.48,180.67,195.26,147.35,149.81,1.66,0.0
Maharashtra,1975,1.84,9.65,4.33,0.73,11.47,180.69,262.29,253.59,276.76,125.33,2.04,0.0
Maharashtra,1976,0.67,0.09,4.77,7.03,3.57,168.31,305.94,233.21,106.39,7.13,50.93,1.66
Maharashtra,1977,0.0,1.12,5.75,8.01,18.64,172.31,236.79,207.19,112.39,57.02,105.17,5.19
Maharashtra,1978,5.98,17.28,10.3,15.51,19.54,201.8,256.13,245.31,87.68,48.87,41.99,13.35
Maharashtra,1979,11.54,22.17,4.31,0.97,12.14,163.21,192.19,256.43,213.9,25.6,73.01,3.62
Maharashtra,1980,4.62,0.96,2.31,8.69,4.28,254.66,187.17,320.71,109.18,6.81,13.12,19.88
Maharashtra,1981,18.45,0.48,12.4,4.28,10.67,136.44,227.0,219.41,275.36,48.61,8.3,12.11
Maharashtra,1982,17.55,3.44,3.41,6.42,22.88,105.9,203.03,162.12,142.66,49.92,31.25,0.0
Maharashtra,1983,0.52,2.78,0.66,0.54,4.93,126.08,255.18,311.39,318.83,66.84,1.3,6.85
Maharashtra,1984,9.24,12.91,1.72,3.04,0.36,98.23,232.45,155.24,103.92,98.48,3.5,1.85
Maharashtra,1985,9.92,0.41,3.08,8.98,10.11,154.76,201.98,131.78,68.66,104.84,2.37,1.23
Maharashtra,1986,7.03,16.11,2.43,3.03,7.58,189.85,198.52,215.95,89.96,9.35,15.95,17.96
Maharashtra,1987,10.34,4.47,3.49,2.41,23.85,133.75,167.69,241.93,50.54,104.86,44.15,18.16
Maharashtra,1988,0.21,2.41,1.24,13.43,5.56,151.35,361.62,225.88,322.52,42.47,4.36,3.1
Maharashtra,1989,0.0,0.0,26.29,2.19,7.24,203.72,281.8,233.58,159.04,19.0,1.19,12.41
Maharashtra,1990,2.96,2.12,2.58,1.25,95.3,217.46,228.11,379.8,105.67,172.0,8.86,3.76
Maharashtra,1991,1.98,0.64,1.62,9.23,11.4,243.22,298.36,149.09,45.37,14.01,8.78,0.49
Maharashtra,1992,0.06,0.15,0.12,2.76,5.76,174.5,172.45,329.99,129.79,48.67,14.81,0.0
Maharashtra,1993,0.15,1.42,8.25,3.63,8.83,129.03,290.25,181.42,152.97,141.32,6.17,33.37
Maharashtra,1994,5.2,3.01,0.27,16.07,14.47,203.04,320.75,227.19,134.2,70.76,16.77,0.12
Maharashtra,1995,37.01,1.79,22.86,8.74,17.28,112.92,257.78,111.65,179.48,124.71,2.35,0.09
Maharashtra,1996,0.73,1.11,1.21,7.61,2.97,100.98,248.18,225.89,178.44,131.85,3.81,0.28
Maharashtra,1997,8.52,0.33,4.2,15.93,7.52,127.22,209.78,234.27,129.41,78.34,78.07,55.68
Maharashtra,1998,3.95,4.5,6.12,4.0,13.15,154.03,264.37,235.79,247.84,126.26,36.98,0.0
Maharashtra,1999,0.06,10.75,0.09,0.04,31.04,201.21,215.19,162.41,206.62,138.66,0.0,0.0
Maharashtra,2000,0.31,6.5,0.26,0.83,20.93,196.46,268.3,221.55,64.44,35.14,1.29,1.5
Maharashtra,2001,5.87,0.18,4.83,10.34,5.94,209.35,149.33,249.04,91.19,140.11,3.93,0.2
Maharashtra,2002,3.05,3.67,0.94,7.9,10.77,263.63,82.13,261.43,113.62,39.0,4.37,0.03
Maharashtra,2003,0.95,2.59,2.37,4.56,15.49,161.66,280.55,210.8,116.59,31.21,3.11,0.67
Maharashtra,2004,3.49,1.81,1.83,3.5,32.38,157.73,195.5,231.07,151.53,42.58,13.43,0.1
Maharashtra,2005,27.87,2.47,6.28,5.49,4.53,157.43,386.49,214.43,248.65,81.39,0.0,0.06
Maharashtra,2006,0.0,0.0,27.23,5.42,31.2,157.03,309.66,385.49,202.36,51.46,14.91,0.0
Maharashtra,2007,0.55,0.55,0.45,2.01,5.56,239.39,259.06,238.26,220.43,9.82,4.56,0.0
Maharashtra,2008,0.09,0.6,17.38,2.19,1.85,104.54,173.56,224.48,253.54,39.5,2.44,0.42
Maharashtra,2009,0.03,0.68,0.77,1.12,6.95,69.92,266.92,162.18,140.1,68.75,86.65,4.6
Maharashtra,2010,6.65,2.35,3.78,1.22,4.11,153.59,347.56,295.9,184.83,63.45,51.5,1.04
Maharashtra,2011,0.0,1.62,0.36,5.36,2.27,118.45,247.72,254.63,143.66,33.97,0.0,0.0
Maharashtra,2012,0.93,0.03,0.0,1.56,1.31,86.47,240.68,200.4,162.62,69.19,3.16,0.0
Maharashtra,2013,2.47,8.84,2.24,5.49,4.47,243.24,373.39,197.7,169.86,91.46,3.82,4.45
Maharashtra,2014,2.02,11.99,48.34,7.35,15.22,45.71,243.94,207.3,140.98,24.85,20.95,6.92
Maharashtra,2015,11.48,2.21,45.97,24.15,17.29,182.67,94.06,147.21,155.18,27.27,7.92,0.1
Maharashtra,2016,0.21,2.77,12.11,2.99,8.69,137.12,357.73,168.38,227.79,77.7,0.44,0.42
