Date,Temperature,State
1961-01-01 00:00:00,22.05,Maharashtra
1961-02-01 00:00:00,22.46,Maharashtra
1961-03-01 00:00:00,28.51,Maharashtra
1961-04-01 00:00:00,30.93,Maharashtra
1961-05-01 00:00:00,31.75,Maharashtra
1961-06-01 00:00:00,28.76,Maharashtra
1961-07-01 00:00:00,25.88,Maharashtra
1961-08-01 00:00:00,26.15,Maharashtra
1961-09-01 00:00:00,25.66,Maharashtra
1961-10-01 00:00:00,24.93,Maharashtra
1961-11-01 00:00:00,23.17,Maharashtra
1961-12-01 00:00:00,20.72,Maharashtra
1962-01-01 00:00:00,19.93,Maharashtra
1962-02-01 00:00:00,23.71,Maharashtra
1962-03-01 00:00:00,27.09,Maharashtra
1962-04-01 00:00:00,30.21,Maharashtra
1962-05-01 00:00:00,31.8,Maharashtra
1962-06-01 00:00:00,29.64,Maharashtra
1962-07-01 00:00:00,26.49,Maharashtra
1962-08-01 00:00:00,26.11,Maharashtra
1962-09-01 00:00:00,25.89,Maharashtra
1962-10-01 00:00:00,25.52,Maharashtra
1962-11-01 00:00:00,23.3,Maharashtra
1962-12-01 00:00:00,20.94,Maharashtra
1963-01-01 00:00:00,20.98,Maharashtra
1963-02-01 00:00:00,24.0,Maharashtra
1963-03-01 00:00:00,27.3,Maharashtra
1963-04-01 00:00:00,29.53,Maharashtra
1963-05-01 00:00:00,31.82,Maharashtra
1963-06-01 00:00:00,28.94,Maharashtra
1963-07-01 00:00:00,26.64,Maharashtra
1963-08-01 00:00:00,25.56,Maharashtra
1963-09-01 00:00:00,26.24,Maharashtra
1963-10-01 00:00:00,25.84,Maharashtra
1963-11-01 00:00:00,24.17,Maharashtra
1963-12-01 00:00:00,21.65,Maharashtra
1964-01-01 00:00:00,20.83,Maharashtra
1964-02-01 00:00:00,23.82,Maharashtra
1964-03-01 00:00:00,28.33,Maharashtra
1964-04-01 00:00:00,31.52,Maharashtra
1964-05-01 00:00:00,32.21,Maharashtra
1964-06-01 00:00:00,29.4,Maharashtra
1964-07-01 00:00:00,26.33,Maharashtra
1964-08-01 00:00:00,25.43,Maharashtra
