UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.844126,74.548291,546.048,0,0,0,No Data,No Data
1179727238,2007-05-21T06:00:38Z,16.843453,74.548994,546.97,0.1059018,0,0,No Data,No Data
1179727295,2007-05-21T06:01:35Z,16.842332,74.549931,543.533,0.2657116,0,0,No Data,No Data
1179727373,2007-05-21T06:02:53Z,16.841211,74.551571,545.948,0.4804815,0,0,No Data,No Data
1179727494,2007-05-21T06:04:54Z,16.838968,74.553680,546.682,0.8164191,0,0,No Data,No Data
1179727564,2007-05-21T06:06:04Z,16.837622,74.554852,546.026,1.011465,0,0,No Data,No Data
1179727628,2007-05-21T06:07:08Z,16.836500,74.556024,547.542,1.188037,0,0,No Data,No Data
1179727705,2007-05-21T06:08:25Z,16.834930,74.557195,548.282,1.402788,0,0,No Data,No Data
1179727788,2007-05-21T06:09:48Z,16.833360,74.558601,546.033,1.632973,0,0,No Data,No Data
1179727840,2007-05-21T06:10:40Z,16.832239,74.559304,547.0,1.778514,0,0,No Data,No Data
1179727898,2007-05-21T06:11:38Z,16.831118,74.560241,546.243,1.938369,0,0,No Data,No Data
1179727946,2007-05-21T06:12:26Z,16.829996,74.560710,546.004,2.072817,0,0,No Data,No Data
1179728014,2007-05-21T06:13:34Z,16.828427,74.561413,546.843,2.262852,0,0,No Data,No Data
1179728050,2007-05-21T06:14:10Z,16.827530,74.561413,546.329,2.362673,0,0,No Data,No Data
1179728114,2007-05-21T06:15:14Z,16.825960,74.561647,546.023,2.539163,0,0,No Data,No Data
1179728151,2007-05-21T06:15:51Z,16.825063,74.561882,546.904,2.642037,0,0,No Data,No Data
1179728188,2007-05-21T06:16:28Z,16.824166,74.562116,545.921,2.744888,0,0,No Data,No Data
1179728243,2007-05-21T06:17:23Z,16.822821,74.562350,545.179,2.896661,0,0,No Data,No Data
1179728315,2007-05-21T06:18:35Z,16.821028,74.562585,545.367,3.097743,0,0,No Data,No Data
1179728388,2007-05-21T06:19:48Z,16.819233,74.562819,547.272,3.299038,0,0,No Data,No Data
1179728441,2007-05-21T06:20:41Z,16.817888,74.562819,546.384,3.448722,0,0,No Data,No Data
1179728470,2007-05-21T06:21:10Z,16.817215,74.563054,546.665,3.52765,0,0,No Data,No Data
1179728506,2007-05-21T06:21:46Z,16.816318,74.563054,546.945,3.627445,0,0,No Data,No Data
1179728566,2007-05-21T06:22:46Z,16.814972,74.563756,546.033,3.794879,0,0,No Data,No Data
1179728618,2007-05-21T06:23:38Z,16.813851,74.564459,546.409,3.940394,0,0,No Data,No Data
1179728657,2007-05-21T06:24:17Z,16.813179,74.565162,544.483,4.046295,0,0,No Data,No Data
1179728695,2007-05-21T06:24:55Z,16.812506,74.565865,544.954,4.15224,0,0,No Data,No Data
1179728758,2007-05-21T06:25:58Z,16.812283,74.567506,544.528,4.328932,0,0,No Data,No Data
