UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.862785,74.550613,549.09,0,0,0,No Data,No Data
1179727305,2007-05-21T06:01:45Z,16.860330,74.551575,549.683,0.2918384,0,0,No Data,No Data
1179727418,2007-05-21T06:03:38Z,16.858185,74.553497,549.911,0.6063585,0,0,No Data,No Data
1179727544,2007-05-21T06:05:44Z,16.855439,74.555098,545.466,0.9564382,0,0,No Data,No Data
1179727675,2007-05-21T06:07:55Z,16.852982,74.557341,538.173,1.319627,0,0,No Data,No Data
1179727808,2007-05-21T06:10:08Z,16.850215,74.559263,547.683,1.689502,0,0,No Data,No Data
1179727887,2007-05-21T06:11:27Z,16.848682,74.560544,547.485,1.907994,0,0,No Data,No Data
1179728037,2007-05-21T06:13:57Z,16.845617,74.562786,547.575,2.324494,0,0,No Data,No Data
1179728111,2007-05-21T06:15:11Z,16.843778,74.563106,549.368,2.531958,0,0,No Data,No Data
1179728200,2007-05-21T06:16:40Z,16.841939,74.564388,546.813,2.778011,0,0,No Data,No Data
1179728261,2007-05-21T06:17:41Z,16.840713,74.565348,545.947,2.948559,0,0,No Data,No Data
1179728328,2007-05-21T06:18:48Z,16.839181,74.565989,546.795,3.132272,0,0,No Data,No Data
1179728378,2007-05-21T06:19:38Z,16.837955,74.566309,546.883,3.272954,0,0,No Data,No Data
1179728433,2007-05-21T06:20:33Z,16.836729,74.566950,544.0,3.425586,0,0,No Data,No Data
1179728511,2007-05-21T06:21:51Z,16.834890,74.567591,543.431,3.641413,0,0,No Data,No Data
1179728593,2007-05-21T06:23:13Z,16.833050,74.568552,545.262,3.870334,0,0,No Data,No Data
1179728698,2007-05-21T06:24:58Z,16.830598,74.569512,545.42,4.161819,0,0,No Data,No Data
1179728788,2007-05-21T06:26:28Z,16.828452,74.570153,544.286,4.41026,0,0,No Data,No Data
1179728840,2007-05-21T06:27:20Z,16.827532,74.571113,544.974,4.555026,0,0,No Data,No Data
1179728955,2007-05-21T06:29:15Z,16.825080,74.572715,546.132,4.876948,0,0,No Data,No Data
1179729008,2007-05-21T06:30:08Z,16.824161,74.573675,544.592,5.021686,0,0,No Data,No Data
1179729113,2007-05-21T06:31:53Z,16.822016,74.575277,544.979,5.315262,0,0,No Data,No Data
1179729202,2007-05-21T06:33:22Z,16.820790,74.577199,543.736,5.561402,0,0,No Data,No Data
1179729257,2007-05-21T06:34:17Z,16.820177,74.578480,543.861,5.714037,0,0,No Data,No Data
1179729329,2007-05-21T06:35:29Z,16.819257,74.580081,546.0,5.913041,0,0,No Data,No Data
1179729418,2007-05-21T06:36:58Z,16.818644,74.582322,548.294,6.161494,0,0,No Data,No Data
1179729519,2007-05-21T06:38:39Z,16.818030,74.584884,544.637,6.442977,0,0,No Data,No Data
1179729606,2007-05-21T06:40:06Z,16.817724,74.587126,544.282,6.684357,0,0,No Data,No Data
1179729689,2007-05-21T06:41:29Z,16.816804,74.589047,544.261,6.913298,0,0,No Data,No Data
1179729763,2007-05-21T06:42:43Z,16.816498,74.590969,544.635,7.120939,0,0,No Data,No Data
1179729846,2007-05-21T06:44:06Z,16.815578,74.592890,543.981,7.349861,0,0,No Data,No Data
1179729967,2007-05-21T06:46:07Z,16.814351,74.595772,544.263,7.68598,0,0,No Data,No Data
1179730115,2007-05-21T06:48:35Z,16.812818,74.599294,545.517,8.098298,0,0,No Data,No Data
1179730302,2007-05-21T06:51:42Z,16.810979,74.603780,543.455,8.618353,0,0,No Data,No Data
1179730473,2007-05-21T06:54:33Z,16.809445,74.607944,543.38,9.093863,0,0,No Data,No Data
1179730622,2007-05-21T06:57:02Z,16.807913,74.611468,542.642,9.506365,0,0,No Data,No Data
1179730840,2007-05-21T07:00:40Z,16.806379,74.616913,541.601,10.11133,0,0,No Data,No Data
1179730950,2007-05-21T07:02:30Z,16.805152,74.619476,541.366,10.41674,0,0,No Data,No Data
1179731039,2007-05-21T07:03:59Z,16.804538,74.621717,542.061,10.66519,0,0,No Data,No Data
1179731166,2007-05-21T07:06:06Z,16.803005,74.624599,542.504,11.01664,0,0,No Data,No Data
1179731276,2007-05-21T07:07:56Z,16.801778,74.627162,542.186,11.32208,0,0,No Data,No Data
1179731381,2007-05-21T07:09:41Z,16.800245,74.629406,543.882,11.61589,0,0,No Data,No Data
1179731487,2007-05-21T07:11:27Z,16.799324,74.631967,542.327,11.90753,0,0,No Data,No Data
1179731608,2007-05-21T07:13:28Z,16.798097,74.634854,542.125,12.24418,0,0,No Data,No Data
