UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,24.799673,93.171000,41.957,0,0,0,No Data,No Data
1179727211,2007-05-21T06:00:11Z,24.799578,93.170718,42.207,0.0303689,0,0,No Data,No Data
1179727227,2007-05-21T06:00:27Z,24.799393,93.170336,42.758,0.0740605,0,0,No Data,No Data
1179727255,2007-05-21T06:00:55Z,24.799024,93.169665,41.967,0.1532889,0,0,No Data,No Data
1179727271,2007-05-21T06:01:11Z,24.798841,93.169287,40.824,0.1965161,0,0,No Data,No Data
1179727291,2007-05-21T06:01:31Z,24.798570,93.168811,39.558,0.2532576,0,0,No Data,No Data
1179727324,2007-05-21T06:02:04Z,24.798118,93.168049,41.164,0.3451415,0,0,No Data,No Data
1179727337,2007-05-21T06:02:17Z,24.797938,93.167763,42.519,0.380263,0,0,No Data,No Data
1179727360,2007-05-21T06:02:40Z,24.797668,93.167201,41.374,0.4444639,0,0,No Data,No Data
1179727385,2007-05-21T06:03:05Z,24.797210,93.166704,42.22,0.5159357,0,0,No Data,No Data
1179727412,2007-05-21T06:03:32Z,24.796938,93.166053,42.966,0.5882507,0,0,No Data,No Data
1179727424,2007-05-21T06:03:44Z,24.796756,93.165767,42.914,0.6234981,0,0,No Data,No Data
1179727457,2007-05-21T06:04:17Z,24.796218,93.165093,41.054,0.7140646,0,0,No Data,No Data
1179727462,2007-05-21T06:04:22Z,24.796132,93.164998,40.914,0.7275991,0,0,No Data,No Data
1179727489,2007-05-21T06:04:49Z,24.795695,93.164431,38.086,0.8027323,0,0,No Data,No Data
1179727499,2007-05-21T06:04:59Z,24.795520,93.164239,37.454,0.8301789,0,0,No Data,No Data
1179727514,2007-05-21T06:05:14Z,24.795255,93.163950,38.239,0.871618,0,0,No Data,No Data
1179727529,2007-05-21T06:05:29Z,24.794990,93.163661,38.969,0.9130243,0,0,No Data,No Data
1179727546,2007-05-21T06:05:46Z,24.794638,93.163364,38.098,0.9623235,0,0,No Data,No Data
1179727566,2007-05-21T06:06:06Z,24.794285,93.162980,37.104,1.01744,0,0,No Data,No Data
1179727584,2007-05-21T06:06:24Z,24.793929,93.162682,39.408,1.067139,0,0,No Data,No Data
1179727609,2007-05-21T06:06:49Z,24.793487,93.162201,42.618,1.136215,0,0,No Data,No Data
1179727632,2007-05-21T06:07:12Z,24.793046,93.161809,45.36,1.199191,0,0,No Data,No Data
1179727662,2007-05-21T06:07:42Z,24.792437,93.161319,50.529,1.283106,0,0,No Data,No Data
1179727680,2007-05-21T06:08:00Z,24.792087,93.161026,53.508,1.332006,0,0,No Data,No Data
1179727707,2007-05-21T06:08:27Z,24.791553,93.160536,57.871,1.409308,0,0,No Data,No Data
1179727717,2007-05-21T06:08:37Z,24.791376,93.160345,57.5,1.436757,0,0,No Data,No Data
1179727732,2007-05-21T06:08:52Z,24.791112,93.160060,55.495,1.477817,0,0,No Data,No Data
1179727754,2007-05-21T06:09:14Z,24.790690,93.159683,53.473,1.538186,0,0,No Data,No Data
1179727773,2007-05-21T06:09:33Z,24.790265,93.159390,56.972,1.593951,0,0,No Data,No Data
1179727793,2007-05-21T06:09:53Z,24.789919,93.159014,58.477,1.647978,0,0,No Data,No Data
1179727809,2007-05-21T06:10:09Z,24.789566,93.158807,63.267,1.692423,0,0,No Data,No Data
1179727828,2007-05-21T06:10:28Z,24.789128,93.158591,69.46,1.745773,0,0,No Data,No Data
1179727859,2007-05-21T06:10:59Z,24.788452,93.158194,74.02,1.831032,0,0,No Data,No Data
1179727882,2007-05-21T06:11:22Z,24.787949,93.157898,73.588,1.894461,0,0,No Data,No Data
1179727911,2007-05-21T06:11:51Z,24.787308,93.157525,70.826,1.975092,0,0,No Data,No Data
