YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,17.02,0.143385029,9.5
01-02-1961 00:00,17.35,0.143385029,37.5
01-03-1961 00:00,22.79,0.143385029,193.3
01-04-1961 00:00,25.47,0.143385029,76.9
01-05-1961 00:00,26.39,0.143385029,212.1
01-06-1961 00:00,26.51,0.143385029,332.5
01-07-1961 00:00,26.72,0.143385029,316.5
01-08-1961 00:00,26.68,0.143385029,342.8
01-09-1961 00:00,26.18,0.143385029,258.8
01-10-1961 00:00,24.67,0.143385029,96.1
01-11-1961 00:00,19.8,0.143385029,24.4
01-12-1961 00:00,15.35,0.143385029,0.8
01-01-1962 00:00,14.93,0.157751353,11.2
01-02-1962 00:00,18.48,0.157751353,26.6
01-03-1962 00:00,22.34,0.157751353,5.4
01-04-1962 00:00,25.34,0.157751353,139.8
01-05-1962 00:00,25.74,0.157751353,156.6
01-06-1962 00:00,26.15,0.157751353,554.6
01-07-1962 00:00,27.2,0.157751353,298.8
01-08-1962 00:00,26.08,0.157751353,356.6
01-09-1962 00:00,26.71,0.157751353,142.5
01-10-1962 00:00,24.2,0.157751353,130.4
01-11-1962 00:00,20.17,0.157751353,0
01-12-1962 00:00,16.76,0.157751353,0
01-01-1963 00:00,15.69,0.169424243,0
01-02-1963 00:00,19.4,0.169424243,4.6
01-03-1963 00:00,22.41,0.169424243,50.7
01-04-1963 00:00,24.09,0.169424243,179.3
01-05-1963 00:00,25.27,0.169424243,278.5
01-06-1963 00:00,26.32,0.169424243,687.9
01-07-1963 00:00,26.58,0.169424243,510.3
01-08-1963 00:00,26.49,0.169424243,383
01-09-1963 00:00,26.74,0.169424243,494.6
01-10-1963 00:00,24.04,0.169424243,373.4
01-11-1963 00:00,20.29,0.169424243,6.5
01-12-1963 00:00,17.18,0.169424243,1.2
01-01-1964 00:00,15.7,0.165646178,4
01-02-1964 00:00,18.58,0.165646178,37.1
01-03-1964 00:00,22.97,0.165646178,67.9
01-04-1964 00:00,24.18,0.165646178,280.6
01-05-1964 00:00,25.79,0.165646178,303.2
01-06-1964 00:00,26.28,0.165646178,357.8
01-07-1964 00:00,25.91,0.165646178,484.4
01-08-1964 00:00,26.67,0.165646178,242
01-09-1964 00:00,26.4,0.165646178,213.3
01-10-1964 00:00,25.11,0.165646178,284.7
01-11-1964 00:00,21.73,0.165646178,46.3
01-12-1964 00:00,17.05,0.165646178,7.5
01-01-1965 00:00,16.12,0.182496268,1.9
01-02-1965 00:00,17.9,0.182496268,61.5
01-03-1965 00:00,21.29,0.182496268,35.9
01-04-1965 00:00,24.68,0.182496268,59.4
01-05-1965 00:00,26.43,0.182496268,169.5
01-06-1965 00:00,26.36,0.182496268,520.5
01-07-1965 00:00,26.19,0.182496268,373.4
01-08-1965 00:00,25.68,0.182496268,323
01-09-1965 00:00,25.93,0.182496268,262.2
01-10-1965 00:00,24.14,0.182496268,164.1
01-11-1965 00:00,20.54,0.182496268,22.6
01-12-1965 00:00,17.89,0.182496268,37
01-01-1966 00:00,16.64,0.188866965,15
01-02-1966 00:00,19.77,0.188866965,2.7
01-03-1966 00:00,22.78,0.188866965,39.8
01-04-1966 00:00,25.41,0.188866965,85.3
01-05-1966 00:00,27.05,0.188866965,190.3
01-06-1966 00:00,25.56,0.188866965,666.8
01-07-1966 00:00,26.79,0.188866965,399.3
01-08-1966 00:00,26.25,0.188866965,405
01-09-1966 00:00,26.02,0.188866965,361.5
01-10-1966 00:00,23.48,0.188866965,207
01-11-1966 00:00,22.11,0.188866965,40.9
01-12-1966 00:00,17.18,0.188866965,65.1
01-01-1967 00:00,16.83,0.189387104,51.5
01-02-1967 00:00,19.01,0.189387104,33.6
01-03-1967 00:00,21.45,0.189387104,129.5
01-04-1967 00:00,24.02,0.189387104,195.8
01-05-1967 00:00,25.98,0.189387104,247.8
01-06-1967 00:00,26.33,0.189387104,311.7
01-07-1967 00:00,26.62,0.189387104,388
01-08-1967 00:00,26.81,0.189387104,334
01-09-1967 00:00,25.82,0.189387104,341.3
01-10-1967 00:00,23.7,0.189387104,184.8
01-11-1967 00:00,19.62,0.189387104,10.9
01-12-1967 00:00,17.08,0.189387104,1.1
01-01-1968 00:00,15.82,0.205987204,17.3
01-02-1968 00:00,17.51,0.205987204,20.9
01-03-1968 00:00,22.28,0.205987204,80.9
01-04-1968 00:00,24.1,0.205987204,142.2
01-05-1968 00:00,25.48,0.205987204,253.8
01-06-1968 00:00,25.86,0.205987204,396.1
01-07-1968 00:00,26.53,0.205987204,531.9
01-08-1968 00:00,26.51,0.205987204,391
01-09-1968 00:00,26.43,0.205987204,178.3
01-10-1968 00:00,24.41,0.205987204,68.9
01-11-1968 00:00,21.01,0.205987204,28.7
01-12-1968 00:00,17.29,0.205987204,0
01-01-1969 00:00,15.51,0.209712852,20.1
01-02-1969 00:00,18.56,0.209712852,2.4
01-03-1969 00:00,22.96,0.209712852,124.6
01-04-1969 00:00,24.9,0.209712852,189.8
01-05-1969 00:00,26.91,0.209712852,73.5
01-06-1969 00:00,26.39,0.209712852,606.6
01-07-1969 00:00,26.88,0.209712852,868.3
01-08-1969 00:00,25.91,0.209712852,1347.2
01-09-1969 00:00,26.54,0.209712852,228.1
01-10-1969 00:00,24.25,0.209712852,126.3
01-11-1969 00:00,20.9,0.209712852,23.2
01-12-1969 00:00,17.29,0.209712852,0
01-01-1970 00:00,15.62,0.214571516,45.8
01-02-1970 00:00,18.44,0.214571516,306.3
01-03-1970 00:00,22.57,0.214571516,103.6
01-04-1970 00:00,25.11,0.214571516,160.1
01-05-1970 00:00,26.2,0.214571516,315.9
01-06-1970 00:00,26.67,0.214571516,541.7
01-07-1970 00:00,26.24,0.214571516,976.7
01-08-1970 00:00,26.51,0.214571516,836.7
01-09-1970 00:00,26.15,0.214571516,486.2
01-10-1970 00:00,24.18,0.214571516,425.6
01-11-1970 00:00,20.56,0.214571516,116.7
01-12-1970 00:00,16.98,0.214571516,1
01-01-1971 00:00,16.19,0.226365369,28.4
01-02-1971 00:00,17.99,0.226365369,67.6
01-03-1971 00:00,22.6,0.226365369,12.4
01-04-1971 00:00,23.94,0.226365369,312.6
01-05-1971 00:00,25.97,0.226365369,248
01-06-1971 00:00,26.07,0.226365369,543.2
01-07-1971 00:00,25.92,0.226365369,624
01-08-1971 00:00,25.62,0.226365369,553.1
01-09-1971 00:00,26.21,0.226365369,421.2
01-10-1971 00:00,24.42,0.226365369,171.3
01-11-1971 00:00,19.77,0.226365369,94.6
01-12-1971 00:00,16.62,0.226365369,4.5
01-01-1972 00:00,16.7,0.239538196,4.5
01-02-1972 00:00,17.41,0.239538196,46.3
01-03-1972 00:00,22.56,0.239538196,32.8
01-04-1972 00:00,23.97,0.239538196,145
01-05-1972 00:00,26.35,0.239538196,169.1
01-06-1972 00:00,26.61,0.239538196,235.6
01-07-1972 00:00,26.77,0.239538196,262.7
01-08-1972 00:00,26.41,0.239538196,270.8
01-09-1972 00:00,26.46,0.239538196,129.6
01-10-1972 00:00,24.6,0.239538196,45
01-11-1972 00:00,21.32,0.239538196,12.5
01-12-1972 00:00,17.44,0.239538196,0
01-01-1973 00:00,16.71,0.246679021,16.8
01-02-1973 00:00,19.65,0.246679021,46
01-03-1973 00:00,22.52,0.246679021,29.3
01-04-1973 00:00,25.78,0.246679021,135.3
01-05-1973 00:00,25.58,0.246679021,329
01-06-1973 00:00,26.33,0.246679021,367.2
01-07-1973 00:00,26.96,0.246679021,260
01-08-1973 00:00,26.52,0.246679021,323.9
01-09-1973 00:00,26.25,0.246679021,232.7
01-10-1973 00:00,24.96,0.246679021,159.7
01-11-1973 00:00,20.75,0.246679021,162.6
01-12-1973 00:00,16.65,0.246679021,43.6
01-01-1974 00:00,15.57,0.255089954,8.9
01-02-1974 00:00,18.49,0.255089954,2.4
01-03-1974 00:00,22.2,0.255089954,98.7
01-04-1974 00:00,24.44,0.255089954,160.7
01-05-1974 00:00,25.92,0.255089954,218.8
01-06-1974 00:00,26.31,0.255089954,438.1
01-07-1974 00:00,25.54,0.255089954,517.3
01-08-1974 00:00,26.43,0.255089954,361.5
01-09-1974 00:00,25.6,0.255089954,273.4
01-10-1974 00:00,25.54,0.255089954,167.8
01-11-1974 00:00,22.49,0.255089954,81.8
01-12-1974 00:00,16.26,0.255089954,0.2
01-01-1975 00:00,16.16,0.277310782,1.2
01-02-1975 00:00,18.83,0.277310782,24.5
01-03-1975 00:00,23.58,0.277310782,17.5
01-04-1975 00:00,25.32,0.277310782,164.2
01-05-1975 00:00,25.62,0.277310782,243.7
01-06-1975 00:00,26.76,0.277310782,348.8
01-07-1975 00:00,25.88,0.277310782,526.6
01-08-1975 00:00,26.53,0.277310782,252.9
01-09-1975 00:00,25.87,0.277310782,278.9
01-10-1975 00:00,24.96,0.277310782,205.1
01-11-1975 00:00,20.15,0.277310782,146.1
01-12-1975 00:00,15.95,0.277310782,0.3
01-01-1976 00:00,15.89,0.290048144,3.3
01-02-1976 00:00,19.04,0.290048144,51.3
01-03-1976 00:00,23.2,0.290048144,113.7
01-04-1976 00:00,25.15,0.290048144,187.8
01-05-1976 00:00,25.77,0.290048144,287.1
01-06-1976 00:00,25.56,0.290048144,861.1
01-07-1976 00:00,26.18,0.290048144,507.8
01-08-1976 00:00,26.14,0.290048144,365
01-09-1976 00:00,26.22,0.290048144,175.1
01-10-1976 00:00,23.88,0.290048144,64.8
01-11-1976 00:00,21.83,0.290048144,34.2
01-12-1976 00:00,16.71,0.290048144,0.1
01-01-1977 00:00,15.46,0.30683372,14.2
01-02-1977 00:00,18.51,0.30683372,34.9
01-03-1977 00:00,23.63,0.30683372,27.7
01-04-1977 00:00,23.21,0.30683372,383.8
01-05-1977 00:00,24.89,0.30683372,303.7
01-06-1977 00:00,25.69,0.30683372,452
01-07-1977 00:00,26.68,0.30683372,389.1
01-08-1977 00:00,26.53,0.30683372,355.8
01-09-1977 00:00,26.44,0.30683372,193
01-10-1977 00:00,23.59,0.30683372,149.6
01-11-1977 00:00,21.16,0.30683372,38.2
01-12-1977 00:00,16.85,0.30683372,16.6
01-01-1978 00:00,14.88,0.311281111,0.7
01-02-1978 00:00,18.59,0.311281111,4
01-03-1978 00:00,22.25,0.311281111,51.6
01-04-1978 00:00,24.95,0.311281111,147.5
01-05-1978 00:00,25.77,0.311281111,449.4
01-06-1978 00:00,26.32,0.311281111,496.7
01-07-1978 00:00,26.58,0.311281111,357.8
01-08-1978 00:00,27.17,0.311281111,277
01-09-1978 00:00,26,0.311281111,273.9
01-10-1978 00:00,25.19,0.311281111,70.4
01-11-1978 00:00,21.02,0.311281111,21.6
01-12-1978 00:00,17.05,0.311281111,0
01-01-1979 00:00,16.58,0.326449821,1.3
01-02-1979 00:00,18.62,0.326449821,8.3
01-03-1979 00:00,22.59,0.326449821,72.9
01-04-1979 00:00,26.03,0.326449821,55.4
01-05-1979 00:00,27.68,0.326449821,158.8
01-06-1979 00:00,27.46,0.326449821,361.8
01-07-1979 00:00,26.78,0.326449821,370
01-08-1979 00:00,26.73,0.326449821,309.7
01-09-1979 00:00,26.09,0.326449821,272.9
01-10-1979 00:00,24.15,0.326449821,57.9
01-11-1979 00:00,22.28,0.326449821,47.1
01-12-1979 00:00,17.3,0.326449821,33.1
01-01-1980 00:00,15.98,0.345279665,7.2
01-02-1980 00:00,18.33,0.345279665,42.4
01-03-1980 00:00,22.68,0.345279665,101.6
01-04-1980 00:00,26.13,0.345279665,145.7
01-05-1980 00:00,25.75,0.345279665,461.5
01-06-1980 00:00,26.82,0.345279665,373.3
01-07-1980 00:00,26.83,0.345279665,327.4
01-08-1980 00:00,26.61,0.345279665,312.1
01-09-1980 00:00,26.49,0.345279665,364.4
01-10-1980 00:00,23.79,0.345279665,168.5
01-11-1980 00:00,21.13,0.345279665,0.1
01-12-1980 00:00,17.86,0.345279665,0.7
01-01-1981 00:00,16.45,0.372572859,26.6
01-02-1981 00:00,19.01,0.372572859,26.3
01-03-1981 00:00,21.93,0.372572859,105.5
01-04-1981 00:00,23.62,0.372572859,268
01-05-1981 00:00,25.73,0.372572859,377.5
01-06-1981 00:00,26.86,0.372572859,223.2
01-07-1981 00:00,26.47,0.372572859,448.1
01-08-1981 00:00,26.91,0.372572859,329.7
01-09-1981 00:00,26.47,0.372572859,213.2
01-10-1981 00:00,25.05,0.372572859,33.1
01-11-1981 00:00,21.47,0.372572859,11.5
01-12-1981 00:00,16.94,0.372572859,9.6
01-01-1982 00:00,16.71,0.384447353,0.1
01-02-1982 00:00,18.39,0.384447353,54.8
01-03-1982 00:00,22.04,0.384447353,73.8
01-04-1982 00:00,24.03,0.384447353,224.6
01-05-1982 00:00,26.76,0.384447353,103.3
01-06-1982 00:00,26.39,0.384447353,371.9
01-07-1982 00:00,26.86,0.384447353,373.6
01-08-1982 00:00,26.72,0.384447353,466.3
01-09-1982 00:00,26.31,0.384447353,284.5
01-10-1982 00:00,24.53,0.384447353,32.8
01-11-1982 00:00,20.18,0.384447353,38.1
01-12-1982 00:00,16.38,0.384447353,3.7
01-01-1983 00:00,15.45,0.416369382,19.2
01-02-1983 00:00,17.45,0.416369382,49.3
01-03-1983 00:00,21.8,0.416369382,244.9
01-04-1983 00:00,24.12,0.416369382,303.8
01-05-1983 00:00,25.76,0.416369382,402.4
01-06-1983 00:00,26.99,0.416369382,380.9
01-07-1983 00:00,26.99,0.416369382,329.7
01-08-1983 00:00,26.64,0.416369382,392.8
01-09-1983 00:00,26.45,0.416369382,239.7
01-10-1983 00:00,25.12,0.416369382,189
01-11-1983 00:00,21.26,0.416369382,6.2
01-12-1983 00:00,16.27,0.416369382,30.2
01-01-1984 00:00,15.55,0.426760069,17.4
01-02-1984 00:00,18.57,0.426760069,1.8
01-03-1984 00:00,22.99,0.426760069,5.1
01-04-1984 00:00,25.33,0.426760069,121.1
01-05-1984 00:00,25.39,0.426760069,743
01-06-1984 00:00,26.52,0.426760069,514.6
01-07-1984 00:00,26.38,0.426760069,255.3
01-08-1984 00:00,26.74,0.426760069,387.2
01-09-1984 00:00,25.62,0.426760069,250.2
01-10-1984 00:00,24.83,0.426760069,120.4
01-11-1984 00:00,20.41,0.426760069,9.1
01-12-1984 00:00,17.46,0.426760069,28.8
01-01-1985 00:00,16.42,0.469153427,6.4
01-02-1985 00:00,18.27,0.469153427,36.2
01-03-1985 00:00,23.43,0.469153427,87.1
01-04-1985 00:00,25.17,0.469153427,162.8
01-05-1985 00:00,25.85,0.469153427,377.6
01-06-1985 00:00,26.39,0.469153427,507.5
01-07-1985 00:00,25.93,0.469153427,275.5
01-08-1985 00:00,26.86,0.469153427,301.9
01-09-1985 00:00,26.19,0.469153427,279.4
01-10-1985 00:00,24.9,0.469153427,52.3
01-11-1985 00:00,20.37,0.469153427,8.7
01-12-1985 00:00,17.81,0.469153427,9.9
01-01-1986 00:00,16.52,0.503127788,8.8
01-02-1986 00:00,18.95,0.503127788,7.3
01-03-1986 00:00,22.89,0.503127788,17.7
01-04-1986 00:00,24.25,0.503127788,263.4
01-05-1986 00:00,26.01,0.503127788,153
01-06-1986 00:00,27.42,0.503127788,325.5
01-07-1986 00:00,26.49,0.503127788,376.9
01-08-1986 00:00,26.87,0.503127788,364.6
01-09-1986 00:00,25.73,0.503127788,355.8
01-10-1986 00:00,23.6,0.503127788,311.7
01-11-1986 00:00,21.02,0.503127788,131.2
01-12-1986 00:00,17.49,0.503127788,26.3
01-01-1987 00:00,16.71,0.537114245,7.7
01-02-1987 00:00,19.38,0.537114245,13.1
01-03-1987 00:00,22.02,0.537114245,68.9
01-04-1987 00:00,24.46,0.537114245,195
01-05-1987 00:00,26.68,0.537114245,144.9
01-06-1987 00:00,27.45,0.537114245,420.8
01-07-1987 00:00,26.6,0.537114245,447.2
01-08-1987 00:00,26.54,0.537114245,422.7
01-09-1987 00:00,26.32,0.537114245,388.6
01-10-1987 00:00,24.6,0.537114245,172.2
01-11-1987 00:00,21.94,0.537114245,74
01-12-1987 00:00,17.69,0.537114245,6.1
01-01-1988 00:00,16.97,0.580088223,0.4
01-02-1988 00:00,19.65,0.580088223,33.6
01-03-1988 00:00,22.9,0.580088223,83.5
01-04-1988 00:00,25.45,0.580088223,141.9
01-05-1988 00:00,25.85,0.580088223,470.2
01-06-1988 00:00,26.85,0.580088223,466.4
01-07-1988 00:00,26.76,0.580088223,540
01-08-1988 00:00,26.55,0.580088223,407.4
01-09-1988 00:00,26.56,0.580088223,298.6
01-10-1988 00:00,25.03,0.580088223,298.6
01-11-1988 00:00,21.7,0.580088223,75.3
01-12-1988 00:00,18.41,0.580088223,4.3
01-01-1989 00:00,15.44,0.636654365,0.7
01-02-1989 00:00,18.55,0.636654365,27.1
01-03-1989 00:00,22.86,0.636654365,17.2
01-04-1989 00:00,25.18,0.636654365,139.1
01-05-1989 00:00,27.09,0.636654365,206.9
01-06-1989 00:00,26.96,0.636654365,367.1
01-07-1989 00:00,26.63,0.636654365,470.6
01-08-1989 00:00,27.02,0.636654365,393.6
01-09-1989 00:00,26.48,0.636654365,376.3
01-10-1989 00:00,24.56,0.636654365,352.9
01-11-1989 00:00,20.44,0.636654365,5.3
01-12-1989 00:00,16.24,0.636654365,2.3
