AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Naga Mani Mizo Tripura,1961,9.5,37.5,193.3,76.9,212.1,332.5,316.5,342.8,258.8,96.1,24.4,0.8
Naga Mani Mizo Tripura,1962,11.2,26.6,5.4,139.8,156.6,554.6,298.8,356.6,142.5,130.4,0.0,0.0
Naga Mani Mizo Tripura,1963,0.0,4.6,50.7,179.3,278.5,687.9,510.3,383.0,494.6,373.4,6.5,1.2
Naga Mani Mizo Tripura,1964,4.0,37.1,67.9,280.6,303.2,357.8,484.4,242.0,213.3,284.7,46.3,7.5
Naga Mani Mizo Tripura,1965,1.9,61.5,35.9,59.4,169.5,520.5,373.4,323.0,262.2,164.1,22.6,37.0
Naga Mani Mizo Tripura,1966,15.0,2.7,39.8,85.3,190.3,666.8,399.3,405.0,361.5,207.0,40.9,65.1
Naga Mani Mizo Tripura,1967,51.5,33.6,129.5,195.8,247.8,311.7,388.0,334.0,341.3,184.8,10.9,1.1
Naga Mani Mizo Tripura,1968,17.3,20.9,80.9,142.2,253.8,396.1,531.9,391.0,178.3,68.9,28.7,0.0
Naga Mani Mizo Tripura,1969,20.1,2.4,124.6,189.8,73.5,606.6,868.3,1347.2,228.1,126.3,23.2,0.0
Naga Mani Mizo Tripura,1970,45.8,306.3,103.6,160.1,315.9,541.7,976.7,836.7,486.2,425.6,116.7,1.0
Naga Mani Mizo Tripura,1971,28.4,67.6,12.4,312.6,248.0,543.2,624.0,553.1,421.2,171.3,94.6,4.5
Naga Mani Mizo Tripura,1972,4.5,46.3,32.8,145.0,169.1,235.6,262.7,270.8,129.6,45.0,12.5,0.0
Naga Mani Mizo Tripura,1973,16.8,46.0,29.3,135.3,329.0,367.2,260.0,323.9,232.7,159.7,162.6,43.6
Naga Mani Mizo Tripura,1974,8.9,2.4,98.7,160.7,218.8,438.1,517.3,361.5,273.4,167.8,81.8,0.2
Naga Mani Mizo Tripura,1975,1.2,24.5,17.5,164.2,243.7,348.8,526.6,252.9,278.9,205.1,146.1,0.3
Naga Mani Mizo Tripura,1976,3.3,51.3,113.7,187.8,287.1,861.1,507.8,365.0,175.1,64.8,34.2,0.1
Naga Mani Mizo Tripura,1977,14.2,34.9,27.7,383.8,303.7,452.0,389.1,355.8,193.0,149.6,38.2,16.6
Naga Mani Mizo Tripura,1978,0.7,4.0,51.6,147.5,449.4,496.7,357.8,277.0,273.9,70.4,21.6,0.0
Naga Mani Mizo Tripura,1979,1.3,8.3,72.9,55.4,158.8,361.8,370.0,309.7,272.9,57.9,47.1,33.1
Naga Mani Mizo Tripura,1980,7.2,42.4,101.6,145.7,461.5,373.3,327.4,312.1,364.4,168.5,0.1,0.7
Naga Mani Mizo Tripura,1981,26.6,26.3,105.5,268.0,377.5,223.2,448.1,329.7,213.2,33.1,11.5,9.6
Naga Mani Mizo Tripura,1982,0.1,54.8,73.8,224.6,103.3,371.9,373.6,466.3,284.5,32.8,38.1,3.7
Naga Mani Mizo Tripura,1983,19.2,49.3,244.9,303.8,402.4,380.9,329.7,392.8,239.7,189.0,6.2,30.2
Naga Mani Mizo Tripura,1984,17.4,1.8,5.1,121.1,743.0,514.6,255.3,387.2,250.2,120.4,9.1,28.8
Naga Mani Mizo Tripura,1985,6.4,36.2,87.1,162.8,377.6,507.5,275.5,301.9,279.4,52.3,8.7,9.9
Naga Mani Mizo Tripura,1986,8.8,7.3,17.7,263.4,153.0,325.5,376.9,364.6,355.8,311.7,131.2,26.3
Naga Mani Mizo Tripura,1987,7.7,13.1,68.9,195.0,144.9,420.8,447.2,422.7,388.6,172.2,74.0,6.1
Naga Mani Mizo Tripura,1988,0.4,33.6,83.5,141.9,470.2,466.4,540.0,407.4,298.6,298.6,75.3,4.3
Naga Mani Mizo Tripura,1989,0.7,27.1,17.2,139.1,206.9,367.1,470.6,393.6,376.3,352.9,5.3,2.3
Naga Mani Mizo Tripura,1990,0.2,32.5,197.6,274.9,314.6,380.0,387.9,344.7,339.4,168.2,99.3,42.9
Naga Mani Mizo Tripura,1991,27.5,41.9,64.1,253.5,619.4,456.6,297.3,326.0,387.3,291.4,28.0,58.9
Naga Mani Mizo Tripura,1992,4.4,67.1,23.3,95.7,250.2,343.8,439.1,397.2,323.6,243.2,25.4,8.5
Naga Mani Mizo Tripura,1993,11.1,139.3,92.8,155.4,499.4,539.6,530.9,428.9,302.9,165.4,16.0,0.0
Naga Mani Mizo Tripura,1994,9.5,30.1,219.3,134.7,130.7,256.2,305.7,335.7,161.6,102.0,27.0,0.0
Naga Mani Mizo Tripura,1995,5.4,36.5,52.0,68.7,254.5,425.8,403.6,495.9,312.5,129.7,155.3,0.2
Naga Mani Mizo Tripura,1996,8.1,30.0,153.9,97.3,284.2,314.0,395.1,363.5,341.3,179.7,18.8,8.7
Naga Mani Mizo Tripura,1997,11.3,23.7,134.4,112.0,255.0,334.0,598.5,273.9,361.6,48.6,17.8,41.3
Naga Mani Mizo Tripura,1998,28.1,31.6,136.4,164.6,352.2,297.6,480.6,367.3,222.3,97.9,46.5,0.3
Naga Mani Mizo Tripura,1999,2.2,0.0,33.5,26.3,397.5,358.4,422.7,391.3,338.5,227.7,16.5,18.3
Naga Mani Mizo Tripura,2000,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465.0,298.3,185.2,24.2,1.1
Naga Mani Mizo Tripura,2001,1.5,46.9,38.8,83.6,313.8,478.0,322.6,263.0,269.0,266.4,65.4,0.2
Naga Mani Mizo Tripura,2002,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.0
Naga Mani Mizo Tripura,2003,3.8,11.5,78.0,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9
Naga Mani Mizo Tripura,2004,4.8,2.7,11.0,341.5,211.0,449.2,558.6,284.3,351.0,132.7,6.4,0.5
Naga Mani Mizo Tripura,2005,6.4,15.0,118.6,98.1,237.0,212.3,301.5,334.8,292.6,194.3,15.6,10.5
Naga Mani Mizo Tripura,2006,0.6,12.4,5.5,111.1,382.2,445.6,335.0,241.6,231.1,90.4,13.0,3.7
Naga Mani Mizo Tripura,2007,7.9,54.7,28.7,220.4,276.7,446.3,430.0,373.8,426.6,180.5,82.6,10.1
Naga Mani Mizo Tripura,2008,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.2
Naga Mani Mizo Tripura,2009,0.0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.2
Naga Mani Mizo Tripura,2010,1.0,7.9,85.8,161.5,294.0,411.6,367.5,393.2,309.8,220.2,9.2,33.5
Naga Mani Mizo Tripura,2011,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.2
Naga Mani Mizo Tripura,2012,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4
Naga Mani Mizo Tripura,2013,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2
Naga Mani Mizo Tripura,2014,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1
Naga Mani Mizo Tripura,2015,14.4,14.2,21.6,253.5,198.3,283.9,413.6,334.2,255.9,118.7,3.9,10.0
Naga Mani Mizo Tripura,2016,8.5,33.5,57.6,135.4,285.7,287.8,326.2,319.0,296.0,114.7,90.3,1.7
Naga Mani Mizo Tripura,2017,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.1
