Date,Temperature,State
1961-01-01 00:00:00,17.02,Naga Mani Mizo Tripura
1961-02-01 00:00:00,17.35,Naga Mani Mizo Tripura
1961-03-01 00:00:00,22.79,Naga Mani Mizo Tripura
1961-04-01 00:00:00,25.47,Naga Mani Mizo Tripura
1961-05-01 00:00:00,26.39,Naga Mani Mizo Tripura
1961-06-01 00:00:00,26.51,Naga Mani Mizo Tripura
1961-07-01 00:00:00,26.72,Naga Mani Mizo Tripura
1961-08-01 00:00:00,26.68,Naga Mani Mizo Tripura
1961-09-01 00:00:00,26.18,Naga Mani Mizo Tripura
1961-10-01 00:00:00,24.67,Naga Mani Mizo Tripura
1961-11-01 00:00:00,19.8,Naga Mani Mizo Tripura
1961-12-01 00:00:00,15.35,Naga Mani Mizo Tripura
1962-01-01 00:00:00,14.93,Naga Mani Mizo Tripura
1962-02-01 00:00:00,18.48,Naga Mani Mizo Tripura
1962-03-01 00:00:00,22.34,Naga Mani Mizo Tripura
1962-04-01 00:00:00,25.34,Naga Mani Mizo Tripura
1962-05-01 00:00:00,25.74,Naga Mani Mizo Tripura
1962-06-01 00:00:00,26.15,Naga Mani Mizo Tripura
1962-07-01 00:00:00,27.2,Naga Mani Mizo Tripura
1962-08-01 00:00:00,26.08,Naga Mani Mizo Tripura
1962-09-01 00:00:00,26.71,Naga Mani Mizo Tripura
1962-10-01 00:00:00,24.2,Naga Mani Mizo Tripura
1962-11-01 00:00:00,20.17,Naga Mani Mizo Tripura
1962-12-01 00:00:00,16.76,Naga Mani Mizo Tripura
1963-01-01 00:00:00,15.69,Naga Mani Mizo Tripura
1963-02-01 00:00:00,19.4,Naga Mani Mizo Tripura
1963-03-01 00:00:00,22.41,Naga Mani Mizo Tripura
1963-04-01 00:00:00,24.09,Naga Mani Mizo Tripura
1963-05-01 00:00:00,25.27,Naga Mani Mizo Tripura
1963-06-01 00:00:00,26.32,Naga Mani Mizo Tripura
1963-07-01 00:00:00,26.58,Naga Mani Mizo Tripura
1963-08-01 00:00:00,26.49,Naga Mani Mizo Tripura
1963-09-01 00:00:00,26.74,Naga Mani Mizo Tripura
1963-10-01 00:00:00,24.04,Naga Mani Mizo Tripura
1963-11-01 00:00:00,20.29,Naga Mani Mizo Tripura
1963-12-01 00:00:00,17.18,Naga Mani Mizo Tripura
1964-01-01 00:00:00,15.7,Naga Mani Mizo Tripura
1964-02-01 00:00:00,18.58,Naga Mani Mizo Tripura
1964-03-01 00:00:00,22.97,Naga Mani Mizo Tripura
1964-04-01 00:00:00,24.18,Naga Mani Mizo Tripura
1964-05-01 00:00:00,25.79,Naga Mani Mizo Tripura
1964-06-01 00:00:00,26.28,Naga Mani Mizo Tripura
1964-07-01 00:00:00,25.91,Naga Mani Mizo Tripura
1964-08-01 00:00:00,26.67,Naga Mani Mizo Tripura
1964-09-01 00:00:00,26.4,Naga Mani Mizo Tripura
1964-10-01 00:00:00,25.11,Naga Mani Mizo Tripura
1964-11-01 00:00:00,21.73,Naga Mani Mizo Tripura
1964-12-01 00:00:00,17.05,Naga Mani Mizo Tripura
1965-01-01 00:00:00,16.12,Naga Mani Mizo Tripura
1965-02-01 00:00:00,17.9,Naga Mani Mizo Tripura
1965-03-01 00:00:00,21.29,Naga Mani Mizo Tripura
1965-04-01 00:00:00,24.68,Naga Mani Mizo Tripura
1965-05-01 00:00:00,26.43,Naga Mani Mizo Tripura
1965-06-01 00:00:00,26.36,Naga Mani Mizo Tripura
1965-07-01 00:00:00,26.19,Naga Mani Mizo Tripura
1965-08-01 00:00:00,25.68,Naga Mani Mizo Tripura
1965-09-01 00:00:00,25.93,Naga Mani Mizo Tripura
1965-10-01 00:00:00,24.14,Naga Mani Mizo Tripura
1965-11-01 00:00:00,20.54,Naga Mani Mizo Tripura
1965-12-01 00:00:00,17.89,Naga Mani Mizo Tripura
1966-01-01 00:00:00,16.64,Naga Mani Mizo Tripura
1966-02-01 00:00:00,19.77,Naga Mani Mizo Tripura
1966-03-01 00:00:00,22.78,Naga Mani Mizo Tripura
1966-04-01 00:00:00,25.41,Naga Mani Mizo Tripura
1966-05-01 00:00:00,27.05,Naga Mani Mizo Tripura
1966-06-01 00:00:00,25.56,Naga Mani Mizo Tripura
1966-07-01 00:00:00,26.79,Naga Mani Mizo Tripura
1966-08-01 00:00:00,26.25,Naga Mani Mizo Tripura
1966-09-01 00:00:00,26.02,Naga Mani Mizo Tripura
1966-10-01 00:00:00,23.48,Naga Mani Mizo Tripura
1966-11-01 00:00:00,22.11,Naga Mani Mizo Tripura
1966-12-01 00:00:00,17.18,Naga Mani Mizo Tripura
1967-01-01 00:00:00,16.83,Naga Mani Mizo Tripura
1967-02-01 00:00:00,19.01,Naga Mani Mizo Tripura
1967-03-01 00:00:00,21.45,Naga Mani Mizo Tripura
1967-04-01 00:00:00,24.02,Naga Mani Mizo Tripura
1967-05-01 00:00:00,25.98,Naga Mani Mizo Tripura
1967-06-01 00:00:00,26.33,Naga Mani Mizo Tripura
1967-07-01 00:00:00,26.62,Naga Mani Mizo Tripura
1967-08-01 00:00:00,26.81,Naga Mani Mizo Tripura
1967-09-01 00:00:00,25.82,Naga Mani Mizo Tripura
1967-10-01 00:00:00,23.7,Naga Mani Mizo Tripura
1967-11-01 00:00:00,19.62,Naga Mani Mizo Tripura
1967-12-01 00:00:00,17.08,Naga Mani Mizo Tripura
1968-01-01 00:00:00,15.82,Naga Mani Mizo Tripura
1968-02-01 00:00:00,17.51,Naga Mani Mizo Tripura
1968-03-01 00:00:00,22.28,Naga Mani Mizo Tripura
1968-04-01 00:00:00,24.1,Naga Mani Mizo Tripura
1968-05-01 00:00:00,25.48,Naga Mani Mizo Tripura
1968-06-01 00:00:00,25.86,Naga Mani Mizo Tripura
1968-07-01 00:00:00,26.53,Naga Mani Mizo Tripura
1968-08-01 00:00:00,26.51,Naga Mani Mizo Tripura
1968-09-01 00:00:00,26.43,Naga Mani Mizo Tripura
1968-10-01 00:00:00,24.41,Naga Mani Mizo Tripura
1968-11-01 00:00:00,21.01,Naga Mani Mizo Tripura
1968-12-01 00:00:00,17.29,Naga Mani Mizo Tripura
1969-01-01 00:00:00,15.51,Naga Mani Mizo Tripura
1969-02-01 00:00:00,18.56,Naga Mani Mizo Tripura
1969-03-01 00:00:00,22.96,Naga Mani Mizo Tripura
1969-04-01 00:00:00,24.9,Naga Mani Mizo Tripura
1969-05-01 00:00:00,26.91,Naga Mani Mizo Tripura
1969-06-01 00:00:00,26.39,Naga Mani Mizo Tripura
1969-07-01 00:00:00,26.88,Naga Mani Mizo Tripura
1969-08-01 00:00:00,25.91,Naga Mani Mizo Tripura
1969-09-01 00:00:00,26.54,Naga Mani Mizo Tripura
1969-10-01 00:00:00,24.25,Naga Mani Mizo Tripura
1969-11-01 00:00:00,20.9,Naga Mani Mizo Tripura
1969-12-01 00:00:00,17.29,Naga Mani Mizo Tripura
1970-01-01 00:00:00,15.62,Naga Mani Mizo Tripura
1970-02-01 00:00:00,18.44,Naga Mani Mizo Tripura
1970-03-01 00:00:00,22.57,Naga Mani Mizo Tripura
1970-04-01 00:00:00,25.11,Naga Mani Mizo Tripura
1970-05-01 00:00:00,26.2,Naga Mani Mizo Tripura
1970-06-01 00:00:00,26.67,Naga Mani Mizo Tripura
1970-07-01 00:00:00,26.24,Naga Mani Mizo Tripura
1970-08-01 00:00:00,26.51,Naga Mani Mizo Tripura
1970-09-01 00:00:00,26.15,Naga Mani Mizo Tripura
1970-10-01 00:00:00,24.18,Naga Mani Mizo Tripura
1970-11-01 00:00:00,20.56,Naga Mani Mizo Tripura
1970-12-01 00:00:00,16.98,Naga Mani Mizo Tripura
1971-01-01 00:00:00,16.19,Naga Mani Mizo Tripura
1971-02-01 00:00:00,17.99,Naga Mani Mizo Tripura
1971-03-01 00:00:00,22.6,Naga Mani Mizo Tripura
1971-04-01 00:00:00,23.94,Naga Mani Mizo Tripura
1971-05-01 00:00:00,25.97,Naga Mani Mizo Tripura
1971-06-01 00:00:00,26.07,Naga Mani Mizo Tripura
1971-07-01 00:00:00,25.92,Naga Mani Mizo Tripura
1971-08-01 00:00:00,25.62,Naga Mani Mizo Tripura
1971-09-01 00:00:00,26.21,Naga Mani Mizo Tripura
1971-10-01 00:00:00,24.42,Naga Mani Mizo Tripura
1971-11-01 00:00:00,19.77,Naga Mani Mizo Tripura
1971-12-01 00:00:00,16.62,Naga Mani Mizo Tripura
1972-01-01 00:00:00,16.7,Naga Mani Mizo Tripura
1972-02-01 00:00:00,17.41,Naga Mani Mizo Tripura
1972-03-01 00:00:00,22.56,Naga Mani Mizo Tripura
1972-04-01 00:00:00,23.97,Naga Mani Mizo Tripura
1972-05-01 00:00:00,26.35,Naga Mani Mizo Tripura
1972-06-01 00:00:00,26.61,Naga Mani Mizo Tripura
1972-07-01 00:00:00,26.77,Naga Mani Mizo Tripura
1972-08-01 00:00:00,26.41,Naga Mani Mizo Tripura
1972-09-01 00:00:00,26.46,Naga Mani Mizo Tripura
1972-10-01 00:00:00,24.6,Naga Mani Mizo Tripura
1972-11-01 00:00:00,21.32,Naga Mani Mizo Tripura
1972-12-01 00:00:00,17.44,Naga Mani Mizo Tripura
1973-01-01 00:00:00,16.71,Naga Mani Mizo Tripura
1973-02-01 00:00:00,19.65,Naga Mani Mizo Tripura
1973-03-01 00:00:00,22.52,Naga Mani Mizo Tripura
1973-04-01 00:00:00,25.78,Naga Mani Mizo Tripura
1973-05-01 00:00:00,25.58,Naga Mani Mizo Tripura
1973-06-01 00:00:00,26.33,Naga Mani Mizo Tripura
1973-07-01 00:00:00,26.96,Naga Mani Mizo Tripura
1973-08-01 00:00:00,26.52,Naga Mani Mizo Tripura
1973-09-01 00:00:00,26.25,Naga Mani Mizo Tripura
1973-10-01 00:00:00,24.96,Naga Mani Mizo Tripura
1973-11-01 00:00:00,20.75,Naga Mani Mizo Tripura
1973-12-01 00:00:00,16.65,Naga Mani Mizo Tripura
1974-01-01 00:00:00,15.57,Naga Mani Mizo Tripura
1974-02-01 00:00:00,18.49,Naga Mani Mizo Tripura
1974-03-01 00:00:00,22.2,Naga Mani Mizo Tripura
1974-04-01 00:00:00,24.44,Naga Mani Mizo Tripura
1974-05-01 00:00:00,25.92,Naga Mani Mizo Tripura
1974-06-01 00:00:00,26.31,Naga Mani Mizo Tripura
1974-07-01 00:00:00,25.54,Naga Mani Mizo Tripura
1974-08-01 00:00:00,26.43,Naga Mani Mizo Tripura
1974-09-01 00:00:00,25.6,Naga Mani Mizo Tripura
1974-10-01 00:00:00,25.54,Naga Mani Mizo Tripura
1974-11-01 00:00:00,22.49,Naga Mani Mizo Tripura
1974-12-01 00:00:00,16.26,Naga Mani Mizo Tripura
1975-01-01 00:00:00,16.16,Naga Mani Mizo Tripura
1975-02-01 00:00:00,18.83,Naga Mani Mizo Tripura
1975-03-01 00:00:00,23.58,Naga Mani Mizo Tripura
1975-04-01 00:00:00,25.32,Naga Mani Mizo Tripura
1975-05-01 00:00:00,25.62,Naga Mani Mizo Tripura
1975-06-01 00:00:00,26.76,Naga Mani Mizo Tripura
1975-07-01 00:00:00,25.88,Naga Mani Mizo Tripura
1975-08-01 00:00:00,26.53,Naga Mani Mizo Tripura
1975-09-01 00:00:00,25.87,Naga Mani Mizo Tripura
1975-10-01 00:00:00,24.96,Naga Mani Mizo Tripura
1975-11-01 00:00:00,20.15,Naga Mani Mizo Tripura
1975-12-01 00:00:00,15.95,Naga Mani Mizo Tripura
1976-01-01 00:00:00,15.89,Naga Mani Mizo Tripura
1976-02-01 00:00:00,19.04,Naga Mani Mizo Tripura
1976-03-01 00:00:00,23.2,Naga Mani Mizo Tripura
1976-04-01 00:00:00,25.15,Naga Mani Mizo Tripura
1976-05-01 00:00:00,25.77,Naga Mani Mizo Tripura
1976-06-01 00:00:00,25.56,Naga Mani Mizo Tripura
1976-07-01 00:00:00,26.18,Naga Mani Mizo Tripura
1976-08-01 00:00:00,26.14,Naga Mani Mizo Tripura
1976-09-01 00:00:00,26.22,Naga Mani Mizo Tripura
1976-10-01 00:00:00,23.88,Naga Mani Mizo Tripura
1976-11-01 00:00:00,21.83,Naga Mani Mizo Tripura
1976-12-01 00:00:00,16.71,Naga Mani Mizo Tripura
1977-01-01 00:00:00,15.46,Naga Mani Mizo Tripura
1977-02-01 00:00:00,18.51,Naga Mani Mizo Tripura
1977-03-01 00:00:00,23.63,Naga Mani Mizo Tripura
1977-04-01 00:00:00,23.21,Naga Mani Mizo Tripura
1977-05-01 00:00:00,24.89,Naga Mani Mizo Tripura
1977-06-01 00:00:00,25.69,Naga Mani Mizo Tripura
1977-07-01 00:00:00,26.68,Naga Mani Mizo Tripura
1977-08-01 00:00:00,26.53,Naga Mani Mizo Tripura
1977-09-01 00:00:00,26.44,Naga Mani Mizo Tripura
1977-10-01 00:00:00,23.59,Naga Mani Mizo Tripura
1977-11-01 00:00:00,21.16,Naga Mani Mizo Tripura
1977-12-01 00:00:00,16.85,Naga Mani Mizo Tripura
1978-01-01 00:00:00,14.88,Naga Mani Mizo Tripura
1978-02-01 00:00:00,18.59,Naga Mani Mizo Tripura
1978-03-01 00:00:00,22.25,Naga Mani Mizo Tripura
1978-04-01 00:00:00,24.95,Naga Mani Mizo Tripura
1978-05-01 00:00:00,25.77,Naga Mani Mizo Tripura
1978-06-01 00:00:00,26.32,Naga Mani Mizo Tripura
1978-07-01 00:00:00,26.58,Naga Mani Mizo Tripura
1978-08-01 00:00:00,27.17,Naga Mani Mizo Tripura
1978-09-01 00:00:00,26.0,Naga Mani Mizo Tripura
1978-10-01 00:00:00,25.19,Naga Mani Mizo Tripura
1978-11-01 00:00:00,21.02,Naga Mani Mizo Tripura
1978-12-01 00:00:00,17.05,Naga Mani Mizo Tripura
1979-01-01 00:00:00,16.58,Naga Mani Mizo Tripura
1979-02-01 00:00:00,18.62,Naga Mani Mizo Tripura
1979-03-01 00:00:00,22.59,Naga Mani Mizo Tripura
1979-04-01 00:00:00,26.03,Naga Mani Mizo Tripura
1979-05-01 00:00:00,27.68,Naga Mani Mizo Tripura
1979-06-01 00:00:00,27.46,Naga Mani Mizo Tripura
1979-07-01 00:00:00,26.78,Naga Mani Mizo Tripura
1979-08-01 00:00:00,26.73,Naga Mani Mizo Tripura
1979-09-01 00:00:00,26.09,Naga Mani Mizo Tripura
1979-10-01 00:00:00,24.15,Naga Mani Mizo Tripura
1979-11-01 00:00:00,22.28,Naga Mani Mizo Tripura
1979-12-01 00:00:00,17.3,Naga Mani Mizo Tripura
1980-01-01 00:00:00,15.98,Naga Mani Mizo Tripura
1980-02-01 00:00:00,18.33,Naga Mani Mizo Tripura
1980-03-01 00:00:00,22.68,Naga Mani Mizo Tripura
1980-04-01 00:00:00,26.13,Naga Mani Mizo Tripura
1980-05-01 00:00:00,25.75,Naga Mani Mizo Tripura
1980-06-01 00:00:00,26.82,Naga Mani Mizo Tripura
1980-07-01 00:00:00,26.83,Naga Mani Mizo Tripura
1980-08-01 00:00:00,26.61,Naga Mani Mizo Tripura
1980-09-01 00:00:00,26.49,Naga Mani Mizo Tripura
1980-10-01 00:00:00,23.79,Naga Mani Mizo Tripura
1980-11-01 00:00:00,21.13,Naga Mani Mizo Tripura
1980-12-01 00:00:00,17.86,Naga Mani Mizo Tripura
1981-01-01 00:00:00,16.45,Naga Mani Mizo Tripura
1981-02-01 00:00:00,19.01,Naga Mani Mizo Tripura
1981-03-01 00:00:00,21.93,Naga Mani Mizo Tripura
1981-04-01 00:00:00,23.62,Naga Mani Mizo Tripura
1981-05-01 00:00:00,25.73,Naga Mani Mizo Tripura
1981-06-01 00:00:00,26.86,Naga Mani Mizo Tripura
1981-07-01 00:00:00,26.47,Naga Mani Mizo Tripura
1981-08-01 00:00:00,26.91,Naga Mani Mizo Tripura
1981-09-01 00:00:00,26.47,Naga Mani Mizo Tripura
1981-10-01 00:00:00,25.05,Naga Mani Mizo Tripura
1981-11-01 00:00:00,21.47,Naga Mani Mizo Tripura
1981-12-01 00:00:00,16.94,Naga Mani Mizo Tripura
1982-01-01 00:00:00,16.71,Naga Mani Mizo Tripura
1982-02-01 00:00:00,18.39,Naga Mani Mizo Tripura
1982-03-01 00:00:00,22.04,Naga Mani Mizo Tripura
1982-04-01 00:00:00,24.03,Naga Mani Mizo Tripura
1982-05-01 00:00:00,26.76,Naga Mani Mizo Tripura
1982-06-01 00:00:00,26.39,Naga Mani Mizo Tripura
1982-07-01 00:00:00,26.86,Naga Mani Mizo Tripura
1982-08-01 00:00:00,26.72,Naga Mani Mizo Tripura
1982-09-01 00:00:00,26.31,Naga Mani Mizo Tripura
1982-10-01 00:00:00,24.53,Naga Mani Mizo Tripura
1982-11-01 00:00:00,20.18,Naga Mani Mizo Tripura
1982-12-01 00:00:00,16.38,Naga Mani Mizo Tripura
1983-01-01 00:00:00,15.45,Naga Mani Mizo Tripura
1983-02-01 00:00:00,17.45,Naga Mani Mizo Tripura
1983-03-01 00:00:00,21.8,Naga Mani Mizo Tripura
1983-04-01 00:00:00,24.12,Naga Mani Mizo Tripura
1983-05-01 00:00:00,25.76,Naga Mani Mizo Tripura
1983-06-01 00:00:00,26.99,Naga Mani Mizo Tripura
1983-07-01 00:00:00,26.99,Naga Mani Mizo Tripura
1983-08-01 00:00:00,26.64,Naga Mani Mizo Tripura
1983-09-01 00:00:00,26.45,Naga Mani Mizo Tripura
1983-10-01 00:00:00,25.12,Naga Mani Mizo Tripura
1983-11-01 00:00:00,21.26,Naga Mani Mizo Tripura
1983-12-01 00:00:00,16.27,Naga Mani Mizo Tripura
1984-01-01 00:00:00,15.55,Naga Mani Mizo Tripura
1984-02-01 00:00:00,18.57,Naga Mani Mizo Tripura
1984-03-01 00:00:00,22.99,Naga Mani Mizo Tripura
1984-04-01 00:00:00,25.33,Naga Mani Mizo Tripura
1984-05-01 00:00:00,25.39,Naga Mani Mizo Tripura
1984-06-01 00:00:00,26.52,Naga Mani Mizo Tripura
1984-07-01 00:00:00,26.38,Naga Mani Mizo Tripura
1984-08-01 00:00:00,26.74,Naga Mani Mizo Tripura
1984-09-01 00:00:00,25.62,Naga Mani Mizo Tripura
1984-10-01 00:00:00,24.83,Naga Mani Mizo Tripura
1984-11-01 00:00:00,20.41,Naga Mani Mizo Tripura
1984-12-01 00:00:00,17.46,Naga Mani Mizo Tripura
1985-01-01 00:00:00,16.42,Naga Mani Mizo Tripura
1985-02-01 00:00:00,18.27,Naga Mani Mizo Tripura
1985-03-01 00:00:00,23.43,Naga Mani Mizo Tripura
1985-04-01 00:00:00,25.17,Naga Mani Mizo Tripura
1985-05-01 00:00:00,25.85,Naga Mani Mizo Tripura
1985-06-01 00:00:00,26.39,Naga Mani Mizo Tripura
1985-07-01 00:00:00,25.93,Naga Mani Mizo Tripura
1985-08-01 00:00:00,26.86,Naga Mani Mizo Tripura
1985-09-01 00:00:00,26.19,Naga Mani Mizo Tripura
1985-10-01 00:00:00,24.9,Naga Mani Mizo Tripura
1985-11-01 00:00:00,20.37,Naga Mani Mizo Tripura
1985-12-01 00:00:00,17.81,Naga Mani Mizo Tripura
1986-01-01 00:00:00,16.52,Naga Mani Mizo Tripura
1986-02-01 00:00:00,18.95,Naga Mani Mizo Tripura
1986-03-01 00:00:00,22.89,Naga Mani Mizo Tripura
1986-04-01 00:00:00,24.25,Naga Mani Mizo Tripura
1986-05-01 00:00:00,26.01,Naga Mani Mizo Tripura
1986-06-01 00:00:00,27.42,Naga Mani Mizo Tripura
1986-07-01 00:00:00,26.49,Naga Mani Mizo Tripura
1986-08-01 00:00:00,26.87,Naga Mani Mizo Tripura
1986-09-01 00:00:00,25.73,Naga Mani Mizo Tripura
1986-10-01 00:00:00,23.6,Naga Mani Mizo Tripura
1986-11-01 00:00:00,21.02,Naga Mani Mizo Tripura
1986-12-01 00:00:00,17.49,Naga Mani Mizo Tripura
1987-01-01 00:00:00,16.71,Naga Mani Mizo Tripura
1987-02-01 00:00:00,19.38,Naga Mani Mizo Tripura
1987-03-01 00:00:00,22.02,Naga Mani Mizo Tripura
1987-04-01 00:00:00,24.46,Naga Mani Mizo Tripura
1987-05-01 00:00:00,26.68,Naga Mani Mizo Tripura
1987-06-01 00:00:00,27.45,Naga Mani Mizo Tripura
1987-07-01 00:00:00,26.6,Naga Mani Mizo Tripura
1987-08-01 00:00:00,26.54,Naga Mani Mizo Tripura
1987-09-01 00:00:00,26.32,Naga Mani Mizo Tripura
1987-10-01 00:00:00,24.6,Naga Mani Mizo Tripura
1987-11-01 00:00:00,21.94,Naga Mani Mizo Tripura
1987-12-01 00:00:00,17.69,Naga Mani Mizo Tripura
1988-01-01 00:00:00,16.97,Naga Mani Mizo Tripura
1988-02-01 00:00:00,19.65,Naga Mani Mizo Tripura
1988-03-01 00:00:00,22.9,Naga Mani Mizo Tripura
1988-04-01 00:00:00,25.45,Naga Mani Mizo Tripura
1988-05-01 00:00:00,25.85,Naga Mani Mizo Tripura
1988-06-01 00:00:00,26.85,Naga Mani Mizo Tripura
1988-07-01 00:00:00,26.76,Naga Mani Mizo Tripura
1988-08-01 00:00:00,26.55,Naga Mani Mizo Tripura
1988-09-01 00:00:00,26.56,Naga Mani Mizo Tripura
1988-10-01 00:00:00,25.03,Naga Mani Mizo Tripura
1988-11-01 00:00:00,21.7,Naga Mani Mizo Tripura
1988-12-01 00:00:00,18.41,Naga Mani Mizo Tripura
1989-01-01 00:00:00,15.44,Naga Mani Mizo Tripura
1989-02-01 00:00:00,18.55,Naga Mani Mizo Tripura
1989-03-01 00:00:00,22.86,Naga Mani Mizo Tripura
1989-04-01 00:00:00,25.18,Naga Mani Mizo Tripura
1989-05-01 00:00:00,27.09,Naga Mani Mizo Tripura
1989-06-01 00:00:00,26.96,Naga Mani Mizo Tripura
1989-07-01 00:00:00,26.63,Naga Mani Mizo Tripura
1989-08-01 00:00:00,27.02,Naga Mani Mizo Tripura
1989-09-01 00:00:00,26.48,Naga Mani Mizo Tripura
1989-10-01 00:00:00,24.56,Naga Mani Mizo Tripura
1989-11-01 00:00:00,20.44,Naga Mani Mizo Tripura
1989-12-01 00:00:00,16.24,Naga Mani Mizo Tripura
1990-01-01 00:00:00,16.89,Naga Mani Mizo Tripura
1990-02-01 00:00:00,19.09,Naga Mani Mizo Tripura
1990-03-01 00:00:00,21.78,Naga Mani Mizo Tripura
1990-04-01 00:00:00,23.78,Naga Mani Mizo Tripura
1990-05-01 00:00:00,26.01,Naga Mani Mizo Tripura
1990-06-01 00:00:00,26.61,Naga Mani Mizo Tripura
1990-07-01 00:00:00,26.57,Naga Mani Mizo Tripura
1990-08-01 00:00:00,26.95,Naga Mani Mizo Tripura
1990-09-01 00:00:00,26.05,Naga Mani Mizo Tripura
1990-10-01 00:00:00,23.96,Naga Mani Mizo Tripura
1990-11-01 00:00:00,21.96,Naga Mani Mizo Tripura
1990-12-01 00:00:00,17.22,Naga Mani Mizo Tripura
1991-01-01 00:00:00,15.61,Naga Mani Mizo Tripura
1991-02-01 00:00:00,19.45,Naga Mani Mizo Tripura
1991-03-01 00:00:00,23.51,Naga Mani Mizo Tripura
1991-04-01 00:00:00,24.68,Naga Mani Mizo Tripura
1991-05-01 00:00:00,24.9,Naga Mani Mizo Tripura
1991-06-01 00:00:00,26.16,Naga Mani Mizo Tripura
1991-07-01 00:00:00,26.73,Naga Mani Mizo Tripura
1991-08-01 00:00:00,26.62,Naga Mani Mizo Tripura
1991-09-01 00:00:00,25.88,Naga Mani Mizo Tripura
1991-10-01 00:00:00,24.49,Naga Mani Mizo Tripura
1991-11-01 00:00:00,19.78,Naga Mani Mizo Tripura
1991-12-01 00:00:00,16.16,Naga Mani Mizo Tripura
1992-01-01 00:00:00,15.45,Naga Mani Mizo Tripura
1992-02-01 00:00:00,16.8,Naga Mani Mizo Tripura
1992-03-01 00:00:00,23.07,Naga Mani Mizo Tripura
1992-04-01 00:00:00,25.77,Naga Mani Mizo Tripura
1992-05-01 00:00:00,25.84,Naga Mani Mizo Tripura
1992-06-01 00:00:00,26.99,Naga Mani Mizo Tripura
1992-07-01 00:00:00,26.12,Naga Mani Mizo Tripura
1992-08-01 00:00:00,26.69,Naga Mani Mizo Tripura
1992-09-01 00:00:00,26.14,Naga Mani Mizo Tripura
1992-10-01 00:00:00,23.82,Naga Mani Mizo Tripura
1992-11-01 00:00:00,20.61,Naga Mani Mizo Tripura
