UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,20.446196,85.826494,26.793,0,0,0,No Data,No Data
1179727451,2007-05-21T06:04:11Z,20.447216,85.819905,26.756,0.6965766,0,0,No Data,No Data
1179727521,2007-05-21T06:05:21Z,20.448536,85.818664,26.992,0.8923892,0,0,No Data,No Data
1179727627,2007-05-21T06:07:07Z,20.450516,85.816803,27.745,1.186149,0,0,No Data,No Data
1179727850,2007-05-21T06:10:50Z,20.453316,85.811670,29.976,1.805711,0,0,No Data,No Data
1179727929,2007-05-21T06:12:09Z,20.454056,85.809724,29.581,2.024757,0,0,No Data,No Data
1179728053,2007-05-21T06:14:13Z,20.456076,85.807202,28.689,2.370837,0,0,No Data,No Data
1179728156,2007-05-21T06:15:56Z,20.456856,85.804593,27.974,2.656454,0,0,No Data,No Data
1179728268,2007-05-21T06:17:48Z,20.458256,85.802026,29.71,2.966192,0,0,No Data,No Data
1179728425,2007-05-21T06:20:25Z,20.459735,85.798134,30.808,3.404246,0,0,No Data,No Data
1179728528,2007-05-21T06:22:08Z,20.460514,85.795525,43.781,3.689878,0,0,No Data,No Data
1179728741,2007-05-21T06:25:41Z,20.462693,85.790349,27.963,4.281688,0,0,No Data,No Data
1179728841,2007-05-21T06:27:21Z,20.462852,85.787699,27.423,4.55861,0,0,No Data,No Data
1179729017,2007-05-21T06:30:17Z,20.463750,85.783103,28.996,5.048277,0,0,No Data,No Data
1179729117,2007-05-21T06:31:57Z,20.463909,85.780453,29.429,5.325201,0,0,No Data,No Data
1179729244,2007-05-21T06:34:04Z,20.463488,85.777100,31.654,5.67801,0,0,No Data,No Data
1179729269,2007-05-21T06:34:29Z,20.463528,85.776438,31.0,5.747178,0,0,No Data,No Data
1179729372,2007-05-21T06:36:12Z,20.463066,85.773747,29.36,6.032473,0,0,No Data,No Data
1179729607,2007-05-21T06:40:07Z,20.460284,85.768239,29.206,6.685079,0,0,No Data,No Data
1179729819,2007-05-21T06:43:39Z,20.458741,85.762817,29.922,7.276047,0,0,No Data,No Data
1179730020,2007-05-21T06:47:00Z,20.456538,85.758011,32.46,7.834082,0,0,No Data,No Data
1179730145,2007-05-21T06:49:05Z,20.454837,85.755233,31.037,8.180185,0,0,No Data,No Data
1179730374,2007-05-21T06:52:54Z,20.451394,85.750341,26.983,8.818273,0,0,No Data,No Data
1179730532,2007-05-21T06:55:32Z,20.447753,85.748766,30.679,9.255542,0,0,No Data,No Data
1179730607,2007-05-21T06:56:47Z,20.445893,85.748642,35.811,9.463006,0,0,No Data,No Data
1179730756,2007-05-21T06:59:16Z,20.442174,85.748372,34.647,9.877896,0,0,No Data,No Data
