YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,21.16,2.964376844,15.9
01-02-1961 00:00,22.08,2.964376844,116.2
01-03-1961 00:00,28.52,2.964376844,3.2
01-04-1961 00:00,30.75,2.964376844,15.9
01-05-1961 00:00,32.14,2.964376844,59.7
01-06-1961 00:00,29.27,2.964376844,324.8
01-07-1961 00:00,26.91,2.964376844,406.2
01-08-1961 00:00,27.45,2.964376844,327.9
01-09-1961 00:00,26.74,2.964376844,483.2
01-10-1961 00:00,25.63,2.964376844,178.2
01-11-1961 00:00,21.93,2.964376844,11.3
01-12-1961 00:00,18.41,2.964376844,2.7
01-01-1962 00:00,18.83,3.261389715,8.3
01-02-1962 00:00,22.87,3.261389715,5.1
01-03-1962 00:00,26.82,3.261389715,19.8
01-04-1962 00:00,29.9,3.261389715,35.9
01-05-1962 00:00,31.62,3.261389715,34.1
01-06-1962 00:00,29.68,3.261389715,192.7
01-07-1962 00:00,27.65,3.261389715,379
01-08-1962 00:00,27.22,3.261389715,263.2
01-09-1962 00:00,27.45,3.261389715,237.3
01-10-1962 00:00,25.42,3.261389715,164
01-11-1962 00:00,22.62,3.261389715,2.5
01-12-1962 00:00,20.29,3.261389715,4.7
01-01-1963 00:00,19.21,3.502717882,0.2
01-02-1963 00:00,23.65,3.502717882,6.9
01-03-1963 00:00,27.11,3.502717882,9.1
01-04-1963 00:00,29.3,3.502717882,47
01-05-1963 00:00,30.87,3.502717882,90
01-06-1963 00:00,29.53,3.502717882,218.7
01-07-1963 00:00,27.33,3.502717882,310.6
01-08-1963 00:00,27.35,3.502717882,361.9
01-09-1963 00:00,27.59,3.502717882,306.9
01-10-1963 00:00,26.28,3.502717882,204.9
01-11-1963 00:00,23.73,3.502717882,3.9
01-12-1963 00:00,20.43,3.502717882,2
01-01-1964 00:00,21.33,3.424609249,1.7
01-02-1964 00:00,24.12,3.424609249,28.3
01-03-1964 00:00,28.44,3.424609249,11.9
01-04-1964 00:00,30.64,3.424609249,33.2
01-05-1964 00:00,31.68,3.424609249,48.8
01-06-1964 00:00,30.31,3.424609249,142.5
01-07-1964 00:00,26.97,3.424609249,372.4
01-08-1964 00:00,26.83,3.424609249,427.9
01-09-1964 00:00,27.34,3.424609249,195.5
01-10-1964 00:00,26.45,3.424609249,84.1
01-11-1964 00:00,22.87,3.424609249,8.2
01-12-1964 00:00,20.29,3.424609249,0
01-01-1965 00:00,20.94,3.772972086,10.6
01-02-1965 00:00,23.43,3.772972086,17.3
01-03-1965 00:00,26.5,3.772972086,59.1
01-04-1965 00:00,29.44,3.772972086,37.9
01-05-1965 00:00,31.61,3.772972086,37.6
01-06-1965 00:00,31.15,3.772972086,123.1
01-07-1965 00:00,27.31,3.772972086,392.9
01-08-1965 00:00,27.42,3.772972086,187.3
01-09-1965 00:00,27.27,3.772972086,222.9
01-10-1965 00:00,26.26,3.772972086,83.9
01-11-1965 00:00,23.43,3.772972086,1
01-12-1965 00:00,20.51,3.772972086,1
01-01-1966 00:00,20.22,3.904681414,49.9
01-02-1966 00:00,24.24,3.904681414,3.6
01-03-1966 00:00,27.52,3.904681414,0.9
01-04-1966 00:00,30.94,3.904681414,28
01-05-1966 00:00,32.84,3.904681414,37.9
01-06-1966 00:00,30.05,3.904681414,306.3
01-07-1966 00:00,28.44,3.904681414,340.2
01-08-1966 00:00,27.76,3.904681414,211
01-09-1966 00:00,27.92,3.904681414,155.9
01-10-1966 00:00,26.37,3.904681414,78.9
01-11-1966 00:00,24.56,3.904681414,63.4
01-12-1966 00:00,20.3,3.904681414,10.9
01-01-1967 00:00,20.63,3.915434897,70.9
01-02-1967 00:00,24.28,3.915434897,0.4
01-03-1967 00:00,26.15,3.915434897,87.7
01-04-1967 00:00,29.64,3.915434897,40.9
01-05-1967 00:00,32.2,3.915434897,25.7
01-06-1967 00:00,30.98,3.915434897,233.3
01-07-1967 00:00,27.84,3.915434897,315.3
01-08-1967 00:00,27.06,3.915434897,340.7
01-09-1967 00:00,27.29,3.915434897,281.8
01-10-1967 00:00,25.93,3.915434897,18.3
01-11-1967 00:00,22.84,3.915434897,1.8
01-12-1967 00:00,22.01,3.915434897,10.7
01-01-1968 00:00,20.42,4.258629393,33.4
01-02-1968 00:00,23.4,4.258629393,29.7
01-03-1968 00:00,27.06,4.258629393,20.7
01-04-1968 00:00,29.56,4.258629393,26.5
01-05-1968 00:00,31.87,4.258629393,45.7
01-06-1968 00:00,29.53,4.258629393,186.7
01-07-1968 00:00,27.69,4.258629393,311.6
01-08-1968 00:00,27.46,4.258629393,335.4
01-09-1968 00:00,27.94,4.258629393,236.6
01-10-1968 00:00,25.52,4.258629393,191.6
01-11-1968 00:00,22.79,4.258629393,45.5
01-12-1968 00:00,20.19,4.258629393,0.7
01-01-1969 00:00,20.69,4.335654342,0.7
01-02-1969 00:00,24.67,4.335654342,1
01-03-1969 00:00,28.96,4.335654342,4
01-04-1969 00:00,31.25,4.335654342,27.3
01-05-1969 00:00,30.85,4.335654342,80.7
01-06-1969 00:00,30.46,4.335654342,158.6
01-07-1969 00:00,27.34,4.335654342,432.5
01-08-1969 00:00,27.13,4.335654342,293.5
01-09-1969 00:00,27.38,4.335654342,197.7
01-10-1969 00:00,26.43,4.335654342,41.8
01-11-1969 00:00,24.16,4.335654342,38.9
01-12-1969 00:00,20.12,4.335654342,6.4
01-01-1970 00:00,21.06,4.436103544,4.6
01-02-1970 00:00,24.23,4.436103544,27.5
01-03-1970 00:00,27.69,4.436103544,47.2
01-04-1970 00:00,30.58,4.436103544,32.3
01-05-1970 00:00,32.03,4.436103544,60.8
01-06-1970 00:00,28.68,4.436103544,307.9
01-07-1970 00:00,27.32,4.436103544,307.8
01-08-1970 00:00,27.2,4.436103544,348.8
01-09-1970 00:00,27.29,4.436103544,205.9
01-10-1970 00:00,26.08,4.436103544,66.9
01-11-1970 00:00,22.2,4.436103544,2.4
01-12-1970 00:00,18.81,4.436103544,0.2
01-01-1971 00:00,20.65,4.679932522,16.1
01-02-1971 00:00,23.24,4.679932522,23.5
01-03-1971 00:00,26.31,4.679932522,1.9
01-04-1971 00:00,28.35,4.679932522,76.9
01-05-1971 00:00,29.29,4.679932522,82.2
01-06-1971 00:00,27.73,4.679932522,290.8
01-07-1971 00:00,26.65,4.679932522,290.9
01-08-1971 00:00,26.29,4.679932522,411
01-09-1971 00:00,27.16,4.679932522,171.5
01-10-1971 00:00,25.93,4.679932522,229.9
01-11-1971 00:00,21.79,4.679932522,2.1
01-12-1971 00:00,19.26,4.679932522,0
01-01-1972 00:00,19.73,4.952270734,0
01-02-1972 00:00,22.25,4.952270734,22
01-03-1972 00:00,27.84,4.952270734,2.6
01-04-1972 00:00,30.35,4.952270734,25.9
01-05-1972 00:00,32.78,4.952270734,16.3
01-06-1972 00:00,31.6,4.952270734,133.9
01-07-1972 00:00,28.17,4.952270734,333.9
01-08-1972 00:00,27.42,4.952270734,383.4
01-09-1972 00:00,27.49,4.952270734,282.7
01-10-1972 00:00,26,4.952270734,83.1
01-11-1972 00:00,23.36,4.952270734,40.9
01-12-1972 00:00,21.51,4.952270734,0.3
01-01-1973 00:00,22.19,5.099901885,1.7
01-02-1973 00:00,24.88,5.099901885,5.7
01-03-1973 00:00,27.63,5.099901885,33.4
01-04-1973 00:00,31.85,5.099901885,8.7
01-05-1973 00:00,32.43,5.099901885,67.5
01-06-1973 00:00,30.69,5.099901885,103.2
01-07-1973 00:00,27.24,5.099901885,434.9
01-08-1973 00:00,27.14,5.099901885,380.9
01-09-1973 00:00,27.31,5.099901885,266.5
01-10-1973 00:00,25.82,5.099901885,244.7
01-11-1973 00:00,22.48,5.099901885,13.3
01-12-1973 00:00,19.64,5.099901885,13
01-01-1974 00:00,20.23,5.273791543,0
01-02-1974 00:00,23.48,5.273791543,1.3
01-03-1974 00:00,28.21,5.273791543,27.4
01-04-1974 00:00,31.02,5.273791543,12.1
01-05-1974 00:00,31.62,5.273791543,44.8
01-06-1974 00:00,30.49,5.273791543,128.9
01-07-1974 00:00,27.47,5.273791543,223.3
01-08-1974 00:00,27.38,5.273791543,306.5
01-09-1974 00:00,27.67,5.273791543,131.7
01-10-1974 00:00,26.7,5.273791543,103
01-11-1974 00:00,23.22,5.273791543,8
01-12-1974 00:00,19.47,5.273791543,0
01-01-1975 00:00,19.76,5.733190344,1.8
01-02-1975 00:00,23.58,5.733190344,17.7
01-03-1975 00:00,27.61,5.733190344,21.5
01-04-1975 00:00,30.66,5.733190344,18.2
01-05-1975 00:00,32.75,5.733190344,18.4
01-06-1975 00:00,30.11,5.733190344,193.3
01-07-1975 00:00,27.04,5.733190344,279.5
01-08-1975 00:00,27,5.733190344,437
01-09-1975 00:00,26.98,5.733190344,251.7
01-10-1975 00:00,26.83,5.733190344,135.1
01-11-1975 00:00,21.59,5.733190344,17.5
01-12-1975 00:00,19.06,5.733190344,0.3
01-01-1976 00:00,19.62,5.99652564,0
01-02-1976 00:00,23.48,5.99652564,10.1
01-03-1976 00:00,27.75,5.99652564,10.5
01-04-1976 00:00,29.9,5.99652564,25.9
01-05-1976 00:00,31.67,5.99652564,57.9
01-06-1976 00:00,30.18,5.99652564,108.1
01-07-1976 00:00,27.02,5.99652564,347.8
01-08-1976 00:00,26.86,5.99652564,374.1
01-09-1976 00:00,27.39,5.99652564,172.6
01-10-1976 00:00,26.88,5.99652564,36.8
01-11-1976 00:00,25.37,5.99652564,32.8
01-12-1976 00:00,21.29,5.99652564,2.4
01-01-1977 00:00,20.79,6.343554711,4.9
01-02-1977 00:00,23.89,6.343554711,5
01-03-1977 00:00,28.62,6.343554711,5.4
01-04-1977 00:00,29.6,6.343554711,50.7
01-05-1977 00:00,30.23,6.343554711,124.9
01-06-1977 00:00,29.71,6.343554711,181.4
01-07-1977 00:00,27.21,6.343554711,355.4
01-08-1977 00:00,27.02,6.343554711,335.7
01-09-1977 00:00,27.3,6.343554711,256.6
01-10-1977 00:00,26.46,6.343554711,61.5
01-11-1977 00:00,24.51,6.343554711,87
01-12-1977 00:00,20.15,6.343554711,9.4
01-01-1978 00:00,19.72,6.43550116,4
01-02-1978 00:00,22.93,6.43550116,31
01-03-1978 00:00,26.39,6.43550116,45.3
01-04-1978 00:00,30.27,6.43550116,28.7
01-05-1978 00:00,32.94,6.43550116,37.4
01-06-1978 00:00,29.76,6.43550116,183.5
01-07-1978 00:00,27.2,6.43550116,336.2
01-08-1978 00:00,26.82,6.43550116,462.1
01-09-1978 00:00,27.12,6.43550116,199
01-10-1978 00:00,25.97,6.43550116,80.1
01-11-1978 00:00,24.33,6.43550116,21.8
01-12-1978 00:00,19.79,6.43550116,9.8
01-01-1979 00:00,21.24,6.749102737,6.7
01-02-1979 00:00,22.8,6.749102737,14.9
01-03-1979 00:00,27.26,6.749102737,3.2
01-04-1979 00:00,30.68,6.749102737,22.7
01-05-1979 00:00,32.34,6.749102737,25.1
01-06-1979 00:00,30.95,6.749102737,198.5
01-07-1979 00:00,28.2,6.749102737,240.2
01-08-1979 00:00,27.87,6.749102737,251.8
01-09-1979 00:00,27.77,6.749102737,171.7
01-10-1979 00:00,27.13,6.749102737,46.5
01-11-1979 00:00,25.5,6.749102737,7.3
01-12-1979 00:00,21.02,6.749102737,7.4
01-01-1980 00:00,21.81,7.138395498,10.8
01-02-1980 00:00,24.73,7.138395498,9.2
01-03-1980 00:00,28.07,7.138395498,41.7
01-04-1980 00:00,31.56,7.138395498,23.2
01-05-1980 00:00,32.86,7.138395498,59.9
01-06-1980 00:00,28.75,7.138395498,325.5
01-07-1980 00:00,27.29,7.138395498,367.6
01-08-1980 00:00,27.26,7.138395498,228.1
01-09-1980 00:00,27.47,7.138395498,302.1
01-10-1980 00:00,26.32,7.138395498,86.6
01-11-1980 00:00,23.25,7.138395498,3
01-12-1980 00:00,20.82,7.138395498,5.2
01-01-1981 00:00,20.05,7.7026616,25.8
01-02-1981 00:00,24.11,7.7026616,13.6
01-03-1981 00:00,26.7,7.7026616,67.1
01-04-1981 00:00,30.02,7.7026616,45.7
01-05-1981 00:00,30.94,7.7026616,85
01-06-1981 00:00,30.26,7.7026616,189.2
01-07-1981 00:00,27.3,7.7026616,238.3
01-08-1981 00:00,27.32,7.7026616,348.1
01-09-1981 00:00,27.36,7.7026616,257.1
01-10-1981 00:00,26.43,7.7026616,18.8
01-11-1981 00:00,22.91,7.7026616,0.4
01-12-1981 00:00,20.06,7.7026616,6.5
01-01-1982 00:00,21.78,7.948157784,5.5
01-02-1982 00:00,23.91,7.948157784,32.3
01-03-1982 00:00,26.83,7.948157784,80.1
01-04-1982 00:00,30.25,7.948157784,51.8
01-05-1982 00:00,31.64,7.948157784,38.2
01-06-1982 00:00,30.08,7.948157784,191.4
01-07-1982 00:00,28.76,7.948157784,223.2
01-08-1982 00:00,26.79,7.948157784,466.4
01-09-1982 00:00,27.79,7.948157784,129.8
01-10-1982 00:00,26.61,7.948157784,33.8
01-11-1982 00:00,23.7,7.948157784,6.1
01-12-1982 00:00,21.07,7.948157784,0
01-01-1983 00:00,20.85,8.60812155,1.9
01-02-1983 00:00,23.39,8.60812155,55
01-03-1983 00:00,27.88,8.60812155,22.1
01-04-1983 00:00,30.05,8.60812155,47.6
01-05-1983 00:00,31.37,8.60812155,67.6
