Date,Temperature,State
1961-01-01 00:00:00,21.16,Orissa
1961-02-01 00:00:00,22.08,Orissa
1961-03-01 00:00:00,28.52,Orissa
1961-04-01 00:00:00,30.75,Orissa
1961-05-01 00:00:00,32.14,Orissa
1961-06-01 00:00:00,29.27,Orissa
1961-07-01 00:00:00,26.91,Orissa
1961-08-01 00:00:00,27.45,Orissa
1961-09-01 00:00:00,26.74,Orissa
1961-10-01 00:00:00,25.63,Orissa
1961-11-01 00:00:00,21.93,Orissa
1961-12-01 00:00:00,18.41,Orissa
1962-01-01 00:00:00,18.83,Orissa
1962-02-01 00:00:00,22.87,Orissa
1962-03-01 00:00:00,26.82,Orissa
1962-04-01 00:00:00,29.9,Orissa
1962-05-01 00:00:00,31.62,Orissa
1962-06-01 00:00:00,29.68,Orissa
1962-07-01 00:00:00,27.65,Orissa
1962-08-01 00:00:00,27.22,Orissa
1962-09-01 00:00:00,27.45,Orissa
1962-10-01 00:00:00,25.42,Orissa
1962-11-01 00:00:00,22.62,Orissa
1962-12-01 00:00:00,20.29,Orissa
1963-01-01 00:00:00,19.21,Orissa
1963-02-01 00:00:00,23.65,Orissa
1963-03-01 00:00:00,27.11,Orissa
1963-04-01 00:00:00,29.3,Orissa
1963-05-01 00:00:00,30.87,Orissa
1963-06-01 00:00:00,29.53,Orissa
1963-07-01 00:00:00,27.33,Orissa
1963-08-01 00:00:00,27.35,Orissa
1963-09-01 00:00:00,27.59,Orissa
1963-10-01 00:00:00,26.28,Orissa
1963-11-01 00:00:00,23.73,Orissa
1963-12-01 00:00:00,20.43,Orissa
1964-01-01 00:00:00,21.33,Orissa
1964-02-01 00:00:00,24.12,Orissa
1964-03-01 00:00:00,28.44,Orissa
1964-04-01 00:00:00,30.64,Orissa
1964-05-01 00:00:00,31.68,Orissa
1964-06-01 00:00:00,30.31,Orissa
1964-07-01 00:00:00,26.97,Orissa
1964-08-01 00:00:00,26.83,Orissa
1964-09-01 00:00:00,27.34,Orissa
1964-10-01 00:00:00,26.45,Orissa
1964-11-01 00:00:00,22.87,Orissa
1964-12-01 00:00:00,20.29,Orissa
1965-01-01 00:00:00,20.94,Orissa
1965-02-01 00:00:00,23.43,Orissa
1965-03-01 00:00:00,26.5,Orissa
1965-04-01 00:00:00,29.44,Orissa
1965-05-01 00:00:00,31.61,Orissa
1965-06-01 00:00:00,31.15,Orissa
1965-07-01 00:00:00,27.31,Orissa
1965-08-01 00:00:00,27.42,Orissa
1965-09-01 00:00:00,27.27,Orissa
1965-10-01 00:00:00,26.26,Orissa
1965-11-01 00:00:00,23.43,Orissa
1965-12-01 00:00:00,20.51,Orissa
1966-01-01 00:00:00,20.22,Orissa
1966-02-01 00:00:00,24.24,Orissa
1966-03-01 00:00:00,27.52,Orissa
1966-04-01 00:00:00,30.94,Orissa
1966-05-01 00:00:00,32.84,Orissa
1966-06-01 00:00:00,30.05,Orissa
1966-07-01 00:00:00,28.44,Orissa
1966-08-01 00:00:00,27.76,Orissa
1966-09-01 00:00:00,27.92,Orissa
1966-10-01 00:00:00,26.37,Orissa
1966-11-01 00:00:00,24.56,Orissa
1966-12-01 00:00:00,20.3,Orissa
1967-01-01 00:00:00,20.63,Orissa
