UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,19.627692,84.684674,42.596,0,0,0,No Data,No Data
1179727264,2007-05-21T06:01:04Z,19.626558,84.685873,45.35,0.1781782,0,0,No Data,No Data
1179727361,2007-05-21T06:02:41Z,19.624677,84.687472,43.233,0.4464642,0,0,No Data,No Data
1179727446,2007-05-21T06:04:06Z,19.623171,84.689071,43.784,0.6835902,0,0,No Data,No Data
1179727575,2007-05-21T06:06:15Z,19.620159,84.690271,46.851,1.041659,0,0,No Data,No Data
1179727637,2007-05-21T06:07:17Z,19.618651,84.690670,43.336,1.214604,0,0,No Data,No Data
1179727759,2007-05-21T06:09:19Z,19.616011,84.692269,43.718,1.552967,0,0,No Data,No Data
1179727869,2007-05-21T06:11:09Z,19.613372,84.693067,39.76,1.858462,0,0,No Data,No Data
1179727993,2007-05-21T06:13:13Z,19.610356,84.693866,36.794,2.204494,0,0,No Data,No Data
1179728024,2007-05-21T06:13:44Z,19.609602,84.693866,36.811,2.288334,0,0,No Data,No Data
1179728115,2007-05-21T06:15:15Z,19.607341,84.694265,38.309,2.543443,0,0,No Data,No Data
1179728222,2007-05-21T06:17:02Z,19.604703,84.694664,46.854,2.840022,0,0,No Data,No Data
1179728285,2007-05-21T06:18:05Z,19.603191,84.695063,50.496,3.013449,0,0,No Data,No Data
1179728347,2007-05-21T06:19:07Z,19.601685,84.695462,51.523,3.186267,0,0,No Data,No Data
1179728423,2007-05-21T06:20:23Z,19.599797,84.695461,47.716,3.396441,0,0,No Data,No Data
1179728485,2007-05-21T06:21:25Z,19.598291,84.695860,45.084,3.569249,0,0,No Data,No Data
1179728547,2007-05-21T06:22:27Z,19.596785,84.696260,46.534,3.742002,0,0,No Data,No Data
1179728609,2007-05-21T06:23:29Z,19.595280,84.696660,46.315,3.914678,0,0,No Data,No Data
1179728724,2007-05-21T06:25:24Z,19.592647,84.697859,39.253,4.233604,0,0,No Data,No Data
1179728769,2007-05-21T06:26:09Z,19.591517,84.697858,37.975,4.359355,0,0,No Data,No Data
1179728891,2007-05-21T06:28:11Z,19.588885,84.699458,37.838,4.696987,0,0,No Data,No Data
1179728987,2007-05-21T06:29:47Z,19.587006,84.701057,35.685,4.965094,0,0,No Data,No Data
1179729094,2007-05-21T06:31:34Z,19.585116,84.703053,34.66,5.26194,0,0,No Data,No Data
1179729158,2007-05-21T06:32:38Z,19.583990,84.704253,32.855,5.4396,0,0,No Data,No Data
1179729246,2007-05-21T06:34:06Z,19.582116,84.705455,32.583,5.683346,0,0,No Data,No Data
1179729342,2007-05-21T06:35:42Z,19.580610,84.707454,33.846,5.95177,0,0,No Data,No Data
1179729449,2007-05-21T06:37:29Z,19.578727,84.709452,39.258,6.248176,0,0,No Data,No Data
1179729504,2007-05-21T06:38:24Z,19.577974,84.710651,35.917,6.399348,0,0,No Data,No Data
1179729579,2007-05-21T06:39:39Z,19.576844,84.712250,33.551,6.60901,0,0,No Data,No Data
1179729665,2007-05-21T06:41:05Z,19.575337,84.713849,38.4,6.846173,0,0,No Data,No Data
1179729752,2007-05-21T06:42:32Z,19.574207,84.715847,41.016,7.090609,0,0,No Data,No Data
1179729828,2007-05-21T06:43:48Z,19.573077,84.717446,37.198,7.300236,0,0,No Data,No Data
1179729929,2007-05-21T06:45:29Z,19.571947,84.719844,34.891,7.581493,0,0,No Data,No Data
1179730051,2007-05-21T06:47:31Z,19.570440,84.722642,32.92,7.919551,0,0,No Data,No Data
1179730173,2007-05-21T06:49:33Z,19.568934,84.725440,33.132,8.257596,0,0,No Data,No Data
1179730240,2007-05-21T06:50:40Z,19.568180,84.727039,33.558,8.445146,0,0,No Data,No Data
1179730375,2007-05-21T06:52:55Z,19.566673,84.730236,30.293,8.820187,0,0,No Data,No Data
1179730457,2007-05-21T06:54:17Z,19.565920,84.732235,31.459,9.04607,0,0,No Data,No Data
1179730538,2007-05-21T06:55:38Z,19.565166,84.734234,32.33,9.271946,0,0,No Data,No Data
1179730626,2007-05-21T06:57:06Z,19.564036,84.736232,31.954,9.516444,0,0,No Data,No Data
1179730714,2007-05-21T06:58:34Z,19.562905,84.738230,31.673,9.76099,0,0,No Data,No Data
1179730802,2007-05-21T07:00:02Z,19.561774,84.740228,31.239,10.00552,0,0,No Data,No Data
1179730869,2007-05-21T07:01:09Z,19.561020,84.741826,32.343,10.19307,0,0,No Data,No Data
1179730937,2007-05-21T07:02:17Z,19.560266,84.743425,31.075,10.38066,0,0,No Data,No Data
1179731025,2007-05-21T07:03:45Z,19.559135,84.745423,30.056,10.62516,0,0,No Data,No Data
1179731147,2007-05-21T07:05:47Z,19.557627,84.748220,36.758,10.9632,0,0,No Data,No Data
1179731235,2007-05-21T07:07:15Z,19.556495,84.750217,40.492,11.20765,0,0,No Data,No Data
1179731299,2007-05-21T07:08:19Z,19.555365,84.751415,37.616,11.38548,0,0,No Data,No Data
1179731395,2007-05-21T07:09:55Z,19.553857,84.753412,31.862,11.65395,0,0,No Data,No Data
1179731567,2007-05-21T07:12:47Z,19.551218,84.757007,33.673,12.13199,0,0,No Data,No Data
1179731689,2007-05-21T07:14:49Z,19.549705,84.759794,38.667,12.46945,0,0,No Data,No Data
1179731856,2007-05-21T07:17:36Z,19.547796,84.763741,53.217,12.9349,0,0,No Data,No Data
1179731958,2007-05-21T07:19:18Z,19.546670,84.766145,90.025,13.21661,0,0,No Data,No Data
1179731991,2007-05-21T07:19:51Z,19.546288,84.766934,108.58,13.30969,0,0,No Data,No Data
1179732079,2007-05-21T07:21:19Z,19.545146,84.768903,110.799,13.55231,0,0,No Data,No Data
1179732142,2007-05-21T07:22:22Z,19.544010,84.770085,99.828,13.72943,0,0,No Data,No Data
1179732261,2007-05-21T07:24:21Z,19.542148,84.772531,60.574,14.0593,0,0,No Data,No Data
1179732379,2007-05-21T07:26:19Z,19.539873,84.774483,47.9,14.385,0,0,No Data,No Data
1179732475,2007-05-21T07:27:55Z,19.537986,84.776064,49.134,14.65268,0,0,No Data,No Data
1179732592,2007-05-21T07:29:52Z,19.535728,84.778059,60.922,14.97982,0,0,No Data,No Data
1179732732,2007-05-21T07:32:12Z,19.533094,84.780454,61.385,15.36603,0,0,No Data,No Data
1179732795,2007-05-21T07:33:15Z,19.531965,84.781653,59.99,15.54388,0,0,No Data,No Data
1179732829,2007-05-21T07:33:49Z,19.531212,84.782050,59.286,15.63746,0,0,No Data,No Data
1179732897,2007-05-21T07:34:57Z,19.529706,84.782843,53.824,15.82462,0,0,No Data,No Data
1179733005,2007-05-21T07:36:45Z,19.527447,84.784435,44.971,16.12649,0,0,No Data,No Data
1179733039,2007-05-21T07:37:19Z,19.526698,84.784852,42.57,16.22059,0,0,No Data,No Data
1179733149,2007-05-21T07:39:09Z,19.524455,84.786529,41.15,16.52609,0,0,No Data,No Data
1179733225,2007-05-21T07:40:25Z,19.522953,84.787757,39.297,16.73716,0,0,No Data,No Data
1179733258,2007-05-21T07:40:58Z,19.522573,84.788541,38.089,16.82962,0,0,No Data,No Data
1179733377,2007-05-21T07:42:57Z,19.520689,84.790939,32.657,17.15715,0,0,No Data,No Data
1179733441,2007-05-21T07:44:01Z,19.519924,84.792450,34.586,17.33717,0,0,No Data,No Data
1179733517,2007-05-21T07:45:17Z,19.518793,84.794038,36.379,17.54604,0,0,No Data,No Data
1179733580,2007-05-21T07:46:20Z,19.517663,84.795228,41.794,17.72332,0,0,No Data,No Data
1179733711,2007-05-21T07:48:31Z,19.515783,84.798068,47.153,18.08747,0,0,No Data,No Data
1179733781,2007-05-21T07:49:41Z,19.515035,84.799725,45.602,18.2803,0,0,No Data,No Data
1179733869,2007-05-21T07:51:09Z,19.513904,84.801724,44.663,18.52497,0,0,No Data,No Data
1179733946,2007-05-21T07:52:26Z,19.513526,84.803725,40.229,18.73912,0,0,No Data,No Data
1179734014,2007-05-21T07:53:34Z,19.514278,84.805328,35.925,18.92707,0,0,No Data,No Data
1179734068,2007-05-21T07:54:28Z,19.515408,84.806131,34.122,19.07855,0,0,No Data,No Data
1179734136,2007-05-21T07:55:36Z,19.516162,84.807750,32.215,19.26809,0,0,No Data,No Data
1179734225,2007-05-21T07:57:05Z,19.517292,84.809771,29.317,19.51473,0,0,No Data,No Data
1179734347,2007-05-21T07:59:07Z,19.518798,84.812580,26.581,19.85385,0,0,No Data,No Data
1179734443,2007-05-21T08:00:43Z,19.519550,84.814986,29.061,20.11987,0,0,No Data,No Data
1179734505,2007-05-21T08:01:45Z,19.519926,84.816587,31.885,20.2931,0,0,No Data,No Data
1179734581,2007-05-21T08:03:01Z,19.519925,84.818589,47.266,20.5032,0,0,No Data,No Data
1179734669,2007-05-21T08:04:29Z,19.521054,84.820592,28.783,20.74816,0,0,No Data,No Data
1179734775,2007-05-21T08:06:15Z,19.521052,84.823395,28.558,21.04228,0,0,No Data,No Data
1179734890,2007-05-21T08:08:10Z,19.522180,84.826199,24.645,21.36228,0,0,No Data,No Data
1179734972,2007-05-21T08:09:32Z,19.522933,84.828203,24.156,21.58867,0,0,No Data,No Data
1179735093,2007-05-21T08:11:33Z,19.522930,84.831406,28.135,21.92484,0,0,No Data,No Data
1179735174,2007-05-21T08:12:54Z,19.523683,84.833410,20.267,22.15127,0,0,No Data,No Data
1179735250,2007-05-21T08:14:10Z,19.523681,84.835412,20.293,22.36144,0,0,No Data,No Data
1179735357,2007-05-21T08:15:57Z,19.524056,84.838216,18.254,22.65865,0,0,No Data,No Data
1179735405,2007-05-21T08:16:45Z,19.524432,84.839417,20.379,22.79156,0,0,No Data,No Data
1179735495,2007-05-21T08:18:15Z,19.524430,84.841820,20.299,23.04371,0,0,No Data,No Data
1179735591,2007-05-21T08:19:51Z,19.525182,84.844223,19.287,23.30947,0,0,No Data,No Data
1179735697,2007-05-21T08:21:37Z,19.525180,84.847026,18.662,23.60361,0,0,No Data,No Data
1179735758,2007-05-21T08:22:38Z,19.525178,84.848627,18.416,23.77169,0,0,No Data,No Data
1179735850,2007-05-21T08:24:10Z,19.525553,84.851031,18.758,24.0274,0,0,No Data,No Data
1179735942,2007-05-21T08:25:42Z,19.525928,84.853435,18.742,24.2831,0,0,No Data,No Data
1179736052,2007-05-21T08:27:32Z,19.526680,84.856240,18.503,24.58914,0,0,No Data,No Data
1179736161,2007-05-21T08:29:21Z,19.528186,84.858646,16.934,24.89223,0,0,No Data,No Data
1179736229,2007-05-21T08:30:29Z,19.528938,84.860250,17.492,25.08025,0,0,No Data,No Data
1179736371,2007-05-21T08:32:51Z,19.530821,84.863458,18.687,25.47686,0,0,No Data,No Data
1179736447,2007-05-21T08:34:07Z,19.531950,84.865063,18.341,25.68708,0,0,No Data,No Data
1179736524,2007-05-21T08:35:24Z,19.532326,84.867067,17.791,25.90155,0,0,No Data,No Data
1179736640,2007-05-21T08:37:20Z,19.533454,84.869874,21.159,26.22185,0,0,No Data,No Data
1179736791,2007-05-21T08:39:51Z,19.533451,84.873883,18.34,26.64249,0,0,No Data,No Data
1179736867,2007-05-21T08:41:07Z,19.533449,84.875887,17.047,26.85278,0,0,No Data,No Data
1179737018,2007-05-21T08:43:38Z,19.533446,84.879895,15.108,27.27339,0,0,No Data,No Data
1179737064,2007-05-21T08:44:24Z,19.533445,84.881097,15.501,27.39957,0,0,No Data,No Data
1179737171,2007-05-21T08:46:11Z,19.533065,84.883900,16.565,27.69678,0,0,No Data,No Data
1179737263,2007-05-21T08:47:43Z,19.532685,84.886303,16.903,27.95247,0,0,No Data,No Data
1179737392,2007-05-21T08:49:52Z,19.531551,84.889505,16.138,28.31138,0,0,No Data,No Data
1179737469,2007-05-21T08:51:09Z,19.531172,84.891507,16.48,28.52567,0,0,No Data,No Data
1179737565,2007-05-21T08:52:45Z,19.530415,84.893908,16.692,28.7914,0,0,No Data,No Data
1179737672,2007-05-21T08:54:32Z,19.530035,84.896712,16.998,29.08868,0,0,No Data,No Data
1179737753,2007-05-21T08:55:53Z,19.529278,84.898714,15.938,29.31503,0,0,No Data,No Data
1179737801,2007-05-21T08:56:41Z,19.528900,84.899917,16.0,29.4481,0,0,No Data,No Data
1179737864,2007-05-21T08:57:44Z,19.528521,84.901521,15.961,29.62163,0,0,No Data,No Data
1179737939,2007-05-21T08:58:59Z,19.527388,84.903123,15.485,29.83175,0,0,No Data,No Data
1179738027,2007-05-21T09:00:27Z,19.526255,84.905125,14.646,30.0768,0,0,No Data,No Data
1179738090,2007-05-21T09:01:30Z,19.525876,84.906728,17.0,30.25023,0,0,No Data,No Data
1179738178,2007-05-21T09:02:58Z,19.524742,84.908730,15.691,30.49532,0,0,No Data,No Data
1179738254,2007-05-21T09:04:14Z,19.523609,84.910331,15.999,30.70542,0,0,No Data,No Data
1179738423,2007-05-21T09:07:03Z,19.521719,84.914338,15.026,31.17561,0,0,No Data,No Data
1179738453,2007-05-21T09:07:33Z,19.521718,84.915140,15.262,31.25986,0,0,No Data,No Data
1179738521,2007-05-21T09:08:41Z,19.520962,84.916744,13.623,31.44809,0,0,No Data,No Data
1179738585,2007-05-21T09:09:45Z,19.519829,84.917946,14.905,31.62648,0,0,No Data,No Data
1179738701,2007-05-21T09:11:41Z,19.518694,84.920752,15.53,31.94695,0,0,No Data,No Data
1179738765,2007-05-21T09:12:45Z,19.517561,84.921954,14.803,32.1253,0,0,No Data,No Data
1179738862,2007-05-21T09:14:22Z,19.516050,84.923957,15.437,32.39451,0,0,No Data,No Data
1179738930,2007-05-21T09:15:30Z,19.514540,84.924756,14.682,32.58233,0,0,No Data,No Data
1179738984,2007-05-21T09:16:24Z,19.513408,84.925557,15.0,32.73379,0,0,No Data,No Data
1179739048,2007-05-21T09:17:28Z,19.512275,84.926759,15.649,32.91218,0,0,No Data,No Data
1179739125,2007-05-21T09:18:45Z,19.510388,84.927156,16.247,33.12629,0,0,No Data,No Data
1179739201,2007-05-21T09:20:01Z,19.508878,84.928357,14.375,33.3364,0,0,No Data,No Data
1179739311,2007-05-21T09:21:51Z,19.506237,84.929154,14.523,33.64209,0,0,No Data,No Data
1179739392,2007-05-21T09:23:12Z,19.504350,84.929952,15.012,33.86827,0,0,No Data,No Data
1179739488,2007-05-21T09:24:48Z,19.502085,84.930750,14.995,34.13389,0,0,No Data,No Data
1179739563,2007-05-21T09:26:03Z,19.500200,84.930745,15.68,34.34374,0,0,No Data,No Data
1179739654,2007-05-21T09:27:34Z,19.497937,84.930740,15.423,34.59567,0,0,No Data,No Data
1179739775,2007-05-21T09:29:35Z,19.494919,84.930734,15.192,34.93157,0,0,No Data,No Data
1179739881,2007-05-21T09:31:21Z,19.492279,84.930729,16.908,35.2254,0,0,No Data,No Data
1179739958,2007-05-21T09:32:38Z,19.490394,84.930324,17.594,35.43945,0,0,No Data,No Data
1179740020,2007-05-21T09:33:40Z,19.488886,84.929920,17.881,35.61253,0,0,No Data,No Data
