UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,31.014482,75.797433,237.349,0,0,0,No Data,No Data
1179727340,2007-05-21T06:02:20Z,31.013412,75.801317,236.758,0.3892907,0,0,No Data,No Data
1179727456,2007-05-21T06:04:16Z,31.012296,75.804445,236.399,0.7125597,0,0,No Data,No Data
1179727573,2007-05-21T06:06:13Z,31.011181,75.807573,236.418,1.035784,0,0,No Data,No Data
1179727762,2007-05-21T06:09:22Z,31.010200,75.812967,235.95,1.561976,0,0,No Data,No Data
1179728002,2007-05-21T06:13:22Z,31.009309,75.819873,237.651,2.228416,0,0,No Data,No Data
1179728106,2007-05-21T06:15:06Z,31.009489,75.822896,237.715,2.517611,0,0,No Data,No Data
1179728132,2007-05-21T06:15:32Z,31.009534,75.823652,237.36,2.589941,0,0,No Data,No Data
1179728236,2007-05-21T06:17:16Z,31.009713,75.826674,237.299,2.879079,0,0,No Data,No Data
1179728366,2007-05-21T06:19:26Z,31.009938,75.830453,237.489,3.240611,0,0,No Data,No Data
1179728576,2007-05-21T06:22:56Z,31.010943,75.836446,237.855,3.823357,0,0,No Data,No Data
1179728774,2007-05-21T06:26:14Z,31.013200,75.841579,239.682,4.373909,0,0,No Data,No Data
1179728905,2007-05-21T06:28:25Z,31.013424,75.845358,239.876,4.735409,0,0,No Data,No Data
1179729035,2007-05-21T06:30:35Z,31.013648,75.849137,240.356,5.09687,0,0,No Data,No Data
1179729117,2007-05-21T06:31:57Z,31.014429,75.851352,239.804,5.325428,0,0,No Data,No Data
1179729233,2007-05-21T06:33:53Z,31.015903,75.854269,238.113,5.648622,0,0,No Data,No Data
1179729307,2007-05-21T06:35:07Z,31.017288,75.855676,238.952,5.853113,0,0,No Data,No Data
1179729459,2007-05-21T06:37:39Z,31.019454,75.859297,238.95,6.274498,0,0,No Data,No Data
1179729566,2007-05-21T06:39:26Z,31.020279,75.862267,240.537,6.572487,0,0,No Data,No Data
1179729788,2007-05-21T06:43:08Z,31.022579,75.868155,246.96,7.1899,0,0,No Data,No Data
1179729928,2007-05-21T06:45:28Z,31.024097,75.871829,249.438,7.579107,0,0,No Data,No Data
1179730061,2007-05-21T06:47:41Z,31.024969,75.875562,245.17,7.948286,0,0,No Data,No Data
1179730245,2007-05-21T06:50:45Z,31.025930,75.880803,239.273,8.459717,0,0,No Data,No Data
1179730429,2007-05-21T06:53:49Z,31.026889,75.886042,239.821,8.970858,0,0,No Data,No Data
1179730536,2007-05-21T06:55:36Z,31.027715,75.889013,241.776,9.268866,0,0,No Data,No Data
1179730693,2007-05-21T06:58:13Z,31.027982,75.893548,237.408,9.702582,0,0,No Data,No Data
1179730800,2007-05-21T07:00:00Z,31.027512,75.896624,239.951,10.00073,0,0,No Data,No Data
1179730940,2007-05-21T07:02:20Z,31.026439,75.900509,239.445,10.39019,0,0,No Data,No Data
1179731130,2007-05-21T07:05:30Z,31.025456,75.905906,239.088,10.91666,0,0,No Data,No Data
1179731340,2007-05-21T07:09:00Z,31.025163,75.912006,240.08,11.49958,0,0,No Data,No Data
1179731456,2007-05-21T07:10:56Z,31.024045,75.915134,239.145,11.82291,0,0,No Data,No Data
1179731563,2007-05-21T07:12:43Z,31.023575,75.918210,239.729,12.12099,0,0,No Data,No Data
1179731719,2007-05-21T07:15:19Z,31.023841,75.922746,240.571,12.5548,0,0,No Data,No Data
1179731852,2007-05-21T07:17:32Z,31.023415,75.926578,239.113,12.92349,0,0,No Data,No Data
1179732036,2007-05-21T07:20:36Z,31.023077,75.931922,241.386,13.43477,0,0,No Data,No Data
1179732153,2007-05-21T07:22:33Z,31.021958,75.935050,238.422,13.75812,0,0,No Data,No Data
1179732317,2007-05-21T07:25:17Z,31.020928,75.939687,243.639,14.21515,0,0,No Data,No Data
1179732557,2007-05-21T07:29:17Z,31.020029,75.946587,241.056,14.88106,0,0,No Data,No Data
1179732687,2007-05-21T07:31:27Z,31.018263,75.949766,240.828,15.24256,0,0,No Data,No Data
1179732862,2007-05-21T07:34:22Z,31.016585,75.954460,239.716,15.72786,0,0,No Data,No Data
1179733027,2007-05-21T07:37:07Z,31.015555,75.959109,242.713,16.18602,0,0,No Data,No Data
1179733109,2007-05-21T07:38:29Z,31.015040,75.961429,243.564,16.41471,0,0,No Data,No Data
1179733299,2007-05-21T07:41:39Z,31.014053,75.966825,242.576,16.9412,0,0,No Data,No Data
1179733403,2007-05-21T07:43:23Z,31.014229,75.969850,242.077,17.23053,0,0,No Data,No Data
1179733536,2007-05-21T07:45:36Z,31.013801,75.973682,242.562,17.59933,0,0,No Data,No Data
1179733666,2007-05-21T07:47:46Z,31.014021,75.977464,242.227,17.96106,0,0,No Data,No Data
1179733798,2007-05-21T07:49:58Z,31.013594,75.981297,241.313,18.32988,0,0,No Data,No Data
1179733955,2007-05-21T07:52:35Z,31.013857,75.985835,241.63,18.76391,0,0,No Data,No Data
1179734111,2007-05-21T07:55:11Z,31.014121,75.990373,244.497,19.19798,0,0,No Data,No Data
1179734293,2007-05-21T07:58:13Z,31.014429,75.995668,242.352,19.70444,0,0,No Data,No Data
1179734502,2007-05-21T08:01:42Z,31.014780,76.001720,245.162,20.28325,0,0,No Data,No Data
