UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,30.986457,75.670429,231.356,0,0,0,No Data,No Data
1179727348,2007-05-21T06:02:28Z,30.989255,75.673263,230.363,0.4126576,0,0,No Data,No Data
1179727583,2007-05-21T06:06:23Z,30.994667,75.675882,233.165,1.06501,0,0,No Data,No Data
1179727781,2007-05-21T06:09:41Z,30.998397,75.679661,231.923,1.615086,0,0,No Data,No Data
1179728126,2007-05-21T06:15:26Z,31.006483,75.683082,232.066,2.572693,0,0,No Data,No Data
1179728350,2007-05-21T06:19:10Z,31.011084,75.686790,234.111,3.195274,0,0,No Data,No Data
1179728554,2007-05-21T06:22:34Z,31.015623,75.689482,232.841,3.762186,0,0,No Data,No Data
1179728837,2007-05-21T06:27:17Z,31.021966,75.693047,240.869,4.546026,0,0,No Data,No Data
1179728963,2007-05-21T06:29:23Z,31.024701,75.694866,241.688,4.896577,0,0,No Data,No Data
1179729197,2007-05-21T06:33:17Z,31.030111,75.697486,241.12,5.548761,0,0,No Data,No Data
1179729422,2007-05-21T06:37:02Z,31.034711,75.701194,241.85,6.171291,0,0,No Data,No Data
1179729578,2007-05-21T06:39:38Z,31.038318,75.702942,238.539,6.606138,0,0,No Data,No Data
1179729875,2007-05-21T06:44:35Z,31.043911,75.708612,242.365,7.431009,0,0,No Data,No Data
1179730031,2007-05-21T06:47:11Z,31.045898,75.712536,248.478,7.865846,0,0,No Data,No Data
1179730176,2007-05-21T06:49:36Z,31.047014,75.716531,242.669,8.266697,0,0,No Data,No Data
1179730386,2007-05-21T06:53:06Z,31.047381,75.722631,241.533,8.849997,0,0,No Data,No Data
1179730526,2007-05-21T06:55:26Z,31.047625,75.726698,243.215,9.238875,0,0,No Data,No Data
1179730806,2007-05-21T07:00:06Z,31.048114,75.734831,243.28,10.01655,0,0,No Data,No Data
1179730981,2007-05-21T07:03:01Z,31.048419,75.739914,242.805,10.50263,0,0,No Data,No Data
1179731269,2007-05-21T07:07:49Z,31.047164,75.748190,240.736,11.30426,0,0,No Data,No Data
1179731426,2007-05-21T07:10:26Z,31.045666,75.752398,242.273,11.73895,0,0,No Data,No Data
1179731647,2007-05-21T07:14:07Z,31.044289,75.758640,244.202,12.35379,0,0,No Data,No Data
1179731860,2007-05-21T07:17:40Z,31.043783,75.764811,243.815,12.94511,0,0,No Data,No Data
1179732048,2007-05-21T07:20:48Z,31.042345,75.770035,247.666,13.46855,0,0,No Data,No Data
1179732303,2007-05-21T07:25:03Z,31.041028,75.777293,243.131,14.17627,0,0,No Data,No Data
1179732448,2007-05-21T07:27:28Z,31.040400,75.781431,244.764,14.57712,0,0,No Data,No Data
1179732651,2007-05-21T07:30:51Z,31.038090,75.786726,245.709,15.14387,0,0,No Data,No Data
1179732899,2007-05-21T07:34:59Z,31.037644,75.793912,245.079,15.8312,0,0,No Data,No Data
1179733154,2007-05-21T07:39:14Z,31.036326,75.801169,237.244,16.5389,0,0,No Data,No Data
1179733332,2007-05-21T07:42:12Z,31.035757,75.806322,238.304,17.03461,0,0,No Data,No Data
1179733580,2007-05-21T07:46:20Z,31.035309,75.813509,240.187,17.72203,0,0,No Data,No Data
1179733685,2007-05-21T07:48:05Z,31.035490,75.816558,239.129,18.01367,0,0,No Data,No Data
