YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,12.39,4.593752171,39.6
01-02-1961 00:00,12.64,4.593752171,14.2
01-03-1961 00:00,20.45,4.593752171,43.2
01-04-1961 00:00,25.44,4.593752171,4.2
01-05-1961 00:00,30.78,4.593752171,4.7
01-06-1961 00:00,33.01,4.593752171,26
01-07-1961 00:00,30.68,4.593752171,167.5
01-08-1961 00:00,29.4,4.593752171,126.8
01-09-1961 00:00,29.08,4.593752171,321.2
01-10-1961 00:00,23.99,4.593752171,0.5
01-11-1961 00:00,16.58,4.593752171,14.8
01-12-1961 00:00,11.21,4.593752171,6.7
01-01-1962 00:00,10.94,5.054018726,0.4
01-02-1962 00:00,15.26,5.054018726,14.5
01-03-1962 00:00,19.85,5.054018726,34.3
01-04-1962 00:00,27.02,5.054018726,3
01-05-1962 00:00,30.87,5.054018726,12.7
01-06-1962 00:00,33.1,5.054018726,31.3
01-07-1962 00:00,31.26,5.054018726,116.7
01-08-1962 00:00,29.89,5.054018726,199.4
01-09-1962 00:00,27.21,5.054018726,42.6
01-10-1962 00:00,23.27,5.054018726,0.6
01-11-1962 00:00,17.39,5.054018726,7
01-12-1962 00:00,12.44,5.054018726,13.6
01-01-1963 00:00,11.62,5.427993376,11
01-02-1963 00:00,16.52,5.427993376,5.7
01-03-1963 00:00,19.68,5.427993376,3.9
01-04-1963 00:00,25.44,5.427993376,5.2
01-05-1963 00:00,29.51,5.427993376,19.2
01-06-1963 00:00,33.27,5.427993376,10.2
01-07-1963 00:00,31.77,5.427993376,359.3
01-08-1963 00:00,29.4,5.427993376,189.8
01-09-1963 00:00,28.09,5.427993376,95
01-10-1963 00:00,25.27,5.427993376,0
01-11-1963 00:00,18.85,5.427993376,0
01-12-1963 00:00,13.12,5.427993376,9.6
01-01-1964 00:00,9.94,5.306952186,13.1
01-02-1964 00:00,13.94,5.306952186,23.9
01-03-1964 00:00,21.8,5.306952186,15.3
01-04-1964 00:00,26.79,5.306952186,21.3
01-05-1964 00:00,29.28,5.306952186,34.3
01-06-1964 00:00,32.63,5.306952186,1.6
01-07-1964 00:00,29.43,5.306952186,192.6
01-08-1964 00:00,29.71,5.306952186,91.6
01-09-1964 00:00,28.08,5.306952186,14.2
01-10-1964 00:00,24.04,5.306952186,10.4
01-11-1964 00:00,17.13,5.306952186,4.5
01-12-1964 00:00,12.83,5.306952186,0.5
01-01-1965 00:00,13.77,5.846793313,0.2
01-02-1965 00:00,14.64,5.846793313,38.9
01-03-1965 00:00,19.58,5.846793313,18.5
01-04-1965 00:00,23.54,5.846793313,3.6
01-05-1965 00:00,28.98,5.846793313,37.6
01-06-1965 00:00,33.5,5.846793313,85.1
01-07-1965 00:00,30.3,5.846793313,109.8
01-08-1965 00:00,29.22,5.846793313,200
01-09-1965 00:00,28.6,5.846793313,132.6
01-10-1965 00:00,24.83,5.846793313,9.5
01-11-1965 00:00,19.35,5.846793313,0
01-12-1965 00:00,12.33,5.846793313,2.3
01-01-1966 00:00,12.99,6.050896922,0.2
01-02-1966 00:00,16.76,6.050896922,13.1
01-03-1966 00:00,20.1,6.050896922,84.8
01-04-1966 00:00,25.49,6.050896922,1.8
01-05-1966 00:00,30.45,6.050896922,1.1
01-06-1966 00:00,32.27,6.050896922,14.7
01-07-1966 00:00,30.95,6.050896922,211.6
01-08-1966 00:00,29.57,6.050896922,197.8
01-09-1966 00:00,27.6,6.050896922,61.5
01-10-1966 00:00,24.09,6.050896922,14.2
01-11-1966 00:00,17.49,6.050896922,1.9
01-12-1966 00:00,12.32,6.050896922,77.6
01-01-1967 00:00,10.96,6.067561077,24.7
01-02-1967 00:00,16.63,6.067561077,30.5
01-03-1967 00:00,19.02,6.067561077,32.7
01-04-1967 00:00,25.05,6.067561077,2.1
01-05-1967 00:00,29.74,6.067561077,1.6
01-06-1967 00:00,33.51,6.067561077,42.6
01-07-1967 00:00,30.72,6.067561077,239.4
01-08-1967 00:00,29.11,6.067561077,142.1
01-09-1967 00:00,28.35,6.067561077,0.5
01-10-1967 00:00,23.5,6.067561077,11.7
01-11-1967 00:00,17.84,6.067561077,0.5
01-12-1967 00:00,13.15,6.067561077,7.8
01-01-1968 00:00,10.81,6.599393075,14.2
01-02-1968 00:00,12.9,6.599393075,21.7
01-03-1968 00:00,19.99,6.599393075,24.4
01-04-1968 00:00,25.83,6.599393075,12
01-05-1968 00:00,29.73,6.599393075,17.2
01-06-1968 00:00,33.32,6.599393075,10.8
01-07-1968 00:00,30.36,6.599393075,145.9
01-08-1968 00:00,29.52,6.599393075,122.9
01-09-1968 00:00,29.69,6.599393075,120.9
01-10-1968 00:00,23.48,6.599393075,1.1
01-11-1968 00:00,18.28,6.599393075,3.7
01-12-1968 00:00,13.34,6.599393075,0
