AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Punjab,1962,39.6,14.2,43.2,4.2,4.7,26.0,167.5,126.8,321.2,0.5,14.8,6.7
Punjab,1963,0.4,14.5,34.3,3.0,12.7,31.3,116.7,199.4,42.6,0.6,7.0,13.6
Punjab,1964,11.0,5.7,3.9,5.2,19.2,10.2,359.3,189.8,95.0,0.0,0.0,9.6
Punjab,1965,13.1,23.9,15.3,21.3,34.3,1.6,192.6,91.6,14.2,10.4,4.5,0.5
Punjab,1966,0.2,38.9,18.5,3.6,37.6,85.1,109.8,200.0,132.6,9.5,0.0,2.3
Punjab,1967,0.2,13.1,84.8,1.8,1.1,14.7,211.6,197.8,61.5,14.2,1.9,77.6
Punjab,1968,24.7,30.5,32.7,2.1,1.6,42.6,239.4,142.1,0.5,11.7,0.5,7.8
Punjab,1969,14.2,21.7,24.4,12.0,17.2,10.8,145.9,122.9,120.9,1.1,3.7,0.0
Punjab,1970,40.1,20.6,7.3,0.3,12.8,119.8,75.4,260.7,109.4,4.2,0.0,0.0
Punjab,1971,5.2,42.0,3.3,11.8,42.6,99.0,251.4,255.9,27.2,1.6,8.1,0.0
Punjab,1972,9.1,31.9,10.8,6.5,0.1,23.8,192.9,132.3,26.1,7.9,19.6,10.1
Punjab,1973,26.0,32.4,8.2,1.8,41.2,111.4,170.5,256.3,43.3,19.6,0.0,32.4
Punjab,1974,3.2,2.0,3.1,1.3,6.9,71.0,136.7,101.3,14.4,0.6,0.0,15.8
Punjab,1975,21.1,20.4,20.0,1.3,3.3,60.0,230.6,195.1,148.8,5.2,0.0,0.0
Punjab,1976,29.2,53.7,22.7,9.4,12.5,63.1,195.3,318.7,85.1,4.4,0.0,0.5
Punjab,1977,37.7,0.5,1.0,37.1,41.9,62.3,208.1,175.9,120.1,6.6,0.4,21.1
Punjab,1978,4.1,30.0,65.1,2.8,1.9,99.2,229.4,231.6,45.7,2.3,8.1,0.5
Punjab,1979,25.9,71.9,45.7,6.8,22.2,37.3,147.5,46.6,45.1,2.0,7.8,5.1
Punjab,1980,19.4,12.4,24.3,3.7,1.4,53.5,316.7,122.2,39.1,11.6,16.2,41.2
Punjab,1981,48.1,20.6,53.8,2.2,9.6,21.7,215.5,58.3,23.0,0.3,50.7,0.0
Punjab,1982,35.8,27.7,87.5,49.9,57.2,17.0,83.5,172.7,3.7,4.0,9.8,22.6
Punjab,1983,65.3,26.7,27.4,113.2,48.2,26.6,151.9,208.1,69.7,12.2,0.0,1.7
Punjab,1984,2.4,67.2,13.9,9.3,1.3,50.2,220.2,214.5,125.7,0.2,0.6,4.9
Punjab,1985,4.8,0.9,3.6,21.2,6.2,55.7,269.5,243.3,51.9,50.2,0.6,45.1
