Date,Temperature,State
1961-01-01 00:00:00,12.39,Punjab
1961-02-01 00:00:00,12.64,Punjab
1961-03-01 00:00:00,20.45,Punjab
1961-04-01 00:00:00,25.44,Punjab
1961-05-01 00:00:00,30.78,Punjab
1961-06-01 00:00:00,33.01,Punjab
1961-07-01 00:00:00,30.68,Punjab
1961-08-01 00:00:00,29.4,Punjab
1961-09-01 00:00:00,29.08,Punjab
1961-10-01 00:00:00,23.99,Punjab
1961-11-01 00:00:00,16.58,Punjab
1961-12-01 00:00:00,11.21,Punjab
1962-01-01 00:00:00,10.94,Punjab
1962-02-01 00:00:00,15.26,Punjab
1962-03-01 00:00:00,19.85,Punjab
1962-04-01 00:00:00,27.02,Punjab
1962-05-01 00:00:00,30.87,Punjab
1962-06-01 00:00:00,33.1,Punjab
1962-07-01 00:00:00,31.26,Punjab
1962-08-01 00:00:00,29.89,Punjab
1962-09-01 00:00:00,27.21,Punjab
1962-10-01 00:00:00,23.27,Punjab
1962-11-01 00:00:00,17.39,Punjab
1962-12-01 00:00:00,12.44,Punjab
1963-01-01 00:00:00,11.62,Punjab
1963-02-01 00:00:00,16.52,Punjab
1963-03-01 00:00:00,19.68,Punjab
1963-04-01 00:00:00,25.44,Punjab
1963-05-01 00:00:00,29.51,Punjab
1963-06-01 00:00:00,33.27,Punjab
1963-07-01 00:00:00,31.77,Punjab
1963-08-01 00:00:00,29.4,Punjab
1963-09-01 00:00:00,28.09,Punjab
1963-10-01 00:00:00,25.27,Punjab
1963-11-01 00:00:00,18.85,Punjab
1963-12-01 00:00:00,13.12,Punjab
1964-01-01 00:00:00,9.94,Punjab
1964-02-01 00:00:00,13.94,Punjab
1964-03-01 00:00:00,21.8,Punjab
1964-04-01 00:00:00,26.79,Punjab
1964-05-01 00:00:00,29.28,Punjab
1964-06-01 00:00:00,32.63,Punjab
1964-07-01 00:00:00,29.43,Punjab
1964-08-01 00:00:00,29.71,Punjab
1964-09-01 00:00:00,28.08,Punjab
1964-10-01 00:00:00,24.04,Punjab
1964-11-01 00:00:00,17.13,Punjab
1964-12-01 00:00:00,12.83,Punjab
1965-01-01 00:00:00,13.77,Punjab
1965-02-01 00:00:00,14.64,Punjab
1965-03-01 00:00:00,19.58,Punjab
1965-04-01 00:00:00,23.54,Punjab
1965-05-01 00:00:00,28.98,Punjab
1965-06-01 00:00:00,33.5,Punjab
1965-07-01 00:00:00,30.3,Punjab
1965-08-01 00:00:00,29.22,Punjab
1965-09-01 00:00:00,28.6,Punjab
1965-10-01 00:00:00,24.83,Punjab
1965-11-01 00:00:00,19.35,Punjab
1965-12-01 00:00:00,12.33,Punjab
1966-01-01 00:00:00,12.99,Punjab
1966-02-01 00:00:00,16.76,Punjab
1966-03-01 00:00:00,20.1,Punjab
1966-04-01 00:00:00,25.49,Punjab
1966-05-01 00:00:00,30.45,Punjab
1966-06-01 00:00:00,32.27,Punjab
1966-07-01 00:00:00,30.95,Punjab
1966-08-01 00:00:00,29.57,Punjab
1966-09-01 00:00:00,27.6,Punjab
1966-10-01 00:00:00,24.09,Punjab
1966-11-01 00:00:00,17.49,Punjab
1966-12-01 00:00:00,12.32,Punjab
1967-01-01 00:00:00,10.96,Punjab
1967-02-01 00:00:00,16.63,Punjab
1967-03-01 00:00:00,19.02,Punjab
1967-04-01 00:00:00,25.05,Punjab
1967-05-01 00:00:00,29.74,Punjab
1967-06-01 00:00:00,33.51,Punjab
1967-07-01 00:00:00,30.72,Punjab
1967-08-01 00:00:00,29.11,Punjab
1967-09-01 00:00:00,28.35,Punjab
1967-10-01 00:00:00,23.5,Punjab
1967-11-01 00:00:00,17.84,Punjab
1967-12-01 00:00:00,13.15,Punjab
1968-01-01 00:00:00,10.81,Punjab
1968-02-01 00:00:00,12.9,Punjab
1968-03-01 00:00:00,19.99,Punjab
1968-04-01 00:00:00,25.83,Punjab
1968-05-01 00:00:00,29.73,Punjab
1968-06-01 00:00:00,33.32,Punjab
1968-07-01 00:00:00,30.36,Punjab
1968-08-01 00:00:00,29.52,Punjab
1968-09-01 00:00:00,29.69,Punjab
1968-10-01 00:00:00,23.48,Punjab
1968-11-01 00:00:00,18.28,Punjab
1968-12-01 00:00:00,13.34,Punjab
