UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,24.396281,72.614119,215.473,0,0,0,No Data,No Data
1179727296,2007-05-21T06:01:36Z,24.397989,72.615985,212.075,0.2683219,0,0,No Data,No Data
1179727369,2007-05-21T06:02:49Z,24.399271,72.617384,214.242,0.4696002,0,0,No Data,No Data
1179727445,2007-05-21T06:04:05Z,24.400127,72.619253,216.847,0.6817715,0,0,No Data,No Data
1179727603,2007-05-21T06:06:43Z,24.402692,72.622519,219.011,1.119098,0,0,No Data,No Data
1179727688,2007-05-21T06:08:08Z,24.403975,72.624385,220.337,1.356278,0,0,No Data,No Data
1179727780,2007-05-21T06:09:40Z,24.404834,72.626721,221.212,1.611748,0,0,No Data,No Data
1179727851,2007-05-21T06:10:51Z,24.405265,72.628590,221.982,1.807309,0,0,No Data,No Data
1179727902,2007-05-21T06:11:42Z,24.405268,72.629993,223.675,1.949644,0,0,No Data,No Data
1179728059,2007-05-21T06:14:19Z,24.406131,72.634200,220.794,2.38688,0,0,No Data,No Data
1179728163,2007-05-21T06:16:03Z,24.406564,72.637004,222.406,2.675298,0,0,No Data,No Data
1179728265,2007-05-21T06:17:45Z,24.406572,72.639810,226.088,2.959803,0,0,No Data,No Data
1179728368,2007-05-21T06:19:28Z,24.406579,72.642615,225.21,3.244254,0,0,No Data,No Data
1179728487,2007-05-21T06:21:27Z,24.406587,72.645888,224.934,3.576145,0,0,No Data,No Data
1179728675,2007-05-21T06:24:35Z,24.406600,72.651031,226.238,4.097606,0,0,No Data,No Data
1179728805,2007-05-21T06:26:45Z,24.407886,72.654301,225.772,4.458751,0,0,No Data,No Data
1179728890,2007-05-21T06:28:10Z,24.407892,72.656638,228.023,4.695755,0,0,No Data,No Data
1179728977,2007-05-21T06:29:37Z,24.408323,72.658975,230.009,4.937541,0,0,No Data,No Data
1179729123,2007-05-21T06:32:03Z,24.409610,72.662712,231.983,5.342628,0,0,No Data,No Data
1179729231,2007-05-21T06:33:51Z,24.410468,72.665515,234.185,5.642459,0,0,No Data,No Data
1179729339,2007-05-21T06:35:39Z,24.411327,72.668317,230.615,5.942283,0,0,No Data,No Data
1179729409,2007-05-21T06:36:49Z,24.411757,72.670186,232.691,6.137812,0,0,No Data,No Data
1179729495,2007-05-21T06:38:15Z,24.413039,72.672054,232.172,6.37503,0,0,No Data,No Data
1179729604,2007-05-21T06:40:04Z,24.414747,72.674389,233.536,6.678787,0,0,No Data,No Data
1179729749,2007-05-21T06:42:29Z,24.417309,72.677191,234.288,7.081376,0,0,No Data,No Data
1179729894,2007-05-21T06:44:54Z,24.419870,72.679993,230.329,7.483912,0,0,No Data,No Data
1179730003,2007-05-21T06:46:43Z,24.421579,72.682327,231.58,7.787588,0,0,No Data,No Data
1179730112,2007-05-21T06:48:32Z,24.423287,72.684656,232.087,8.0908,0,0,No Data,No Data
1179730236,2007-05-21T06:50:36Z,24.424997,72.687455,228.123,8.432513,0,0,No Data,No Data
1179730321,2007-05-21T06:52:01Z,24.426278,72.689322,232.821,8.669547,0,0,No Data,No Data
1179730430,2007-05-21T06:53:50Z,24.427987,72.691655,234.402,8.973138,0,0,No Data,No Data
1179730479,2007-05-21T06:54:39Z,24.428841,72.692589,235.568,9.107343,0,0,No Data,No Data
1179730616,2007-05-21T06:56:56Z,24.430551,72.695859,234.969,9.489628,0,0,No Data,No Data
1179730708,2007-05-21T06:58:28Z,24.431408,72.698195,236.955,9.74496,0,0,No Data,No Data
1179730795,2007-05-21T06:59:55Z,24.431838,72.700532,238.793,9.986677,0,0,No Data,No Data
1179730887,2007-05-21T07:01:27Z,24.432695,72.702868,238.546,10.24202,0,0,No Data,No Data
1179730989,2007-05-21T07:03:09Z,24.432700,72.705673,240.954,10.52637,0,0,No Data,No Data
1179731060,2007-05-21T07:04:20Z,24.433130,72.707542,240.512,10.7218,0,0,No Data,No Data
1179731162,2007-05-21T07:06:02Z,24.433135,72.710344,243.729,11.00587,0,0,No Data,No Data
1179731299,2007-05-21T07:08:19Z,24.433143,72.714086,243.376,11.38523,0,0,No Data,No Data
1179731418,2007-05-21T07:10:18Z,24.433149,72.717361,244.293,11.71721,0,0,No Data,No Data
1179731556,2007-05-21T07:12:36Z,24.433158,72.721131,234.702,12.09935,0,0,No Data,No Data
1179731670,2007-05-21T07:14:30Z,24.435717,72.722515,233.979,12.41693,0,0,No Data,No Data
1179731766,2007-05-21T07:16:06Z,24.437421,72.724364,242.337,12.68372,0,0,No Data,No Data
1179731838,2007-05-21T07:17:18Z,24.438700,72.725751,245.661,12.88386,0,0,No Data,No Data
1179731900,2007-05-21T07:18:20Z,24.439555,72.727166,243.852,13.05609,0,0,No Data,No Data
1179731993,2007-05-21T07:19:53Z,24.440416,72.729533,239.0,13.31452,0,0,No Data,No Data
1179732042,2007-05-21T07:20:42Z,24.441270,72.730470,235.889,13.44901,0,0,No Data,No Data
1179732156,2007-05-21T07:22:36Z,24.442554,72.733282,240.811,13.76791,0,0,No Data,No Data
1179732303,2007-05-21T07:25:03Z,24.444689,72.736542,243.813,14.17499,0,0,No Data,No Data
1179732402,2007-05-21T07:26:42Z,24.445969,72.738872,245.106,14.45086,0,0,No Data,No Data
1179732464,2007-05-21T07:27:44Z,24.447248,72.739801,244.008,14.62165,0,0,No Data,No Data
1179732573,2007-05-21T07:29:33Z,24.449381,72.741666,244.0,14.92521,0,0,No Data,No Data
1179732658,2007-05-21T07:30:58Z,24.450661,72.743534,245.83,15.16225,0,0,No Data,No Data
1179732720,2007-05-21T07:32:00Z,24.451941,72.744469,246.909,15.33345,0,0,No Data,No Data
1179732792,2007-05-21T07:33:12Z,24.453221,72.745870,245.083,15.53471,0,0,No Data,No Data
1179732878,2007-05-21T07:34:38Z,24.454502,72.747735,248.542,15.77154,0,0,No Data,No Data
1179732950,2007-05-21T07:35:50Z,24.455781,72.749130,248.063,15.97226,0,0,No Data,No Data
1179733071,2007-05-21T07:37:51Z,24.457914,72.751465,247.521,16.3076,0,0,No Data,No Data
1179733156,2007-05-21T07:39:16Z,24.459196,72.753338,247.888,16.54511,0,0,No Data,No Data
1179733173,2007-05-21T07:39:33Z,24.459622,72.753338,246.366,16.59257,0,0,No Data,No Data
1179733270,2007-05-21T07:41:10Z,24.461329,72.755206,249.004,16.86082,0,0,No Data,No Data
1179733366,2007-05-21T07:42:46Z,24.463035,72.757074,249.65,17.12906,0,0,No Data,No Data
1179733415,2007-05-21T07:43:35Z,24.463889,72.758008,249.61,17.26327,0,0,No Data,No Data
1179733535,2007-05-21T07:45:35Z,24.466022,72.760343,251.09,17.59861,0,0,No Data,No Data
1179733612,2007-05-21T07:46:52Z,24.466877,72.762212,252.423,17.81062,0,0,No Data,No Data
1179733636,2007-05-21T07:47:16Z,24.467304,72.762679,252.879,17.87773,0,0,No Data,No Data
1179733732,2007-05-21T07:48:52Z,24.469010,72.764547,253.102,18.14599,0,0,No Data,No Data
1179733832,2007-05-21T07:50:32Z,24.470291,72.766883,252.99,18.42246,0,0,No Data,No Data
1179733908,2007-05-21T07:51:48Z,24.471146,72.768752,253.693,18.63453,0,0,No Data,No Data
1179734041,2007-05-21T07:54:01Z,24.473280,72.771556,254.407,19.00492,0,0,No Data,No Data
1179734114,2007-05-21T07:55:14Z,24.474560,72.772957,253.317,19.20613,0,0,No Data,No Data
1179734131,2007-05-21T07:55:31Z,24.474560,72.773424,251.956,19.25355,0,0,No Data,No Data
1179734269,2007-05-21T07:57:49Z,24.476268,72.776692,258.478,19.6355,0,0,No Data,No Data
1179734368,2007-05-21T07:59:28Z,24.477549,72.779030,259.921,19.91212,0,0,No Data,No Data
1179734465,2007-05-21T08:01:05Z,24.479256,72.780900,260.27,20.18059,0,0,No Data,No Data
1179734579,2007-05-21T08:02:59Z,24.480538,72.783705,262.711,20.49869,0,0,No Data,No Data
1179734679,2007-05-21T08:04:39Z,24.481819,72.786042,263.0,20.77521,0,0,No Data,No Data
1179734788,2007-05-21T08:06:28Z,24.483526,72.788380,262.332,21.079,0,0,No Data,No Data
1179734933,2007-05-21T08:08:53Z,24.486087,72.791186,259.706,21.48166,0,0,No Data,No Data
1179735030,2007-05-21T08:10:30Z,24.487794,72.793056,263.904,21.75006,0,0,No Data,No Data
1179735115,2007-05-21T08:11:55Z,24.489074,72.794926,265.721,21.98725,0,0,No Data,No Data
1179735177,2007-05-21T08:12:57Z,24.490352,72.795859,266.225,22.15818,0,0,No Data,No Data
1179735300,2007-05-21T08:15:00Z,24.492910,72.797725,267.759,22.50009,0,0,No Data,No Data
1179735349,2007-05-21T08:15:49Z,24.493766,72.798667,268.753,22.635,0,0,No Data,No Data
1179735479,2007-05-21T08:17:59Z,24.496754,72.800077,267.113,22.99706,0,0,No Data,No Data
1179735578,2007-05-21T08:19:38Z,24.498887,72.801482,263.45,23.27395,0,0,No Data,No Data
1179735701,2007-05-21T08:21:41Z,24.501445,72.803350,267.968,23.61594,0,0,No Data,No Data
1179735789,2007-05-21T08:23:09Z,24.503575,72.803814,266.3,23.85775,0,0,No Data,No Data
1179735865,2007-05-21T08:24:25Z,24.505280,72.804747,266.57,24.06982,0,0,No Data,No Data
1179735941,2007-05-21T08:25:41Z,24.506984,72.805679,274.255,24.28184,0,0,No Data,No Data
1179736041,2007-05-21T08:27:21Z,24.509115,72.807079,276.453,24.55834,0,0,No Data,No Data
1179736126,2007-05-21T08:28:46Z,24.510395,72.808947,276.562,24.79533,0,0,No Data,No Data
1179736196,2007-05-21T08:29:56Z,24.512098,72.808477,279.907,24.99087,0,0,No Data,No Data
1179736289,2007-05-21T08:31:29Z,24.514223,72.807529,281.861,25.2462,0,0,No Data,No Data
1179736388,2007-05-21T08:33:08Z,24.516345,72.806111,268.744,25.52277,0,0,No Data,No Data
1179736488,2007-05-21T08:34:48Z,24.517615,72.803758,266.869,25.79989,0,0,No Data,No Data
1179736564,2007-05-21T08:36:04Z,24.518461,72.801877,271.98,26.01242,0,0,No Data,No Data
1179736615,2007-05-21T08:36:55Z,24.518457,72.800469,277.351,26.15499,0,0,No Data,No Data
1179736724,2007-05-21T08:38:44Z,24.517599,72.797658,274.333,26.45523,0,0,No Data,No Data
1179736809,2007-05-21T08:40:09Z,24.516319,72.795788,277.606,26.69221,0,0,No Data,No Data
1179736894,2007-05-21T08:41:34Z,24.515039,72.793920,278.968,26.92899,0,0,No Data,No Data
1179737004,2007-05-21T08:43:24Z,24.513334,72.791586,275.005,27.23208,0,0,No Data,No Data
1179737076,2007-05-21T08:44:36Z,24.512056,72.790187,270.345,27.43281,0,0,No Data,No Data
1179737222,2007-05-21T08:47:02Z,24.509075,72.787860,268.953,27.83983,0,0,No Data,No Data
1179737284,2007-05-21T08:48:04Z,24.508221,72.786457,273.853,28.01073,0,0,No Data,No Data
1179737445,2007-05-21T08:50:45Z,24.504813,72.784127,268.99,28.45751,0,0,No Data,No Data
1179737517,2007-05-21T08:51:57Z,24.503533,72.782726,267.857,28.65852,0,0,No Data,No Data
1179737571,2007-05-21T08:52:51Z,24.503105,72.781322,264.712,28.8085,0,0,No Data,No Data
1179737685,2007-05-21T08:54:45Z,24.501822,72.778514,261.95,29.12671,0,0,No Data,No Data
1179737808,2007-05-21T08:56:48Z,24.500114,72.775709,262.341,29.46858,0,0,No Data,No Data
1179737894,2007-05-21T08:58:14Z,24.498834,72.773840,260.514,29.7055,0,0,No Data,No Data
1179738024,2007-05-21T09:00:24Z,24.497550,72.770565,259.638,30.0667,0,0,No Data,No Data
1179738078,2007-05-21T09:01:18Z,24.497121,72.769162,258.544,30.2166,0,0,No Data,No Data
1179738150,2007-05-21T09:02:30Z,24.495842,72.767762,256.76,30.41752,0,0,No Data,No Data
1179738288,2007-05-21T09:04:48Z,24.494134,72.764490,258.581,30.79965,0,0,No Data,No Data
1179738360,2007-05-21T09:06:00Z,24.492854,72.763090,259.1,31.00063,0,0,No Data,No Data
1179738445,2007-05-21T09:07:25Z,24.491574,72.761221,258.795,31.23752,0,0,No Data,No Data
1179738568,2007-05-21T09:09:28Z,24.489866,72.758418,261.176,31.5792,0,0,No Data,No Data
1179738678,2007-05-21T09:11:18Z,24.488159,72.756083,260.854,31.88255,0,0,No Data,No Data
1179738763,2007-05-21T09:12:43Z,24.486877,72.754210,255.651,32.11992,0,0,No Data,No Data
1179738878,2007-05-21T09:14:38Z,24.485591,72.751398,253.196,32.43869,0,0,No Data,No Data
1179738977,2007-05-21T09:16:17Z,24.484310,72.749061,252.85,32.71507,0,0,No Data,No Data
1179739077,2007-05-21T09:17:57Z,24.483028,72.746724,251.703,32.99151,0,0,No Data,No Data
1179739149,2007-05-21T09:19:09Z,24.481748,72.745323,251.902,33.19257,0,0,No Data,No Data
1179739258,2007-05-21T09:20:58Z,24.479616,72.743457,249.446,33.49596,0,0,No Data,No Data
1179739368,2007-05-21T09:22:48Z,24.477484,72.741591,251.017,33.79938,0,0,No Data,No Data
1179739477,2007-05-21T09:24:37Z,24.475775,72.739254,249.405,34.10307,0,0,No Data,No Data
1179739562,2007-05-21T09:26:02Z,24.474069,72.737853,248.46,34.34011,0,0,No Data,No Data
1179739709,2007-05-21T09:28:29Z,24.471083,72.735519,248.924,34.74797,0,0,No Data,No Data
1179739830,2007-05-21T09:30:30Z,24.468950,72.733185,246.528,35.08299,0,0,No Data,No Data
1179739926,2007-05-21T09:32:06Z,24.467244,72.731319,247.322,35.35097,0,0,No Data,No Data
1179740023,2007-05-21T09:33:43Z,24.465537,72.729451,250.191,35.61911,0,0,No Data,No Data
1179740099,2007-05-21T09:34:59Z,24.463829,72.728510,247.66,35.83178,0,0,No Data,No Data
1179740209,2007-05-21T09:36:49Z,24.461690,72.726625,246.995,36.13699,0,0,No Data,No Data
1179740319,2007-05-21T09:38:39Z,24.459552,72.724740,247.086,36.4421,0,0,No Data,No Data
1179740392,2007-05-21T09:39:52Z,24.458269,72.723328,246.923,36.64423,0,0,No Data,No Data
1179740484,2007-05-21T09:41:24Z,24.457407,72.720972,250.404,36.90143,0,0,No Data,No Data
1179740546,2007-05-21T09:42:26Z,24.456550,72.719561,268.453,37.07322,0,0,No Data,No Data
1179740632,2007-05-21T09:43:52Z,24.456540,72.717203,325.019,37.31213,0,0,No Data,No Data
1179740755,2007-05-21T09:45:55Z,24.455694,72.713971,254.042,37.65292,0,0,No Data,No Data
1179740874,2007-05-21T09:47:54Z,24.455272,72.710733,243.894,37.98438,0,0,No Data,No Data
1179740960,2007-05-21T09:49:20Z,24.454848,72.708417,242.774,38.22369,0,0,No Data,No Data
1179741045,2007-05-21T09:50:45Z,24.454846,72.706088,239.306,38.4597,0,0,No Data,No Data
1179741148,2007-05-21T09:52:28Z,24.454840,72.703282,239.927,38.74405,0,0,No Data,No Data
1179741250,2007-05-21T09:54:10Z,24.454835,72.700476,236.915,39.0284,0,0,No Data,No Data
1179741335,2007-05-21T09:55:35Z,24.454830,72.698137,236.187,39.26536,0,0,No Data,No Data
1179741438,2007-05-21T09:57:18Z,24.454824,72.695331,234.79,39.54966,0,0,No Data,No Data
1179741523,2007-05-21T09:58:43Z,24.454820,72.692993,234.408,39.78658,0,0,No Data,No Data
1179741625,2007-05-21T10:00:25Z,24.454814,72.690186,235.826,40.07095,0,0,No Data,No Data
1179741725,2007-05-21T10:02:05Z,24.453532,72.687854,235.659,40.34698,0,0,No Data,No Data
1179741793,2007-05-21T10:03:13Z,24.453528,72.685983,234.138,40.53657,0,0,No Data,No Data
1179741912,2007-05-21T10:05:12Z,24.453522,72.682708,232.283,40.86839,0,0,No Data,No Data
1179742020,2007-05-21T10:07:00Z,24.452664,72.679906,232.0,41.16795,0,0,No Data,No Data
1179742128,2007-05-21T10:08:48Z,24.451807,72.677103,232.404,41.46757,0,0,No Data,No Data
1179742227,2007-05-21T10:10:27Z,24.450525,72.674769,230.267,41.74372,0,0,No Data,No Data
1179742276,2007-05-21T10:11:16Z,24.449672,72.673837,230.393,41.87757,0,0,No Data,No Data
1179742423,2007-05-21T10:13:43Z,24.447534,72.670567,230.958,42.28553,0,0,No Data,No Data
1179742484,2007-05-21T10:14:44Z,24.446679,72.669165,230.983,42.45653,0,0,No Data,No Data
