YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,15.97,6.213351245,0.95
01-02-1961 00:00,17.1,6.213351245,0.85
01-03-1961 00:00,25.35,6.213351245,5.7
01-04-1961 00:00,28.93,6.213351245,2.2
01-05-1961 00:00,33.73,6.213351245,2.5
01-06-1961 00:00,33.07,6.213351245,4.2
01-07-1961 00:00,30.34,6.213351245,194.45
01-08-1961 00:00,29.5,6.213351245,119.05
01-09-1961 00:00,28.74,6.213351245,97.45
01-10-1961 00:00,25.99,6.213351245,0
01-11-1961 00:00,20.34,6.213351245,0.95
01-12-1961 00:00,15.07,6.213351245,4.95
01-01-1962 00:00,14.55,6.835891964,0.25
01-02-1962 00:00,19.44,6.835891964,1
01-03-1962 00:00,24.31,6.835891964,3.35
01-04-1962 00:00,30.33,6.835891964,2.1
01-05-1962 00:00,33.88,6.835891964,2.65
01-06-1962 00:00,33.88,6.835891964,19.75
01-07-1962 00:00,31.1,6.835891964,76.8
01-08-1962 00:00,29.66,6.835891964,190.15
01-09-1962 00:00,28.52,6.835891964,62.15
01-10-1962 00:00,25.37,6.835891964,5.9
01-11-1962 00:00,21.16,6.835891964,11.35
01-12-1962 00:00,16.79,6.835891964,0.6
01-01-1963 00:00,15.79,7.341717218,0.3
01-02-1963 00:00,20.89,7.341717218,0.15
01-03-1963 00:00,24.44,7.341717218,0.25
01-04-1963 00:00,29.51,7.341717218,0.25
01-05-1963 00:00,33.04,7.341717218,22.15
01-06-1963 00:00,34.09,7.341717218,33.7
01-07-1963 00:00,31.93,7.341717218,175
01-08-1963 00:00,29.54,7.341717218,215.05
01-09-1963 00:00,28.95,7.341717218,44.05
01-10-1963 00:00,27.65,7.341717218,0.1
01-11-1963 00:00,23.07,7.341717218,0
01-12-1963 00:00,17.38,7.341717218,0.8
01-01-1964 00:00,13.86,7.178001065,4.1
01-02-1964 00:00,18.71,7.178001065,2.75
01-03-1964 00:00,26.33,7.178001065,2.55
01-04-1964 00:00,31.09,7.178001065,2.9
01-05-1964 00:00,33.08,7.178001065,5.2
01-06-1964 00:00,33.03,7.178001065,6.5
01-07-1964 00:00,30.16,7.178001065,164.85
01-08-1964 00:00,29.36,7.178001065,79.45
01-09-1964 00:00,29.1,7.178001065,45.6
01-10-1964 00:00,26.34,7.178001065,5.6
01-11-1964 00:00,20.37,7.178001065,0.05
01-12-1964 00:00,16.47,7.178001065,0
01-01-1965 00:00,18.01,7.908171613,0.1
01-02-1965 00:00,19.3,7.908171613,7
01-03-1965 00:00,23.93,7.908171613,0.75
01-04-1965 00:00,27.66,7.908171613,0.05
01-05-1965 00:00,32.43,7.908171613,12.2
01-06-1965 00:00,34.02,7.908171613,54.85
01-07-1965 00:00,30.63,7.908171613,96.5
01-08-1965 00:00,29.42,7.908171613,123.85
01-09-1965 00:00,29.01,7.908171613,64.8
01-10-1965 00:00,27.91,7.908171613,1.2
01-11-1965 00:00,22.97,7.908171613,1.7
01-12-1965 00:00,16.22,7.908171613,0.1
01-01-1966 00:00,17.12,8.184235136,0
01-02-1966 00:00,21.34,8.184235136,0
01-03-1966 00:00,23.94,8.184235136,58.2
01-04-1966 00:00,29.25,8.184235136,1.75
01-05-1966 00:00,33.4,8.184235136,2.3
01-06-1966 00:00,33.23,8.184235136,56.25
01-07-1966 00:00,31.43,8.184235136,110.2
01-08-1966 00:00,28.99,8.184235136,173.45
01-09-1966 00:00,28.56,8.184235136,113.65
01-10-1966 00:00,27.47,8.184235136,2.2
01-11-1966 00:00,21.39,8.184235136,2.5
01-12-1966 00:00,15.85,8.184235136,29.7
01-01-1967 00:00,13.99,8.2067745,5.75
01-02-1967 00:00,20.81,8.2067745,3.85
01-03-1967 00:00,23.33,8.2067745,4.75
01-04-1967 00:00,28.37,8.2067745,0.05
01-05-1967 00:00,32.66,8.2067745,5.6
01-06-1967 00:00,33.5,8.2067745,2.8
01-07-1967 00:00,30.62,8.2067745,196.5
01-08-1967 00:00,28.61,8.2067745,102.9
01-09-1967 00:00,28.26,8.2067745,5.65
01-10-1967 00:00,26.25,8.2067745,2.8
01-11-1967 00:00,22.14,8.2067745,0
01-12-1967 00:00,17.12,8.2067745,0.1
01-01-1968 00:00,14.77,8.926112175,2.25
01-02-1968 00:00,17.05,8.926112175,1.15
01-03-1968 00:00,24.06,8.926112175,1.4
01-04-1968 00:00,29.09,8.926112175,1.45
01-05-1968 00:00,32.17,8.926112175,3.8
01-06-1968 00:00,34.5,8.926112175,9.85
01-07-1968 00:00,31.08,8.926112175,137.6
01-08-1968 00:00,29.27,8.926112175,151
01-09-1968 00:00,30.19,8.926112175,66.35
01-10-1968 00:00,26.67,8.926112175,0.55
01-11-1968 00:00,21.87,8.926112175,1.1
01-12-1968 00:00,16.83,8.926112175,0
01-01-1969 00:00,15.96,9.08755692,5.6
01-02-1969 00:00,18.86,9.08755692,21.85
01-03-1969 00:00,26.61,9.08755692,2
01-04-1969 00:00,29.96,9.08755692,0.15
01-05-1969 00:00,32.67,9.08755692,4.85
01-06-1969 00:00,34.45,9.08755692,62.3
01-07-1969 00:00,31.36,9.08755692,104.65
01-08-1969 00:00,29.39,9.08755692,240.85
01-09-1969 00:00,29.46,9.08755692,92.4
01-10-1969 00:00,27.83,9.08755692,2.4
01-11-1969 00:00,23.07,9.08755692,0
01-12-1969 00:00,17.82,9.08755692,0
01-01-1970 00:00,16.37,9.298099037,3.1
01-02-1970 00:00,18.45,9.298099037,0.55
01-03-1970 00:00,23.67,9.298099037,0.15
01-04-1970 00:00,30.73,9.298099037,1.15
01-05-1970 00:00,34.69,9.298099037,28.45
01-06-1970 00:00,33.25,9.298099037,120.6
01-07-1970 00:00,31.03,9.298099037,186.3
01-08-1970 00:00,29.4,9.298099037,100.7
01-09-1970 00:00,28.86,9.298099037,68.85
01-10-1970 00:00,27.45,9.298099037,7.9
01-11-1970 00:00,21.02,9.298099037,0.3
01-12-1970 00:00,17.15,9.298099037,0
01-01-1971 00:00,15.2,9.809166004,0.75
01-02-1971 00:00,19.06,9.809166004,2.6
01-03-1971 00:00,24.29,9.809166004,0
01-04-1971 00:00,31.32,9.809166004,1.75
01-05-1971 00:00,32.71,9.809166004,1.1
01-06-1971 00:00,32.36,9.809166004,53.7
01-07-1971 00:00,29.66,9.809166004,62.9
01-08-1971 00:00,28.89,9.809166004,181.15
01-09-1971 00:00,28.98,9.809166004,12.05
01-10-1971 00:00,26.4,9.809166004,1.9
01-11-1971 00:00,21.81,9.809166004,1.95
01-12-1971 00:00,17.37,9.809166004,0.25
01-01-1972 00:00,16.32,10.37998849,1.95
01-02-1972 00:00,16.06,10.37998849,1.8
01-03-1972 00:00,25.12,10.37998849,0.3
01-04-1972 00:00,28.89,10.37998849,0.05
01-05-1972 00:00,33.8,10.37998849,11.85
01-06-1972 00:00,34.31,10.37998849,25.95
01-07-1972 00:00,31.28,10.37998849,162.5
01-08-1972 00:00,29.61,10.37998849,346.1
01-09-1972 00:00,28.78,10.37998849,145.6
01-10-1972 00:00,26.74,10.37998849,3.55
01-11-1972 00:00,22.23,10.37998849,0
01-12-1972 00:00,17.53,10.37998849,1.85
01-01-1973 00:00,15.51,10.68942425,0
01-02-1973 00:00,20.32,10.68942425,0
01-03-1973 00:00,24.32,10.68942425,0.2
01-04-1973 00:00,31.26,10.68942425,0.6
01-05-1973 00:00,34.45,10.68942425,20.55
