AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Rajasthan,1962,0.95,0.85,5.7,2.2,2.5,4.2,194.45,119.05,97.45,0.0,0.95,4.95
Rajasthan,1963,0.25,1.0,3.35,2.1,2.65,19.75,76.8,190.15,62.15,5.9,11.35,0.6
Rajasthan,1964,0.3,0.15,0.25,0.25,22.15,33.7,175.0,215.05,44.05,0.1,0.0,0.8
Rajasthan,1965,4.1,2.75,2.55,2.9,5.2,6.5,164.85,79.45,45.6,5.6,0.05,0.0
Rajasthan,1966,0.1,7.0,0.75,0.05,12.2,54.85,96.5,123.85,64.8,1.2,1.7,0.1
Rajasthan,1967,0.0,0.0,58.2,1.75,2.3,56.25,110.2,173.45,113.65,2.2,2.5,29.7
Rajasthan,1968,5.75,3.85,4.75,0.05,5.6,2.8,196.5,102.9,5.65,2.8,0.0,0.1
Rajasthan,1969,2.25,1.15,1.4,1.45,3.8,9.85,137.6,151.0,66.35,0.55,1.1,0.0
Rajasthan,1970,5.6,21.85,2.0,0.15,4.85,62.3,104.65,240.85,92.4,2.4,0.0,0.0
Rajasthan,1971,3.1,0.55,0.15,1.15,28.45,120.6,186.3,100.7,68.85,7.9,0.3,0.0
Rajasthan,1972,0.75,2.6,0.0,1.75,1.1,53.7,62.9,181.15,12.05,1.9,1.95,0.25
Rajasthan,1973,1.95,1.8,0.3,0.05,11.85,25.95,162.5,346.1,145.6,3.55,0.0,1.85
Rajasthan,1974,0.0,0.0,0.2,0.6,20.55,25.9,192.45,91.95,12.6,41.85,0.0,2.0
Rajasthan,1975,1.15,0.4,1.1,0.15,2.5,71.95,227.8,231.6,154.55,34.4,0.05,0.25
Rajasthan,1976,6.45,5.55,0.25,1.7,11.2,65.25,147.4,240.85,109.8,0.15,31.65,0.0
Rajasthan,1977,9.45,1.45,0.1,5.65,15.3,102.05,270.65,137.1,94.35,0.65,1.3,0.3
Rajasthan,1978,0.2,10.95,4.25,3.9,0.0,58.0,259.15,161.85,39.65,3.05,9.25,3.15
Rajasthan,1979,4.75,25.65,2.25,0.8,24.05,33.3,162.55,100.8,15.7,6.95,32.8,2.2
