Date,Temperature,State
1961-01-01 00:00:00,15.97,Rajasthan
1961-02-01 00:00:00,17.1,Rajasthan
1961-03-01 00:00:00,25.35,Rajasthan
1961-04-01 00:00:00,28.93,Rajasthan
1961-05-01 00:00:00,33.73,Rajasthan
1961-06-01 00:00:00,33.07,Rajasthan
1961-07-01 00:00:00,30.34,Rajasthan
1961-08-01 00:00:00,29.5,Rajasthan
1961-09-01 00:00:00,28.74,Rajasthan
1961-10-01 00:00:00,25.99,Rajasthan
1961-11-01 00:00:00,20.34,Rajasthan
1961-12-01 00:00:00,15.07,Rajasthan
1962-01-01 00:00:00,14.55,Rajasthan
1962-02-01 00:00:00,19.44,Rajasthan
1962-03-01 00:00:00,24.31,Rajasthan
1962-04-01 00:00:00,30.33,Rajasthan
1962-05-01 00:00:00,33.88,Rajasthan
1962-06-01 00:00:00,33.88,Rajasthan
1962-07-01 00:00:00,31.1,Rajasthan
1962-08-01 00:00:00,29.66,Rajasthan
1962-09-01 00:00:00,28.52,Rajasthan
1962-10-01 00:00:00,25.37,Rajasthan
1962-11-01 00:00:00,21.16,Rajasthan
1962-12-01 00:00:00,16.79,Rajasthan
1963-01-01 00:00:00,15.79,Rajasthan
1963-02-01 00:00:00,20.89,Rajasthan
1963-03-01 00:00:00,24.44,Rajasthan
1963-04-01 00:00:00,29.51,Rajasthan
1963-05-01 00:00:00,33.04,Rajasthan
1963-06-01 00:00:00,34.09,Rajasthan
1963-07-01 00:00:00,31.93,Rajasthan
1963-08-01 00:00:00,29.54,Rajasthan
1963-09-01 00:00:00,28.95,Rajasthan
1963-10-01 00:00:00,27.65,Rajasthan
1963-11-01 00:00:00,23.07,Rajasthan
1963-12-01 00:00:00,17.38,Rajasthan
1964-01-01 00:00:00,13.86,Rajasthan
1964-02-01 00:00:00,18.71,Rajasthan
1964-03-01 00:00:00,26.33,Rajasthan
1964-04-01 00:00:00,31.09,Rajasthan
1964-05-01 00:00:00,33.08,Rajasthan
1964-06-01 00:00:00,33.03,Rajasthan
1964-07-01 00:00:00,30.16,Rajasthan
1964-08-01 00:00:00,29.36,Rajasthan
1964-09-01 00:00:00,29.1,Rajasthan
1964-10-01 00:00:00,26.34,Rajasthan
1964-11-01 00:00:00,20.37,Rajasthan
1964-12-01 00:00:00,16.47,Rajasthan
1965-01-01 00:00:00,18.01,Rajasthan
1965-02-01 00:00:00,19.3,Rajasthan
1965-03-01 00:00:00,23.93,Rajasthan
1965-04-01 00:00:00,27.66,Rajasthan
1965-05-01 00:00:00,32.43,Rajasthan
1965-06-01 00:00:00,34.02,Rajasthan
1965-07-01 00:00:00,30.63,Rajasthan
1965-08-01 00:00:00,29.42,Rajasthan
1965-09-01 00:00:00,29.01,Rajasthan
1965-10-01 00:00:00,27.91,Rajasthan
1965-11-01 00:00:00,22.97,Rajasthan
1965-12-01 00:00:00,16.22,Rajasthan
1966-01-01 00:00:00,17.12,Rajasthan
1966-02-01 00:00:00,21.34,Rajasthan
1966-03-01 00:00:00,23.94,Rajasthan
1966-04-01 00:00:00,29.25,Rajasthan
1966-05-01 00:00:00,33.4,Rajasthan
1966-06-01 00:00:00,33.23,Rajasthan
1966-07-01 00:00:00,31.43,Rajasthan
1966-08-01 00:00:00,28.99,Rajasthan
1966-09-01 00:00:00,28.56,Rajasthan
1966-10-01 00:00:00,27.47,Rajasthan
1966-11-01 00:00:00,21.39,Rajasthan
1966-12-01 00:00:00,15.85,Rajasthan
1967-01-01 00:00:00,13.99,Rajasthan
1967-02-01 00:00:00,20.81,Rajasthan
1967-03-01 00:00:00,23.33,Rajasthan
1967-04-01 00:00:00,28.37,Rajasthan
1967-05-01 00:00:00,32.66,Rajasthan
1967-06-01 00:00:00,33.5,Rajasthan
1967-07-01 00:00:00,30.62,Rajasthan
1967-08-01 00:00:00,28.61,Rajasthan
1967-09-01 00:00:00,28.26,Rajasthan
1967-10-01 00:00:00,26.25,Rajasthan
1967-11-01 00:00:00,22.14,Rajasthan
1967-12-01 00:00:00,17.12,Rajasthan
1968-01-01 00:00:00,14.77,Rajasthan
1968-02-01 00:00:00,17.05,Rajasthan
1968-03-01 00:00:00,24.06,Rajasthan
1968-04-01 00:00:00,29.09,Rajasthan
1968-05-01 00:00:00,32.17,Rajasthan
1968-06-01 00:00:00,34.5,Rajasthan
1968-07-01 00:00:00,31.08,Rajasthan
1968-08-01 00:00:00,29.27,Rajasthan
1968-09-01 00:00:00,30.19,Rajasthan
1968-10-01 00:00:00,26.67,Rajasthan
1968-11-01 00:00:00,21.87,Rajasthan
1968-12-01 00:00:00,16.83,Rajasthan
1969-01-01 00:00:00,15.96,Rajasthan
1969-02-01 00:00:00,18.86,Rajasthan
1969-03-01 00:00:00,26.61,Rajasthan
1969-04-01 00:00:00,29.96,Rajasthan
1969-05-01 00:00:00,32.67,Rajasthan
1969-06-01 00:00:00,34.45,Rajasthan
1969-07-01 00:00:00,31.36,Rajasthan
1969-08-01 00:00:00,29.39,Rajasthan
1969-09-01 00:00:00,29.46,Rajasthan
1969-10-01 00:00:00,27.83,Rajasthan
1969-11-01 00:00:00,23.07,Rajasthan
1969-12-01 00:00:00,17.82,Rajasthan
1970-01-01 00:00:00,16.37,Rajasthan
1970-02-01 00:00:00,18.45,Rajasthan
1970-03-01 00:00:00,23.67,Rajasthan
1970-04-01 00:00:00,30.73,Rajasthan
1970-05-01 00:00:00,34.69,Rajasthan
1970-06-01 00:00:00,33.25,Rajasthan
1970-07-01 00:00:00,31.03,Rajasthan
1970-08-01 00:00:00,29.4,Rajasthan
1970-09-01 00:00:00,28.86,Rajasthan
1970-10-01 00:00:00,27.45,Rajasthan
1970-11-01 00:00:00,21.02,Rajasthan
1970-12-01 00:00:00,17.15,Rajasthan
1971-01-01 00:00:00,15.2,Rajasthan
1971-02-01 00:00:00,19.06,Rajasthan
1971-03-01 00:00:00,24.29,Rajasthan
1971-04-01 00:00:00,31.32,Rajasthan
1971-05-01 00:00:00,32.71,Rajasthan
1971-06-01 00:00:00,32.36,Rajasthan
1971-07-01 00:00:00,29.66,Rajasthan
1971-08-01 00:00:00,28.89,Rajasthan
1971-09-01 00:00:00,28.98,Rajasthan
1971-10-01 00:00:00,26.4,Rajasthan
1971-11-01 00:00:00,21.81,Rajasthan
1971-12-01 00:00:00,17.37,Rajasthan
1972-01-01 00:00:00,16.32,Rajasthan
1972-02-01 00:00:00,16.06,Rajasthan
1972-03-01 00:00:00,25.12,Rajasthan
1972-04-01 00:00:00,28.89,Rajasthan
1972-05-01 00:00:00,33.8,Rajasthan
1972-06-01 00:00:00,34.31,Rajasthan
1972-07-01 00:00:00,31.28,Rajasthan
1972-08-01 00:00:00,29.61,Rajasthan
1972-09-01 00:00:00,28.78,Rajasthan
1972-10-01 00:00:00,26.74,Rajasthan
1972-11-01 00:00:00,22.23,Rajasthan
1972-12-01 00:00:00,17.53,Rajasthan
1973-01-01 00:00:00,15.51,Rajasthan
1973-02-01 00:00:00,20.32,Rajasthan
1973-03-01 00:00:00,24.32,Rajasthan
1973-04-01 00:00:00,31.26,Rajasthan
1973-05-01 00:00:00,34.45,Rajasthan
1973-06-01 00:00:00,33.84,Rajasthan
1973-07-01 00:00:00,30.57,Rajasthan
1973-08-01 00:00:00,28.81,Rajasthan
1973-09-01 00:00:00,28.9,Rajasthan
1973-10-01 00:00:00,26.47,Rajasthan
