UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.229729,88.500495,485.949,0,0,0,No Data,No Data
1179727228,2007-05-21T06:00:28Z,27.229030,88.500525,536.881,0.0778067,0,0,No Data,No Data
1179727269,2007-05-21T06:01:09Z,27.227998,88.500499,607.565,0.1926263,0,0,No Data,No Data
1179727318,2007-05-21T06:01:58Z,27.226800,88.500280,700.16,0.3277468,0,0,No Data,No Data
1179727338,2007-05-21T06:02:18Z,27.226292,88.500188,731.415,0.3849351,0,0,No Data,No Data
1179727383,2007-05-21T06:03:03Z,27.225200,88.500060,768.592,0.5070951,0,0,No Data,No Data
1179727420,2007-05-21T06:03:40Z,27.224272,88.499953,811.558,0.6109188,0,0,No Data,No Data
1179727469,2007-05-21T06:04:29Z,27.223052,88.499821,850.041,0.7473356,0,0,No Data,No Data
1179727495,2007-05-21T06:04:55Z,27.222523,88.499376,836.597,0.8207692,0,0,No Data,No Data
1179727524,2007-05-21T06:05:24Z,27.221845,88.499072,838.562,0.9019161,0,0,No Data,No Data
1179727541,2007-05-21T06:05:41Z,27.221454,88.498937,833.571,0.9473588,0,0,No Data,No Data
1179727575,2007-05-21T06:06:15Z,27.220685,88.498529,785.507,1.041907,0,0,No Data,No Data
1179727586,2007-05-21T06:06:26Z,27.220426,88.498390,770.613,1.073726,0,0,No Data,No Data
1179727625,2007-05-21T06:07:05Z,27.219494,88.498109,743.054,1.181105,0,0,No Data,No Data
1179727647,2007-05-21T06:07:27Z,27.218953,88.497962,738.411,1.242951,0,0,No Data,No Data
1179727669,2007-05-21T06:07:49Z,27.218396,88.497952,737.01,1.304881,0,0,No Data,No Data
1179727714,2007-05-21T06:08:34Z,27.217317,88.497662,715.607,1.428318,0,0,No Data,No Data
1179727758,2007-05-21T06:09:18Z,27.216229,88.497517,699.431,1.550217,0,0,No Data,No Data
1179727783,2007-05-21T06:09:43Z,27.215627,88.497311,645.802,1.620152,0,0,No Data,No Data
1179727809,2007-05-21T06:10:09Z,27.214993,88.497223,595.462,1.691253,0,0,No Data,No Data
