UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,22.495884,87.098614,52.256,0,0,0,No Data,No Data
1179727361,2007-05-21T06:02:41Z,22.492302,87.100576,49.235,0.4468698,0,0,No Data,No Data
1179727570,2007-05-21T06:06:10Z,22.489632,87.105447,50.441,1.029455,0,0,No Data,No Data
1179727754,2007-05-21T06:09:14Z,22.490550,87.110298,50.339,1.53889,0,0,No Data,No Data
1179727937,2007-05-21T06:12:17Z,22.491469,87.115150,56.579,2.048382,0,0,No Data,No Data
1179728156,2007-05-21T06:15:56Z,22.492390,87.120972,63.484,2.656065,0,0,No Data,No Data
1179728264,2007-05-21T06:17:44Z,22.492403,87.123886,58.758,2.955859,0,0,No Data,No Data
1179728483,2007-05-21T06:21:23Z,22.491530,87.129718,54.498,3.563574,0,0,No Data,No Data
1179728693,2007-05-21T06:24:53Z,22.488858,87.134587,58.19,4.146088,0,0,No Data,No Data
1179728923,2007-05-21T06:28:43Z,22.485290,87.139461,72.005,4.785708,0,0,No Data,No Data
1179729230,2007-05-21T06:33:50Z,22.482632,87.147243,65.453,5.639245,0,0,No Data,No Data
1179729310,2007-05-21T06:35:10Z,22.481742,87.149190,62.149,5.862702,0,0,No Data,No Data
1179729520,2007-05-21T06:38:40Z,22.479070,87.154058,60.886,6.445192,0,0,No Data,No Data
1179729859,2007-05-21T06:44:19Z,22.474616,87.161848,61.218,7.387621,0,0,No Data,No Data
1179730069,2007-05-21T06:47:49Z,22.471944,87.166717,70.959,7.970203,0,0,No Data,No Data
1179730171,2007-05-21T06:49:31Z,22.470158,87.168669,68.751,8.252745,0,0,No Data,No Data
1179730374,2007-05-21T06:52:54Z,22.466585,87.172571,62.823,8.817838,0,0,No Data,No Data
1179730535,2007-05-21T06:55:35Z,22.464807,87.176465,59.789,9.26467,0,0,No Data,No Data
1179730715,2007-05-21T06:58:35Z,22.462131,87.180363,57.763,9.76422,0,0,No Data,No Data
1179730943,2007-05-21T07:02:23Z,22.460360,87.186198,53.853,10.39613,0,0,No Data,No Data
1179731086,2007-05-21T07:04:46Z,22.460375,87.190082,55.648,10.7958,0,0,No Data,No Data
1179731270,2007-05-21T07:07:50Z,22.459497,87.194942,60.136,11.30529,0,0,No Data,No Data
1179731593,2007-05-21T07:13:13Z,22.459531,87.203681,68.366,12.20447,0,0,No Data,No Data
1179731881,2007-05-21T07:18:01Z,22.459561,87.211449,70.683,13.00378,0,0,No Data,No Data
1179732133,2007-05-21T07:22:13Z,22.459587,87.218247,70.805,13.70323,0,0,No Data,No Data
1179732385,2007-05-21T07:26:25Z,22.459613,87.225044,70.947,14.4026,0,0,No Data,No Data
1179732673,2007-05-21T07:31:13Z,22.459642,87.232814,61.41,15.20205,0,0,No Data,No Data
1179732856,2007-05-21T07:34:16Z,22.458763,87.237675,56.898,15.71166,0,0,No Data,No Data
1179733182,2007-05-21T07:39:42Z,22.457898,87.246421,55.368,16.61672,0,0,No Data,No Data
1179733362,2007-05-21T07:42:42Z,22.457916,87.251279,56.606,17.11656,0,0,No Data,No Data
1179733669,2007-05-21T07:47:49Z,22.455252,87.259062,64.88,17.97056,0,0,No Data,No Data
1179733783,2007-05-21T07:49:43Z,22.454365,87.261981,65.82,18.28677,0,0,No Data,No Data
1179734093,2007-05-21T07:54:53Z,22.449902,87.268804,67.565,19.14683,0,0,No Data,No Data
1179734352,2007-05-21T07:59:12Z,22.446332,87.274650,66.929,19.86782,0,0,No Data,No Data
1179734454,2007-05-21T08:00:54Z,22.444544,87.276603,59.734,20.15064,0,0,No Data,No Data
1179734744,2007-05-21T08:05:44Z,22.440977,87.283423,50.454,20.95694,0,0,No Data,No Data
1179734905,2007-05-21T08:08:25Z,22.439195,87.287319,49.279,21.40423,0,0,No Data,No Data
1179735085,2007-05-21T08:11:25Z,22.439211,87.292178,49.021,21.90429,0,0,No Data,No Data
1179735337,2007-05-21T08:15:37Z,22.439234,87.298982,48.919,22.60444,0,0,No Data,No Data
1179735589,2007-05-21T08:19:49Z,22.439256,87.305783,53.414,23.30432,0,0,No Data,No Data
1179735877,2007-05-21T08:24:37Z,22.439281,87.313553,57.695,24.10392,0,0,No Data,No Data
1179736165,2007-05-21T08:29:25Z,22.439306,87.321326,51.409,24.90379,0,0,No Data,No Data
1179736381,2007-05-21T08:33:01Z,22.439325,87.327161,41.406,25.50427,0,0,No Data,No Data
1179736489,2007-05-21T08:34:49Z,22.439334,87.330079,42.905,25.80457,0,0,No Data,No Data
1179736633,2007-05-21T08:37:13Z,22.439346,87.333969,36.452,26.20495,0,0,No Data,No Data
1179736886,2007-05-21T08:41:26Z,22.439367,87.340778,34.743,26.90564,0,0,No Data,No Data
1179737066,2007-05-21T08:44:26Z,22.439382,87.345641,33.801,27.4061,0,0,No Data,No Data
1179737318,2007-05-21T08:48:38Z,22.439402,87.352450,32.224,28.10679,0,0,No Data,No Data
1179737499,2007-05-21T08:51:39Z,22.439416,87.357314,31.089,28.60733,0,0,No Data,No Data
1179737751,2007-05-21T08:55:51Z,22.439437,87.364124,29.633,29.3081,0,0,No Data,No Data
1179737895,2007-05-21T08:58:15Z,22.439448,87.368015,31.28,29.7085,0,0,No Data,No Data
1179738111,2007-05-21T09:01:51Z,22.439465,87.373852,30.801,30.30913,0,0,No Data,No Data
1179738363,2007-05-21T09:06:03Z,22.439484,87.380662,32.762,31.00991,0,0,No Data,No Data
1179738580,2007-05-21T09:09:40Z,22.439500,87.386500,33.281,31.61072,0,0,No Data,No Data
1179738741,2007-05-21T09:12:21Z,22.441307,87.390387,38.033,32.05845,0,0,No Data,No Data
1179738855,2007-05-21T09:14:15Z,22.442213,87.393303,35.735,32.37506,0,0,No Data,No Data
1179739003,2007-05-21T09:16:43Z,22.443122,87.397193,33.688,32.78795,0,0,No Data,No Data
1179739152,2007-05-21T09:19:12Z,22.444030,87.401083,33.277,33.20083,0,0,No Data,No Data
1179739441,2007-05-21T09:24:01Z,22.444051,87.408870,30.605,34.00213,0,0,No Data,No Data
1179739635,2007-05-21T09:27:15Z,22.445861,87.413732,28.0,34.54155,0,0,No Data,No Data
1179739819,2007-05-21T09:30:19Z,22.446772,87.418598,26.914,35.05248,0,0,No Data,No Data
1179739967,2007-05-21T09:32:47Z,22.447680,87.422491,25.794,35.46563,0,0,No Data,No Data
1179740209,2007-05-21T09:36:49Z,22.450390,87.428325,24.527,36.13754,0,0,No Data,No Data
1179740440,2007-05-21T09:40:40Z,22.453996,87.433183,23.883,36.77872,0,0,No Data,No Data
1179740644,2007-05-21T09:44:04Z,22.457599,87.437070,22.0,37.34517,0,0,No Data,No Data
1179740984,2007-05-21T09:49:44Z,22.464798,87.441923,21.759,38.28953,0,0,No Data,No Data
1179741244,2007-05-21T09:54:04Z,22.470199,87.445807,20.256,39.01154,0,0,No Data,No Data
1179741397,2007-05-21T09:56:37Z,22.472902,87.448723,18.513,39.43655,0,0,No Data,No Data
1179741679,2007-05-21T10:01:19Z,22.477409,87.454558,18.53,40.219,0,0,No Data,No Data
1179741939,2007-05-21T10:05:39Z,22.481018,87.460395,18.802,40.94152,0,0,No Data,No Data
1179742100,2007-05-21T10:08:20Z,22.482825,87.464287,22.464,41.38968,0,0,No Data,No Data
1179742311,2007-05-21T10:11:51Z,22.485533,87.469153,16.662,41.97404,0,0,No Data,No Data
1179742455,2007-05-21T10:14:15Z,22.485543,87.473050,17.779,42.37494,0,0,No Data,No Data
1179742649,2007-05-21T10:17:29Z,22.487352,87.477918,17.092,42.91471,0,0,No Data,No Data
1179742877,2007-05-21T10:21:17Z,22.489163,87.483761,17.513,43.54871,0,0,No Data,No Data
1179743058,2007-05-21T10:24:18Z,22.491869,87.487653,19.486,44.04982,0,0,No Data,No Data
1179743219,2007-05-21T10:26:59Z,22.493676,87.491548,16.931,44.49818,0,0,No Data,No Data
1179743400,2007-05-21T10:30:00Z,22.496381,87.495441,17.839,44.99933,0,0,No Data,No Data
1179743740,2007-05-21T10:35:40Z,22.500894,87.503235,16.462,45.94549,0,0,No Data,No Data
1179743921,2007-05-21T10:38:41Z,22.503601,87.507131,15.779,46.44697,0,0,No Data,No Data
1179744203,2007-05-21T10:43:23Z,22.508109,87.512977,17.036,47.23024,0,0,No Data,No Data
1179744407,2007-05-21T10:46:47Z,22.511714,87.516873,16.985,47.79748,0,0,No Data,No Data
1179744560,2007-05-21T10:49:20Z,22.514418,87.519796,17.229,48.22299,0,0,No Data,No Data
1179744871,2007-05-21T10:54:31Z,22.520723,87.524666,14.626,49.08542,0,0,No Data,No Data
1179745126,2007-05-21T10:58:46Z,22.525231,87.529541,13.0,49.7949,0,0,No Data,No Data
1179745337,2007-05-21T11:02:17Z,22.527941,87.534419,14.304,50.38034,0,0,No Data,No Data
1179745439,2007-05-21T11:03:59Z,22.529744,87.536369,17.572,50.66418,0,0,No Data,No Data
1179745588,2007-05-21T11:06:28Z,22.530653,87.540273,16.402,51.07824,0,0,No Data,No Data
