UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.870269,87.857129,32.52,0,0,0,No Data,No Data
1179727250,2007-05-21T06:00:50Z,23.869870,87.858433,32.257,0.1400404,0,0,No Data,No Data
1179727314,2007-05-21T06:01:54Z,23.869668,87.860172,31.876,0.3185035,0,0,No Data,No Data
1179727468,2007-05-21T06:04:28Z,23.869066,87.864299,33.961,0.7440214,0,0,No Data,No Data
1179727572,2007-05-21T06:06:12Z,23.868863,87.867123,33.62,1.03251,0,0,No Data,No Data
1179727643,2007-05-21T06:07:23Z,23.868860,87.869079,35.764,1.231713,0,0,No Data,No Data
1179727699,2007-05-21T06:08:19Z,23.868857,87.870600,37.64,1.386636,0,0,No Data,No Data
1179727749,2007-05-21T06:09:09Z,23.869253,87.871905,36.684,1.526643,0,0,No Data,No Data
1179727807,2007-05-21T06:10:07Z,23.870045,87.873210,35.768,1.686188,0,0,No Data,No Data
1179727852,2007-05-21T06:10:52Z,23.870838,87.874081,34.899,1.811431,0,0,No Data,No Data
1179727897,2007-05-21T06:11:37Z,23.871632,87.874952,35.039,1.936717,0,0,No Data,No Data
1179727920,2007-05-21T06:12:00Z,23.872029,87.875388,35.031,1.999391,0,0,No Data,No Data
1179727973,2007-05-21T06:12:53Z,23.872623,87.876693,31.023,2.147889,0,0,No Data,No Data
1179728031,2007-05-21T06:13:51Z,23.873415,87.878000,31.741,2.307577,0,0,No Data,No Data
1179728059,2007-05-21T06:14:19Z,23.873812,87.878653,33.193,2.38746,0,0,No Data,No Data
1179728100,2007-05-21T06:15:00Z,23.874009,87.879740,33.76,2.500354,0,0,No Data,No Data
1179728153,2007-05-21T06:15:53Z,23.874603,87.881046,33.463,2.648962,0,0,No Data,No Data
1179728196,2007-05-21T06:16:36Z,23.874999,87.882135,34.563,2.768306,0,0,No Data,No Data
1179728220,2007-05-21T06:17:00Z,23.874998,87.882787,35.348,2.834714,0,0,No Data,No Data
1179728269,2007-05-21T06:17:49Z,23.874797,87.884091,34.204,2.969335,0,0,No Data,No Data
1179728337,2007-05-21T06:18:57Z,23.874198,87.885828,31.081,3.158325,0,0,No Data,No Data
1179728380,2007-05-21T06:19:40Z,23.873798,87.886913,31.116,3.277436,0,0,No Data,No Data
1179728458,2007-05-21T06:20:58Z,23.873000,87.888866,32.656,3.495281,0,0,No Data,No Data
1179728526,2007-05-21T06:22:06Z,23.872400,87.890603,35.124,3.684308,0,0,No Data,No Data
1179728566,2007-05-21T06:22:46Z,23.872399,87.891691,33.291,3.795111,0,0,No Data,No Data
1179728606,2007-05-21T06:23:26Z,23.871801,87.892559,34.173,3.905773,0,0,No Data,No Data
1179728646,2007-05-21T06:24:06Z,23.871799,87.893646,34.635,4.016537,0,0,No Data,No Data
1179728686,2007-05-21T06:24:46Z,23.871797,87.894734,34.262,4.127347,0,0,No Data,No Data
1179728734,2007-05-21T06:25:34Z,23.871795,87.896039,31.273,4.26025,0,0,No Data,No Data
1179728821,2007-05-21T06:27:01Z,23.871791,87.898431,32.719,4.503812,0,0,No Data,No Data
1179728854,2007-05-21T06:27:34Z,23.871988,87.899301,32.19,4.595145,0,0,No Data,No Data
1179728910,2007-05-21T06:28:30Z,23.872184,87.900824,30.375,4.751785,0,0,No Data,No Data
1179728964,2007-05-21T06:29:24Z,23.872778,87.902132,33.665,4.900528,0,0,No Data,No Data
1179729013,2007-05-21T06:30:13Z,23.872974,87.903438,31.75,5.035293,0,0,No Data,No Data
1179729055,2007-05-21T06:30:55Z,23.873370,87.904528,34.282,5.154741,0,0,No Data,No Data
1179729104,2007-05-21T06:31:44Z,23.873567,87.905833,36.56,5.289484,0,0,No Data,No Data
1179729168,2007-05-21T06:32:48Z,23.873563,87.907573,34.252,5.466721,0,0,No Data,No Data
1179729224,2007-05-21T06:33:44Z,23.873759,87.909097,32.145,5.623439,0,0,No Data,No Data
1179729264,2007-05-21T06:34:24Z,23.873757,87.910184,30.938,5.73419,0,0,No Data,No Data
1179729307,2007-05-21T06:35:07Z,23.874153,87.911273,31.935,5.853615,0,0,No Data,No Data
1179729343,2007-05-21T06:35:43Z,23.874549,87.912145,30.689,5.952815,0,0,No Data,No Data
1179729388,2007-05-21T06:36:28Z,23.875343,87.913021,31.368,6.078455,0,0,No Data,No Data
1179729428,2007-05-21T06:37:08Z,23.875938,87.913896,30.283,6.189537,0,0,No Data,No Data
1179729475,2007-05-21T06:37:55Z,23.876533,87.914988,32.287,6.319066,0,0,No Data,No Data
1179729532,2007-05-21T06:38:52Z,23.877327,87.916300,33.0,6.479302,0,0,No Data,No Data
1179729561,2007-05-21T06:39:21Z,23.877724,87.916955,31.763,6.55938,0,0,No Data,No Data
1179729594,2007-05-21T06:39:54Z,23.877921,87.917827,31.778,6.650858,0,0,No Data,No Data
1179729643,2007-05-21T06:40:43Z,23.878118,87.919133,33.248,6.78569,0,0,No Data,No Data
1179729707,2007-05-21T06:41:47Z,23.878313,87.920875,29.118,6.964462,0,0,No Data,No Data
1179729755,2007-05-21T06:42:35Z,23.878311,87.922182,29.381,7.097578,0,0,No Data,No Data
1179729827,2007-05-21T06:43:47Z,23.878307,87.924141,28.087,7.29709,0,0,No Data,No Data
1179729906,2007-05-21T06:45:06Z,23.878303,87.926318,31.214,7.518735,0,0,No Data,No Data
1179729994,2007-05-21T06:46:34Z,23.878299,87.928712,28.186,7.762482,0,0,No Data,No Data
1179730042,2007-05-21T06:47:22Z,23.878296,87.930017,29.13,7.895425,0,0,No Data,No Data
1179730098,2007-05-21T06:48:18Z,23.878293,87.931540,29.007,8.050533,0,0,No Data,No Data
1179730162,2007-05-21T06:49:22Z,23.878290,87.933280,30.003,8.227755,0,0,No Data,No Data
1179730234,2007-05-21T06:50:34Z,23.878286,87.935239,28.746,8.427193,0,0,No Data,No Data
1179730266,2007-05-21T06:51:06Z,23.878085,87.936107,29.913,8.51842,0,0,No Data,No Data
1179730330,2007-05-21T06:52:10Z,23.878081,87.937849,31.883,8.695795,0,0,No Data,No Data
1179730387,2007-05-21T06:53:07Z,23.877879,87.939371,29.353,8.85236,0,0,No Data,No Data
1179730452,2007-05-21T06:54:12Z,23.877478,87.941108,27.679,9.034744,0,0,No Data,No Data
1179730510,2007-05-21T06:55:10Z,23.877076,87.942626,26.773,9.195659,0,0,No Data,No Data
1179730584,2007-05-21T06:56:24Z,23.876674,87.944580,26.538,9.399536,0,0,No Data,No Data
1179730632,2007-05-21T06:57:12Z,23.876671,87.945886,24.094,9.53249,0,0,No Data,No Data
1179730664,2007-05-21T06:57:44Z,23.876670,87.946757,25.229,9.621181,0,0,No Data,No Data
1179730695,2007-05-21T06:58:15Z,23.876668,87.947629,27.002,9.70997,0,0,No Data,No Data
1179730751,2007-05-21T06:59:11Z,23.876665,87.949155,26.018,9.865338,0,0,No Data,No Data
1179730823,2007-05-21T07:00:23Z,23.876661,87.951117,26.659,10.06511,0,0,No Data,No Data
1179730882,2007-05-21T07:01:22Z,23.877056,87.952648,27.572,10.2271,0,0,No Data,No Data
1179730950,2007-05-21T07:02:30Z,23.877650,87.954399,23.851,10.41727,0,0,No Data,No Data
1179731024,2007-05-21T07:03:44Z,23.878044,87.956363,25.179,10.62203,0,0,No Data,No Data
1179731064,2007-05-21T07:04:24Z,23.878240,87.957447,26.054,10.73461,0,0,No Data,No Data
1179731082,2007-05-21T07:04:42Z,23.878439,87.957886,26.683,10.78455,0,0,No Data,No Data
1179731114,2007-05-21T07:05:14Z,23.878437,87.958758,27.242,10.87341,0,0,No Data,No Data
1179731175,2007-05-21T07:06:15Z,23.879031,87.960293,24.142,11.0432,0,0,No Data,No Data
1179731216,2007-05-21T07:06:56Z,23.879228,87.961387,23.888,11.15675,0,0,No Data,No Data
1179731240,2007-05-21T07:07:20Z,23.879227,87.962041,26.868,11.22339,0,0,No Data,No Data
1179731276,2007-05-21T07:07:56Z,23.879623,87.962914,27.958,11.32273,0,0,No Data,No Data
1179731326,2007-05-21T07:08:46Z,23.880018,87.964220,26.807,11.46288,0,0,No Data,No Data
1179731355,2007-05-21T07:09:15Z,23.880415,87.964875,24.871,11.54298,0,0,No Data,No Data
1179731379,2007-05-21T07:09:39Z,23.880414,87.965531,24.815,11.60984,0,0,No Data,No Data
1179731426,2007-05-21T07:10:26Z,23.881010,87.966632,25.983,11.74015,0,0,No Data,No Data
1179731483,2007-05-21T07:11:23Z,23.881205,87.968160,26.355,11.8973,0,0,No Data,No Data
1179731531,2007-05-21T07:12:11Z,23.881401,87.969464,24.88,12.0319,0,0,No Data,No Data
1179731587,2007-05-21T07:13:07Z,23.881398,87.970990,26.133,12.18729,0,0,No Data,No Data
1179731611,2007-05-21T07:13:31Z,23.881397,87.971644,25.35,12.25392,0,0,No Data,No Data
1179731679,2007-05-21T07:14:39Z,23.880796,87.973381,25.905,12.44306,0,0,No Data,No Data
1179731708,2007-05-21T07:15:08Z,23.880396,87.974031,25.956,12.52282,0,0,No Data,No Data
1179731769,2007-05-21T07:16:09Z,23.879795,87.975550,24.852,12.69132,0,0,No Data,No Data
1179731837,2007-05-21T07:17:17Z,23.879194,87.977286,25.297,12.88032,0,0,No Data,No Data
1179731854,2007-05-21T07:17:34Z,23.878993,87.977719,24.791,12.92977,0,0,No Data,No Data
1179731908,2007-05-21T07:18:28Z,23.878393,87.979020,24.987,13.07807,0,0,No Data,No Data
1179731956,2007-05-21T07:19:16Z,23.878191,87.980326,26.273,13.21293,0,0,No Data,No Data
1179731996,2007-05-21T07:19:56Z,23.877592,87.981190,26.889,13.32335,0,0,No Data,No Data
1179732037,2007-05-21T07:20:37Z,23.877390,87.982269,25.977,13.4355,0,0,No Data,No Data
1179732090,2007-05-21T07:21:30Z,23.876790,87.983567,25.81,13.58361,0,0,No Data,No Data
1179732131,2007-05-21T07:22:11Z,23.876588,87.984654,25.375,13.69661,0,0,No Data,No Data
1179732181,2007-05-21T07:23:01Z,23.876187,87.985957,23.999,13.83663,0,0,No Data,No Data
1179732214,2007-05-21T07:23:34Z,23.875986,87.986827,22.569,13.92798,0,0,No Data,No Data
1179732278,2007-05-21T07:24:38Z,23.875783,87.988568,25.282,14.10666,0,0,No Data,No Data
