UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,23.875908,87.828914,34.184,0,0,0,No Data,No Data
1179727233,2007-05-21T06:00:33Z,23.875907,87.829829,33.329,0.0931653,0,0,No Data,No Data
1179727280,2007-05-21T06:01:20Z,23.875627,87.831048,35.127,0.2211279,0,0,No Data,No Data
1179727369,2007-05-21T06:02:49Z,23.875624,87.833486,36.794,0.4693385,0,0,No Data,No Data
1179727429,2007-05-21T06:03:49Z,23.875064,87.835009,34.547,0.636505,0,0,No Data,No Data
1179727519,2007-05-21T06:05:19Z,23.874782,87.837447,31.385,0.8867339,0,0,No Data,No Data
1179727554,2007-05-21T06:05:54Z,23.874502,87.838361,33.672,0.9849172,0,0,No Data,No Data
1179727629,2007-05-21T06:07:09Z,23.873663,87.840190,36.362,1.193258,0,0,No Data,No Data
1179727665,2007-05-21T06:07:45Z,23.873383,87.841104,34.917,1.291456,0,0,No Data,No Data
1179727752,2007-05-21T06:09:12Z,23.871708,87.842627,34.702,1.533919,0,0,No Data,No Data
1179727808,2007-05-21T06:10:08Z,23.870593,87.843540,30.934,1.689028,0,0,No Data,No Data
1179727833,2007-05-21T06:10:33Z,23.870313,87.844149,30.886,1.758476,0,0,No Data,No Data
1179727889,2007-05-21T06:11:29Z,23.869476,87.845367,31.415,1.913651,0,0,No Data,No Data
1179727929,2007-05-21T06:12:09Z,23.868917,87.846281,32.075,2.025583,0,0,No Data,No Data
1179727989,2007-05-21T06:13:09Z,23.868358,87.847803,31.03,2.192616,0,0,No Data,No Data
1179728095,2007-05-21T06:14:55Z,23.866962,87.850238,31.098,2.48523,0,0,No Data,No Data
1179728155,2007-05-21T06:15:55Z,23.866403,87.851760,32.577,2.652259,0,0,No Data,No Data
1179728215,2007-05-21T06:16:55Z,23.865844,87.853283,36.914,2.819337,0,0,No Data,No Data
1179728265,2007-05-21T06:17:45Z,23.865285,87.854500,38.072,2.95804,0,0,No Data,No Data
1179728350,2007-05-21T06:19:10Z,23.864447,87.856631,36.341,3.194207,0,0,No Data,No Data
1179728431,2007-05-21T06:20:31Z,23.863887,87.858761,34.48,3.419887,0,0,No Data,No Data
1179728534,2007-05-21T06:22:14Z,23.863326,87.861500,34.618,3.705706,0,0,No Data,No Data
1179728594,2007-05-21T06:23:14Z,23.862767,87.863021,36.335,3.872635,0,0,No Data,No Data
1179728672,2007-05-21T06:24:32Z,23.862764,87.865153,34.384,4.0897,0,0,No Data,No Data
1179728740,2007-05-21T06:25:40Z,23.862482,87.866979,34.013,4.27827,0,0,No Data,No Data
1179728807,2007-05-21T06:26:47Z,23.862479,87.868806,32.035,4.464335,0,0,No Data,No Data
1179728852,2007-05-21T06:27:32Z,23.862477,87.870024,33.001,4.588382,0,0,No Data,No Data
1179728912,2007-05-21T06:28:32Z,23.863032,87.871547,33.182,4.755389,0,0,No Data,No Data
1179728991,2007-05-21T06:29:51Z,23.863306,87.873679,32.832,4.974686,0,0,No Data,No Data
1179729051,2007-05-21T06:30:51Z,23.863861,87.875203,33.568,5.14179,0,0,No Data,No Data
1179729122,2007-05-21T06:32:02Z,23.864414,87.877032,33.178,5.338021,0,0,No Data,No Data
1179729177,2007-05-21T06:32:57Z,23.865247,87.878253,32.326,5.493232,0,0,No Data,No Data
1179729238,2007-05-21T06:33:58Z,23.865802,87.879778,32.744,5.660408,0,0,No Data,No Data
1179729303,2007-05-21T06:35:03Z,23.866635,87.881303,33.818,5.841285,0,0,No Data,No Data
1179729359,2007-05-21T06:35:59Z,23.866632,87.882826,33.485,5.99643,0,0,No Data,No Data
1179729392,2007-05-21T06:36:32Z,23.866630,87.883741,33.403,6.089592,0,0,No Data,No Data
1179729426,2007-05-21T06:37:06Z,23.866629,87.884655,32.809,6.182651,0,0,No Data,No Data
1179729481,2007-05-21T06:38:01Z,23.866626,87.886178,31.96,6.337744,0,0,No Data,No Data
1179729537,2007-05-21T06:38:57Z,23.866624,87.887701,31.975,6.492874,0,0,No Data,No Data
1179729622,2007-05-21T06:40:22Z,23.865785,87.889828,31.337,6.728768,0,0,No Data,No Data
1179729739,2007-05-21T06:42:19Z,23.864944,87.892869,32.404,7.052246,0,0,No Data,No Data
1179729796,2007-05-21T06:43:16Z,23.864663,87.894390,34.814,7.210299,0,0,No Data,No Data
1179729852,2007-05-21T06:44:12Z,23.864382,87.895912,33.765,7.368392,0,0,No Data,No Data
1179729886,2007-05-21T06:44:46Z,23.864380,87.896825,31.798,7.461435,0,0,No Data,No Data
1179729975,2007-05-21T06:46:15Z,23.864376,87.899263,32.662,7.709657,0,0,No Data,No Data
1179730020,2007-05-21T06:47:00Z,23.864374,87.900482,32.0,7.833794,0,0,No Data,No Data
1179730076,2007-05-21T06:47:56Z,23.864371,87.902006,33.447,7.988958,0,0,No Data,No Data
1179730155,2007-05-21T06:49:15Z,23.864646,87.904139,32.948,8.208294,0,0,No Data,No Data
1179730222,2007-05-21T06:50:22Z,23.864642,87.905967,31.663,8.39448,0,0,No Data,No Data
1179730268,2007-05-21T06:51:08Z,23.864918,87.907188,31.675,8.522592,0,0,No Data,No Data
1179730364,2007-05-21T06:52:44Z,23.865749,87.909631,30.546,8.788005,0,0,No Data,No Data
1179730489,2007-05-21T06:54:49Z,23.867136,87.912686,29.984,9.135352,0,0,No Data,No Data
1179730563,2007-05-21T06:56:03Z,23.867968,87.914519,29.038,9.343806,0,0,No Data,No Data
1179730639,2007-05-21T06:57:19Z,23.868800,87.916353,30.581,9.552303,0,0,No Data,No Data
1179730699,2007-05-21T06:58:19Z,23.869355,87.917880,29.425,9.719658,0,0,No Data,No Data
1179730759,2007-05-21T06:59:19Z,23.869909,87.919407,27.468,9.886966,0,0,No Data,No Data
1179730859,2007-05-21T07:00:59Z,23.871019,87.921850,27.571,10.16478,0,0,No Data,No Data
1179730905,2007-05-21T07:01:45Z,23.871295,87.923071,27.936,10.29293,0,0,No Data,No Data
1179730966,2007-05-21T07:02:46Z,23.871850,87.924600,28.968,10.46044,0,0,No Data,No Data
1179731012,2007-05-21T07:03:32Z,23.872126,87.925823,29.097,10.58876,0,0,No Data,No Data
1179731058,2007-05-21T07:04:18Z,23.872402,87.927043,28.916,10.71677,0,0,No Data,No Data
1179731150,2007-05-21T07:05:50Z,23.872955,87.929483,27.38,10.97272,0,0,No Data,No Data
1179731206,2007-05-21T07:06:46Z,23.872952,87.931006,28.43,11.12785,0,0,No Data,No Data
1179731273,2007-05-21T07:07:53Z,23.872948,87.932835,29.65,11.31407,0,0,No Data,No Data
1179731318,2007-05-21T07:08:38Z,23.872946,87.934054,30.606,11.43817,0,0,No Data,No Data
1179731362,2007-05-21T07:09:22Z,23.872943,87.935273,31.183,11.56232,0,0,No Data,No Data
1179731463,2007-05-21T07:11:03Z,23.872938,87.938017,29.821,11.84175,0,0,No Data,No Data
1179731530,2007-05-21T07:12:10Z,23.872934,87.939847,28.904,12.02809,0,0,No Data,No Data
1179731597,2007-05-21T07:13:17Z,23.872930,87.941677,31.443,12.2144,0,0,No Data,No Data
1179731664,2007-05-21T07:14:24Z,23.872927,87.943506,31.208,12.40068,0,0,No Data,No Data
1179731720,2007-05-21T07:15:20Z,23.872924,87.945030,31.945,12.55593,0,0,No Data,No Data
1179731765,2007-05-21T07:16:05Z,23.872921,87.946250,31.248,12.68019,0,0,No Data,No Data
1179731809,2007-05-21T07:16:49Z,23.872919,87.947471,28.617,12.80453,0,0,No Data,No Data
1179731888,2007-05-21T07:18:08Z,23.872914,87.949607,26.971,13.02207,0,0,No Data,No Data
1179731944,2007-05-21T07:19:04Z,23.872911,87.951133,26.988,13.17752,0,0,No Data,No Data
1179732015,2007-05-21T07:20:15Z,23.873465,87.952969,26.367,13.37443,0,0,No Data,No Data
1179732070,2007-05-21T07:21:10Z,23.873462,87.954495,26.644,13.52988,0,0,No Data,No Data
1179732128,2007-05-21T07:22:08Z,23.873738,87.956024,27.619,13.68857,0,0,No Data,No Data
1179732185,2007-05-21T07:23:05Z,23.874013,87.957552,27.011,13.84713,0,0,No Data,No Data
1179732291,2007-05-21T07:24:51Z,23.874844,87.960303,27.932,14.14218,0,0,No Data,No Data
1179732373,2007-05-21T07:26:13Z,23.875397,87.962447,26.862,14.36904,0,0,No Data,No Data
1179732441,2007-05-21T07:27:21Z,23.875672,87.964283,27.007,14.55853,0,0,No Data,No Data
1179732520,2007-05-21T07:28:40Z,23.875947,87.966420,25.039,14.77826,0,0,No Data,No Data
1179732565,2007-05-21T07:29:25Z,23.875945,87.967643,24.008,14.90279,0,0,No Data,No Data
1179732666,2007-05-21T07:31:06Z,23.875938,87.970388,26.0,15.18229,0,0,No Data,No Data
1179732744,2007-05-21T07:32:24Z,23.875934,87.972525,26.378,15.39988,0,0,No Data,No Data
1179732834,2007-05-21T07:33:54Z,23.874813,87.974650,27.804,15.64961,0,0,No Data,No Data
1179732909,2007-05-21T07:35:09Z,23.873972,87.976472,27.124,15.8574,0,0,No Data,No Data
1179732955,2007-05-21T07:35:55Z,23.873691,87.977690,23.69,15.98531,0,0,No Data,No Data
1179733015,2007-05-21T07:36:55Z,23.873129,87.979210,24.0,16.15222,0,0,No Data,No Data
1179733075,2007-05-21T07:37:55Z,23.872568,87.980730,23.855,16.31913,0,0,No Data,No Data
1179733143,2007-05-21T07:39:03Z,23.872285,87.982559,24.725,16.50797,0,0,No Data,No Data
1179733235,2007-05-21T07:40:35Z,23.871722,87.984994,24.001,16.76374,0,0,No Data,No Data
1179733325,2007-05-21T07:42:05Z,23.871438,87.987433,24.92,17.01407,0,0,No Data,No Data
1179733392,2007-05-21T07:43:12Z,23.871434,87.989263,23.916,17.20046,0,0,No Data,No Data
1179733498,2007-05-21T07:44:58Z,23.870590,87.992001,27.518,17.49459,0,0,No Data,No Data
1179733610,2007-05-21T07:46:50Z,23.870583,87.995052,23.905,17.80523,0,0,No Data,No Data
1179733721,2007-05-21T07:48:41Z,23.870576,87.998103,23.969,18.1159,0,0,No Data,No Data
1179733811,2007-05-21T07:50:11Z,23.870570,88.000544,23.097,18.36448,0,0,No Data,No Data
1179733936,2007-05-21T07:52:16Z,23.871119,88.003910,22.202,18.71261,0,0,No Data,No Data
1179734007,2007-05-21T07:53:27Z,23.871673,88.005749,22.116,18.90977,0,0,No Data,No Data
1179734087,2007-05-21T07:54:47Z,23.873064,88.007294,22.923,19.13056,0,0,No Data,No Data
1179734178,2007-05-21T07:56:18Z,23.875014,88.008544,23.983,19.38222,0,0,No Data,No Data
1179734268,2007-05-21T07:57:48Z,23.877245,88.008880,22.066,19.63303,0,0,No Data,No Data
1179734357,2007-05-21T07:59:17Z,23.879479,88.008911,21.694,19.88177,0,0,No Data,No Data
1179734403,2007-05-21T08:00:03Z,23.880596,88.008621,22.31,20.00965,0,0,No Data,No Data
1179734459,2007-05-21T08:00:59Z,23.881716,88.007720,21.498,20.1644,0,0,No Data,No Data
1179734515,2007-05-21T08:01:55Z,23.882835,88.006819,21.0,20.31911,0,0,No Data,No Data
1179734570,2007-05-21T08:02:50Z,23.883955,88.005918,21.0,20.47389,0,0,No Data,No Data
1179734642,2007-05-21T08:04:02Z,23.885355,88.004714,22.426,20.67216,0,0,No Data,No Data
1179734745,2007-05-21T08:05:45Z,23.887035,88.002586,24.057,20.95832,0,0,No Data,No Data
1179734820,2007-05-21T08:07:00Z,23.887878,88.000765,24.082,21.16609,0,0,No Data,No Data
1179734885,2007-05-21T08:08:05Z,23.888720,87.999248,24.536,21.34669,0,0,No Data,No Data
1179734959,2007-05-21T08:09:19Z,23.889562,87.997423,23.044,21.55478,0,0,No Data,No Data
1179735101,2007-05-21T08:11:41Z,23.890687,87.993763,23.394,21.94785,0,0,No Data,No Data
1179735211,2007-05-21T08:13:31Z,23.891812,87.991023,22.377,22.25352,0,0,No Data,No Data
1179735363,2007-05-21T08:16:03Z,23.892940,87.987066,24.973,22.67541,0,0,No Data,No Data
1179735419,2007-05-21T08:16:59Z,23.893781,87.985854,26.963,22.8303,0,0,No Data,No Data
1179735475,2007-05-21T08:17:55Z,23.893784,87.984323,23.714,22.98607,0,0,No Data,No Data
1179735531,2007-05-21T08:18:51Z,23.893787,87.982792,23.487,23.14184,0,0,No Data,No Data
1179735610,2007-05-21T08:20:10Z,23.894070,87.980651,22.832,23.36203,0,0,No Data,No Data
1179735713,2007-05-21T08:21:53Z,23.894637,87.977915,26.656,23.64753,0,0,No Data,No Data
1179735780,2007-05-21T08:23:00Z,23.894640,87.976081,28.307,23.83415,0,0,No Data,No Data
1179735903,2007-05-21T08:25:03Z,23.894647,87.972719,23.686,24.17631,0,0,No Data,No Data
1179735959,2007-05-21T08:25:59Z,23.894651,87.971192,24.468,24.33165,0,0,No Data,No Data
1179736026,2007-05-21T08:27:06Z,23.894656,87.969362,25.903,24.51791,0,0,No Data,No Data
1179736105,2007-05-21T08:28:25Z,23.894660,87.967225,24.33,24.73539,0,0,No Data,No Data
1179736172,2007-05-21T08:29:32Z,23.894664,87.965391,23.964,24.92201,0,0,No Data,No Data
1179736243,2007-05-21T08:30:43Z,23.894108,87.963551,25.931,25.11915,0,0,No Data,No Data
1179736335,2007-05-21T08:32:15Z,23.893554,87.961101,25.858,25.37601,0,0,No Data,No Data
1179736381,2007-05-21T08:33:01Z,23.893277,87.959876,25.53,25.50445,0,0,No Data,No Data
1179736461,2007-05-21T08:34:21Z,23.893001,87.957735,24.591,25.72452,0,0,No Data,No Data
1179736578,2007-05-21T08:36:18Z,23.892168,87.954671,26.124,26.04981,0,0,No Data,No Data
1179736638,2007-05-21T08:37:18Z,23.891613,87.953139,27.219,26.21747,0,0,No Data,No Data
1179736709,2007-05-21T08:38:29Z,23.891057,87.951301,25.798,26.41447,0,0,No Data,No Data
1179736759,2007-05-21T08:39:19Z,23.890500,87.950074,26.893,26.55387,0,0,No Data,No Data
1179736806,2007-05-21T08:40:06Z,23.890223,87.948849,26.102,26.68229,0,0,No Data,No Data
1179736885,2007-05-21T08:41:25Z,23.889947,87.946707,26.26,26.90241,0,0,No Data,No Data
1179736966,2007-05-21T08:42:46Z,23.889392,87.944565,27.923,27.12897,0,0,No Data,No Data
1179737068,2007-05-21T08:44:28Z,23.889119,87.941816,27.84,27.41036,0,0,No Data,No Data
1179737123,2007-05-21T08:45:23Z,23.889122,87.940290,25.982,27.56561,0,0,No Data,No Data
1179737168,2007-05-21T08:46:08Z,23.889124,87.939069,26.834,27.68982,0,0,No Data,No Data
1179737202,2007-05-21T08:46:42Z,23.889126,87.938153,25.962,27.78304,0,0,No Data,No Data
1179737287,2007-05-21T08:48:07Z,23.889967,87.936019,28.494,28.0196,0,0,No Data,No Data
1179737337,2007-05-21T08:48:57Z,23.890529,87.934803,27.922,28.15828,0,0,No Data,No Data
1179737422,2007-05-21T08:50:22Z,23.891372,87.932673,26.902,28.39451,0,0,No Data,No Data
1179737522,2007-05-21T08:52:02Z,23.892495,87.930241,30.002,28.67184,0,0,No Data,No Data
1179737617,2007-05-21T08:53:37Z,23.893338,87.927803,31.105,28.93714,0,0,No Data,No Data
1179737667,2007-05-21T08:54:27Z,23.893899,87.926585,28.742,29.07598,0,0,No Data,No Data
1179737724,2007-05-21T08:55:24Z,23.894181,87.925059,30.894,29.2344,0,0,No Data,No Data
1179737780,2007-05-21T08:56:20Z,23.894184,87.923532,31.713,29.38979,0,0,No Data,No Data
1179737904,2007-05-21T08:58:24Z,23.894469,87.920174,28.579,29.73303,0,0,No Data,No Data
1179737974,2007-05-21T08:59:34Z,23.895032,87.918346,28.039,29.92934,0,0,No Data,No Data
1179738132,2007-05-21T09:02:12Z,23.895599,87.914075,26.938,30.36859,0,0,No Data,No Data
1179738256,2007-05-21T09:04:16Z,23.895885,87.910718,28.209,30.71174,0,0,No Data,No Data
1179738357,2007-05-21T09:05:57Z,23.895889,87.907970,28.106,30.99142,0,0,No Data,No Data
1179738413,2007-05-21T09:06:53Z,23.895892,87.906443,28.541,31.14678,0,0,No Data,No Data
1179738485,2007-05-21T09:08:05Z,23.894776,87.904910,29.547,31.3461,0,0,No Data,No Data
1179738588,2007-05-21T09:09:48Z,23.893103,87.902765,31.668,31.63302,0,0,No Data,No Data
1179738619,2007-05-21T09:10:19Z,23.892545,87.902152,31.944,31.72099,0,0,No Data,No Data
1179738741,2007-05-21T09:12:21Z,23.890873,87.899396,28.772,32.05763,0,0,No Data,No Data
1179738811,2007-05-21T09:13:31Z,23.890317,87.897561,29.62,32.25435,0,0,No Data,No Data
1179738867,2007-05-21T09:14:27Z,23.889480,87.896336,29.753,32.40993,0,0,No Data,No Data
1179738946,2007-05-21T09:15:46Z,23.889484,87.894200,30.212,32.62729,0,0,No Data,No Data
1179739006,2007-05-21T09:16:46Z,23.888928,87.892672,30.375,32.79463,0,0,No Data,No Data
1179739085,2007-05-21T09:18:05Z,23.888652,87.890535,29.7,33.01423,0,0,No Data,No Data
1179739163,2007-05-21T09:19:23Z,23.888655,87.888398,28.965,33.2317,0,0,No Data,No Data
1179739264,2007-05-21T09:21:04Z,23.888659,87.885651,29.306,33.51125,0,0,No Data,No Data
1179739353,2007-05-21T09:22:33Z,23.888662,87.883210,29.337,33.7597,0,0,No Data,No Data
1179739510,2007-05-21T09:25:10Z,23.888671,87.878941,30.244,34.19421,0,0,No Data,No Data
1179739633,2007-05-21T09:27:13Z,23.888677,87.875585,30.001,34.53577,0,0,No Data,No Data
1179739778,2007-05-21T09:29:38Z,23.888683,87.871618,30.454,34.93948,0,0,No Data,No Data
1179739812,2007-05-21T09:30:12Z,23.888684,87.870703,31.066,35.03256,0,0,No Data,No Data
1179739856,2007-05-21T09:30:56Z,23.888686,87.869483,31.161,35.15674,0,0,No Data,No Data
1179739947,2007-05-21T09:32:27Z,23.888969,87.867042,31.763,35.40711,0,0,No Data,No Data
1179740037,2007-05-21T09:33:57Z,23.889252,87.864602,31.012,35.65738,0,0,No Data,No Data
1179740081,2007-05-21T09:34:41Z,23.889254,87.863382,31.053,35.7815,0,0,No Data,No Data
1179740115,2007-05-21T09:35:15Z,23.889256,87.862467,30.25,35.8746,0,0,No Data,No Data
1179740162,2007-05-21T09:36:02Z,23.888419,87.861550,31.029,36.00643,0,0,No Data,No Data
1179740218,2007-05-21T09:36:58Z,23.887583,87.860328,32.445,36.16171,0,0,No Data,No Data
1179740308,2007-05-21T09:38:28Z,23.886469,87.858191,32.96,36.41205,0,0,No Data,No Data
1179740364,2007-05-21T09:39:24Z,23.885634,87.856969,32.484,36.56727,0,0,No Data,No Data
1179740410,2007-05-21T09:40:10Z,23.885357,87.855749,32.828,36.6952,0,0,No Data,No Data
