YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,16.9,5.370421076,11.3
01-02-1961 00:00,17.33,5.370421076,57.35
01-03-1961 00:00,24.36,5.370421076,13.2
01-04-1961 00:00,27.37,5.370421076,26.45
01-05-1961 00:00,28.37,5.370421076,185.2
01-06-1961 00:00,27.47,5.370421076,361.65
01-07-1961 00:00,26.92,5.370421076,310.15
01-08-1961 00:00,26.99,5.370421076,397.4
01-09-1961 00:00,26.38,5.370421076,316.2
01-10-1961 00:00,24.36,5.370421076,114.25
01-11-1961 00:00,19.56,5.370421076,1.45
01-12-1961 00:00,14.78,5.370421076,2.75
01-01-1962 00:00,14.99,5.908505222,20.9
01-02-1962 00:00,18.77,5.908505222,17.4
01-03-1962 00:00,23.15,5.908505222,10.2
01-04-1962 00:00,26.68,5.908505222,55.85
01-05-1962 00:00,27.5,5.908505222,199.5
01-06-1962 00:00,27.49,5.908505222,361.35
01-07-1962 00:00,27.46,5.908505222,378.85
01-08-1962 00:00,26.52,5.908505222,436.25
01-09-1962 00:00,26.57,5.908505222,256.55
01-10-1962 00:00,23.83,5.908505222,109.2
01-11-1962 00:00,20.3,5.908505222,0.2
01-12-1962 00:00,16.83,5.908505222,1.35
01-01-1963 00:00,15.39,6.345708029,1.25
01-02-1963 00:00,19.87,6.345708029,1.55
01-03-1963 00:00,23.12,6.345708029,18.95
01-04-1963 00:00,25.73,6.345708029,82.75
01-05-1963 00:00,26.63,6.345708029,213.6
01-06-1963 00:00,27.46,6.345708029,334.1
01-07-1963 00:00,26.97,6.345708029,476.85
01-08-1963 00:00,26.94,6.345708029,389.5
01-09-1963 00:00,26.7,6.345708029,269.3
01-10-1963 00:00,24.63,6.345708029,142
01-11-1963 00:00,20.91,6.345708029,15.6
01-12-1963 00:00,17.31,6.345708029,1.75
01-01-1964 00:00,16.25,6.204202319,1.35
01-02-1964 00:00,19.25,6.204202319,6.15
01-03-1964 00:00,24.51,6.204202319,13.7
01-04-1964 00:00,26.62,6.204202319,92.65
01-05-1964 00:00,27.27,6.204202319,134.7
01-06-1964 00:00,28.22,6.204202319,374.7
01-07-1964 00:00,26.26,6.204202319,681.65
01-08-1964 00:00,26.83,6.204202319,328.45
01-09-1964 00:00,26.61,6.204202319,353.35
01-10-1964 00:00,25.11,6.204202319,137.5
01-11-1964 00:00,20.95,6.204202319,5.7
01-12-1964 00:00,17.25,6.204202319,0.05
01-01-1965 00:00,16.65,6.835314764,0.25
01-02-1965 00:00,18.69,6.835314764,27.95
01-03-1965 00:00,22.11,6.835314764,47.35
01-04-1965 00:00,26.09,6.835314764,51.15
01-05-1965 00:00,28.25,6.835314764,138.85
01-06-1965 00:00,28.34,6.835314764,336.1
01-07-1965 00:00,26.6,6.835314764,493.6
01-08-1965 00:00,26.27,6.835314764,558.6
01-09-1965 00:00,26.28,6.835314764,283
01-10-1965 00:00,24.33,6.835314764,59.8
01-11-1965 00:00,20.77,6.835314764,16.5
01-12-1965 00:00,16.71,6.835314764,0.2
01-01-1966 00:00,15.95,7.073926314,31.3
01-02-1966 00:00,20.2,7.073926314,6
01-03-1966 00:00,23.74,7.073926314,4.05
01-04-1966 00:00,27.49,7.073926314,34.9
01-05-1966 00:00,29.05,7.073926314,137.55
01-06-1966 00:00,27.78,7.073926314,291.75
01-07-1966 00:00,27.37,7.073926314,455.1
01-08-1966 00:00,26.9,7.073926314,459.7
01-09-1966 00:00,26.43,7.073926314,272.25
01-10-1966 00:00,23.98,7.073926314,92.9
01-11-1966 00:00,21.6,7.073926314,26.5
01-12-1966 00:00,16.8,7.073926314,5.05
01-01-1967 00:00,16.41,7.093407889,27.4
01-02-1967 00:00,19.75,7.093407889,1.7
01-03-1967 00:00,22.2,7.093407889,71.85
01-04-1967 00:00,25.27,7.093407889,75.3
01-05-1967 00:00,27.92,7.093407889,133.35
01-06-1967 00:00,28.24,7.093407889,429.55
01-07-1967 00:00,27.18,7.093407889,574.7
01-08-1967 00:00,26.73,7.093407889,321.45
01-09-1967 00:00,26.32,7.093407889,367.8
01-10-1967 00:00,24.07,7.093407889,90.5
01-11-1967 00:00,19.7,7.093407889,4.6
01-12-1967 00:00,17.93,7.093407889,6.25
01-01-1968 00:00,15.84,7.715157097,16
01-02-1968 00:00,17.97,7.715157097,6.15
01-03-1968 00:00,23.34,7.715157097,21
01-04-1968 00:00,26.21,7.715157097,51.7
01-05-1968 00:00,28.27,7.715157097,136.4
01-06-1968 00:00,26.51,7.715157097,507.75
01-07-1968 00:00,26.71,7.715157097,622.9
01-08-1968 00:00,26.74,7.715157097,533.2
01-09-1968 00:00,27.1,7.715157097,315
01-10-1968 00:00,23.8,7.715157097,215.1
01-11-1968 00:00,20.45,7.715157097,62.55
01-12-1968 00:00,16.57,7.715157097,0.55
01-01-1969 00:00,15.91,7.854699547,8.1
01-02-1969 00:00,19.51,7.854699547,3.95
01-03-1969 00:00,24.42,7.854699547,33
01-04-1969 00:00,27.02,7.854699547,78.85
01-05-1969 00:00,27.68,7.854699547,181.15
