Date,Temperature,State
1961-01-01 00:00:00,16.9,Sikkim & West Bengal
1961-02-01 00:00:00,17.33,Sikkim & West Bengal
1961-03-01 00:00:00,24.36,Sikkim & West Bengal
1961-04-01 00:00:00,27.37,Sikkim & West Bengal
1961-05-01 00:00:00,28.37,Sikkim & West Bengal
1961-06-01 00:00:00,27.47,Sikkim & West Bengal
1961-07-01 00:00:00,26.92,Sikkim & West Bengal
1961-08-01 00:00:00,26.99,Sikkim & West Bengal
1961-09-01 00:00:00,26.38,Sikkim & West Bengal
1961-10-01 00:00:00,24.36,Sikkim & West Bengal
1961-11-01 00:00:00,19.56,Sikkim & West Bengal
1961-12-01 00:00:00,14.78,Sikkim & West Bengal
1962-01-01 00:00:00,14.99,Sikkim & West Bengal
1962-02-01 00:00:00,18.77,Sikkim & West Bengal
1962-03-01 00:00:00,23.15,Sikkim & West Bengal
1962-04-01 00:00:00,26.68,Sikkim & West Bengal
1962-05-01 00:00:00,27.5,Sikkim & West Bengal
1962-06-01 00:00:00,27.49,Sikkim & West Bengal
1962-07-01 00:00:00,27.46,Sikkim & West Bengal
1962-08-01 00:00:00,26.52,Sikkim & West Bengal
1962-09-01 00:00:00,26.57,Sikkim & West Bengal
1962-10-01 00:00:00,23.83,Sikkim & West Bengal
1962-11-01 00:00:00,20.3,Sikkim & West Bengal
1962-12-01 00:00:00,16.83,Sikkim & West Bengal
1963-01-01 00:00:00,15.39,Sikkim & West Bengal
1963-02-01 00:00:00,19.87,Sikkim & West Bengal
1963-03-01 00:00:00,23.12,Sikkim & West Bengal
1963-04-01 00:00:00,25.73,Sikkim & West Bengal
1963-05-01 00:00:00,26.63,Sikkim & West Bengal
1963-06-01 00:00:00,27.46,Sikkim & West Bengal
1963-07-01 00:00:00,26.97,Sikkim & West Bengal
1963-08-01 00:00:00,26.94,Sikkim & West Bengal
1963-09-01 00:00:00,26.7,Sikkim & West Bengal
1963-10-01 00:00:00,24.63,Sikkim & West Bengal
1963-11-01 00:00:00,20.91,Sikkim & West Bengal
1963-12-01 00:00:00,17.31,Sikkim & West Bengal
1964-01-01 00:00:00,16.25,Sikkim & West Bengal
1964-02-01 00:00:00,19.25,Sikkim & West Bengal
1964-03-01 00:00:00,24.51,Sikkim & West Bengal
1964-04-01 00:00:00,26.62,Sikkim & West Bengal
1964-05-01 00:00:00,27.27,Sikkim & West Bengal
1964-06-01 00:00:00,28.22,Sikkim & West Bengal
1964-07-01 00:00:00,26.26,Sikkim & West Bengal
1964-08-01 00:00:00,26.83,Sikkim & West Bengal
1964-09-01 00:00:00,26.61,Sikkim & West Bengal
1964-10-01 00:00:00,25.11,Sikkim & West Bengal
1964-11-01 00:00:00,20.95,Sikkim & West Bengal
1964-12-01 00:00:00,17.25,Sikkim & West Bengal
1965-01-01 00:00:00,16.65,Sikkim & West Bengal
1965-02-01 00:00:00,18.69,Sikkim & West Bengal
1965-03-01 00:00:00,22.11,Sikkim & West Bengal
1965-04-01 00:00:00,26.09,Sikkim & West Bengal
1965-05-01 00:00:00,28.25,Sikkim & West Bengal
1965-06-01 00:00:00,28.34,Sikkim & West Bengal
1965-07-01 00:00:00,26.6,Sikkim & West Bengal
1965-08-01 00:00:00,26.27,Sikkim & West Bengal
1965-09-01 00:00:00,26.28,Sikkim & West Bengal
1965-10-01 00:00:00,24.33,Sikkim & West Bengal
1965-11-01 00:00:00,20.77,Sikkim & West Bengal
1965-12-01 00:00:00,16.71,Sikkim & West Bengal
1966-01-01 00:00:00,15.95,Sikkim & West Bengal
1966-02-01 00:00:00,20.2,Sikkim & West Bengal
1966-03-01 00:00:00,23.74,Sikkim & West Bengal
1966-04-01 00:00:00,27.49,Sikkim & West Bengal
1966-05-01 00:00:00,29.05,Sikkim & West Bengal
1966-06-01 00:00:00,27.78,Sikkim & West Bengal
1966-07-01 00:00:00,27.37,Sikkim & West Bengal
1966-08-01 00:00:00,26.9,Sikkim & West Bengal
1966-09-01 00:00:00,26.43,Sikkim & West Bengal
1966-10-01 00:00:00,23.98,Sikkim & West Bengal
1966-11-01 00:00:00,21.6,Sikkim & West Bengal
1966-12-01 00:00:00,16.8,Sikkim & West Bengal
1967-01-01 00:00:00,16.41,Sikkim & West Bengal
1967-02-01 00:00:00,19.75,Sikkim & West Bengal
1967-03-01 00:00:00,22.2,Sikkim & West Bengal
1967-04-01 00:00:00,25.27,Sikkim & West Bengal
1967-05-01 00:00:00,27.92,Sikkim & West Bengal
1967-06-01 00:00:00,28.24,Sikkim & West Bengal
1967-07-01 00:00:00,27.18,Sikkim & West Bengal
1967-08-01 00:00:00,26.73,Sikkim & West Bengal
1967-09-01 00:00:00,26.32,Sikkim & West Bengal
1967-10-01 00:00:00,24.07,Sikkim & West Bengal
1967-11-01 00:00:00,19.7,Sikkim & West Bengal
1967-12-01 00:00:00,17.93,Sikkim & West Bengal
1968-01-01 00:00:00,15.84,Sikkim & West Bengal
1968-02-01 00:00:00,17.97,Sikkim & West Bengal
1968-03-01 00:00:00,23.34,Sikkim & West Bengal
1968-04-01 00:00:00,26.21,Sikkim & West Bengal
1968-05-01 00:00:00,28.27,Sikkim & West Bengal
1968-06-01 00:00:00,26.51,Sikkim & West Bengal
1968-07-01 00:00:00,26.71,Sikkim & West Bengal
1968-08-01 00:00:00,26.74,Sikkim & West Bengal
1968-09-01 00:00:00,27.1,Sikkim & West Bengal
1968-10-01 00:00:00,23.8,Sikkim & West Bengal
1968-11-01 00:00:00,20.45,Sikkim & West Bengal
1968-12-01 00:00:00,16.57,Sikkim & West Bengal
1969-01-01 00:00:00,15.91,Sikkim & West Bengal
1969-02-01 00:00:00,19.51,Sikkim & West Bengal
1969-03-01 00:00:00,24.42,Sikkim & West Bengal
1969-04-01 00:00:00,27.02,Sikkim & West Bengal
1969-05-01 00:00:00,27.68,Sikkim & West Bengal
1969-06-01 00:00:00,28.1,Sikkim & West Bengal
1969-07-01 00:00:00,27.09,Sikkim & West Bengal
1969-08-01 00:00:00,26.4,Sikkim & West Bengal
1969-09-01 00:00:00,26.34,Sikkim & West Bengal
1969-10-01 00:00:00,24.48,Sikkim & West Bengal
1969-11-01 00:00:00,21.41,Sikkim & West Bengal
1969-12-01 00:00:00,17.15,Sikkim & West Bengal
1970-01-01 00:00:00,16.35,Sikkim & West Bengal
1970-02-01 00:00:00,18.96,Sikkim & West Bengal
1970-03-01 00:00:00,23.48,Sikkim & West Bengal
1970-04-01 00:00:00,27.17,Sikkim & West Bengal
1970-05-01 00:00:00,28.57,Sikkim & West Bengal
1970-06-01 00:00:00,27.2,Sikkim & West Bengal
1970-07-01 00:00:00,26.8,Sikkim & West Bengal
1970-08-01 00:00:00,26.91,Sikkim & West Bengal
1970-09-01 00:00:00,26.25,Sikkim & West Bengal
1970-10-01 00:00:00,24.47,Sikkim & West Bengal
1970-11-01 00:00:00,20.22,Sikkim & West Bengal
1970-12-01 00:00:00,16.44,Sikkim & West Bengal
1971-01-01 00:00:00,16.2,Sikkim & West Bengal
