UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,10.937566,78.166822,114.72,0,0,0,No Data,No Data
1179727285,2007-05-21T06:01:25Z,10.937571,78.168987,114.437,0.2367417,0,0,No Data,No Data
1179727456,2007-05-21T06:04:16Z,10.937580,78.173317,111.919,0.7101053,0,0,No Data,No Data
1179727597,2007-05-21T06:06:37Z,10.937587,78.176925,113.055,1.104581,0,0,No Data,No Data
1179727768,2007-05-21T06:09:28Z,10.937596,78.181255,108.0,1.577972,0,0,No Data,No Data
1179727938,2007-05-21T06:12:18Z,10.937605,78.185585,108.259,2.051363,0,0,No Data,No Data
1179728137,2007-05-21T06:15:37Z,10.937615,78.190637,109.082,2.603643,0,0,No Data,No Data
1179728282,2007-05-21T06:18:02Z,10.938331,78.194244,108.715,3.005984,0,0,No Data,No Data
1179728399,2007-05-21T06:19:59Z,10.939046,78.197130,105.476,3.331366,0,0,No Data,No Data
1179728489,2007-05-21T06:21:29Z,10.939759,78.199294,106.406,3.580895,0,0,No Data,No Data
1179728631,2007-05-21T06:23:51Z,10.939766,78.202902,104.28,3.975348,0,0,No Data,No Data
1179728830,2007-05-21T06:27:10Z,10.939776,78.207954,102.601,4.527652,0,0,No Data,No Data
1179728943,2007-05-21T06:29:03Z,10.939782,78.210841,101.739,4.843304,0,0,No Data,No Data
1179729096,2007-05-21T06:31:36Z,10.941206,78.214448,101.849,5.2683,0,0,No Data,No Data
1179729297,2007-05-21T06:34:57Z,10.941925,78.219499,101.621,5.826225,0,0,No Data,No Data
1179729411,2007-05-21T06:36:51Z,10.941930,78.222386,103.273,6.141847,0,0,No Data,No Data
1179729612,2007-05-21T06:40:12Z,10.942649,78.227438,100.542,6.699846,0,0,No Data,No Data
1179729754,2007-05-21T06:42:34Z,10.942656,78.231047,106.813,7.094356,0,0,No Data,No Data
1179729871,2007-05-21T06:44:31Z,10.943370,78.233933,106.955,7.419737,0,0,No Data,No Data
1179730013,2007-05-21T06:46:53Z,10.943377,78.237542,113.848,7.814295,0,0,No Data,No Data
