UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,10.866480,78.634158,72.223,0,0,0,No Data,No Data
1179727387,2007-05-21T06:03:07Z,10.863566,78.630442,74.102,0.5198584,0,0,No Data,No Data
1179727688,2007-05-21T06:08:08Z,10.859923,78.623751,72.0,1.356217,0,0,No Data,No Data
1179727899,2007-05-21T06:11:39Z,10.857010,78.619292,72.89,1.941714,0,0,No Data,No Data
1179728084,2007-05-21T06:14:44Z,10.855552,78.614831,70.403,2.455711,0,0,No Data,No Data
1179728176,2007-05-21T06:16:16Z,10.854824,78.612600,70.095,2.712665,0,0,No Data,No Data
1179728355,2007-05-21T06:19:15Z,10.854095,78.608138,71.085,3.207153,0,0,No Data,No Data
1179728472,2007-05-21T06:21:12Z,10.854095,78.605163,71.061,3.532327,0,0,No Data,No Data
1179728823,2007-05-21T06:27:03Z,10.854094,78.596240,74.98,4.507839,0,0,No Data,No Data
1179729115,2007-05-21T06:31:55Z,10.854094,78.588806,76.605,5.320638,0,0,No Data,No Data
1179729408,2007-05-21T06:36:48Z,10.854093,78.581372,78.761,6.13343,0,0,No Data,No Data
1179729642,2007-05-21T06:40:42Z,10.854092,78.575425,77.998,6.783573,0,0,No Data,No Data
1179729940,2007-05-21T06:45:40Z,10.855547,78.567993,79.817,7.612151,0,0,No Data,No Data
1179730205,2007-05-21T06:50:05Z,10.856273,78.561304,81.566,8.347865,0,0,No Data,No Data
1179730441,2007-05-21T06:54:01Z,10.857000,78.555360,79.487,9.002741,0,0,No Data,No Data
1179730590,2007-05-21T06:56:30Z,10.857727,78.551645,79.266,9.416903,0,0,No Data,No Data
1179730768,2007-05-21T06:59:28Z,10.858453,78.547187,77.498,9.91098,0,0,No Data,No Data
1179730917,2007-05-21T07:01:57Z,10.859180,78.543472,80.0,10.32514,0,0,No Data,No Data
1179731124,2007-05-21T07:05:24Z,10.859906,78.538272,81.074,10.89941,0,0,No Data,No Data
1179731393,2007-05-21T07:09:53Z,10.861360,78.531586,82.116,11.64813,0,0,No Data,No Data
1179731745,2007-05-21T07:15:45Z,10.862083,78.522679,81.324,12.62521,0,0,No Data,No Data
1179731923,2007-05-21T07:18:43Z,10.862809,78.518222,86.811,13.11909,0,0,No Data,No Data
1179732100,2007-05-21T07:21:40Z,10.863535,78.513766,86.126,13.61294,0,0,No Data,No Data
1179732313,2007-05-21T07:25:13Z,10.864988,78.508566,89.296,14.20396,0,0,No Data,No Data
1179732489,2007-05-21T07:28:09Z,10.864986,78.504110,91.132,14.69105,0,0,No Data,No Data
1179732724,2007-05-21T07:32:04Z,10.865711,78.498170,97.324,15.34548,0,0,No Data,No Data
1179732845,2007-05-21T07:34:05Z,10.866437,78.495199,99.551,15.68014,0,0,No Data,No Data
1179733029,2007-05-21T07:37:09Z,10.867890,78.490744,100.643,16.19332,0,0,No Data,No Data
1179733205,2007-05-21T07:40:05Z,10.867888,78.486290,97.948,16.68025,0,0,No Data,No Data
1179733417,2007-05-21T07:43:37Z,10.869339,78.481098,99.66,17.27045,0,0,No Data,No Data
1179733704,2007-05-21T07:48:24Z,10.872244,78.474422,98.174,18.06875,0,0,No Data,No Data
1179734111,2007-05-21T07:55:11Z,10.875873,78.464780,93.99,19.19766,0,0,No Data,No Data
1179734615,2007-05-21T08:03:35Z,10.878044,78.452175,96.719,20.5967,0,0,No Data,No Data
1179734941,2007-05-21T08:09:01Z,10.881674,78.444761,89.59,21.5024,0,0,No Data,No Data
1179735358,2007-05-21T08:15:58Z,10.886029,78.435123,87.393,22.6622,0,0,No Data,No Data
1179735830,2007-05-21T08:23:50Z,10.890382,78.423998,94.76,23.97144,0,0,No Data,No Data
1179736182,2007-05-21T08:29:42Z,10.894011,78.415837,98.987,24.95082,0,0,No Data,No Data
1179736443,2007-05-21T08:34:03Z,10.896914,78.409902,100.074,25.67567,0,0,No Data,No Data
1179736692,2007-05-21T08:38:12Z,10.899089,78.403968,97.832,26.3681,0,0,No Data,No Data
1179736785,2007-05-21T08:39:45Z,10.899814,78.401743,98.615,26.6244,0,0,No Data,No Data
