YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,24.52,6.117761226,76
01-02-1961 00:00,25.86,6.117761226,12.7
01-03-1961 00:00,28.15,6.117761226,2.2
01-04-1961 00:00,29.32,6.117761226,23.9
01-05-1961 00:00,29.25,6.117761226,71.9
01-06-1961 00:00,27.77,6.117761226,73.8
01-07-1961 00:00,27.08,6.117761226,99.4
01-08-1961 00:00,27.2,6.117761226,110.4
01-09-1961 00:00,26.99,6.117761226,122.2
01-10-1961 00:00,26.34,6.117761226,154.7
01-11-1961 00:00,25.08,6.117761226,107.5
01-12-1961 00:00,23.9,6.117761226,56.1
01-01-1962 00:00,24,6.730724395,10
01-02-1962 00:00,25.45,6.730724395,23.6
01-03-1962 00:00,27.34,6.730724395,13.6
01-04-1962 00:00,28.78,6.730724395,48.4
01-05-1962 00:00,28.92,6.730724395,114.1
01-06-1962 00:00,28.64,6.730724395,44
01-07-1962 00:00,27.71,6.730724395,56.7
01-08-1962 00:00,27.27,6.730724395,130.5
01-09-1962 00:00,27.13,6.730724395,114.8
01-10-1962 00:00,25.9,6.730724395,275.7
01-11-1962 00:00,25.14,6.730724395,63.1
01-12-1962 00:00,24.4,6.730724395,47.1
01-01-1963 00:00,23.92,7.228767722,76.2
01-02-1963 00:00,25.1,7.228767722,4.8
01-03-1963 00:00,27.32,7.228767722,39.1
01-04-1963 00:00,28.39,7.228767722,56.5
01-05-1963 00:00,29.66,7.228767722,45.1
01-06-1963 00:00,28.49,7.228767722,49.9
01-07-1963 00:00,27.84,7.228767722,93.1
01-08-1963 00:00,27.5,7.228767722,88.7
01-09-1963 00:00,27.64,7.228767722,115
01-10-1963 00:00,26.4,7.228767722,173.4
01-11-1963 00:00,25.3,7.228767722,195
01-12-1963 00:00,24.41,7.228767722,135.9
01-01-1964 00:00,24.47,7.067570279,1.6
01-02-1964 00:00,26.26,7.067570279,1.2
01-03-1964 00:00,28.15,7.067570279,15.5
01-04-1964 00:00,29.66,7.067570279,11.4
01-05-1964 00:00,30.45,7.067570279,56.8
01-06-1964 00:00,28.73,7.067570279,31.3
01-07-1964 00:00,27.54,7.067570279,174.7
01-08-1964 00:00,27.03,7.067570279,100.8
01-09-1964 00:00,26.82,7.067570279,92.3
01-10-1964 00:00,26.42,7.067570279,187.7
01-11-1964 00:00,24.65,7.067570279,166.4
01-12-1964 00:00,23.89,7.067570279,70.9
01-01-1965 00:00,24.03,7.786507434,1.8
01-02-1965 00:00,25.44,7.786507434,7.2
01-03-1965 00:00,27.4,7.786507434,10.1
01-04-1965 00:00,28.4,7.786507434,63.8
01-05-1965 00:00,29.36,7.786507434,40.9
