AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Tamil Nadu,1961,76.0,12.7,2.2,23.9,71.9,73.8,99.4,110.4,122.2,154.7,107.5,56.1
Tamil Nadu,1962,10.0,23.6,13.6,48.4,114.1,44.0,56.7,130.5,114.8,275.7,63.1,47.1
Tamil Nadu,1963,76.2,4.8,39.1,56.5,45.1,49.9,93.1,88.7,115.0,173.4,195.0,135.9
Tamil Nadu,1964,1.6,1.2,15.5,11.4,56.8,31.3,174.7,100.8,92.3,187.7,166.4,70.9
Tamil Nadu,1965,1.8,7.2,10.1,63.8,40.9,33.5,55.4,169.8,92.7,123.9,120.3,202.3
Tamil Nadu,1966,16.0,1.6,11.9,33.4,51.8,51.6,76.4,143.4,166.1,290.6,224.3,99.8
Tamil Nadu,1967,28.9,1.0,40.4,19.3,47.6,69.1,69.4,81.2,76.2,182.3,127.1,156.7
Tamil Nadu,1968,4.6,5.6,36.5,85.9,46.9,47.9,53.7,65.0,137.7,111.8,121.1,72.7
Tamil Nadu,1969,1.5,7.2,3.5,32.1,57.0,30.4,60.9,139.7,36.8,275.1,190.5,127.1
Tamil Nadu,1970,15.9,18.0,9.2,61.8,85.4,51.6,88.9,98.5,102.4,195.1,199.9,15.3
Tamil Nadu,1971,19.3,11.1,37.8,40.6,75.7,46.9,87.2,127.8,109.0,221.3,71.3,199.6
Tamil Nadu,1972,4.0,1.2,1.0,14.0,151.1,55.1,49.2,42.7,175.3,273.1,126.0,200.6
Tamil Nadu,1973,0.3,0.2,5.3,20.7,57.0,63.5,92.3,87.6,130.4,195.2,79.1,127.1
Tamil Nadu,1974,0.6,8.9,6.7,30.4,59.5,40.6,79.8,63.5,178.0,114.8,47.8,22.2
Tamil Nadu,1975,6.0,4.3,34.8,20.8,80.8,46.8,129.1,121.3,147.8,165.3,130.3,36.4
Tamil Nadu,1976,1.2,0.2,8.4,50.1,33.8,48.6,64.0,129.9,83.7,137.6,244.9,56.6
Tamil Nadu,1977,1.4,24.8,10.4,45.5,104.1,50.6,55.4,128.3,118.6,347.5,346.8,12.6
Tamil Nadu,1978,1.4,11.2,10.9,35.9,55.2,29.4,78.2,55.4,137.2,151.4,234.6,198.1
Tamil Nadu,1979,0.7,43.5,12.5,15.3,35.1,60.2,75.2,80.2,183.1,132.6,416.7,48.2
Tamil Nadu,1980,0.1,0.0,15.4,45.9,69.2,37.7,64.9,64.2,76.3,122.3,166.2,47.0
Tamil Nadu,1981,8.9,1.3,21.7,23.7,87.2,57.0,117.0,91.8,200.5,258.0,106.4,72.5
Tamil Nadu,1982,0.2,0.1,8.6,25.2,58.8,49.8,52.5,44.5,93.4,114.0,200.8,30.9
Tamil Nadu,1983,0.2,0.2,1.9,5.5,86.9,72.9,77.9,132.0,154.6,138.7,94.5,242.6
Tamil Nadu,1984,34.5,131.3,101.7,45.4,21.6,43.6,149.5,38.0,151.3,134.8,113.5,58.5
Tamil Nadu,1985,89.7,5.2,11.9,43.9,33.4,108.8,81.2,129.7,161.6,107.3,233.3,57.4
Tamil Nadu,1986,65.5,39.0,16.1,20.9,62.7,63.4,66.9,115.2,142.3,170.5,133.4,57.1
Tamil Nadu,1987,8.0,1.2,28.7,20.0,50.5,70.5,26.1,82.8,127.0,236.7,136.9,175.0
Tamil Nadu,1988,0.2,3.8,27.4,94.6,59.1,41.1,102.6,149.8,136.1,71.8,117.6,33.1
Tamil Nadu,1989,2.7,0.0,27.9,40.8,53.6,57.4,154.9,39.7,137.3,148.6,154.0,39.8
Tamil Nadu,1990,84.8,10.2,36.2,24.3,94.9,28.9,40.0,80.1,119.6,194.1,144.0,46.1
Tamil Nadu,1991,24.2,4.6,9.7,37.4,29.5,128.1,54.7,71.7,114.0,225.1,234.4,21.4
Tamil Nadu,1992,3.1,0.2,0.0,22.5,58.3,66.4,77.9,59.9,157.3,123.9,297.2,52.1
Tamil Nadu,1993,0.1,7.0,9.9,11.2,46.6,68.2,60.3,88.8,96.7,214.5,315.9,163.1
Tamil Nadu,1994,7.0,27.6,5.5,48.3,66.6,38.6,75.3,66.1,84.2,230.6,229.1,27.0
Tamil Nadu,1995,23.8,3.3,16.7,39.5,139.0,64.6,86.7,121.1,94.0,143.1,107.9,3.7
Tamil Nadu,1996,7.6,3.6,5.0,91.5,34.0,125.3,55.4,112.4,141.2,149.7,106.0,237.6
Tamil Nadu,1997,7.7,0.2,2.3,42.0,49.2,50.4,63.5,56.4,116.0,169.5,258.1,135.2
Tamil Nadu,1998,6.9,5.7,4.1,23.6,55.8,43.0,101.9,152.9,121.8,124.7,242.0,197.4
Tamil Nadu,1999,8.3,24.1,3.9,56.9,74.5,46.4,55.3,74.8,73.1,268.9,182.8,53.6
