Date,Temperature,State
1961-01-01 00:00:00,24.52,Tamil Nadu
1961-02-01 00:00:00,25.86,Tamil Nadu
1961-03-01 00:00:00,28.15,Tamil Nadu
1961-04-01 00:00:00,29.32,Tamil Nadu
1961-05-01 00:00:00,29.25,Tamil Nadu
1961-06-01 00:00:00,27.77,Tamil Nadu
1961-07-01 00:00:00,27.08,Tamil Nadu
1961-08-01 00:00:00,27.2,Tamil Nadu
1961-09-01 00:00:00,26.99,Tamil Nadu
1961-10-01 00:00:00,26.34,Tamil Nadu
1961-11-01 00:00:00,25.08,Tamil Nadu
1961-12-01 00:00:00,23.9,Tamil Nadu
1962-01-01 00:00:00,24.0,Tamil Nadu
1962-02-01 00:00:00,25.45,Tamil Nadu
1962-03-01 00:00:00,27.34,Tamil Nadu
1962-04-01 00:00:00,28.78,Tamil Nadu
1962-05-01 00:00:00,28.92,Tamil Nadu
1962-06-01 00:00:00,28.64,Tamil Nadu
1962-07-01 00:00:00,27.71,Tamil Nadu
1962-08-01 00:00:00,27.27,Tamil Nadu
1962-09-01 00:00:00,27.13,Tamil Nadu
1962-10-01 00:00:00,25.9,Tamil Nadu
1962-11-01 00:00:00,25.14,Tamil Nadu
1962-12-01 00:00:00,24.4,Tamil Nadu
1963-01-01 00:00:00,23.92,Tamil Nadu
1963-02-01 00:00:00,25.1,Tamil Nadu
1963-03-01 00:00:00,27.32,Tamil Nadu
1963-04-01 00:00:00,28.39,Tamil Nadu
1963-05-01 00:00:00,29.66,Tamil Nadu
1963-06-01 00:00:00,28.49,Tamil Nadu
1963-07-01 00:00:00,27.84,Tamil Nadu
1963-08-01 00:00:00,27.5,Tamil Nadu
1963-09-01 00:00:00,27.64,Tamil Nadu
1963-10-01 00:00:00,26.4,Tamil Nadu
1963-11-01 00:00:00,25.3,Tamil Nadu
1963-12-01 00:00:00,24.41,Tamil Nadu
1964-01-01 00:00:00,24.47,Tamil Nadu
1964-02-01 00:00:00,26.26,Tamil Nadu
1964-03-01 00:00:00,28.15,Tamil Nadu
1964-04-01 00:00:00,29.66,Tamil Nadu
1964-05-01 00:00:00,30.45,Tamil Nadu
1964-06-01 00:00:00,28.73,Tamil Nadu
1964-07-01 00:00:00,27.54,Tamil Nadu
1964-08-01 00:00:00,27.03,Tamil Nadu
1964-09-01 00:00:00,26.82,Tamil Nadu
1964-10-01 00:00:00,26.42,Tamil Nadu
1964-11-01 00:00:00,24.65,Tamil Nadu
1964-12-01 00:00:00,23.89,Tamil Nadu
1965-01-01 00:00:00,24.03,Tamil Nadu
1965-02-01 00:00:00,25.44,Tamil Nadu
1965-03-01 00:00:00,27.4,Tamil Nadu
1965-04-01 00:00:00,28.4,Tamil Nadu
1965-05-01 00:00:00,29.36,Tamil Nadu
1965-06-01 00:00:00,28.47,Tamil Nadu
1965-07-01 00:00:00,27.65,Tamil Nadu
1965-08-01 00:00:00,27.15,Tamil Nadu
1965-09-01 00:00:00,27.46,Tamil Nadu
1965-10-01 00:00:00,26.67,Tamil Nadu
1965-11-01 00:00:00,25.55,Tamil Nadu
1965-12-01 00:00:00,24.46,Tamil Nadu
1966-01-01 00:00:00,24.94,Tamil Nadu
1966-02-01 00:00:00,26.36,Tamil Nadu
1966-03-01 00:00:00,28.27,Tamil Nadu
1966-04-01 00:00:00,29.26,Tamil Nadu
1966-05-01 00:00:00,30.03,Tamil Nadu
1966-06-01 00:00:00,28.27,Tamil Nadu
1966-07-01 00:00:00,27.54,Tamil Nadu
1966-08-01 00:00:00,27.83,Tamil Nadu
1966-09-01 00:00:00,27.1,Tamil Nadu
1966-10-01 00:00:00,26.02,Tamil Nadu
1966-11-01 00:00:00,25.56,Tamil Nadu
1966-12-01 00:00:00,24.4,Tamil Nadu
1967-01-01 00:00:00,24.3,Tamil Nadu
1967-02-01 00:00:00,25.39,Tamil Nadu
1967-03-01 00:00:00,27.44,Tamil Nadu
1967-04-01 00:00:00,29.35,Tamil Nadu
1967-05-01 00:00:00,29.69,Tamil Nadu
1967-06-01 00:00:00,28.27,Tamil Nadu
1967-07-01 00:00:00,27.3,Tamil Nadu
1967-08-01 00:00:00,27.11,Tamil Nadu
1967-09-01 00:00:00,27.13,Tamil Nadu
1967-10-01 00:00:00,25.78,Tamil Nadu
1967-11-01 00:00:00,24.59,Tamil Nadu
1967-12-01 00:00:00,24.34,Tamil Nadu
1968-01-01 00:00:00,24.1,Tamil Nadu
1968-02-01 00:00:00,25.69,Tamil Nadu
1968-03-01 00:00:00,27.46,Tamil Nadu
1968-04-01 00:00:00,28.36,Tamil Nadu
1968-05-01 00:00:00,29.52,Tamil Nadu
1968-06-01 00:00:00,28.48,Tamil Nadu
1968-07-01 00:00:00,27.23,Tamil Nadu
1968-08-01 00:00:00,27.74,Tamil Nadu
1968-09-01 00:00:00,27.13,Tamil Nadu
1968-10-01 00:00:00,26.5,Tamil Nadu
1968-11-01 00:00:00,25.15,Tamil Nadu
1968-12-01 00:00:00,24.28,Tamil Nadu
1969-01-01 00:00:00,24.38,Tamil Nadu
1969-02-01 00:00:00,26.06,Tamil Nadu
1969-03-01 00:00:00,28.6,Tamil Nadu
1969-04-01 00:00:00,29.59,Tamil Nadu
1969-05-01 00:00:00,29.73,Tamil Nadu
1969-06-01 00:00:00,28.87,Tamil Nadu
1969-07-01 00:00:00,27.63,Tamil Nadu
1969-08-01 00:00:00,27.46,Tamil Nadu
1969-09-01 00:00:00,27.44,Tamil Nadu
1969-10-01 00:00:00,26.14,Tamil Nadu
1969-11-01 00:00:00,25.51,Tamil Nadu
1969-12-01 00:00:00,24.3,Tamil Nadu
1970-01-01 00:00:00,24.72,Tamil Nadu
1970-02-01 00:00:00,26.08,Tamil Nadu
1970-03-01 00:00:00,28.15,Tamil Nadu
1970-04-01 00:00:00,29.09,Tamil Nadu
1970-05-01 00:00:00,29.56,Tamil Nadu
1970-06-01 00:00:00,28.31,Tamil Nadu
1970-07-01 00:00:00,27.56,Tamil Nadu
1970-08-01 00:00:00,26.99,Tamil Nadu
1970-09-01 00:00:00,27.09,Tamil Nadu
1970-10-01 00:00:00,26.11,Tamil Nadu
