UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.231676,81.509053,110.428,0,0,0,No Data,No Data
1179727478,2007-05-21T06:04:38Z,27.226773,81.514559,110.411,0.7713601,0,0,No Data,No Data
1179727916,2007-05-21T06:11:56Z,27.216973,81.520062,110.925,1.990877,0,0,No Data,No Data
1179728186,2007-05-21T06:16:26Z,27.210440,81.521895,110.384,2.740428,0,0,No Data,No Data
1179728658,2007-05-21T06:24:18Z,27.200638,81.529232,108.042,4.051354,0,0,No Data,No Data
1179729057,2007-05-21T06:30:57Z,27.190840,81.531062,111.604,5.157009,0,0,No Data,No Data
1179729318,2007-05-21T06:35:18Z,27.184310,81.531058,108.632,5.883951,0,0,No Data,No Data
1179729795,2007-05-21T06:43:15Z,27.172879,81.534721,109.211,7.207244,0,0,No Data,No Data
1179730056,2007-05-21T06:47:36Z,27.166349,81.534717,109.028,7.934223,0,0,No Data,No Data
1179730252,2007-05-21T06:50:52Z,27.161451,81.534714,109.085,8.479468,0,0,No Data,No Data
1179730522,2007-05-21T06:55:22Z,27.154923,81.532874,110.041,9.228676,0,0,No Data,No Data
1179730849,2007-05-21T07:00:49Z,27.146761,81.532868,109.834,10.13726,0,0,No Data,No Data
1179731312,2007-05-21T07:08:32Z,27.135337,81.531025,106.458,11.4221,0,0,No Data,No Data
1179731508,2007-05-21T07:11:48Z,27.130440,81.531022,105.472,11.96724,0,0,No Data,No Data
1179731984,2007-05-21T07:19:44Z,27.119017,81.527345,107.107,13.2901,0,0,No Data,No Data
1179732377,2007-05-21T07:26:17Z,27.109223,81.527338,107.057,14.38039,0,0,No Data,No Data
1179732639,2007-05-21T07:30:39Z,27.102694,81.527333,108.567,15.10718,0,0,No Data,No Data
1179733031,2007-05-21T07:37:11Z,27.092901,81.527326,106.584,16.19739,0,0,No Data,No Data
1179733413,2007-05-21T07:43:33Z,27.084736,81.532821,106.438,17.25705,0,0,No Data,No Data
1179733739,2007-05-21T07:48:59Z,27.078203,81.538316,107.983,18.16568,0,0,No Data,No Data
