UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.435998,81.442817,114.619,0,0,0,No Data,No Data
1179727534,2007-05-21T06:05:34Z,27.427817,81.444665,113.752,0.9288769,0,0,No Data,No Data
1179727869,2007-05-21T06:11:09Z,27.419637,81.446512,114.646,1.857574,0,0,No Data,No Data
1179728409,2007-05-21T06:20:09Z,27.406553,81.450202,113.552,3.359145,0,0,No Data,No Data
1179728702,2007-05-21T06:25:02Z,27.400014,81.446526,113.169,4.172658,0,0,No Data,No Data
1179728898,2007-05-21T06:28:18Z,27.395109,81.446529,116.484,4.718655,0,0,No Data,No Data
1179729226,2007-05-21T06:33:46Z,27.386934,81.446534,113.429,5.62873,0,0,No Data,No Data
1179729666,2007-05-21T06:41:06Z,27.377121,81.452060,114.043,6.850179,0,0,No Data,No Data
1179730178,2007-05-21T06:49:38Z,27.367306,81.461264,112.491,8.272154,0,0,No Data,No Data
1179730506,2007-05-21T06:55:06Z,27.362396,81.468624,113.447,9.182251,0,0,No Data,No Data
1179730776,2007-05-21T06:59:36Z,27.360757,81.475982,111.913,9.932302,0,0,No Data,No Data
1179731068,2007-05-21T07:04:28Z,27.357483,81.483338,111.96,10.74592,0,0,No Data,No Data
1179731254,2007-05-21T07:07:34Z,27.354211,81.487017,111.579,11.26068,0,0,No Data,No Data
1179731765,2007-05-21T07:16:05Z,27.346031,81.498050,112.081,12.68185,0,0,No Data,No Data
1179732093,2007-05-21T07:21:33Z,27.339489,81.503566,111.666,13.59182,0,0,No Data,No Data
1179732446,2007-05-21T07:27:26Z,27.331315,81.507242,112.13,14.57175,0,0,No Data,No Data
1179732865,2007-05-21T07:34:25Z,27.323140,81.514593,112.506,15.73658,0,0,No Data,No Data
1179733199,2007-05-21T07:39:59Z,27.314970,81.516428,111.286,16.664,0,0,No Data,No Data
1179733613,2007-05-21T07:46:53Z,27.305165,81.520100,112.608,17.81434,0,0,No Data,No Data
1179733849,2007-05-21T07:50:49Z,27.300262,81.523773,111.148,18.47009,0,0,No Data,No Data
1179734348,2007-05-21T07:59:08Z,27.288822,81.529280,110.7,19.85528,0,0,No Data,No Data
1179734584,2007-05-21T08:03:04Z,27.283919,81.532952,109.778,20.511,0,0,No Data,No Data
1179735056,2007-05-21T08:10:56Z,27.274112,81.540295,112.349,21.82249,0,0,No Data,No Data
1179735292,2007-05-21T08:14:52Z,27.270840,81.545804,111.992,22.47815,0,0,No Data,No Data
1179735674,2007-05-21T08:21:14Z,27.265930,81.554984,113.002,23.53838,0,0,No Data,No Data
1179736044,2007-05-21T08:27:24Z,27.259390,81.562326,110.791,24.567,0,0,No Data,No Data
