UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.418069,81.916900,97.595,0,0,0,No Data,No Data
1179727334,2007-05-21T06:02:14Z,25.415979,81.919788,95.759,0.3720995,0,0,No Data,No Data
1179727393,2007-05-21T06:03:13Z,25.414935,81.920943,96.067,0.5364352,0,0,No Data,No Data
1179727573,2007-05-21T06:06:13Z,25.411280,81.923831,93.216,1.036344,0,0,No Data,No Data
1179727741,2007-05-21T06:09:01Z,25.407625,81.926140,97.974,1.504856,0,0,No Data,No Data
1179727846,2007-05-21T06:10:46Z,25.405536,81.927873,93.048,1.795445,0,0,No Data,No Data
1179728025,2007-05-21T06:13:45Z,25.401360,81.929603,96.446,2.291812,0,0,No Data,No Data
1179728137,2007-05-21T06:15:37Z,25.398750,81.930752,96.951,2.604484,0,0,No Data,No Data
1179728224,2007-05-21T06:17:04Z,25.396662,81.931328,102.395,2.844017,0,0,No Data,No Data
1179728351,2007-05-21T06:19:11Z,25.393530,81.931902,98.924,3.197408,0,0,No Data,No Data
1179728434,2007-05-21T06:20:34Z,25.391442,81.931900,95.884,3.429778,0,0,No Data,No Data
1179728607,2007-05-21T06:23:27Z,25.387266,81.933052,93.477,3.90885,0,0,No Data,No Data
1179728755,2007-05-21T06:25:55Z,25.383612,81.933626,91.766,4.319652,0,0,No Data,No Data
1179728880,2007-05-21T06:28:00Z,25.380480,81.933622,90.769,4.668241,0,0,No Data,No Data
1179729008,2007-05-21T06:30:08Z,25.377349,81.934199,82.781,5.021577,0,0,No Data,No Data
1179729094,2007-05-21T06:31:34Z,25.375261,81.934774,75.333,5.26113,0,0,No Data,No Data
1179729160,2007-05-21T06:32:40Z,25.373694,81.935350,77.523,5.444885,0,0,No Data,No Data
1179729308,2007-05-21T06:35:08Z,25.370041,81.935925,81.116,5.855668,0,0,No Data,No Data
1179729448,2007-05-21T06:37:28Z,25.366908,81.937655,83.0,6.245468,0,0,No Data,No Data
1179729507,2007-05-21T06:38:27Z,25.365863,81.938810,81.253,6.409839,0,0,No Data,No Data
1179729612,2007-05-21T06:40:12Z,25.363774,81.940541,83.312,6.700307,0,0,No Data,No Data
1179729760,2007-05-21T06:42:40Z,25.361161,81.943424,85.327,7.111089,0,0,No Data,No Data
1179729908,2007-05-21T06:45:08Z,25.358548,81.946309,86.534,7.521972,0,0,No Data,No Data
1179730056,2007-05-21T06:47:36Z,25.355939,81.949197,86.808,7.932806,0,0,No Data,No Data
1179730189,2007-05-21T06:49:49Z,25.353848,81.952082,85.498,8.304873,0,0,No Data,No Data
1179730308,2007-05-21T06:51:48Z,25.351759,81.954390,87.812,8.633558,0,0,No Data,No Data
1179730448,2007-05-21T06:54:08Z,25.350190,81.957854,87.82,9.023411,0,0,No Data,No Data
1179730542,2007-05-21T06:55:42Z,25.349144,81.960163,85.301,9.283289,0,0,No Data,No Data
1179730694,2007-05-21T06:58:14Z,25.348097,81.964205,88.401,9.70635,0,0,No Data,No Data
1179730807,2007-05-21T07:00:07Z,25.347051,81.967091,86.813,10.01927,0,0,No Data,No Data
1179730959,2007-05-21T07:02:39Z,25.346003,81.971133,87.975,10.44236,0,0,No Data,No Data
1179731148,2007-05-21T07:05:48Z,25.345477,81.976330,86.597,10.96856,0,0,No Data,No Data
1179731316,2007-05-21T07:08:36Z,25.345472,81.980950,87.231,11.43345,0,0,No Data,No Data
1179731462,2007-05-21T07:11:02Z,25.345468,81.984993,83.024,11.84024,0,0,No Data,No Data
1179731509,2007-05-21T07:11:49Z,25.345989,81.986148,84.035,11.97021,0,0,No Data,No Data
1179731616,2007-05-21T07:13:36Z,25.346508,81.989037,86.839,12.26658,0,0,No Data,No Data
1179731743,2007-05-21T07:15:43Z,25.347026,81.992502,86.432,12.62003,0,0,No Data,No Data
1179731827,2007-05-21T07:17:07Z,25.347024,81.994812,88.775,12.85253,0,0,No Data,No Data
1179731933,2007-05-21T07:18:53Z,25.347542,81.997701,87.973,13.1489,0,0,No Data,No Data
1179732066,2007-05-21T07:21:06Z,25.348582,82.001167,86.982,13.51643,0,0,No Data,No Data
1179732238,2007-05-21T07:23:58Z,25.349620,82.005789,86.152,13.99566,0,0,No Data,No Data
1179732351,2007-05-21T07:25:51Z,25.350661,82.008678,84.5,14.30864,0,0,No Data,No Data
1179732510,2007-05-21T07:28:30Z,25.352221,82.012723,85.269,14.75123,0,0,No Data,No Data
1179732690,2007-05-21T07:31:30Z,25.354826,82.016770,85.791,15.25119,0,0,No Data,No Data
1179732870,2007-05-21T07:34:30Z,25.357430,82.020818,85.721,15.75112,0,0,No Data,No Data
1179733057,2007-05-21T07:37:37Z,25.359512,82.025442,72.0,16.27087,0,0,No Data,No Data
1179733226,2007-05-21T07:40:26Z,25.361594,82.029488,81.986,16.73936,0,0,No Data,No Data
1179733413,2007-05-21T07:43:33Z,25.363676,82.034113,87.324,17.25917,0,0,No Data,No Data
1179733561,2007-05-21T07:46:01Z,25.364192,82.038157,85.566,17.67007,0,0,No Data,No Data
1179733647,2007-05-21T07:47:27Z,25.364710,82.040468,86.303,17.9097,0,0,No Data,No Data
1179733800,2007-05-21T07:50:00Z,25.365748,82.044514,84.101,18.33285,0,0,No Data,No Data
