UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.444143,81.880131,88.939,0,0,0,No Data,No Data
1179727343,2007-05-21T06:02:23Z,25.444142,81.884099,93.32,0.3989562,0,0,No Data,No Data
1179727430,2007-05-21T06:03:50Z,25.444141,81.886480,77.81,0.6383572,0,0,No Data,No Data
1179727545,2007-05-21T06:05:45Z,25.444140,81.889654,74.0,0.9575298,0,0,No Data,No Data
1179727803,2007-05-21T06:10:03Z,25.444137,81.896797,80.633,1.675668,0,0,No Data,No Data
1179728061,2007-05-21T06:14:21Z,25.444134,81.903940,77.272,2.393767,0,0,No Data,No Data
1179728205,2007-05-21T06:16:45Z,25.444132,81.907908,80.693,2.792693,0,0,No Data,No Data
1179728349,2007-05-21T06:19:09Z,25.444130,81.911876,89.038,3.19163,0,0,No Data,No Data
1179728550,2007-05-21T06:22:30Z,25.444127,81.917431,95.046,3.750162,0,0,No Data,No Data
1179728722,2007-05-21T06:25:22Z,25.444124,81.922193,93.564,4.228966,0,0,No Data,No Data
1179728841,2007-05-21T06:27:21Z,25.443406,81.925367,92.029,4.55799,0,0,No Data,No Data
1179728984,2007-05-21T06:29:44Z,25.441254,81.928541,93.005,4.956973,0,0,No Data,No Data
1179729066,2007-05-21T06:31:06Z,25.439820,81.930127,90.668,5.182597,0,0,No Data,No Data
1179729249,2007-05-21T06:34:09Z,25.436951,81.934093,98.201,5.693483,0,0,No Data,No Data
1179729433,2007-05-21T06:37:13Z,25.434081,81.938059,97.138,6.204382,0,0,No Data,No Data
1179729680,2007-05-21T06:41:20Z,25.429062,81.942022,94.964,6.890661,0,0,No Data,No Data
1179729912,2007-05-21T06:45:12Z,25.424043,81.945191,97.671,7.533897,0,0,No Data,No Data
1179730056,2007-05-21T06:47:36Z,25.421174,81.947569,95.0,7.932833,0,0,No Data,No Data
1179730265,2007-05-21T06:51:05Z,25.416156,81.949151,93.377,8.513597,0,0,No Data,No Data
1179730411,2007-05-21T06:53:31Z,25.412572,81.949940,95.906,8.920324,0,0,No Data,No Data
1179730526,2007-05-21T06:55:26Z,25.409706,81.949937,95.621,9.239362,0,0,No Data,No Data
1179730701,2007-05-21T06:58:21Z,25.405405,81.950726,98.915,9.724647,0,0,No Data,No Data
1179730875,2007-05-21T07:01:15Z,25.401105,81.951515,95.186,10.20987,0,0,No Data,No Data
1179731004,2007-05-21T07:03:24Z,25.398237,81.953099,95.6,10.56667,0,0,No Data,No Data
1179731186,2007-05-21T07:06:26Z,25.393936,81.954682,98.039,11.07128,0,0,No Data,No Data
1179731389,2007-05-21T07:09:49Z,25.390349,81.958645,100.746,11.63553,0,0,No Data,No Data
1179731551,2007-05-21T07:12:31Z,25.387479,81.961817,98.044,12.08702,0,0,No Data,No Data
1179731719,2007-05-21T07:15:19Z,25.385325,81.965782,96.01,12.55239,0,0,No Data,No Data
1179731886,2007-05-21T07:18:06Z,25.383171,81.969748,97.973,13.01781,0,0,No Data,No Data
1179732041,2007-05-21T07:20:41Z,25.381734,81.973714,95.963,13.44763,0,0,No Data,No Data
1179732209,2007-05-21T07:23:29Z,25.379580,81.977679,98.886,13.91305,0,0,No Data,No Data
1179732454,2007-05-21T07:27:34Z,25.377423,81.984026,98.664,14.59513,0,0,No Data,No Data
1179732609,2007-05-21T07:30:09Z,25.375985,81.987992,99.075,15.02498,0,0,No Data,No Data
1179732846,2007-05-21T07:34:06Z,25.374544,81.994339,94.433,15.68324,0,0,No Data,No Data
1179733018,2007-05-21T07:36:58Z,25.374539,81.999100,93.195,16.16216,0,0,No Data,No Data
1179733221,2007-05-21T07:40:21Z,25.373815,82.004654,91.218,16.7267,0,0,No Data,No Data
1179733451,2007-05-21T07:44:11Z,25.373807,82.011005,88.569,17.36555,0,0,No Data,No Data
1179733555,2007-05-21T07:45:55Z,25.375237,82.013388,87.696,17.65336,0,0,No Data,No Data
1179733674,2007-05-21T07:47:54Z,25.375950,82.016564,87.983,17.98256,0,0,No Data,No Data
1179733881,2007-05-21T07:51:21Z,25.378811,82.021330,87.598,18.55818,0,0,No Data,No Data
1179734036,2007-05-21T07:53:56Z,25.380239,82.025301,87.165,18.98816,0,0,No Data,No Data
1179734217,2007-05-21T07:56:57Z,25.381666,82.030066,86.16,19.49318,0,0,No Data,No Data
1179734385,2007-05-21T07:59:45Z,25.383811,82.034039,87.361,19.95876,0,0,No Data,No Data
1179734586,2007-05-21T08:03:06Z,25.383803,82.039596,86.0,20.51777,0,0,No Data,No Data
1179734859,2007-05-21T08:07:39Z,25.385943,82.046745,86.728,21.27534,0,0,No Data,No Data
1179735062,2007-05-21T08:11:02Z,25.386651,82.052304,84.951,21.84006,0,0,No Data,No Data
1179735120,2007-05-21T08:12:00Z,25.386649,82.053892,85.315,21.99984,0,0,No Data,No Data
