YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,14.98,8.691087992,34.6
01-02-1961 00:00,16.04,8.691087992,29.35
01-03-1961 00:00,24.27,8.691087992,0.05
01-04-1961 00:00,29.32,8.691087992,1.85
01-05-1961 00:00,33.09,8.691087992,7.1
01-06-1961 00:00,32.35,8.691087992,83.05
01-07-1961 00:00,29.69,8.691087992,293.8
01-08-1961 00:00,28.61,8.691087992,437.25
01-09-1961 00:00,28.38,8.691087992,134.15
01-10-1961 00:00,24.7,8.691087992,172.45
01-11-1961 00:00,18.96,8.691087992,1.25
01-12-1961 00:00,12.93,8.691087992,11.2
01-01-1962 00:00,13.34,9.561883147,31.3
01-02-1962 00:00,17.88,9.561883147,17.8
01-03-1962 00:00,23.18,9.561883147,12.15
01-04-1962 00:00,29.49,9.561883147,2.8
01-05-1962 00:00,32.76,9.561883147,2.7
01-06-1962 00:00,33.05,9.561883147,63.8
01-07-1962 00:00,30.45,9.561883147,223.75
01-08-1962 00:00,28.62,9.561883147,333.05
01-09-1962 00:00,27.7,9.561883147,240
01-10-1962 00:00,24.24,9.561883147,1.2
01-11-1962 00:00,19.85,9.561883147,0.8
01-12-1962 00:00,15.62,9.561883147,5.75
01-01-1963 00:00,14.13,10.26941949,14.2
01-02-1963 00:00,19.18,10.26941949,3.7
01-03-1963 00:00,23.04,10.26941949,7.6
01-04-1963 00:00,28.2,10.26941949,6.05
01-05-1963 00:00,31.56,10.26941949,14.55
01-06-1963 00:00,32.13,10.26941949,85.4
01-07-1963 00:00,30.1,10.26941949,243.1
01-08-1963 00:00,28.56,10.26941949,350.65
01-09-1963 00:00,27.89,10.26941949,212.8
01-10-1963 00:00,25.84,10.26941949,12.6
01-11-1963 00:00,21.19,10.26941949,9.45
01-12-1963 00:00,15.87,10.26941949,3
01-01-1964 00:00,14.06,10.04041722,1.95
01-02-1964 00:00,17.79,10.04041722,3.7
01-03-1964 00:00,25.24,10.04041722,1.05
01-04-1964 00:00,29.98,10.04041722,2.15
01-05-1964 00:00,31.13,10.04041722,31.8
01-06-1964 00:00,32.85,10.04041722,60.85
01-07-1964 00:00,28.69,10.04041722,407.5
01-08-1964 00:00,28.9,10.04041722,213.3
01-09-1964 00:00,27.85,10.04041722,276.6
01-10-1964 00:00,25.99,10.04041722,9.95
01-11-1964 00:00,19.6,10.04041722,0.5
01-12-1964 00:00,15.89,10.04041722,10.05
01-01-1965 00:00,16.05,11.06176243,5.05
01-02-1965 00:00,17.66,11.06176243,5.55
01-03-1965 00:00,22.35,11.06176243,10.25
01-04-1965 00:00,27.39,11.06176243,20.2
01-05-1965 00:00,31.92,11.06176243,6.65
01-06-1965 00:00,34.03,11.06176243,12.55
01-07-1965 00:00,29.73,11.06176243,209.95
01-08-1965 00:00,28.83,11.06176243,216.5
01-09-1965 00:00,28,11.06176243,155.05
01-10-1965 00:00,25.62,11.06176243,36.6
01-11-1965 00:00,20.89,11.06176243,0.25
01-12-1965 00:00,15.3,11.06176243,0.95
01-01-1966 00:00,15.42,11.44791352,9.75
01-02-1966 00:00,19.88,11.44791352,10.9
01-03-1966 00:00,23.81,11.44791352,0.5
01-04-1966 00:00,29.66,11.44791352,0.1
01-05-1966 00:00,32.95,11.44791352,14.45
01-06-1966 00:00,32.5,11.44791352,164.5
01-07-1966 00:00,30.84,11.44791352,147.9
01-08-1966 00:00,28.64,11.44791352,315.4
01-09-1966 00:00,28.49,11.44791352,36.2
01-10-1966 00:00,25.85,11.44791352,12.15
01-11-1966 00:00,20.85,11.44791352,13.05
01-12-1966 00:00,15.53,11.44791352,7
01-01-1967 00:00,14.33,11.47944104,1.3
01-02-1967 00:00,19.69,11.47944104,0.1
01-03-1967 00:00,22.19,11.47944104,32.45
01-04-1967 00:00,27.92,11.47944104,5.25
01-05-1967 00:00,32.28,11.47944104,5.95
01-06-1967 00:00,33.39,11.47944104,66.4
01-07-1967 00:00,29.72,11.47944104,264.15
01-08-1967 00:00,28.02,11.47944104,476.45
01-09-1967 00:00,27.95,11.47944104,189.7
01-10-1967 00:00,24.88,11.47944104,3.75
01-11-1967 00:00,19.59,11.47944104,1.4
01-12-1967 00:00,16.11,11.47944104,46.3
01-01-1968 00:00,13.8,12.48563348,25.3
01-02-1968 00:00,16.43,12.48563348,6.95
01-03-1968 00:00,22.97,12.48563348,7.25
01-04-1968 00:00,28.21,12.48563348,1.45
01-05-1968 00:00,32.13,12.48563348,0.9
01-06-1968 00:00,32.07,12.48563348,70.75
01-07-1968 00:00,29.16,12.48563348,315.3
01-08-1968 00:00,28.63,12.48563348,228.05
01-09-1968 00:00,29.39,12.48563348,84.4
01-10-1968 00:00,24.95,12.48563348,24.25
01-11-1968 00:00,20.2,12.48563348,0
01-12-1968 00:00,16.23,12.48563348,1.9
01-01-1969 00:00,15.01,12.71145855,4.3
01-02-1969 00:00,18.94,12.71145855,2.8
01-03-1969 00:00,25.83,12.71145855,6.45
01-04-1969 00:00,29.39,12.71145855,5.9
01-05-1969 00:00,31.48,12.71145855,26.95
01-06-1969 00:00,33.32,12.71145855,38.15
01-07-1969 00:00,29.45,12.71145855,340.75
01-08-1969 00:00,28.47,12.71145855,292.3
01-09-1969 00:00,27.85,12.71145855,215.85
01-10-1969 00:00,25.99,12.71145855,3.6
01-11-1969 00:00,21.48,12.71145855,14.35
01-12-1969 00:00,16.01,12.71145855,0
01-01-1970 00:00,15.27,13.00595986,34.55
01-02-1970 00:00,17.16,13.00595986,42.95
01-03-1970 00:00,23.01,13.00595986,8.85
01-04-1970 00:00,30.02,13.00595986,1.1
01-05-1970 00:00,32.92,13.00595986,22.9
01-06-1970 00:00,31.16,13.00595986,153.55
01-07-1970 00:00,29.95,13.00595986,165.75
01-08-1970 00:00,28.85,13.00595986,271.2
01-09-1970 00:00,28.17,13.00595986,263.15
01-10-1970 00:00,25.86,13.00595986,34.05
01-11-1970 00:00,19.81,13.00595986,0.05
01-12-1970 00:00,15.89,13.00595986,0
01-01-1971 00:00,14.18,13.72082818,13.3
01-02-1971 00:00,17.62,13.72082818,12.05
01-03-1971 00:00,23.14,13.72082818,5
01-04-1971 00:00,28.59,13.72082818,25.55
01-05-1971 00:00,30.23,13.72082818,49.6
01-06-1971 00:00,30.26,13.72082818,170.8
01-07-1971 00:00,28.36,13.72082818,289.95
01-08-1971 00:00,27.77,13.72082818,333.6
01-09-1971 00:00,27.9,13.72082818,173.75
01-10-1971 00:00,25.14,13.72082818,80.05
01-11-1971 00:00,19.73,13.72082818,3.35
01-12-1971 00:00,15.68,13.72082818,0
01-01-1972 00:00,15.42,14.51928111,6.85
01-02-1972 00:00,16.06,14.51928111,24.85
01-03-1972 00:00,24.24,14.51928111,3.75
01-04-1972 00:00,28.1,14.51928111,2.1
01-05-1972 00:00,33.51,14.51928111,0.7
01-06-1972 00:00,33.92,14.51928111,29.4
01-07-1972 00:00,30.52,14.51928111,175.85
01-08-1972 00:00,28.53,14.51928111,209.9
01-09-1972 00:00,27.5,14.51928111,143.4
01-10-1972 00:00,24.75,14.51928111,16.05
01-11-1972 00:00,20.14,14.51928111,12.1
01-12-1972 00:00,16.4,14.51928111,1
01-01-1973 00:00,15.4,14.95211249,9.6
01-02-1973 00:00,19.23,14.95211249,15.5
01-03-1973 00:00,23.72,14.95211249,1.65
01-04-1973 00:00,31.04,14.95211249,0
01-05-1973 00:00,33.11,14.95211249,12.9
01-06-1973 00:00,32.19,14.95211249,99.8
01-07-1973 00:00,30.01,14.95211249,254.3
01-08-1973 00:00,28.41,14.95211249,274.9
01-09-1973 00:00,28.05,14.95211249,130.8
01-10-1973 00:00,25.14,14.95211249,80.35
