Date,Temperature,State
1961-01-01 00:00:00,14.98,Uttar Pradesh
1961-02-01 00:00:00,16.04,Uttar Pradesh
1961-03-01 00:00:00,24.27,Uttar Pradesh
1961-04-01 00:00:00,29.32,Uttar Pradesh
1961-05-01 00:00:00,33.09,Uttar Pradesh
1961-06-01 00:00:00,32.35,Uttar Pradesh
1961-07-01 00:00:00,29.69,Uttar Pradesh
1961-08-01 00:00:00,28.61,Uttar Pradesh
1961-09-01 00:00:00,28.38,Uttar Pradesh
1961-10-01 00:00:00,24.7,Uttar Pradesh
1961-11-01 00:00:00,18.96,Uttar Pradesh
1961-12-01 00:00:00,12.93,Uttar Pradesh
1962-01-01 00:00:00,13.34,Uttar Pradesh
1962-02-01 00:00:00,17.88,Uttar Pradesh
1962-03-01 00:00:00,23.18,Uttar Pradesh
1962-04-01 00:00:00,29.49,Uttar Pradesh
1962-05-01 00:00:00,32.76,Uttar Pradesh
1962-06-01 00:00:00,33.05,Uttar Pradesh
1962-07-01 00:00:00,30.45,Uttar Pradesh
1962-08-01 00:00:00,28.62,Uttar Pradesh
1962-09-01 00:00:00,27.7,Uttar Pradesh
1962-10-01 00:00:00,24.24,Uttar Pradesh
1962-11-01 00:00:00,19.85,Uttar Pradesh
1962-12-01 00:00:00,15.62,Uttar Pradesh
1963-01-01 00:00:00,14.13,Uttar Pradesh
1963-02-01 00:00:00,19.18,Uttar Pradesh
1963-03-01 00:00:00,23.04,Uttar Pradesh
1963-04-01 00:00:00,28.2,Uttar Pradesh
1963-05-01 00:00:00,31.56,Uttar Pradesh
1963-06-01 00:00:00,32.13,Uttar Pradesh
1963-07-01 00:00:00,30.1,Uttar Pradesh
1963-08-01 00:00:00,28.56,Uttar Pradesh
1963-09-01 00:00:00,27.89,Uttar Pradesh
1963-10-01 00:00:00,25.84,Uttar Pradesh
1963-11-01 00:00:00,21.19,Uttar Pradesh
1963-12-01 00:00:00,15.87,Uttar Pradesh
1964-01-01 00:00:00,14.06,Uttar Pradesh
1964-02-01 00:00:00,17.79,Uttar Pradesh
1964-03-01 00:00:00,25.24,Uttar Pradesh
1964-04-01 00:00:00,29.98,Uttar Pradesh
1964-05-01 00:00:00,31.13,Uttar Pradesh
1964-06-01 00:00:00,32.85,Uttar Pradesh
1964-07-01 00:00:00,28.69,Uttar Pradesh
1964-08-01 00:00:00,28.9,Uttar Pradesh
1964-09-01 00:00:00,27.85,Uttar Pradesh
