UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,30.226773,78.820656,581.505,0,0,0,No Data,No Data
1179727219,2007-05-21T06:00:19Z,30.226783,78.820099,572.399,0.0535328,0,0,No Data,No Data
1179727253,2007-05-21T06:00:53Z,30.226403,78.819227,564.592,0.1474037,0,0,No Data,No Data
1179727296,2007-05-21T06:01:36Z,30.226012,78.818047,554.718,0.2689116,0,0,No Data,No Data
1179727334,2007-05-21T06:02:14Z,30.225747,78.817014,550.258,0.3724745,0,0,No Data,No Data
1179727369,2007-05-21T06:02:49Z,30.225350,78.816114,548.976,0.4695971,0,0,No Data,No Data
1179727404,2007-05-21T06:03:24Z,30.224954,78.815216,552.884,0.566478,0,0,No Data,No Data
1179727466,2007-05-21T06:04:26Z,30.224675,78.813443,547.63,0.7397264,0,0,No Data,No Data
1179727487,2007-05-21T06:04:47Z,30.224538,78.812849,545.578,0.798842,0,0,No Data,No Data
1179727502,2007-05-21T06:05:02Z,30.224534,78.812411,545.892,0.8409278,0,0,No Data,No Data
1179727533,2007-05-21T06:05:33Z,30.224136,78.811655,548.384,0.9260045,0,0,No Data,No Data
1179727566,2007-05-21T06:06:06Z,30.223362,78.811323,559.895,1.017855,0,0,No Data,No Data
1179727587,2007-05-21T06:06:27Z,30.222851,78.811299,558.304,1.074755,0,0,No Data,No Data
1179727605,2007-05-21T06:06:45Z,30.222469,78.810998,553.227,1.126108,0,0,No Data,No Data
1179727636,2007-05-21T06:07:16Z,30.221707,78.810968,554.049,1.210937,0,0,No Data,No Data
1179727650,2007-05-21T06:07:30Z,30.221451,78.810670,550.115,1.251283,0,0,No Data,No Data
1179727678,2007-05-21T06:07:58Z,30.220818,78.810360,542.481,1.327795,0,0,No Data,No Data
1179727719,2007-05-21T06:08:39Z,30.219928,78.809748,537.154,1.443012,0,0,No Data,No Data
1179727750,2007-05-21T06:09:10Z,30.219388,78.809097,541.216,1.529764,0,0,No Data,No Data
1179727785,2007-05-21T06:09:45Z,30.218851,78.808308,566.088,1.626253,0,0,No Data,No Data
1179727815,2007-05-21T06:10:15Z,30.218857,78.807467,553.084,1.707138,0,0,No Data,No Data
1179727848,2007-05-21T06:10:48Z,30.218864,78.806483,543.224,1.801709,0,0,No Data,No Data
