YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,6.06,0.1304,126.3
01-02-1961 00:00,5.57,0.1304,133.7
01-03-1961 00:00,12.7,0.1304,24.1
01-04-1961 00:00,17.05,0.1304,20.5
01-05-1961 00:00,20.76,0.1304,41
01-06-1961 00:00,22.24,0.1304,181.2
01-07-1961 00:00,20.89,0.1304,490.1
01-08-1961 00:00,19.86,0.1304,511.6
01-09-1961 00:00,19.44,0.1304,226.4
01-10-1961 00:00,15.07,0.1304,122.7
01-11-1961 00:00,9.42,0.1304,13.1
01-12-1961 00:00,4.92,0.1304,57.5
01-01-1962 00:00,4.91,0.1435,79.5
01-02-1962 00:00,7.81,0.1435,86.3
01-03-1962 00:00,11.79,0.1435,68.7
01-04-1962 00:00,17.42,0.1435,27.3
01-05-1962 00:00,20.72,0.1435,21.5
01-06-1962 00:00,22.61,0.1435,150.9
01-07-1962 00:00,21.3,0.1435,402.2
01-08-1962 00:00,19.86,0.1435,398.2
01-09-1962 00:00,18.22,0.1435,341.5
01-10-1962 00:00,14.82,0.1435,8.6
01-11-1962 00:00,10.94,0.1435,29
01-12-1962 00:00,6.73,0.1435,33.9
01-01-1963 00:00,6.21,0.1541,17.4
01-02-1963 00:00,9.47,0.1541,35.5
01-03-1963 00:00,11.12,0.1541,130.9
01-04-1963 00:00,15.82,0.1541,51.4
01-05-1963 00:00,19.66,0.1541,49.3
01-06-1963 00:00,22.02,0.1541,193.1
01-07-1963 00:00,21.4,0.1541,360.9
01-08-1963 00:00,19.59,0.1541,523.4
01-09-1963 00:00,18.55,0.1541,345.1
01-10-1963 00:00,15.98,0.1541,10.8
01-11-1963 00:00,11.2,0.1541,43.9
01-12-1963 00:00,7.39,0.1541,40.2
01-01-1964 00:00,5,0.1506,89.7
01-02-1964 00:00,7.63,0.1506,72.5
01-03-1964 00:00,13.96,0.1506,75
01-04-1964 00:00,17.67,0.1506,48.4
01-05-1964 00:00,18.67,0.1506,95.2
01-06-1964 00:00,22.35,0.1506,162.7
01-07-1964 00:00,19.65,0.1506,463.8
01-08-1964 00:00,20.23,0.1506,402
01-09-1964 00:00,18.3,0.1506,327.6
01-10-1964 00:00,16.42,0.1506,1.3
01-11-1964 00:00,10.62,0.1506,0
01-12-1964 00:00,7.44,0.1506,31.3
01-01-1965 00:00,7.45,0.166,44.4
01-02-1965 00:00,6.9,0.166,159.5
01-03-1965 00:00,10.62,0.166,119.3
01-04-1965 00:00,15,0.166,62.1
01-05-1965 00:00,19.49,0.166,44.1
01-06-1965 00:00,23.27,0.166,50.3
01-07-1965 00:00,20.37,0.166,388
01-08-1965 00:00,19.51,0.166,302.8
01-09-1965 00:00,18.76,0.166,87.5
01-10-1965 00:00,15.51,0.166,33
01-11-1965 00:00,11.72,0.166,11.8
01-12-1965 00:00,7.03,0.166,2.9
01-01-1966 00:00,6.87,0.1718,3.2
01-02-1966 00:00,9.72,0.1718,86.6
01-03-1966 00:00,12.47,0.1718,48.9
01-04-1966 00:00,17.15,0.1718,17.8
01-05-1966 00:00,20.72,0.1718,76.7
01-06-1966 00:00,21.98,0.1718,270
01-07-1966 00:00,21.24,0.1718,363
01-08-1966 00:00,19.94,0.1718,410.3
01-09-1966 00:00,18.58,0.1718,125.7
01-10-1966 00:00,15.2,0.1718,35.1
01-11-1966 00:00,10.77,0.1718,15.3
01-12-1966 00:00,7.37,0.1718,13.3
01-01-1967 00:00,5.83,0.1722,11
01-02-1967 00:00,9.77,0.1722,35
01-03-1967 00:00,10.59,0.1722,112.5
01-04-1967 00:00,15.92,0.1722,26
01-05-1967 00:00,19.95,0.1722,23.2
01-06-1967 00:00,22.77,0.1722,122.6
01-07-1967 00:00,20.64,0.1722,436.3
01-08-1967 00:00,19.27,0.1722,518.7
01-09-1967 00:00,18.87,0.1722,146.5
01-10-1967 00:00,14.68,0.1722,22
01-11-1967 00:00,9.63,0.1722,22.4
01-12-1967 00:00,6.99,0.1722,79.9
01-01-1968 00:00,4.58,0.1873,173.1
01-02-1968 00:00,6,0.1873,122.8
01-03-1968 00:00,11.65,0.1873,62.9
01-04-1968 00:00,16.35,0.1873,49
01-05-1968 00:00,20.31,0.1873,15
01-06-1968 00:00,21.75,0.1873,218.6
01-07-1968 00:00,20.12,0.1873,393.6
01-08-1968 00:00,19.83,0.1873,280.6
01-09-1968 00:00,19.76,0.1873,109.6
01-10-1968 00:00,14.76,0.1873,13
01-11-1968 00:00,10.84,0.1873,1.4
01-12-1968 00:00,7.67,0.1873,38.9
01-01-1969 00:00,5.89,0.1907,79.8
01-02-1969 00:00,8.67,0.1907,43.1
01-03-1969 00:00,14.55,0.1907,49
01-04-1969 00:00,16.52,0.1907,60.7
01-05-1969 00:00,19.36,0.1907,77
01-06-1969 00:00,22.51,0.1907,89.6
01-07-1969 00:00,20.49,0.1907,381
01-08-1969 00:00,19.92,0.1907,483.5
