Date,Rainfall,Uncertainty,State,Country
1/1/1961,6.06,0.364,Uttaranchal,India
2/1/1961,5.57,0.6,Uttaranchal,India
3/1/1961,12.7,0.323,Uttaranchal,India
4/1/1961,17.05,0.538,Uttaranchal,India
5/1/1961,20.76,0.396,Uttaranchal,India
6/1/1961,22.24,0.682,Uttaranchal,India
7/1/1961,20.89,0.426,Uttaranchal,India
8/1/1961,19.86,0.321,Uttaranchal,India
9/1/1961,19.44,0.259,Uttaranchal,India
10/1/1961,15.07,0.465,Uttaranchal,India
11/1/1961,9.42,0.355,Uttaranchal,India
12/1/1961,4.92,0.503,Uttaranchal,India
1/1/1962,4.91,0.397,Uttaranchal,India
2/1/1962,7.81,0.454,Uttaranchal,India
3/1/1962,11.79,0.338,Uttaranchal,India
4/1/1962,17.42,0.566,Uttaranchal,India
5/1/1962,20.72,0.43,Uttaranchal,India
6/1/1962,22.61,0.665,Uttaranchal,India
7/1/1962,21.3,0.397,Uttaranchal,India
8/1/1962,19.86,0.471,Uttaranchal,India
9/1/1962,18.22,0.258,Uttaranchal,India
10/1/1962,14.82,0.724,Uttaranchal,India
11/1/1962,10.94,0.645,Uttaranchal,India
12/1/1962,6.73,0.719,Uttaranchal,India
1/1/1963,6.21,1.099,Uttaranchal,India
2/1/1963,9.47,0.489,Uttaranchal,India
3/1/1963,11.12,0.482,Uttaranchal,India
4/1/1963,15.82,0.466,Uttaranchal,India
5/1/1963,19.66,0.486,Uttaranchal,India
6/1/1963,22.02,0.622,Uttaranchal,India
7/1/1963,21.4,0.328,Uttaranchal,India
8/1/1963,19.59,0.338,Uttaranchal,India
9/1/1963,18.55,0.61,Uttaranchal,India
10/1/1963,15.98,0.33,Uttaranchal,India
11/1/1963,11.2,0.66,Uttaranchal,India
12/1/1963,7.39,0.576,Uttaranchal,India
1/1/1964,5,0.717,Uttaranchal,India
2/1/1964,7.63,0.596,Uttaranchal,India
3/1/1964,13.96,0.677,Uttaranchal,India
4/1/1964,17.67,0.364,Uttaranchal,India
5/1/1964,18.67,0.538,Uttaranchal,India
6/1/1964,22.35,0.452,Uttaranchal,India
7/1/1964,19.65,0.47,Uttaranchal,India
8/1/1964,20.23,0.275,Uttaranchal,India
9/1/1964,18.3,0.287,Uttaranchal,India
10/1/1964,16.42,0.763,Uttaranchal,India
11/1/1964,10.62,0.318,Uttaranchal,India
12/1/1964,7.44,0.491,Uttaranchal,India
1/1/1965,7.45,0.407,Uttaranchal,India
2/1/1965,6.9,0.722,Uttaranchal,India
3/1/1965,10.62,0.55,Uttaranchal,India
4/1/1965,15,0.21,Uttaranchal,India
5/1/1965,19.49,0.663,Uttaranchal,India
6/1/1965,23.27,0.621,Uttaranchal,India
7/1/1965,20.37,0.317,Uttaranchal,India
8/1/1965,19.51,0.274,Uttaranchal,India
9/1/1965,18.76,0.329,Uttaranchal,India
10/1/1965,15.51,0.336,Uttaranchal,India
11/1/1965,11.72,0.511,Uttaranchal,India
12/1/1965,7.03,0.923,Uttaranchal,India
1/1/1966,6.87,0.355,Uttaranchal,India
2/1/1966,9.72,0.457,Uttaranchal,India
3/1/1966,12.47,0.52,Uttaranchal,India
4/1/1966,17.15,0.377,Uttaranchal,India
5/1/1966,20.72,0.419,Uttaranchal,India
6/1/1966,21.98,0.283,Uttaranchal,India
7/1/1966,21.24,0.341,Uttaranchal,India
8/1/1966,19.94,0.261,Uttaranchal,India
9/1/1966,18.58,0.475,Uttaranchal,India
10/1/1966,15.2,0.364,Uttaranchal,India
11/1/1966,10.77,0.629,Uttaranchal,India
12/1/1966,7.37,0.639,Uttaranchal,India
1/1/1967,5.83,0.933,Uttaranchal,India
2/1/1967,9.77,0.483,Uttaranchal,India
3/1/1967,10.59,0.391,Uttaranchal,India
4/1/1967,15.92,0.255,Uttaranchal,India
5/1/1967,19.95,0.586,Uttaranchal,India
6/1/1967,22.77,0.41,Uttaranchal,India
