UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.186451,94.804181,226.959,0,0,0,No Data,No Data
1179727269,2007-05-21T06:01:09Z,28.187501,94.805728,227.638,0.1916528,0,0,No Data,No Data
1179727353,2007-05-21T06:02:33Z,28.189032,94.807368,231.017,0.4261041,0,0,No Data,No Data
1179727430,2007-05-21T06:03:50Z,28.190058,94.809187,229.212,0.6381459,0,0,No Data,No Data
1179727486,2007-05-21T06:04:46Z,28.190627,94.810645,227.345,0.7947208,0,0,No Data,No Data
1179727556,2007-05-21T06:05:56Z,28.191690,94.812210,224.082,0.9886571,0,0,No Data,No Data
1179727614,2007-05-21T06:06:54Z,28.192809,94.813241,224.407,1.149149,0,0,No Data,No Data
1179727667,2007-05-21T06:07:47Z,28.193959,94.814007,227.028,1.297661,0,0,No Data,No Data
1179727721,2007-05-21T06:08:41Z,28.195113,94.814777,222.525,1.446735,0,0,No Data,No Data
1179727731,2007-05-21T06:08:51Z,28.195356,94.814824,223.673,1.474268,0,0,No Data,No Data
1179727789,2007-05-21T06:09:49Z,28.196485,94.815864,215.527,1.6362,0,0,No Data,No Data
1179727856,2007-05-21T06:10:56Z,28.197856,94.816949,226.02,1.822427,0,0,No Data,No Data
1179727923,2007-05-21T06:12:03Z,28.199232,94.818038,225.236,2.009253,0,0,No Data,No Data
1179727946,2007-05-21T06:12:26Z,28.199691,94.818402,225.888,2.071611,0,0,No Data,No Data
1179727996,2007-05-21T06:13:16Z,28.200579,94.819396,226.826,2.210593,0,0,No Data,No Data
1179728060,2007-05-21T06:14:20Z,28.201685,94.820709,231.503,2.388875,0,0,No Data,No Data
1179728118,2007-05-21T06:15:18Z,28.202812,94.821746,223.873,2.550549,0,0,No Data,No Data
1179728168,2007-05-21T06:16:08Z,28.203701,94.822741,219.497,2.689668,0,0,No Data,No Data
1179728254,2007-05-21T06:17:34Z,28.205268,94.824421,221.165,2.929741,0,0,No Data,No Data
1179728327,2007-05-21T06:18:47Z,28.206623,94.825786,222.501,3.131584,0,0,No Data,No Data
1179728377,2007-05-21T06:19:37Z,28.206726,94.827188,217.974,3.269693,0,0,No Data,No Data
1179728398,2007-05-21T06:19:58Z,28.206207,94.827364,218.319,3.329969,0,0,No Data,No Data
1179728449,2007-05-21T06:20:49Z,28.204949,94.827390,221.175,3.470003,0,0,No Data,No Data
1179728542,2007-05-21T06:22:22Z,28.202637,94.827740,228.653,3.729623,0,0,No Data,No Data
1179728636,2007-05-21T06:23:56Z,28.200336,94.828089,231.545,3.988042,0,0,No Data,No Data
1179728679,2007-05-21T06:24:39Z,28.199259,94.828074,246.491,4.107903,0,0,No Data,No Data
1179728753,2007-05-21T06:25:53Z,28.197459,94.827610,274.885,4.31328,0,0,No Data,No Data
1179728794,2007-05-21T06:26:34Z,28.196410,94.827617,314.603,4.429996,0,0,No Data,No Data
1179728857,2007-05-21T06:27:37Z,28.194897,94.827243,358.97,4.60233,0,0,No Data,No Data
1179728931,2007-05-21T06:28:51Z,28.193053,94.826957,294.281,4.809433,0,0,No Data,No Data
1179728996,2007-05-21T06:29:56Z,28.191439,94.826704,281.69,4.990819,0,0,No Data,No Data
1179729081,2007-05-21T06:31:21Z,28.189400,94.826148,341.348,5.224267,0,0,No Data,No Data
1179729209,2007-05-21T06:33:29Z,28.186505,94.824601,402.828,5.580467,0,0,No Data,No Data
1179729311,2007-05-21T06:35:11Z,28.184218,94.823312,277.518,5.864665,0,0,No Data,No Data
1179729399,2007-05-21T06:36:39Z,28.182432,94.821862,282.918,6.109048,0,0,No Data,No Data
