UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,24.366231,72.520646,189.669,0,0,0,No Data,No Data
1179727316,2007-05-21T06:01:56Z,24.363494,72.521664,185.775,0.3217066,0,0,No Data,No Data
1179727374,2007-05-21T06:02:54Z,24.362125,72.522173,183.449,0.4825664,0,0,No Data,No Data
1179727472,2007-05-21T06:04:32Z,24.359845,72.523188,185.42,0.7564601,0,0,No Data,No Data
1179727583,2007-05-21T06:06:23Z,24.357105,72.523701,195.63,1.065869,0,0,No Data,No Data
1179727675,2007-05-21T06:07:55Z,24.355741,72.525713,201.364,1.320245,0,0,No Data,No Data
1179727753,2007-05-21T06:09:13Z,24.354375,72.527223,202.0,1.536094,0,0,No Data,No Data
1179727830,2007-05-21T06:10:30Z,24.353009,72.528733,202.683,1.751954,0,0,No Data,No Data
1179727978,2007-05-21T06:12:58Z,24.351193,72.532252,204.143,2.162189,0,0,No Data,No Data
1179728094,2007-05-21T06:14:54Z,24.350290,72.535266,208.443,2.484059,0,0,No Data,No Data
1179728222,2007-05-21T06:17:02Z,24.350302,72.538778,209.557,2.84033,0,0,No Data,No Data
1179728351,2007-05-21T06:19:11Z,24.350314,72.542290,210.283,3.196562,0,0,No Data,No Data
1179728426,2007-05-21T06:20:26Z,24.350778,72.544294,207.045,3.406363,0,0,No Data,No Data
1179728556,2007-05-21T06:22:36Z,24.351246,72.547804,205.593,3.766194,0,0,No Data,No Data
1179728666,2007-05-21T06:24:26Z,24.351256,72.550813,202.471,4.07142,0,0,No Data,No Data
1179728777,2007-05-21T06:26:17Z,24.351722,72.553820,210.486,4.380859,0,0,No Data,No Data
1179728928,2007-05-21T06:28:48Z,24.352649,72.557829,207.087,4.80045,0,0,No Data,No Data
1179729021,2007-05-21T06:30:21Z,24.353114,72.560335,212.368,5.059933,0,0,No Data,No Data
1179729076,2007-05-21T06:31:16Z,24.353120,72.561840,210.618,5.212615,0,0,No Data,No Data
1179729224,2007-05-21T06:33:44Z,24.354958,72.565343,204.316,5.622701,0,0,No Data,No Data
1179729347,2007-05-21T06:35:47Z,24.356340,72.568347,208.598,5.964116,0,0,No Data,No Data
1179729438,2007-05-21T06:37:18Z,24.357718,72.570348,209.676,6.218553,0,0,No Data,No Data
1179729611,2007-05-21T06:40:11Z,24.360016,72.574350,212.819,6.698391,0,0,No Data,No Data
1179729677,2007-05-21T06:41:17Z,24.360935,72.575850,215.141,6.881802,0,0,No Data,No Data
1179729811,2007-05-21T06:43:31Z,24.361858,72.579356,215.127,7.252022,0,0,No Data,No Data
1179729917,2007-05-21T06:45:17Z,24.363235,72.581858,210.959,7.548577,0,0,No Data,No Data
1179730049,2007-05-21T06:47:29Z,24.365069,72.584861,209.902,7.915312,0,0,No Data,No Data
1179730148,2007-05-21T06:49:08Z,24.365989,72.587365,212.178,8.189202,0,0,No Data,No Data
1179730239,2007-05-21T06:50:39Z,24.367365,72.589366,214.28,8.443538,0,0,No Data,No Data
1179730387,2007-05-21T06:53:07Z,24.369201,72.592871,215.954,8.853613,0,0,No Data,No Data
1179730494,2007-05-21T06:54:54Z,24.370578,72.595374,217.281,9.150209,0,0,No Data,No Data
1179730576,2007-05-21T06:56:16Z,24.371497,72.597377,218.65,9.377729,0,0,No Data,No Data
1179730667,2007-05-21T06:57:47Z,24.372874,72.599375,218.75,9.63181,0,0,No Data,No Data
1179730814,2007-05-21T07:00:14Z,24.374712,72.602868,218.98,10.04097,0,0,No Data,No Data
1179730906,2007-05-21T07:01:46Z,24.376088,72.604864,217.532,10.29489,0,0,No Data,No Data
1179731013,2007-05-21T07:03:33Z,24.377464,72.607368,218.029,10.5915,0,0,No Data,No Data
1179731104,2007-05-21T07:05:04Z,24.378839,72.609371,217.735,10.84588,0,0,No Data,No Data
1179731182,2007-05-21T07:06:22Z,24.380212,72.610871,221.221,11.06162,0,0,No Data,No Data
1179731273,2007-05-21T07:07:53Z,24.381587,72.612867,222.013,11.31548,0,0,No Data,No Data
1179731431,2007-05-21T07:10:31Z,24.383880,72.616383,223.227,11.75408,0,0,No Data,No Data
1179731497,2007-05-21T07:11:37Z,24.384798,72.617886,221.929,11.93767,0,0,No Data,No Data
1179731645,2007-05-21T07:14:05Z,24.386634,72.621400,223.68,12.3485,0,0,No Data,No Data
1179731809,2007-05-21T07:16:49Z,24.388471,72.625396,218.083,12.80239,0,0,No Data,No Data
1179731948,2007-05-21T07:19:08Z,24.389851,72.628915,223.628,13.19095,0,0,No Data,No Data
1179732030,2007-05-21T07:20:30Z,24.390770,72.630917,224.166,13.41836,0,0,No Data,No Data
