UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.220299,88.493840,563.863,0,0,0,No Data,No Data
1179727244,2007-05-21T06:00:44Z,27.219231,88.493566,524.559,0.1219038,0,0,No Data,No Data
1179727289,2007-05-21T06:01:29Z,27.218161,88.493136,493.329,0.2482854,0,0,No Data,No Data
1179727332,2007-05-21T06:02:12Z,27.217237,88.492556,440.92,0.3660489,0,0,No Data,No Data
1179727382,2007-05-21T06:03:02Z,27.216160,88.491807,402.132,0.5069308,0,0,No Data,No Data
1179727405,2007-05-21T06:03:25Z,27.215609,88.491656,395.134,0.5700273,0,0,No Data,No Data
1179727422,2007-05-21T06:03:42Z,27.215189,88.491654,396.082,0.6167169,0,0,No Data,No Data
1179727467,2007-05-21T06:04:27Z,27.214179,88.492248,394.157,0.7435356,0,0,No Data,No Data
1179727491,2007-05-21T06:04:51Z,27.213738,88.492693,399.441,0.8095019,0,0,No Data,No Data
1179727538,2007-05-21T06:05:38Z,27.212670,88.493208,489.124,0.9388176,0,0,No Data,No Data
1179727574,2007-05-21T06:06:14Z,27.211778,88.493445,528.391,1.040778,0,0,No Data,No Data
1179727603,2007-05-21T06:06:43Z,27.211066,88.493418,504.526,1.119981,0,0,No Data,No Data
1179727631,2007-05-21T06:07:11Z,27.210356,88.493392,511.302,1.198971,0,0,No Data,No Data
1179727660,2007-05-21T06:07:40Z,27.209647,88.493366,518.728,1.277848,0,0,No Data,No Data
1179727699,2007-05-21T06:08:19Z,27.208840,88.492771,507.81,1.385278,0,0,No Data,No Data
1179727723,2007-05-21T06:08:43Z,27.208289,88.492461,474.915,1.45383,0,0,No Data,No Data
1179727753,2007-05-21T06:09:13Z,27.207594,88.492143,471.207,1.537276,0,0,No Data,No Data
1179727783,2007-05-21T06:09:43Z,27.206900,88.491825,479.509,1.620646,0,0,No Data,No Data
1179727826,2007-05-21T06:10:26Z,27.205895,88.491452,491.834,1.738395,0,0,No Data,No Data
1179727874,2007-05-21T06:11:14Z,27.204875,88.490736,562.152,1.872193,0,0,No Data,No Data
1179727908,2007-05-21T06:11:48Z,27.204152,88.490209,585.686,1.968067,0,0,No Data,No Data
1179727952,2007-05-21T06:12:32Z,27.203209,88.489619,577.427,2.088124,0,0,No Data,No Data
1179727962,2007-05-21T06:12:42Z,27.202944,88.489635,561.638,2.117664,0,0,No Data,No Data
1179727994,2007-05-21T06:13:14Z,27.202144,88.489680,509.723,2.20681,0,0,No Data,No Data
1179728069,2007-05-21T06:14:29Z,27.200602,88.490864,532.874,2.414668,0,0,No Data,No Data
1179728120,2007-05-21T06:15:20Z,27.199646,88.491809,516.433,2.556384,0,0,No Data,No Data
1179728215,2007-05-21T06:16:55Z,27.198022,88.493753,411.453,2.820448,0,0,No Data,No Data
1179728318,2007-05-21T06:18:38Z,27.195948,88.495439,414.361,3.105409,0,0,No Data,No Data
1179728362,2007-05-21T06:19:22Z,27.194984,88.496065,412.354,3.229336,0,0,No Data,No Data
1179728431,2007-05-21T06:20:31Z,27.193460,88.496953,417.293,3.420384,0,0,No Data,No Data
1179728454,2007-05-21T06:20:54Z,27.193042,88.497386,442.353,3.483641,0,0,No Data,No Data
1179728478,2007-05-21T06:21:18Z,27.192490,88.497679,443.088,3.551613,0,0,No Data,No Data
1179728595,2007-05-21T06:23:15Z,27.190413,88.499978,506.472,3.876142,0,0,No Data,No Data
1179728705,2007-05-21T06:25:05Z,27.188774,88.502448,390.504,4.181312,0,0,No Data,No Data
1179728745,2007-05-21T06:25:45Z,27.188088,88.503262,389.5,4.292385,0,0,No Data,No Data
1179728765,2007-05-21T06:26:05Z,27.187812,88.503731,387.62,4.348096,0,0,No Data,No Data
1179728797,2007-05-21T06:26:37Z,27.187262,88.504360,382.246,4.435399,0,0,No Data,No Data
1179728853,2007-05-21T06:27:33Z,27.186574,88.505735,379.528,4.591636,0,0,No Data,No Data
1179728875,2007-05-21T06:27:55Z,27.186300,88.506286,374.57,4.654135,0,0,No Data,No Data
1179728902,2007-05-21T06:28:22Z,27.186028,88.506976,417.685,4.728867,0,0,No Data,No Data
1179728930,2007-05-21T06:28:50Z,27.185755,88.507696,479.3,4.806337,0,0,No Data,No Data
1179728970,2007-05-21T06:29:30Z,27.185347,88.508720,492.788,4.917531,0,0,No Data,No Data
1179729005,2007-05-21T06:30:05Z,27.184940,88.509569,495.644,5.013073,0,0,No Data,No Data
1179729050,2007-05-21T06:30:50Z,27.184533,88.510746,511.795,5.138155,0,0,No Data,No Data
1179729075,2007-05-21T06:31:15Z,27.184258,88.511390,498.307,5.208923,0,0,No Data,No Data
1179729117,2007-05-21T06:31:57Z,27.183706,88.512391,463.972,5.325535,0,0,No Data,No Data
1179729148,2007-05-21T06:32:28Z,27.183286,88.513120,423.175,5.411529,0,0,No Data,No Data
1179729233,2007-05-21T06:33:53Z,27.182314,88.515245,369.923,5.648149,0,0,No Data,No Data
1179729270,2007-05-21T06:34:30Z,27.181901,88.516180,366.246,5.751525,0,0,No Data,No Data
1179729330,2007-05-21T06:35:30Z,27.181348,88.517752,344.457,5.918951,0,0,No Data,No Data
1179729339,2007-05-21T06:35:39Z,27.181209,88.517919,340.261,5.94157,0,0,No Data,No Data
1179729386,2007-05-21T06:36:26Z,27.180666,88.519101,358.623,6.07336,0,0,No Data,No Data
1179729424,2007-05-21T06:37:04Z,27.180124,88.519974,374.842,6.178826,0,0,No Data,No Data
1179729447,2007-05-21T06:37:27Z,27.179715,88.520411,370.347,6.241647,0,0,No Data,No Data
1179729476,2007-05-21T06:37:56Z,27.179318,88.521086,402.684,6.32178,0,0,No Data,No Data
1179729498,2007-05-21T06:38:18Z,27.178912,88.521517,415.247,6.383939,0,0,No Data,No Data
1179729545,2007-05-21T06:39:05Z,27.178209,88.522559,364.421,6.51345,0,0,No Data,No Data
1179729586,2007-05-21T06:39:46Z,27.177220,88.522893,309.508,6.628397,0,0,No Data,No Data
1179729601,2007-05-21T06:40:01Z,27.176943,88.522597,301.286,6.670884,0,0,No Data,No Data
1179729626,2007-05-21T06:40:26Z,27.176667,88.521990,293.337,6.738338,0,0,No Data,No Data
1179729659,2007-05-21T06:40:59Z,27.176528,88.521073,291.168,6.830395,0,0,No Data,No Data
1179729703,2007-05-21T06:41:43Z,27.176393,88.519827,289.378,6.954687,0,0,No Data,No Data
1179729749,2007-05-21T06:42:29Z,27.176401,88.518554,301.707,7.080707,0,0,No Data,No Data
1179729779,2007-05-21T06:42:59Z,27.176415,88.517711,325.005,7.164144,0,0,No Data,No Data
1179729825,2007-05-21T06:43:45Z,27.176428,88.516416,349.375,7.292323,0,0,No Data,No Data
1179729890,2007-05-21T06:44:50Z,27.176423,88.514596,323.029,7.47248,0,0,No Data,No Data
1179729985,2007-05-21T06:46:25Z,27.176153,88.511958,328.446,7.73537,0,0,No Data,No Data
1179730067,2007-05-21T06:47:47Z,27.176191,88.509647,371.564,7.964221,0,0,No Data,No Data
1179730147,2007-05-21T06:49:07Z,27.176249,88.507415,462.267,8.185298,0,0,No Data,No Data
1179730183,2007-05-21T06:49:43Z,27.176276,88.506394,511.635,8.286463,0,0,No Data,No Data
1179730222,2007-05-21T06:50:22Z,27.176282,88.505303,510.257,8.394476,0,0,No Data,No Data
1179730248,2007-05-21T06:50:48Z,27.176408,88.504580,492.051,8.467387,0,0,No Data,No Data
1179730293,2007-05-21T06:51:33Z,27.177075,88.503557,470.354,8.592991,0,0,No Data,No Data
1179730322,2007-05-21T06:52:02Z,27.177494,88.502901,506.21,8.672976,0,0,No Data,No Data
1179730361,2007-05-21T06:52:41Z,27.178146,88.502098,454.326,8.780709,0,0,No Data,No Data
1179730399,2007-05-21T06:53:19Z,27.178798,88.501310,399.971,8.887343,0,0,No Data,No Data
1179730429,2007-05-21T06:53:49Z,27.179193,88.500611,373.582,8.969361,0,0,No Data,No Data
1179730454,2007-05-21T06:54:14Z,27.179590,88.500063,352.023,9.039358,0,0,No Data,No Data
1179730477,2007-05-21T06:54:37Z,27.179729,88.499437,361.719,9.103183,0,0,No Data,No Data
1179730523,2007-05-21T06:55:23Z,27.180407,88.498394,350.251,9.231119,0,0,No Data,No Data
