UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.475614,85.953315,52.707,0,0,0,No Data,No Data
1179728024,2007-05-21T06:13:44Z,25.491936,85.967155,47.72,2.288411,0,0,No Data,No Data
1179728877,2007-05-21T06:27:57Z,25.509162,85.980991,43.0,4.657201,0,0,No Data,No Data
1179729701,2007-05-21T06:41:41Z,25.525490,85.994843,42.89,6.946689,0,0,No Data,No Data
1179730446,2007-05-21T06:54:06Z,25.540011,86.007718,48.383,9.017098,0,0,No Data,No Data
1179731119,2007-05-21T07:05:19Z,25.550034,86.022636,41.028,10.88549,0,0,No Data,No Data
1179731972,2007-05-21T07:19:32Z,25.562791,86.041540,43.098,13.25666,0,0,No Data,No Data
1179733007,2007-05-21T07:36:47Z,25.578282,86.064436,48.268,16.13092,0,0,No Data,No Data
1179733971,2007-05-21T07:52:51Z,25.591963,86.086356,51.018,18.80765,0,0,No Data,No Data
1179734685,2007-05-21T08:04:45Z,25.601100,86.103313,42.993,20.79101,0,0,No Data,No Data
1179734948,2007-05-21T08:09:08Z,25.602948,86.110310,41.828,21.52309,0,0,No Data,No Data
1179735177,2007-05-21T08:12:57Z,25.604791,86.116306,41.387,22.15919,0,0,No Data,No Data
1179735521,2007-05-21T08:18:41Z,25.607555,86.125302,38.661,23.1134,0,0,No Data,No Data
1179735741,2007-05-21T08:22:21Z,25.608494,86.131305,39.0,23.72512,0,0,No Data,No Data
1179736033,2007-05-21T08:27:13Z,25.609442,86.139311,38.621,24.53583,0,0,No Data,No Data
1179736361,2007-05-21T08:32:41Z,25.610396,86.148318,37.476,25.44638,0,0,No Data,No Data
1179736650,2007-05-21T08:37:30Z,25.610439,86.156330,37.909,26.25076,0,0,No Data,No Data
1179737157,2007-05-21T08:45:57Z,25.610515,86.170350,39.161,27.65837,0,0,No Data,No Data
1179737420,2007-05-21T08:50:20Z,25.608746,86.177372,42.506,28.39033,0,0,No Data,No Data
1179737878,2007-05-21T08:57:58Z,25.605194,86.189409,42.029,29.66185,0,0,No Data,No Data
1179738302,2007-05-21T09:05:02Z,25.601636,86.200443,41.931,30.83838,0,0,No Data,No Data
1179738577,2007-05-21T09:09:37Z,25.598961,86.207467,38.0,31.60387,0,0,No Data,No Data
1179738853,2007-05-21T09:14:13Z,25.596285,86.214489,43.684,32.36926,0,0,No Data,No Data
1179739081,2007-05-21T09:18:01Z,25.594508,86.220506,43.838,33.00493,0,0,No Data,No Data
1179739324,2007-05-21T09:22:04Z,25.591828,86.226526,38.975,33.67903,0,0,No Data,No Data
1179739746,2007-05-21T09:29:06Z,25.586455,86.236562,39.478,34.85094,0,0,No Data,No Data
1179739975,2007-05-21T09:32:55Z,25.584678,86.242578,38.095,35.48666,0,0,No Data,No Data
1179740316,2007-05-21T09:38:36Z,25.580199,86.250607,42.748,36.43462,0,0,No Data,No Data
1179740497,2007-05-21T09:41:37Z,25.577508,86.254622,40.92,36.93695,0,0,No Data,No Data
1179740692,2007-05-21T09:44:52Z,25.575725,86.259636,39.018,37.47819,0,0,No Data,No Data
1179740953,2007-05-21T09:49:13Z,25.572140,86.265657,39.182,38.20267,0,0,No Data,No Data
1179741164,2007-05-21T09:52:44Z,25.569454,86.270674,39.374,38.78857,0,0,No Data,No Data
1179741344,2007-05-21T09:55:44Z,25.566763,86.274689,39.285,39.29092,0,0,No Data,No Data
1179741701,2007-05-21T10:01:41Z,25.563193,86.283715,40.459,40.28074,0,0,No Data,No Data
1179741992,2007-05-21T10:06:32Z,25.559612,86.290737,37.474,41.09085,0,0,No Data,No Data
1179742365,2007-05-21T10:12:45Z,25.555137,86.299761,43.502,42.12512,0,0,No Data,No Data
1179742756,2007-05-21T10:19:16Z,25.549758,86.308786,39.578,43.21157,0,0,No Data,No Data
1179743290,2007-05-21T10:28:10Z,25.543494,86.321819,37.045,44.69487,0,0,No Data,No Data
1179743934,2007-05-21T10:38:54Z,25.533622,86.335865,39.039,46.48334,0,0,No Data,No Data
1179744426,2007-05-21T10:47:06Z,25.526446,86.346899,40.206,47.84968,0,0,No Data,No Data
1179744896,2007-05-21T10:54:56Z,25.521982,86.358926,40.712,49.1562,0,0,No Data,No Data
