UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,21.683479,72.931346,13.19,0,0,0,No Data,No Data
1179727281,2007-05-21T06:01:21Z,21.684389,72.933283,12.733,0.2245942,0,0,No Data,No Data
1179727378,2007-05-21T06:02:58Z,21.685301,72.935706,13.876,0.495137,0,0,No Data,No Data
1179727563,2007-05-21T06:06:03Z,21.686224,72.940556,14.491,1.007302,0,0,No Data,No Data
1179727808,2007-05-21T06:10:08Z,21.688054,72.946856,15.487,1.69022,0,0,No Data,No Data
1179728220,2007-05-21T06:17:00Z,21.690797,72.957520,17.009,2.834997,0,0,No Data,No Data
1179728484,2007-05-21T06:21:24Z,21.692628,72.964307,19.68,3.566137,0,0,No Data,No Data
1179728730,2007-05-21T06:25:30Z,21.694457,72.970607,18.811,4.249002,0,0,No Data,No Data
1179728916,2007-05-21T06:28:36Z,21.696728,72.974966,15.077,4.766019,0,0,No Data,No Data
1179729102,2007-05-21T06:31:42Z,21.698999,72.979324,14.862,5.282972,0,0,No Data,No Data
1179729207,2007-05-21T06:33:27Z,21.700361,72.981745,14.854,5.57579,0,0,No Data,No Data
1179729312,2007-05-21T06:35:12Z,21.701723,72.984165,17.066,5.868567,0,0,No Data,No Data
1179729443,2007-05-21T06:37:23Z,21.703538,72.987069,22.803,6.230673,0,0,No Data,No Data
1179729517,2007-05-21T06:38:37Z,21.703996,72.989009,20.541,6.437746,0,0,No Data,No Data
1179729648,2007-05-21T06:40:48Z,21.705810,72.991913,19.945,6.799762,0,0,No Data,No Data
1179729729,2007-05-21T06:42:09Z,21.706719,72.993850,19.991,7.024294,0,0,No Data,No Data
1179729803,2007-05-21T06:43:23Z,21.707177,72.995790,21.561,7.23139,0,0,No Data,No Data
1179729924,2007-05-21T06:45:24Z,21.708540,72.998696,20.776,7.5682,0,0,No Data,No Data
1179730022,2007-05-21T06:47:02Z,21.709451,73.001119,24.437,7.838644,0,0,No Data,No Data
1179730096,2007-05-21T06:48:16Z,21.709909,73.003059,20.022,8.045724,0,0,No Data,No Data
1179730187,2007-05-21T06:49:47Z,21.709918,73.005486,18.375,8.296802,0,0,No Data,No Data
1179730415,2007-05-21T06:53:35Z,21.711742,73.011303,18.78,8.931917,0,0,No Data,No Data
1179730579,2007-05-21T06:56:19Z,21.712208,73.015671,19.068,9.386762,0,0,No Data,No Data
1179730717,2007-05-21T06:58:37Z,21.713573,73.019069,20.288,9.769681,0,0,No Data,No Data
1179730884,2007-05-21T07:01:24Z,21.714490,73.023441,15.209,10.2333,0,0,No Data,No Data
1179730998,2007-05-21T07:03:18Z,21.715402,73.026353,18.784,10.55117,0,0,No Data,No Data
1179731176,2007-05-21T07:06:16Z,21.717221,73.030714,18.712,11.04563,0,0,No Data,No Data
1179731268,2007-05-21T07:07:48Z,21.717681,73.033136,20.968,11.30138,0,0,No Data,No Data
1179731417,2007-05-21T07:10:17Z,21.718595,73.037008,16.724,11.7146,0,0,No Data,No Data
1179731549,2007-05-21T07:12:29Z,21.719509,73.040402,20.121,12.08009,0,0,No Data,No Data
1179731686,2007-05-21T07:14:46Z,21.720873,73.043799,14.755,12.46296,0,0,No Data,No Data
1179731759,2007-05-21T07:15:59Z,21.720880,73.045744,19.685,12.66413,0,0,No Data,No Data
1179731979,2007-05-21T07:19:39Z,21.721802,73.051574,3.0,13.27583,0,0,No Data,No Data
1179732199,2007-05-21T07:23:19Z,21.722724,73.057406,6.03,13.88768,0,0,No Data,No Data
1179732459,2007-05-21T07:27:39Z,21.724100,73.064206,8.047,14.60747,0,0,No Data,No Data
1179732744,2007-05-21T07:32:24Z,21.726379,73.071483,14.731,15.40171,0,0,No Data,No Data
1179732973,2007-05-21T07:36:13Z,21.728201,73.077304,13.671,16.03702,0,0,No Data,No Data
1179733179,2007-05-21T07:39:39Z,21.729571,73.082641,13.835,16.60971,0,0,No Data,No Data
1179733351,2007-05-21T07:42:31Z,21.730938,73.087004,3.52,17.08596,0,0,No Data,No Data
1179733592,2007-05-21T07:46:32Z,21.732310,73.093308,3.0,17.7556,0,0,No Data,No Data
1179733815,2007-05-21T07:50:15Z,21.733680,73.099126,7.195,18.37638,0,0,No Data,No Data
1179734000,2007-05-21T07:53:20Z,21.734597,73.103981,10.892,18.8888,0,0,No Data,No Data
1179734138,2007-05-21T07:55:38Z,21.735961,73.107379,9.431,19.27164,0,0,No Data,No Data
1179734269,2007-05-21T07:57:49Z,21.736874,73.110778,7.315,19.63757,0,0,No Data,No Data
1179734424,2007-05-21T08:00:24Z,21.738239,73.114662,3.527,20.06703,0,0,No Data,No Data
1179734602,2007-05-21T08:03:22Z,21.740057,73.119031,4.504,20.56211,0,0,No Data,No Data
1179734693,2007-05-21T08:04:53Z,21.741416,73.120971,1.25,20.81345,0,0,No Data,No Data
1179734767,2007-05-21T08:06:07Z,21.741873,73.122914,3.751,21.02076,0,0,No Data,No Data
1179734858,2007-05-21T08:07:38Z,21.743232,73.124854,3.0,21.27215,0,0,No Data,No Data
1179735013,2007-05-21T08:10:13Z,21.745499,73.128252,3.0,21.70484,0,0,No Data,No Data
1179735065,2007-05-21T08:11:05Z,21.746404,73.129222,3.0,21.84712,0,0,No Data,No Data
1179735139,2007-05-21T08:12:19Z,21.746861,73.131166,3.0,22.05458,0,0,No Data,No Data
1179735268,2007-05-21T08:14:28Z,21.749125,73.133592,3.0,22.41026,0,0,No Data,No Data
1179735304,2007-05-21T08:15:04Z,21.749128,73.134565,3.0,22.51091,0,0,No Data,No Data
1179735381,2007-05-21T08:16:21Z,21.750486,73.136020,3.0,22.72429,0,0,No Data,No Data
1179735512,2007-05-21T08:18:32Z,21.751399,73.139423,3.0,23.09059,0,0,No Data,No Data
1179735603,2007-05-21T08:20:03Z,21.752758,73.141365,3.0,23.34211,0,0,No Data,No Data
1179735639,2007-05-21T08:20:39Z,21.752761,73.142338,3.0,23.44275,0,0,No Data,No Data
1179735720,2007-05-21T08:22:00Z,21.750959,73.143315,7.983,23.66734,0,0,No Data,No Data
1179735869,2007-05-21T08:24:29Z,21.747352,73.144297,11.428,24.08152,0,0,No Data,No Data
1179736014,2007-05-21T08:26:54Z,21.743742,73.144306,12.984,24.4834,0,0,No Data,No Data
1179736144,2007-05-21T08:29:04Z,21.741029,73.142367,12.802,24.8459,0,0,No Data,No Data
1179736235,2007-05-21T08:30:35Z,21.739219,73.140912,13.994,25.09725,0,0,No Data,No Data
1179736363,2007-05-21T08:32:43Z,21.736956,73.138486,12.312,25.45267,0,0,No Data,No Data
1179736453,2007-05-21T08:34:13Z,21.735147,73.137032,12.817,25.70391,0,0,No Data,No Data
1179736556,2007-05-21T08:35:56Z,21.733337,73.135092,11.005,25.98824,0,0,No Data,No Data
1179736709,2007-05-21T08:38:29Z,21.730621,73.132181,10.238,26.41483,0,0,No Data,No Data
1179736800,2007-05-21T08:40:00Z,21.728812,73.130727,8.892,26.66607,0,0,No Data,No Data
1179736928,2007-05-21T08:42:08Z,21.726549,73.128302,8.0,27.02146,0,0,No Data,No Data
1179737108,2007-05-21T08:45:08Z,21.722932,73.125395,10.765,27.52397,0,0,No Data,No Data
1179737199,2007-05-21T08:46:39Z,21.721123,73.123941,10.749,27.7752,0,0,No Data,No Data
1179737340,2007-05-21T08:49:00Z,21.718409,73.121519,11.0,28.16755,0,0,No Data,No Data
1179737481,2007-05-21T08:51:21Z,21.715696,73.119097,10.873,28.55988,0,0,No Data,No Data
1179737647,2007-05-21T08:54:07Z,21.712979,73.115744,8.579,29.01995,0,0,No Data,No Data
1179737853,2007-05-21T08:57:33Z,21.709808,73.111381,13.0,29.59288,0,0,No Data,No Data
1179738009,2007-05-21T09:00:09Z,21.707542,73.107982,14.03,30.0255,0,0,No Data,No Data
1179738180,2007-05-21T09:03:00Z,21.705276,73.104096,19.668,30.49997,0,0,No Data,No Data
1179738432,2007-05-21T09:07:12Z,21.703001,73.097790,17.426,31.1996,0,0,No Data,No Data
1179738717,2007-05-21T09:11:57Z,21.700724,73.090514,11.685,31.99375,0,0,No Data,No Data
1179739038,2007-05-21T09:17:18Z,21.698443,73.082262,10.437,32.88424,0,0,No Data,No Data
1179739450,2007-05-21T09:24:10Z,21.695704,73.071586,10.846,34.02988,0,0,No Data,No Data
1179739799,2007-05-21T09:29:59Z,21.694322,73.062364,12.518,34.99613,0,0,No Data,No Data
1179740070,2007-05-21T09:34:30Z,21.693847,73.055086,10.447,35.75076,0,0,No Data,No Data
1179740380,2007-05-21T09:39:40Z,21.692918,73.046834,10.9,36.61056,0,0,No Data,No Data
1179740707,2007-05-21T09:45:07Z,21.691987,73.038098,8.116,37.52011,0,0,No Data,No Data
1179740979,2007-05-21T09:49:39Z,21.691510,73.030823,9.034,38.27445,0,0,No Data,No Data
1179741199,2007-05-21T09:53:19Z,21.690586,73.025003,6.308,38.88513,0,0,No Data,No Data
1179741365,2007-05-21T09:56:05Z,21.689669,73.020638,5.748,39.34805,0,0,No Data,No Data
1179741475,2007-05-21T09:57:55Z,21.689209,73.017726,5.22,39.65359,0,0,No Data,No Data
1179741642,2007-05-21T10:00:42Z,21.688292,73.013359,6.111,40.11666,0,0,No Data,No Data
1179741739,2007-05-21T10:02:19Z,21.687381,73.010936,5.391,40.38698,0,0,No Data,No Data
1179741917,2007-05-21T10:05:17Z,21.685561,73.006574,12.962,40.88153,0,0,No Data,No Data
1179742169,2007-05-21T10:09:29Z,21.683284,73.000272,12.148,41.58095,0,0,No Data,No Data
1179742380,2007-05-21T10:13:00Z,21.681459,72.994941,7.818,42.16862,0,0,No Data,No Data
1179742489,2007-05-21T10:14:49Z,21.681450,72.992028,3.113,42.46997,0,0,No Data,No Data
1179742621,2007-05-21T10:17:01Z,21.680537,72.988632,3.0,42.83567,0,0,No Data,No Data
1179742770,2007-05-21T10:19:30Z,21.679622,72.984751,3.0,43.24983,0,0,No Data,No Data
1179742884,2007-05-21T10:21:24Z,21.678711,72.981841,3.0,43.56739,0,0,No Data,No Data
1179743055,2007-05-21T10:24:15Z,21.677342,72.977479,2.0,44.04363,0,0,No Data,No Data
1179743217,2007-05-21T10:26:57Z,21.675523,72.973605,2.121,44.49263,0,0,No Data,No Data
1179743298,2007-05-21T10:28:18Z,21.674613,72.971668,5.253,44.71714,0,0,No Data,No Data
1179743419,2007-05-21T10:30:19Z,21.673248,72.968762,8.463,45.05394,0,0,No Data,No Data
1179743574,2007-05-21T10:32:54Z,21.671880,72.964885,8.522,45.48289,0,0,No Data,No Data
1179743671,2007-05-21T10:34:31Z,21.670969,72.962463,8.318,45.75319,0,0,No Data,No Data
1179743849,2007-05-21T10:37:29Z,21.669147,72.958103,7.276,46.24772,0,0,No Data,No Data
1179743987,2007-05-21T10:39:47Z,21.667780,72.954712,7.229,46.63009,0,0,No Data,No Data
1179744108,2007-05-21T10:41:48Z,21.666415,72.951806,9.163,46.9669,0,0,No Data,No Data
1179744236,2007-05-21T10:43:56Z,21.665950,72.948410,8.314,47.32197,0,0,No Data,No Data
1179744373,2007-05-21T10:46:13Z,21.664583,72.945019,7.5,47.70431,0,0,No Data,No Data
1179744501,2007-05-21T10:48:21Z,21.664118,72.941624,7.0,48.05934,0,0,No Data,No Data
1179744576,2007-05-21T10:49:36Z,21.663659,72.939684,7.622,48.26637,0,0,No Data,No Data
1179744684,2007-05-21T10:51:24Z,21.663647,72.936772,8.329,48.56761,0,0,No Data,No Data
1179744792,2007-05-21T10:53:12Z,21.663635,72.933860,7.94,48.86889,0,0,No Data,No Data
1179744919,2007-05-21T10:55:19Z,21.663620,72.930462,6.637,49.22043,0,0,No Data,No Data
1179745028,2007-05-21T10:57:08Z,21.663607,72.927549,8.0,49.52175,0,0,No Data,No Data
1179745136,2007-05-21T10:58:56Z,21.663599,72.924639,7.319,49.82281,0,0,No Data,No Data
1179745264,2007-05-21T11:01:04Z,21.664038,72.921241,7.078,50.17775,0,0,No Data,No Data
1179745395,2007-05-21T11:03:15Z,21.664925,72.917838,3.532,50.54337,0,0,No Data,No Data
1179745472,2007-05-21T11:04:32Z,21.666273,72.916376,0.453,50.75643,0,0,No Data,No Data
1179745529,2007-05-21T11:05:29Z,21.667628,72.916855,-1.078,50.91533,0,0,No Data,No Data
1179745651,2007-05-21T11:07:31Z,21.670342,72.918300,0.411,51.2525,0,0,No Data,No Data
1179745753,2007-05-21T11:09:13Z,21.672155,72.920233,2.283,51.53677,0,0,No Data,No Data
1179745818,2007-05-21T11:10:18Z,21.673513,72.921198,1.0,51.71804,0,0,No Data,No Data
1179745924,2007-05-21T11:12:04Z,21.675775,72.922645,1.0,52.01106,0,0,No Data,No Data
1179746070,2007-05-21T11:14:30Z,21.678941,72.924572,5.966,52.41612,0,0,No Data,No Data
1179746198,2007-05-21T11:16:38Z,21.681206,72.926988,10.034,52.77127,0,0,No Data,No Data
1179746313,2007-05-21T11:18:33Z,21.683020,72.929407,11.466,53.09291,0,0,No Data,No Data
1179746370,2007-05-21T11:19:30Z,21.683477,72.930860,12.228,53.25172,0,0,No Data,No Data
