UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,21.679539,72.863038,6.195,0,0,0,No Data,No Data
1179727249,2007-05-21T06:00:49Z,21.679545,72.864369,7.931,0.1377935,0,0,No Data,No Data
1179727354,2007-05-21T06:02:34Z,21.681409,72.866356,4.451,0.4299536,0,0,No Data,No Data
1179727588,2007-05-21T06:06:28Z,21.684524,72.871665,1.718,1.079533,0,0,No Data,No Data
1179727722,2007-05-21T06:08:42Z,21.685775,72.874986,0.0,1.45033,0,0,No Data,No Data
1179727846,2007-05-21T06:10:46Z,21.687643,72.877640,-0.085,1.794799,0,0,No Data,No Data
1179728378,2007-05-21T06:19:38Z,21.693882,72.890253,11.528,3.27298,0,0,No Data,No Data
1179728723,2007-05-21T06:25:23Z,21.697012,72.898889,14.081,4.231926,0,0,No Data,No Data
1179729124,2007-05-21T06:32:04Z,21.700764,72.908853,12.428,5.344068,0,0,No Data,No Data
1179729501,2007-05-21T06:38:21Z,21.704512,72.918152,12.802,6.392627,0,0,No Data,No Data
1179729945,2007-05-21T06:45:45Z,21.709502,72.928777,13.721,7.62415,0,0,No Data,No Data
1179730322,2007-05-21T06:52:02Z,21.713249,72.938078,14.694,8.67278,0,0,No Data,No Data
1179730683,2007-05-21T06:58:03Z,21.715759,72.947385,15.114,9.675168,0,0,No Data,No Data
1179731098,2007-05-21T07:04:58Z,21.718893,72.958021,17.031,10.82923,0,0,No Data,No Data
1179731478,2007-05-21T07:11:18Z,21.720786,72.967998,15.956,11.88243,0,0,No Data,No Data
1179731866,2007-05-21T07:17:46Z,21.725150,72.977299,16.0,12.96011,0,0,No Data,No Data
1179732188,2007-05-21T07:23:08Z,21.728271,72.985274,17.597,13.85518,0,0,No Data,No Data
1179732423,2007-05-21T07:27:03Z,21.730149,72.991258,19.24,14.50845,0,0,No Data,No Data
1179732567,2007-05-21T07:29:27Z,21.732016,72.994579,16.492,14.90996,0,0,No Data,No Data
1179732701,2007-05-21T07:31:41Z,21.733265,72.997903,18.414,15.28079,0,0,No Data,No Data
1179733125,2007-05-21T07:38:45Z,21.737013,73.008540,21.375,16.45732,0,0,No Data,No Data
1179733336,2007-05-21T07:42:16Z,21.738887,73.013858,23.506,17.0456,0,0,No Data,No Data
1179733525,2007-05-21T07:45:25Z,21.740759,73.018512,21.892,17.57016,0,0,No Data,No Data
1179733670,2007-05-21T07:47:50Z,21.742626,73.021835,20.273,17.97184,0,0,No Data,No Data
1179733814,2007-05-21T07:50:14Z,21.744493,73.025158,21.377,18.3735,0,0,No Data,No Data
1179733948,2007-05-21T07:52:28Z,21.745742,73.028483,20.569,18.74446,0,0,No Data,No Data
1179734192,2007-05-21T07:56:32Z,21.748237,73.034468,20.753,19.42288,0,0,No Data,No Data
1179734466,2007-05-21T08:01:06Z,21.748881,73.041793,20.847,20.18381,0,0,No Data,No Data
1179734780,2007-05-21T08:06:20Z,21.751382,73.049779,21.084,21.05532,0,0,No Data,No Data
1179735039,2007-05-21T08:10:39Z,21.753260,73.056434,21.85,21.77463,0,0,No Data,No Data
1179735390,2007-05-21T08:16:30Z,21.754530,73.065765,21.447,22.74988,0,0,No Data,No Data
1179735794,2007-05-21T08:23:14Z,21.756424,73.076434,12.443,23.87304,0,0,No Data,No Data
1179736419,2007-05-21T08:33:39Z,21.758337,73.093100,10.0,25.60949,0,0,No Data,No Data
1179736721,2007-05-21T08:38:41Z,21.759600,73.101099,9.632,26.44846,0,0,No Data,No Data
1179737023,2007-05-21T08:43:43Z,21.760863,73.109097,10.887,27.28736,0,0,No Data,No Data
1179737298,2007-05-21T08:48:18Z,21.761505,73.116430,13.283,28.04903,0,0,No Data,No Data
1179737502,2007-05-21T08:51:42Z,21.762759,73.121761,12.271,28.61773,0,0,No Data,No Data
1179737708,2007-05-21T08:55:08Z,21.764016,73.127108,13.0,29.18811,0,0,No Data,No Data
1179737976,2007-05-21T08:59:36Z,21.767748,73.133101,15.659,29.93424,0,0,No Data,No Data
1179738055,2007-05-21T09:00:55Z,21.768373,73.135100,7.66,30.15239,0,0,No Data,No Data
1179738195,2007-05-21T09:03:15Z,21.770855,73.137757,3.0,30.54213,0,0,No Data,No Data
1179738329,2007-05-21T09:05:29Z,21.772103,73.141088,6.46,30.91351,0,0,No Data,No Data
1179738418,2007-05-21T09:06:58Z,21.773346,73.143084,13.283,31.16202,0,0,No Data,No Data
1179738569,2007-05-21T09:09:29Z,21.773977,73.147083,12.113,31.58146,0,0,No Data,No Data
1179738768,2007-05-21T09:12:48Z,21.773994,73.152427,12.432,32.13406,0,0,No Data,No Data
1179738917,2007-05-21T09:15:17Z,21.774007,73.156436,13.243,32.54858,0,0,No Data,No Data
1179739076,2007-05-21T09:17:56Z,21.771543,73.159784,12.814,32.9903,0,0,No Data,No Data
1179739221,2007-05-21T09:20:21Z,21.768455,73.161799,3.0,33.39227,0,0,No Data,No Data
1179739433,2007-05-21T09:23:53Z,21.763508,73.163811,8.566,33.98096,0,0,No Data,No Data
1179739489,2007-05-21T09:24:49Z,21.762272,73.164481,9.54,34.135,0,0,No Data,No Data
1179739599,2007-05-21T09:26:39Z,21.759800,73.165821,9.486,34.44311,0,0,No Data,No Data
1179739702,2007-05-21T09:28:22Z,21.757326,73.166493,11.384,34.72717,0,0,No Data,No Data
1179739858,2007-05-21T09:30:58Z,21.753615,73.167836,12.339,35.16292,0,0,No Data,No Data
1179739985,2007-05-21T09:33:05Z,21.750524,73.168520,10.162,35.51422,0,0,No Data,No Data
