UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,31.915192,77.131729,1237.057,0,0,0,No Data,No Data
1179727252,2007-05-21T06:00:52Z,31.914300,77.132843,1257.1,0.1446519,0,0,No Data,No Data
1179727312,2007-05-21T06:01:52Z,31.913113,77.133941,1254.099,0.312675,0,0,No Data,No Data
1179727374,2007-05-21T06:02:54Z,31.912061,77.135260,1262.0,0.4837092,0,0,No Data,No Data
1179727421,2007-05-21T06:03:41Z,31.911317,77.136341,1248.253,0.6152099,0,0,No Data,No Data
1179727476,2007-05-21T06:04:36Z,31.910495,77.137647,1262.496,0.7688526,0,0,No Data,No Data
1179727519,2007-05-21T06:05:19Z,31.909746,77.138511,1266.511,0.8855362,0,0,No Data,No Data
1179727561,2007-05-21T06:06:01Z,31.908987,77.139397,1258.404,1.004536,0,0,No Data,No Data
1179727598,2007-05-21T06:06:38Z,31.908472,77.140272,1341.676,1.105173,0,0,No Data,No Data
1179727672,2007-05-21T06:07:52Z,31.907597,77.142212,1398.269,1.31283,0,0,No Data,No Data
1179727723,2007-05-21T06:08:43Z,31.906976,77.143500,1380.294,1.452787,0,0,No Data,No Data
1179727752,2007-05-21T06:09:12Z,31.906959,77.144342,1317.659,1.532453,0,0,No Data,No Data
1179727789,2007-05-21T06:09:49Z,31.906688,77.145397,1250.661,1.636641,0,0,No Data,No Data
1179727837,2007-05-21T06:10:37Z,31.906170,77.146676,1196.029,1.770552,0,0,No Data,No Data
1179727870,2007-05-21T06:11:10Z,31.905818,77.147535,1180.648,1.860744,0,0,No Data,No Data
1179727925,2007-05-21T06:12:05Z,31.905291,77.149040,1158.62,2.014575,0,0,No Data,No Data
1179727955,2007-05-21T06:12:35Z,31.904771,77.149684,1137.253,2.098565,0,0,No Data,No Data
1179727991,2007-05-21T06:13:11Z,31.904261,77.150544,1126.367,2.19773,0,0,No Data,No Data
1179728028,2007-05-21T06:13:48Z,31.903531,77.151189,1114.433,2.299264,0,0,No Data,No Data
1179728142,2007-05-21T06:15:42Z,31.901304,77.153309,1227.71,2.618051,0,0,No Data,No Data
1179728220,2007-05-21T06:17:00Z,31.899669,77.154551,1372.785,2.834617,0,0,No Data,No Data
1179728280,2007-05-21T06:18:00Z,31.898357,77.155365,1474.62,2.999656,0,0,No Data,No Data
1179728331,2007-05-21T06:18:51Z,31.897201,77.155987,1491.722,3.141126,0,0,No Data,No Data
1179728383,2007-05-21T06:19:43Z,31.895947,77.156404,1444.543,3.286124,0,0,No Data,No Data
1179728466,2007-05-21T06:21:06Z,31.894161,77.157639,1485.283,3.516721,0,0,No Data,No Data
1179728536,2007-05-21T06:22:16Z,31.892650,77.158671,1482.679,3.711157,0,0,No Data,No Data
