UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.524465,75.443080,520.08,0,0,0,No Data,No Data
1179727294,2007-05-21T06:01:34Z,16.525167,75.445420,521.602,0.2617506,0,0,No Data,No Data
1179727503,2007-05-21T06:05:03Z,16.525071,75.450848,525.915,0.8412179,0,0,No Data,No Data
1179727592,2007-05-21T06:06:32Z,16.525030,75.453174,526.993,1.089584,0,0,No Data,No Data
1179727809,2007-05-21T06:10:09Z,16.523448,75.458572,534.051,1.692106,0,0,No Data,No Data
1179727876,2007-05-21T06:11:16Z,16.522676,75.460108,532.349,1.877199,0,0,No Data,No Data
1179728192,2007-05-21T06:16:32Z,16.517363,75.466207,519.238,2.756779,0,0,No Data,No Data
1179728341,2007-05-21T06:19:01Z,16.514348,75.468474,519.218,3.170533,0,0,No Data,No Data
1179728468,2007-05-21T06:21:08Z,16.512077,75.470756,523.907,3.521579,0,0,No Data,No Data
1179728594,2007-05-21T06:23:14Z,16.509805,75.473037,527.043,3.872614,0,0,No Data,No Data
1179728720,2007-05-21T06:25:20Z,16.507534,75.475318,531.949,4.223622,0,0,No Data,No Data
1179728869,2007-05-21T06:27:49Z,16.505249,75.478375,537.264,4.637353,0,0,No Data,No Data
1179729038,2007-05-21T06:30:38Z,16.502220,75.481416,539.638,5.105387,0,0,No Data,No Data
1179729206,2007-05-21T06:33:26Z,16.499192,75.484458,537.76,5.573411,0,0,No Data,No Data
1179729339,2007-05-21T06:35:39Z,16.497650,75.487528,539.597,5.943392,0,0,No Data,No Data
1179729513,2007-05-21T06:38:33Z,16.495350,75.491359,538.166,6.425838,0,0,No Data,No Data
1179729621,2007-05-21T06:40:21Z,16.493822,75.493654,539.52,6.724092,0,0,No Data,No Data
1179729772,2007-05-21T06:42:52Z,16.493009,75.497514,545.034,7.145973,0,0,No Data,No Data
1179729867,2007-05-21T06:44:27Z,16.492224,75.499825,548.989,7.407676,0,0,No Data,No Data
1179730016,2007-05-21T06:46:56Z,16.492155,75.503701,551.789,7.821578,0,0,No Data,No Data
1179730165,2007-05-21T06:49:25Z,16.492085,75.507578,547.859,8.235544,0,0,No Data,No Data
1179730376,2007-05-21T06:52:56Z,16.492730,75.513022,543.458,8.821154,0,0,No Data,No Data
1179730603,2007-05-21T06:56:43Z,16.494863,75.518498,541.627,9.452148,0,0,No Data,No Data
1179730725,2007-05-21T06:58:45Z,16.495550,75.521617,541.058,9.793887,0,0,No Data,No Data
1179730953,2007-05-21T07:02:33Z,16.497683,75.527094,547.514,10.42502,0,0,No Data,No Data
1179731322,2007-05-21T07:08:42Z,16.499746,75.536455,540.872,11.45041,0,0,No Data,No Data
1179731511,2007-05-21T07:11:51Z,16.501149,75.541143,540.131,11.97473,0,0,No Data,No Data
1179731690,2007-05-21T07:14:50Z,16.501066,75.545804,547.346,12.47236,0,0,No Data,No Data
1179731869,2007-05-21T07:17:49Z,16.500982,75.550464,539.368,12.96996,0,0,No Data,No Data
1179731988,2007-05-21T07:19:48Z,16.500926,75.553572,536.601,13.3018,0,0,No Data,No Data
1179732111,2007-05-21T07:21:51Z,16.500127,75.556665,535.459,13.64381,0,0,No Data,No Data
1179732393,2007-05-21T07:26:33Z,16.496298,75.562804,532.753,14.42564,0,0,No Data,No Data
