UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,20.433345,85.846924,26.99,0,0,0,No Data,No Data
1179727330,2007-05-21T06:02:10Z,20.431722,85.843915,26.02,0.3620987,0,0,No Data,No Data
1179727573,2007-05-21T06:06:13Z,20.429374,85.837959,26.276,1.036102,0,0,No Data,No Data
1179727834,2007-05-21T06:10:34Z,20.426128,85.831943,29.314,1.760318,0,0,No Data,No Data
1179728054,2007-05-21T06:14:14Z,20.425578,85.826109,26.611,2.372027,0,0,No Data,No Data
1179728329,2007-05-21T06:18:49Z,20.423290,85.819185,26.122,3.137921,0,0,No Data,No Data
1179728511,2007-05-21T06:21:51Z,20.423582,85.814371,37.665,3.641152,0,0,No Data,No Data
1179728656,2007-05-21T06:24:16Z,20.423817,85.810501,34.434,4.045709,0,0,No Data,No Data
1179728877,2007-05-21T06:27:57Z,20.425066,85.804778,34.663,4.658677,0,0,No Data,No Data
1179728991,2007-05-21T06:29:51Z,20.426138,85.801955,40.593,4.97645,0,0,No Data,No Data
1179729245,2007-05-21T06:34:05Z,20.426545,85.795219,30.153,5.680641,0,0,No Data,No Data
1179729462,2007-05-21T06:37:42Z,20.426893,85.789446,37.629,6.284161,0,0,No Data,No Data
1179729896,2007-05-21T06:44:56Z,20.427589,85.777911,74.155,7.490076,0,0,No Data,No Data
1179729977,2007-05-21T06:46:17Z,20.425850,85.776825,85.594,7.714295,0,0,No Data,No Data
1179730193,2007-05-21T06:49:53Z,20.420462,85.776445,48.346,8.315333,0,0,No Data,No Data
1179730388,2007-05-21T06:53:08Z,20.416088,85.774211,41.526,8.85512,0,0,No Data,No Data
1179730549,2007-05-21T06:55:49Z,20.412612,85.772040,45.85,9.303477,0,0,No Data,No Data
1179730710,2007-05-21T06:58:30Z,20.409136,85.769869,46.572,9.75184,0,0,No Data,No Data
1179730953,2007-05-21T07:02:33Z,20.403922,85.766613,58.236,10.42437,0,0,No Data,No Data
1179731195,2007-05-21T07:06:35Z,20.398706,85.763368,61.468,11.09654,0,0,No Data,No Data
1179731555,2007-05-21T07:12:35Z,20.391862,85.757139,57.237,12.09792,0,0,No Data,No Data
1179731865,2007-05-21T07:17:45Z,20.385862,85.751921,51.662,12.9596,0,0,No Data,No Data
1179732027,2007-05-21T07:20:27Z,20.384298,85.747957,51.217,13.40831,0,0,No Data,No Data
1179732208,2007-05-21T07:23:28Z,20.381837,85.743929,60.685,13.91001,0,0,No Data,No Data
1179732361,2007-05-21T07:26:01Z,20.379317,85.740863,70.549,14.33549,0,0,No Data,No Data
1179732590,2007-05-21T07:29:50Z,20.377874,85.734963,91.433,14.97177,0,0,No Data,No Data
1179732819,2007-05-21T07:33:39Z,20.376436,85.729051,110.214,15.60914,0,0,No Data,No Data
1179733110,2007-05-21T07:38:30Z,20.376913,85.721332,113.704,16.41643,0,0,No Data,No Data
1179733328,2007-05-21T07:42:08Z,20.377268,85.715550,127.402,17.02112,0,0,No Data,No Data
1179733581,2007-05-21T07:46:21Z,20.377680,85.708812,166.84,17.72574,0,0,No Data,No Data
1179733798,2007-05-21T07:49:58Z,20.378031,85.703048,146.239,18.32854,0,0,No Data,No Data
1179734089,2007-05-21T07:54:49Z,20.379386,85.695444,166.929,19.13624,0,0,No Data,No Data
1179734238,2007-05-21T07:57:18Z,20.380513,85.691673,166.873,19.5493,0,0,No Data,No Data
1179734466,2007-05-21T08:01:06Z,20.382652,85.686045,139.792,20.18308,0,0,No Data,No Data
1179734717,2007-05-21T08:05:17Z,20.383915,85.679492,147.759,20.88124,0,0,No Data,No Data
1179734849,2007-05-21T08:07:29Z,20.385896,85.676698,174.142,21.24683,0,0,No Data,No Data
1179735104,2007-05-21T08:11:44Z,20.386322,85.669923,149.457,21.95541,0,0,No Data,No Data
1179735434,2007-05-21T08:17:14Z,20.387767,85.661274,197.699,22.87215,0,0,No Data,No Data
1179735686,2007-05-21T08:21:26Z,20.388167,85.654570,177.791,23.57313,0,0,No Data,No Data
1179735758,2007-05-21T08:22:38Z,20.388279,85.652660,179.435,23.77284,0,0,No Data,No Data
1179735918,2007-05-21T08:25:18Z,20.386703,85.648736,172.353,24.21826,0,0,No Data,No Data
1179736156,2007-05-21T08:29:16Z,20.384298,85.642940,109.648,24.87969,0,0,No Data,No Data
1179736510,2007-05-21T08:35:10Z,20.381192,85.634137,124.742,25.86118,0,0,No Data,No Data
1179736770,2007-05-21T08:39:30Z,20.377942,85.628148,89.806,26.58331,0,0,No Data,No Data
1179737030,2007-05-21T08:43:50Z,20.374692,85.622159,91.455,27.30548,0,0,No Data,No Data
1179737261,2007-05-21T08:47:41Z,20.371385,85.617127,62.607,27.94676,0,0,No Data,No Data
1179737520,2007-05-21T08:52:00Z,20.368134,85.611139,46.232,28.66886,0,0,No Data,No Data
1179737731,2007-05-21T08:55:31Z,20.365724,85.606170,59.266,29.25269,0,0,No Data,No Data
1179738005,2007-05-21T09:00:05Z,20.363431,85.599280,67.096,30.01574,0,0,No Data,No Data
1179738296,2007-05-21T09:04:56Z,20.360231,85.592343,37.843,30.82264,0,0,No Data,No Data
1179738651,2007-05-21T09:10:51Z,20.357139,85.583495,35.832,31.80818,0,0,No Data,No Data
1179739200,2007-05-21T09:20:00Z,20.352528,85.569742,33.322,33.33262,0,0,No Data,No Data
1179739759,2007-05-21T09:29:19Z,20.349775,85.555142,33.44,34.88702,0,0,No Data,No Data
1179740364,2007-05-21T09:39:24Z,20.346193,85.539512,35.0,36.56646,0,0,No Data,No Data
1179740900,2007-05-21T09:48:20Z,20.342496,85.525802,37.921,38.05555,0,0,No Data,No Data
1179741450,2007-05-21T09:57:30Z,20.336047,85.512872,63.759,39.58426,0,0,No Data,No Data
1179741564,2007-05-21T09:59:24Z,20.335319,85.509939,73.34,39.90089,0,0,No Data,No Data
1179741744,2007-05-21T10:02:24Z,20.332850,85.505930,121.495,40.40154,0,0,No Data,No Data
1179741975,2007-05-21T10:06:15Z,20.329540,85.500903,159.852,41.04272,0,0,No Data,No Data
