UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,28.708079,77.233103,206.709,0,0,0,No Data,No Data
1179727226,2007-05-21T06:00:26Z,28.707451,77.233326,208.704,0.0731381,0,0,No Data,No Data
1179727271,2007-05-21T06:01:11Z,28.706405,77.233776,204.167,0.1975534,0,0,No Data,No Data
1179727323,2007-05-21T06:02:03Z,28.705149,77.234221,205.101,0.34399,0,0,No Data,No Data
1179727374,2007-05-21T06:02:54Z,28.703897,77.234430,208.0,0.484839,0,0,No Data,No Data
1179727449,2007-05-21T06:04:09Z,28.702217,77.235338,208.343,0.6918542,0,0,No Data,No Data
1179727502,2007-05-21T06:05:02Z,28.700962,77.235783,210.667,0.8381923,0,0,No Data,No Data
1179727569,2007-05-21T06:06:09Z,28.699492,77.236696,206.674,1.024561,0,0,No Data,No Data
1179727636,2007-05-21T06:07:16Z,28.698022,77.237609,208.079,1.210877,0,0,No Data,No Data
1179727684,2007-05-21T06:08:04Z,28.696972,77.238295,215.865,1.345579,0,0,No Data,No Data
1179727751,2007-05-21T06:09:11Z,28.695503,77.239208,215.909,1.531849,0,0,No Data,No Data
1179727830,2007-05-21T06:10:30Z,28.693822,77.240353,213.139,1.749824,0,0,No Data,No Data
1179727904,2007-05-21T06:11:44Z,28.692145,77.241261,207.089,1.956453,0,0,No Data,No Data
1179728016,2007-05-21T06:13:36Z,28.689630,77.242623,206.163,2.266381,0,0,No Data,No Data
1179728076,2007-05-21T06:14:36Z,28.688369,77.243541,205.794,2.432934,0,0,No Data,No Data
1179728139,2007-05-21T06:15:39Z,28.686904,77.244217,206.948,2.60887,0,0,No Data,No Data
1179728210,2007-05-21T06:16:50Z,28.685231,77.244888,203.267,2.806277,0,0,No Data,No Data
1179728255,2007-05-21T06:17:35Z,28.684185,77.245337,204.964,2.93068,0,0,No Data,No Data
1179728292,2007-05-21T06:18:12Z,28.683346,77.245791,205.0,3.034011,0,0,No Data,No Data
1179728326,2007-05-21T06:18:46Z,28.682512,77.246009,207.178,3.12922,0,0,No Data,No Data
1179728368,2007-05-21T06:19:28Z,28.681669,77.246699,205.929,3.244716,0,0,No Data,No Data
1179728402,2007-05-21T06:20:02Z,28.680835,77.246916,204.103,3.339934,0,0,No Data,No Data
1179728444,2007-05-21T06:20:44Z,28.679992,77.247606,203.888,3.45547,0,0,No Data,No Data
1179728537,2007-05-21T06:22:17Z,28.677896,77.248741,203.014,3.713778,0,0,No Data,No Data
1179728578,2007-05-21T06:22:58Z,28.677053,77.249431,205.584,3.829261,0,0,No Data,No Data
1179728627,2007-05-21T06:23:47Z,28.676003,77.250116,207.408,3.963905,0,0,No Data,No Data
1179728687,2007-05-21T06:24:47Z,28.674741,77.251033,203.635,4.130444,0,0,No Data,No Data
1179728745,2007-05-21T06:25:45Z,28.673683,77.252191,209.689,4.293707,0,0,No Data,No Data
1179728806,2007-05-21T06:26:46Z,28.672828,77.253589,209.722,4.460212,0,0,No Data,No Data
1179728841,2007-05-21T06:27:21Z,28.672194,77.254284,208.841,4.558196,0,0,No Data,No Data
1179728908,2007-05-21T06:28:28Z,28.671336,77.255921,211.061,4.744424,0,0,No Data,No Data
1179728943,2007-05-21T06:29:03Z,28.670701,77.256615,207.584,4.842369,0,0,No Data,No Data
1179729015,2007-05-21T06:30:15Z,28.669634,77.258245,208.639,5.04103,0,0,No Data,No Data
1179729050,2007-05-21T06:30:50Z,28.668999,77.258940,207.509,5.138999,0,0,No Data,No Data
