UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,27.197192,94.499571,90.827,0,0,0,No Data,No Data
1179727357,2007-05-21T06:02:37Z,27.193495,94.498109,91.269,0.4362807,0,0,No Data,No Data
1179727666,2007-05-21T06:07:46Z,27.194592,94.489525,91.328,1.294963,0,0,No Data,No Data
1179727876,2007-05-21T06:11:16Z,27.198207,94.485246,91.994,1.879301,0,0,No Data,No Data
1179728721,2007-05-21T06:25:21Z,27.212723,94.468056,91.356,4.226379,0,0,No Data,No Data
1179729821,2007-05-21T06:43:41Z,27.232249,94.446393,90.569,7.280051,0,0,No Data,No Data
1179730573,2007-05-21T06:56:13Z,27.244506,94.430398,89.602,9.370191,0,0,No Data,No Data
1179731076,2007-05-21T07:04:36Z,27.253143,94.420162,89.985,10.76694,0,0,No Data,No Data
1179731659,2007-05-21T07:14:19Z,27.261768,94.406975,89.614,12.38715,0,0,No Data,No Data
1179732311,2007-05-21T07:25:11Z,27.272963,94.393690,94.077,14.19871,0,0,No Data,No Data
1179732785,2007-05-21T07:33:05Z,27.281734,94.384769,92.905,15.51501,0,0,No Data,No Data
1179733271,2007-05-21T07:41:11Z,27.291846,94.377248,90.548,16.86449,0,0,No Data,No Data
1179733644,2007-05-21T07:47:24Z,27.299455,94.371216,93.54,17.90069,0,0,No Data,No Data
1179733876,2007-05-21T07:51:16Z,27.304558,94.368162,89.517,18.54419,0,0,No Data,No Data
1179734031,2007-05-21T07:53:51Z,27.308429,94.368073,95.636,18.97532,0,0,No Data,No Data
1179734359,2007-05-21T07:59:19Z,27.316141,94.364946,96.277,19.88795,0,0,No Data,No Data
1179734672,2007-05-21T08:04:32Z,27.323929,94.364760,92.794,20.75523,0,0,No Data,No Data
1179734887,2007-05-21T08:08:07Z,27.329112,94.363158,92.649,21.35362,0,0,No Data,No Data
1179735359,2007-05-21T08:15:59Z,27.340875,94.362872,92.124,22.66357,0,0,No Data,No Data
1179735622,2007-05-21T08:20:22Z,27.347439,94.362712,92.895,23.39453,0,0,No Data,No Data
1179735992,2007-05-21T08:26:32Z,27.356662,94.362488,92.033,24.42161,0,0,No Data,No Data
1179736363,2007-05-21T08:32:43Z,27.365924,94.362263,95.79,25.45306,0,0,No Data,No Data
1179736629,2007-05-21T08:37:09Z,27.372564,94.362101,94.481,26.19251,0,0,No Data,No Data
1179737110,2007-05-21T08:45:10Z,27.384567,94.361809,93.228,27.5292,0,0,No Data,No Data
1179737325,2007-05-21T08:48:45Z,27.389924,94.361679,93.105,28.12576,0,0,No Data,No Data
1179737665,2007-05-21T08:54:25Z,27.398034,94.364486,93.138,29.07035,0,0,No Data,No Data
1179737956,2007-05-21T08:59:16Z,27.404823,94.367335,94.886,29.87702,0,0,No Data,No Data
1179738179,2007-05-21T09:02:59Z,27.410255,94.368717,93.781,30.49705,0,0,No Data,No Data
1179738713,2007-05-21T09:11:53Z,27.422569,94.374484,95.483,31.98172,0,0,No Data,No Data
1179739302,2007-05-21T09:21:42Z,27.435004,94.383314,95.091,33.6182,0,0,No Data,No Data
1179739773,2007-05-21T09:29:33Z,27.444733,94.390724,98.508,34.92565,0,0,No Data,No Data
1179740124,2007-05-21T09:35:24Z,27.451720,94.396689,97.909,35.90164,0,0,No Data,No Data
1179740947,2007-05-21T09:49:07Z,27.464476,94.414802,103.301,38.18613,0,0,No Data,No Data
1179741810,2007-05-21T10:03:30Z,27.478700,94.433014,108.448,40.58278,0,0,No Data,No Data
1179742720,2007-05-21T10:18:40Z,27.493039,94.452885,110.053,43.11264,0,0,No Data,No Data
1179743446,2007-05-21T10:30:46Z,27.503180,94.469801,108.991,45.12896,0,0,No Data,No Data
1179744145,2007-05-21T10:42:25Z,27.511952,94.486793,111.0,47.07037,0,0,No Data,No Data
1179745003,2007-05-21T10:56:43Z,27.523669,94.506982,114.975,49.45264,0,0,No Data,No Data
1179745583,2007-05-21T11:06:23Z,27.531046,94.521015,111.0,51.06325,0,0,No Data,No Data
1179746010,2007-05-21T11:13:30Z,27.535527,94.531944,110.801,52.25197,0,0,No Data,No Data
1179746467,2007-05-21T11:21:07Z,27.541452,94.542922,108.515,53.52072,0,0,No Data,No Data
1179746974,2007-05-21T11:29:34Z,27.547418,94.555490,107.063,54.92801,0,0,No Data,No Data
1179747433,2007-05-21T11:37:13Z,27.553374,94.566533,105.07,56.20387,0,0,No Data,No Data
1179747688,2007-05-21T11:41:28Z,27.556371,94.572847,104.646,56.91083,0,0,No Data,No Data
1179748198,2007-05-21T11:49:58Z,27.562379,94.585504,105.228,58.32787,0,0,No Data,No Data
1179748581,2007-05-21T11:56:21Z,27.566895,94.595020,104.453,59.3932,0,0,No Data,No Data
1179749045,2007-05-21T12:04:05Z,27.572903,94.606172,104.681,60.68112,0,0,No Data,No Data
1179749463,2007-05-21T12:11:03Z,27.578900,94.615784,106.561,61.84112,0,0,No Data,No Data
1179749849,2007-05-21T12:17:29Z,27.583448,94.625371,109.956,62.91415,0,0,No Data,No Data
1179750236,2007-05-21T12:23:56Z,27.588005,94.634978,111.357,63.98937,0,0,No Data,No Data
1179750759,2007-05-21T12:32:39Z,27.591184,94.649273,115.531,65.44368,0,0,No Data,No Data
1179751019,2007-05-21T12:36:59Z,27.594231,94.655705,113.835,66.16335,0,0,No Data,No Data
1179751254,2007-05-21T12:40:54Z,27.595811,94.662081,118.476,66.81662,0,0,No Data,No Data
1179751779,2007-05-21T12:49:39Z,27.598987,94.676418,117.786,68.27474,0,0,No Data,No Data
1179751960,2007-05-21T12:52:40Z,27.600525,94.681217,118.242,68.77828,0,0,No Data,No Data
