UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,15.049732,75.901370,501.16,0,0,0,No Data,No Data
1179727293,2007-05-21T06:01:33Z,15.047896,75.899879,506.532,0.2597182,0,0,No Data,No Data
1179727346,2007-05-21T06:02:26Z,15.046983,75.898892,507.75,0.4066059,0,0,No Data,No Data
1179727488,2007-05-21T06:04:48Z,15.043749,75.897372,510.656,0.8019732,0,0,No Data,No Data
1179727594,2007-05-21T06:06:34Z,15.041922,75.895398,510.645,1.095798,0,0,No Data,No Data
1179727688,2007-05-21T06:08:08Z,15.040087,75.893908,507.618,1.355322,0,0,No Data,No Data
1179727794,2007-05-21T06:09:54Z,15.038260,75.891932,506.243,1.649317,0,0,No Data,No Data
1179727871,2007-05-21T06:11:11Z,15.036406,75.891408,504.474,1.86325,0,0,No Data,No Data
1179728069,2007-05-21T06:14:29Z,15.032744,75.887941,503.685,2.415623,0,0,No Data,No Data
1179728241,2007-05-21T06:17:21Z,15.029540,75.884982,504.045,2.893523,0,0,No Data,No Data
1179728440,2007-05-21T06:20:40Z,15.026355,75.881046,509.306,3.44558,0,0,No Data,No Data
1179728627,2007-05-21T06:23:47Z,15.023635,75.877120,517.967,3.964988,0,0,No Data,No Data
1179728746,2007-05-21T06:25:46Z,15.022759,75.874186,517.033,4.295099,0,0,No Data,No Data
1179728909,2007-05-21T06:28:29Z,15.020494,75.870708,512.691,4.746081,0,0,No Data,No Data
1179729048,2007-05-21T06:30:48Z,15.019624,75.867209,513.836,5.134462,0,0,No Data,No Data
1179729149,2007-05-21T06:32:29Z,15.018741,75.864780,517.896,5.413401,0,0,No Data,No Data
1179729280,2007-05-21T06:34:40Z,15.018343,75.861415,522.871,5.777891,0,0,No Data,No Data
1179729375,2007-05-21T06:36:15Z,15.017926,75.859005,547.307,6.041132,0,0,No Data,No Data
1179729579,2007-05-21T06:39:39Z,15.017567,75.853746,558.582,6.607949,0,0,No Data,No Data
1179729673,2007-05-21T06:41:13Z,15.017150,75.851347,522.466,6.870028,0,0,No Data,No Data
1179729766,2007-05-21T06:42:46Z,15.017197,75.848950,514.472,7.127806,0,0,No Data,No Data
1179730027,2007-05-21T06:47:07Z,15.017330,75.842189,515.745,7.854883,0,0,No Data,No Data
1179730140,2007-05-21T06:49:00Z,15.017386,75.839292,515.402,8.166392,0,0,No Data,No Data
1179730233,2007-05-21T06:50:33Z,15.017434,75.836881,513.921,8.425681,0,0,No Data,No Data
1179730364,2007-05-21T06:52:44Z,15.017500,75.833511,518.213,8.788064,0,0,No Data,No Data
1179730438,2007-05-21T06:53:58Z,15.017538,75.831585,513.079,8.99511,0,0,No Data,No Data
1179730574,2007-05-21T06:56:14Z,15.016672,75.828184,511.343,9.373276,0,0,No Data,No Data
1179730669,2007-05-21T06:57:49Z,15.016254,75.825760,517.395,9.637976,0,0,No Data,No Data
1179730763,2007-05-21T06:59:23Z,15.014895,75.823800,520.675,9.897369,0,0,No Data,No Data
1179730947,2007-05-21T07:02:27Z,15.013118,75.819422,525.076,10.40798,0,0,No Data,No Data
1179731107,2007-05-21T07:05:07Z,15.010855,75.815999,518.725,10.85394,0,0,No Data,No Data
1179731291,2007-05-21T07:08:11Z,15.009078,75.811622,509.153,11.36441,0,0,No Data,No Data
1179731452,2007-05-21T07:10:52Z,15.006815,75.808199,513.991,11.81034,0,0,No Data,No Data
1179731597,2007-05-21T07:13:17Z,15.004544,75.805256,515.425,12.21529,0,0,No Data,No Data
1179731706,2007-05-21T07:15:06Z,15.003195,75.802815,510.859,12.5177,0,0,No Data,No Data
1179731852,2007-05-21T07:17:32Z,15.000924,75.799870,513.305,12.92287,0,0,No Data,No Data
1179732003,2007-05-21T07:20:03Z,14.999128,75.796454,514.496,13.341,0,0,No Data,No Data
1179732174,2007-05-21T07:22:54Z,14.995925,75.793496,516.889,13.81881,0,0,No Data,No Data
1179732342,2007-05-21T07:25:42Z,14.992238,75.791491,513.814,14.28242,0,0,No Data,No Data
1179732447,2007-05-21T07:27:27Z,14.990413,75.789525,512.435,14.5756,0,0,No Data,No Data
1179732524,2007-05-21T07:28:44Z,14.988560,75.789004,513.978,14.7893,0,0,No Data,No Data
1179732603,2007-05-21T07:30:03Z,14.987191,75.787530,514.611,15.00914,0,0,No Data,No Data
1179732880,2007-05-21T07:34:40Z,14.980720,75.784985,518.796,15.77976,0,0,No Data,No Data
1179733206,2007-05-21T07:40:06Z,14.973339,75.781453,515.759,16.68497,0,0,No Data,No Data
1179733491,2007-05-21T07:44:51Z,14.966882,75.778423,521.797,17.47421,0,0,No Data,No Data
1179733775,2007-05-21T07:49:35Z,14.960910,75.774439,515.141,18.26509,0,0,No Data,No Data
1179734070,2007-05-21T07:54:30Z,14.954950,75.769974,532.182,19.0841,0,0,No Data,No Data
1179734272,2007-05-21T07:57:52Z,14.950820,75.766996,539.982,19.64439,0,0,No Data,No Data
1179734448,2007-05-21T08:00:48Z,14.947149,75.764509,529.218,20.13282,0,0,No Data,No Data
1179734810,2007-05-21T08:06:50Z,14.939801,75.759058,529.394,21.13921,0,0,No Data,No Data
1179734916,2007-05-21T08:08:36Z,14.937979,75.757092,525.664,21.43212,0,0,No Data,No Data
1179734994,2007-05-21T08:09:54Z,14.936613,75.755618,524.726,21.65172,0,0,No Data,No Data
1179735126,2007-05-21T08:12:06Z,14.934335,75.753161,528.388,22.01787,0,0,No Data,No Data
1179735219,2007-05-21T08:13:39Z,14.932977,75.751206,529.963,22.27676,0,0,No Data,No Data
1179735313,2007-05-21T08:15:13Z,14.931619,75.749251,527.103,22.53567,0,0,No Data,No Data
1179735426,2007-05-21T08:17:06Z,14.931208,75.746352,521.83,22.8508,0,0,No Data,No Data
1179735544,2007-05-21T08:19:04Z,14.930332,75.743443,527.309,23.17846,0,0,No Data,No Data
1179735695,2007-05-21T08:21:35Z,14.929938,75.739581,537.037,23.59613,0,0,No Data,No Data
1179736049,2007-05-21T08:27:29Z,14.929646,75.730421,524.807,24.58196,0,0,No Data,No Data
1179736385,2007-05-21T08:33:05Z,14.929811,75.721752,518.736,25.51466,0,0,No Data,No Data
1179736683,2007-05-21T08:38:03Z,14.929957,75.714046,521.239,26.34376,0,0,No Data,No Data
1179736907,2007-05-21T08:41:47Z,14.930069,75.708266,523.84,26.96555,0,0,No Data,No Data
1179737001,2007-05-21T08:43:21Z,14.930116,75.705859,524.969,27.22451,0,0,No Data,No Data
1179737119,2007-05-21T08:45:19Z,14.931102,75.702988,523.191,27.55223,0,0,No Data,No Data
1179737236,2007-05-21T08:47:16Z,14.932088,75.700117,520.0,27.87991,0,0,No Data,No Data
1179737320,2007-05-21T08:48:40Z,14.931195,75.698173,521.159,28.11142,0,0,No Data,No Data
1179737339,2007-05-21T08:48:59Z,14.931204,75.697691,520.332,28.16322,0,0,No Data,No Data
1179737418,2007-05-21T08:50:18Z,14.929837,75.696218,522.195,28.38281,0,0,No Data,No Data
1179737549,2007-05-21T08:52:29Z,14.927557,75.693764,522.998,28.74897,0,0,No Data,No Data
1179737669,2007-05-21T08:54:29Z,14.925742,75.691318,521.402,29.08064,0,0,No Data,No Data
1179737861,2007-05-21T08:57:41Z,14.923496,75.686936,514.849,29.61417,0,0,No Data,No Data
1179737995,2007-05-21T08:59:55Z,14.921689,75.684008,510.713,29.9879,0,0,No Data,No Data
1179738127,2007-05-21T09:02:07Z,14.921285,75.680626,517.138,30.35445,0,0,No Data,No Data
1179738239,2007-05-21T09:03:59Z,14.921338,75.677735,516.223,30.66545,0,0,No Data,No Data
1179738333,2007-05-21T09:05:33Z,14.923226,75.676327,515.838,30.92449,0,0,No Data,No Data
1179738441,2007-05-21T09:07:21Z,14.925578,75.674928,516.111,31.22654,0,0,No Data,No Data
1179738602,2007-05-21T09:10:02Z,14.928881,75.672586,516.896,31.67233,0,0,No Data,No Data
1179738695,2007-05-21T09:11:35Z,14.930771,75.671180,513.75,31.93151,0,0,No Data,No Data
1179738855,2007-05-21T09:14:15Z,14.934522,75.669811,515.54,32.37436,0,0,No Data,No Data
1179738973,2007-05-21T09:16:13Z,14.937332,75.668904,517.389,32.70214,0,0,No Data,No Data
1179739098,2007-05-21T09:18:18Z,14.940150,75.667514,519.0,33.04973,0,0,No Data,No Data
1179739230,2007-05-21T09:20:30Z,14.943420,75.667101,517.851,33.41655,0,0,No Data,No Data
1179739323,2007-05-21T09:22:03Z,14.945753,75.667154,515.722,33.67636,0,0,No Data,No Data
1179739419,2007-05-21T09:23:39Z,14.948075,75.667688,516.012,33.94128,0,0,No Data,No Data
1179739512,2007-05-21T09:25:12Z,14.949437,75.669646,515.937,34.20089,0,0,No Data,No Data
1179739637,2007-05-21T09:27:17Z,14.950781,75.672566,519.881,34.54887,0,0,No Data,No Data
1179739731,2007-05-21T09:28:51Z,14.950733,75.674972,522.698,34.80773,0,0,No Data,No Data
1179739842,2007-05-21T09:30:42Z,14.950674,75.677856,523.116,35.11809,0,0,No Data,No Data
1179740011,2007-05-21T09:33:31Z,14.951050,75.682195,521.322,35.58668,0,0,No Data,No Data
1179740142,2007-05-21T09:35:42Z,14.950984,75.685564,526.993,35.94922,0,0,No Data,No Data
1179740272,2007-05-21T09:37:52Z,14.950921,75.688937,527.648,36.31212,0,0,No Data,No Data
1179740421,2007-05-21T09:40:21Z,14.950849,75.692791,528.89,36.72677,0,0,No Data,No Data
1179740533,2007-05-21T09:42:13Z,14.950795,75.695681,517.219,37.03777,0,0,No Data,No Data
1179740645,2007-05-21T09:44:05Z,14.950740,75.698571,512.236,37.34875,0,0,No Data,No Data
1179740757,2007-05-21T09:45:57Z,14.950685,75.701461,510.798,37.65972,0,0,No Data,No Data
1179740869,2007-05-21T09:47:49Z,14.950630,75.704351,511.376,37.97067,0,0,No Data,No Data
1179740962,2007-05-21T09:49:22Z,14.950581,75.706758,507.99,38.22968,0,0,No Data,No Data
1179741098,2007-05-21T09:51:38Z,14.951447,75.710148,510.21,38.60694,0,0,No Data,No Data
1179741267,2007-05-21T09:54:27Z,14.951830,75.714493,510.546,39.07628,0,0,No Data,No Data
1179741342,2007-05-21T09:55:42Z,14.951793,75.716420,509.01,39.28361,0,0,No Data,No Data
1179741484,2007-05-21T09:58:04Z,14.953125,75.719820,517.646,39.67834,0,0,No Data,No Data
1179741620,2007-05-21T10:00:20Z,14.953992,75.723211,519.321,40.05573,0,0,No Data,No Data
1179741838,2007-05-21T10:03:58Z,14.955754,75.728548,528.033,40.66243,0,0,No Data,No Data
1179741973,2007-05-21T10:06:13Z,14.957561,75.731476,530.261,41.03623,0,0,No Data,No Data
1179742098,2007-05-21T10:08:18Z,14.958902,75.734395,530.045,41.38397,0,0,No Data,No Data
1179742217,2007-05-21T10:10:17Z,14.960718,75.736842,530.006,41.71593,0,0,No Data,No Data
1179742363,2007-05-21T10:12:43Z,14.963465,75.739307,527.478,42.12081,0,0,No Data,No Data
1179742509,2007-05-21T10:15:09Z,14.965736,75.742245,530.919,42.52557,0,0,No Data,No Data
1179742655,2007-05-21T10:17:35Z,14.968006,75.745183,522.65,42.93026,0,0,No Data,No Data
1179742827,2007-05-21T10:20:27Z,14.971207,75.748141,516.334,43.40798,0,0,No Data,No Data
1179743028,2007-05-21T10:23:48Z,14.975338,75.751117,513.891,43.9684,0,0,No Data,No Data
1179743137,2007-05-21T10:25:37Z,14.977637,75.752611,517.574,44.27062,0,0,No Data,No Data
1179743238,2007-05-21T10:27:18Z,14.979945,75.753622,523.891,44.54966,0,0,No Data,No Data
1179743414,2007-05-21T10:30:14Z,14.983620,75.756108,531.906,45.03852,0,0,No Data,No Data
1179743507,2007-05-21T10:31:47Z,14.985455,75.757591,533.01,45.29774,0,0,No Data,No Data
1179743600,2007-05-21T10:33:20Z,14.987288,75.759075,533.855,45.55686,0,0,No Data,No Data
1179743751,2007-05-21T10:35:51Z,14.990508,75.761070,532.674,45.97466,0,0,No Data,No Data
1179743859,2007-05-21T10:37:39Z,14.992806,75.762564,529.847,46.27684,0,0,No Data,No Data
1179743943,2007-05-21T10:39:03Z,14.994649,75.763566,528.575,46.50865,0,0,No Data,No Data
1179744036,2007-05-21T10:40:36Z,14.996482,75.765051,528.166,46.76782,0,0,No Data,No Data
1179744130,2007-05-21T10:42:10Z,14.997840,75.767008,525.937,47.02704,0,0,No Data,No Data
1179744235,2007-05-21T10:43:55Z,14.999664,75.768975,516.63,47.32035,0,0,No Data,No Data
1179744344,2007-05-21T10:45:44Z,15.001963,75.770470,514.879,47.62265,0,0,No Data,No Data
1179744463,2007-05-21T10:47:43Z,15.004252,75.772449,513.878,47.95471,0,0,No Data,No Data
1179744516,2007-05-21T10:48:36Z,15.005164,75.773433,513.665,48.10145,0,0,No Data,No Data
1179744701,2007-05-21T10:51:41Z,15.008357,75.776878,520.304,48.61492,0,0,No Data,No Data
1179744852,2007-05-21T10:54:12Z,15.011578,75.778873,529.14,49.03289,0,0,No Data,No Data
1179744984,2007-05-21T10:56:24Z,15.013859,75.781331,527.622,49.39952,0,0,No Data,No Data
1179745129,2007-05-21T10:58:49Z,15.016605,75.783797,521.444,49.80429,0,0,No Data,No Data
1179745261,2007-05-21T11:01:01Z,15.018886,75.786255,516.988,50.17087,0,0,No Data,No Data
1179745367,2007-05-21T11:02:47Z,15.020711,75.788221,522.433,50.46413,0,0,No Data,No Data
1179745476,2007-05-21T11:04:36Z,15.023010,75.789714,525.149,50.76635,0,0,No Data,No Data
1179745581,2007-05-21T11:06:21Z,15.024834,75.791681,521.6,51.05965,0,0,No Data,No Data
1179745742,2007-05-21T11:09:02Z,15.028046,75.794158,530.659,51.50554,0,0,No Data,No Data
1179745888,2007-05-21T11:11:28Z,15.030792,75.796628,528.043,51.91061,0,0,No Data,No Data
1179745997,2007-05-21T11:13:17Z,15.032143,75.799072,523.307,52.21344,0,0,No Data,No Data
1179746103,2007-05-21T11:15:03Z,15.033969,75.801041,526.894,52.50705,0,0,No Data,No Data
1179746368,2007-05-21T11:19:28Z,15.038059,75.806441,520.524,53.24495,0,0,No Data,No Data
1179746488,2007-05-21T11:21:28Z,15.039875,75.808891,519.481,53.57709,0,0,No Data,No Data
1179746664,2007-05-21T11:24:24Z,15.042131,75.812808,514.912,54.06749,0,0,No Data,No Data
1179746848,2007-05-21T11:27:28Z,15.043911,75.817190,511.922,54.57871,0,0,No Data,No Data
1179747040,2007-05-21T11:30:40Z,15.046155,75.821580,508.88,55.11279,0,0,No Data,No Data
1179747175,2007-05-21T11:32:55Z,15.047961,75.824513,514.264,55.48684,0,0,No Data,No Data
1179747342,2007-05-21T11:35:42Z,15.049749,75.828411,517.944,55.95087,0,0,No Data,No Data
1179747460,2007-05-21T11:37:40Z,15.050625,75.831327,512.148,56.27923,0,0,No Data,No Data
1179747620,2007-05-21T11:40:20Z,15.051947,75.835216,512.846,56.72251,0,0,No Data,No Data
1179747833,2007-05-21T11:43:53Z,15.053240,75.840551,509.0,57.31392,0,0,No Data,No Data
1179748069,2007-05-21T11:47:49Z,15.054989,75.846377,515.983,57.96992,0,0,No Data,No Data
1179748144,2007-05-21T11:49:04Z,15.054952,75.848309,518.856,58.17768,0,0,No Data,No Data
1179748260,2007-05-21T11:51:00Z,15.055808,75.851173,527.152,58.50002,0,0,No Data,No Data
1179748639,2007-05-21T11:57:19Z,15.057893,75.860718,587.954,59.55218,0,0,No Data,No Data
1179748854,2007-05-21T12:00:54Z,15.059622,75.865982,659.868,60.15001,0,0,No Data,No Data
1179749049,2007-05-21T12:04:09Z,15.060930,75.870848,582.743,60.69311,0,0,No Data,No Data
1179749285,2007-05-21T12:08:05Z,15.062253,75.876775,534.535,61.34714,0,0,No Data,No Data
1179749526,2007-05-21T12:12:06Z,15.064044,75.882726,508.814,62.01728,0,0,No Data,No Data
1179749718,2007-05-21T12:15:18Z,15.064449,75.887661,507.146,62.54979,0,0,No Data,No Data
1179749891,2007-05-21T12:18:11Z,15.065303,75.892047,506.019,63.03081,0,0,No Data,No Data
1179750041,2007-05-21T12:20:41Z,15.065229,75.895915,505.044,63.44674,0,0,No Data,No Data
1179750155,2007-05-21T12:22:35Z,15.065639,75.898828,505.188,63.76326,0,0,No Data,No Data
1179750248,2007-05-21T12:24:08Z,15.065593,75.901247,503.148,64.02345,0,0,No Data,No Data
1179750435,2007-05-21T12:27:15Z,15.065501,75.906087,497.511,64.54391,0,0,No Data,No Data
1179750529,2007-05-21T12:28:49Z,15.065455,75.908506,497.149,64.80401,0,0,No Data,No Data
1179750635,2007-05-21T12:30:35Z,15.063551,75.910394,502.86,65.09752,0,0,No Data,No Data
1179750730,2007-05-21T12:32:10Z,15.061210,75.910823,501.928,65.3622,0,0,No Data,No Data
1179750814,2007-05-21T12:33:34Z,15.059363,75.909814,502.904,65.59459,0,0,No Data,No Data
1179750893,2007-05-21T12:34:53Z,15.057993,75.908332,502.588,65.81505,0,0,No Data,No Data
1179750935,2007-05-21T12:35:35Z,15.057546,75.907356,495.218,65.93117,0,0,No Data,No Data
1179751014,2007-05-21T12:36:54Z,15.056175,75.905874,496.634,66.1517,0,0,No Data,No Data
1179751161,2007-05-21T12:39:21Z,15.053901,75.902922,496.101,66.55756,0,0,No Data,No Data
1179751280,2007-05-21T12:41:20Z,15.052084,75.900465,502.5,66.89026,0,0,No Data,No Data
