UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,20.824991,86.094046,21.835,0,0,0,No Data,No Data
1179727523,2007-05-21T06:05:23Z,20.829415,86.086847,19.782,0.8964276,0,0,No Data,No Data
1179727703,2007-05-21T06:08:23Z,20.831658,86.082676,20.992,1.397089,0,0,No Data,No Data
1179727920,2007-05-21T06:12:00Z,20.833962,86.077431,19.245,2.000091,0,0,No Data,No Data
1179728175,2007-05-21T06:16:15Z,20.836326,86.071111,19.877,2.70839,0,0,No Data,No Data
1179728376,2007-05-21T06:19:36Z,20.839568,86.067006,25.861,3.267571,0,0,No Data,No Data
1179728646,2007-05-21T06:24:06Z,20.842930,86.060762,20.439,4.01735,0,0,No Data,No Data
1179728916,2007-05-21T06:28:36Z,20.846293,86.054517,21.0,4.767255,0,0,No Data,No Data
1179729150,2007-05-21T06:32:30Z,20.849594,86.049349,19.513,5.418463,0,0,No Data,No Data
1179729405,2007-05-21T06:36:45Z,20.851955,86.043041,21.107,6.125433,0,0,No Data,No Data
1179729550,2007-05-21T06:39:10Z,20.854135,86.039951,20.946,6.528234,0,0,No Data,No Data
1179730019,2007-05-21T06:46:59Z,20.860734,86.029609,22.008,7.831024,0,0,No Data,No Data
1179730253,2007-05-21T06:50:53Z,20.864034,86.024444,23.334,8.481928,0,0,No Data,No Data
1179730419,2007-05-21T06:53:39Z,20.865274,86.020217,23.0,8.942744,0,0,No Data,No Data
1179730625,2007-05-21T06:57:05Z,20.864576,86.014785,21.389,9.513111,0,0,No Data,No Data
1179730795,2007-05-21T06:59:55Z,20.861760,86.011365,25.847,9.987241,0,0,No Data,No Data
1179731023,2007-05-21T07:03:43Z,20.858004,86.006807,41.801,10.61937,0,0,No Data,No Data
1179731292,2007-05-21T07:08:12Z,20.852191,86.003188,98.849,11.36794,0,0,No Data,No Data
1179731638,2007-05-21T07:13:58Z,20.845501,85.997366,50.149,12.32785,0,0,No Data,No Data
1179731782,2007-05-21T07:16:22Z,20.842625,85.995026,56.045,12.72998,0,0,No Data,No Data
1179731983,2007-05-21T07:19:43Z,20.838811,85.991550,58.693,13.2877,0,0,No Data,No Data
1179732267,2007-05-21T07:24:27Z,20.834118,85.985867,40.904,14.07669,0,0,No Data,No Data
1179732502,2007-05-21T07:28:22Z,20.831423,85.980317,41.137,14.72739,0,0,No Data,No Data
1179732759,2007-05-21T07:32:39Z,20.827730,85.974682,34.966,15.44338,0,0,No Data,No Data
1179733050,2007-05-21T07:37:30Z,20.824099,85.967969,28.884,16.2504,0,0,No Data,No Data
1179733355,2007-05-21T07:42:35Z,20.821522,85.960306,27.304,17.09775,0,0,No Data,No Data
1179733589,2007-05-21T07:46:29Z,20.818826,85.954783,27.385,17.74609,0,0,No Data,No Data
1179733768,2007-05-21T07:49:28Z,20.817070,85.950363,32.304,18.2458,0,0,No Data,No Data
1179734061,2007-05-21T07:54:21Z,20.815495,85.942728,33.843,19.05941,0,0,No Data,No Data
1179734227,2007-05-21T07:57:07Z,20.814736,85.938380,27.278,19.51968,0,0,No Data,No Data
1179734428,2007-05-21T08:00:28Z,20.815036,85.933029,31.817,20.07749,0,0,No Data,No Data
1179734720,2007-05-21T08:05:20Z,20.813459,85.925405,45.105,20.88999,0,0,No Data,No Data
1179735081,2007-05-21T08:11:21Z,20.813998,85.915775,38.201,21.89384,0,0,No Data,No Data
