UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,20.743853,85.399416,71.062,0,0,0,No Data,No Data
1179727601,2007-05-21T06:06:41Z,20.734666,85.403659,71.226,1.114084,0,0,No Data,No Data
1179728115,2007-05-21T06:15:15Z,20.723823,85.410997,85.987,2.542738,0,0,No Data,No Data
1179728751,2007-05-21T06:25:51Z,20.711323,85.421428,85.822,4.308028,0,0,No Data,No Data
1179729427,2007-05-21T06:37:07Z,20.698739,85.433446,113.462,6.186603,0,0,No Data,No Data
1179729858,2007-05-21T06:44:18Z,20.692272,85.442635,112.727,7.384118,0,0,No Data,No Data
1179730325,2007-05-21T06:52:05Z,20.684317,85.451733,110.95,8.681095,0,0,No Data,No Data
1179730836,2007-05-21T07:00:36Z,20.679165,85.464194,106.866,10.10008,0,0,No Data,No Data
1179731347,2007-05-21T07:09:07Z,20.674011,85.476656,113.985,11.51925,0,0,No Data,No Data
1179731646,2007-05-21T07:14:06Z,20.669201,85.482750,109.453,12.34973,0,0,No Data,No Data
1179731892,2007-05-21T07:18:12Z,20.667368,85.489027,102.607,13.03471,0,0,No Data,No Data
1179732348,2007-05-21T07:25:48Z,20.662297,85.499898,92.032,14.29999,0,0,No Data,No Data
1179732899,2007-05-21T07:34:59Z,20.658542,85.514044,88.602,15.83176,0,0,No Data,No Data
1179733382,2007-05-21T07:43:02Z,20.656366,85.526689,81.66,17.17119,0,0,No Data,No Data
1179733874,2007-05-21T07:51:14Z,20.652705,85.539242,67.863,18.54096,0,0,No Data,No Data
1179734054,2007-05-21T07:54:14Z,20.652448,85.544018,67.563,19.03935,0,0,No Data,No Data
1179734353,2007-05-21T07:59:13Z,20.652019,85.551978,67.361,19.86997,0,0,No Data,No Data
1179734658,2007-05-21T08:04:18Z,20.650104,85.559844,65.061,20.71674,0,0,No Data,No Data
1179735081,2007-05-21T08:11:21Z,20.648017,85.570894,71.621,21.89112,0,0,No Data,No Data
1179735499,2007-05-21T08:18:19Z,20.647415,85.582037,131.761,23.05394,0,0,No Data,No Data
1179735798,2007-05-21T08:23:18Z,20.646984,85.589996,90.1,23.88456,0,0,No Data,No Data
1179736103,2007-05-21T08:28:23Z,20.648039,85.598051,106.462,24.73192,0,0,No Data,No Data
1179736527,2007-05-21T08:35:27Z,20.648906,85.609303,100.006,25.9081,0,0,No Data,No Data
1179737038,2007-05-21T08:43:58Z,20.652692,85.622309,102.181,27.32714,0,0,No Data,No Data
1179737284,2007-05-21T08:48:04Z,20.653840,85.628766,99.972,28.01192,0,0,No Data,No Data
1179737633,2007-05-21T08:53:53Z,20.657879,85.637000,129.16,28.98051,0,0,No Data,No Data
1179737971,2007-05-21T08:59:31Z,20.663493,85.643736,153.653,29.92031,0,0,No Data,No Data
1179738225,2007-05-21T09:03:45Z,20.667704,85.648788,90.833,30.62519,0,0,No Data,No Data
1179738563,2007-05-21T09:09:23Z,20.673317,85.655525,93.374,31.56494,0,0,No Data,No Data
1179739030,2007-05-21T09:17:10Z,20.681823,85.664039,83.427,32.86239,0,0,No Data,No Data
1179739246,2007-05-21T09:20:46Z,20.686117,85.667503,93.008,33.46141,0,0,No Data,No Data
1179739760,2007-05-21T09:29:20Z,20.696107,85.676120,89.868,34.89062,0,0,No Data,No Data
1179740099,2007-05-21T09:34:59Z,20.701717,85.682864,81.241,35.83058,0,0,No Data,No Data
1179740613,2007-05-21T09:43:33Z,20.711707,85.691484,78.514,37.25991,0,0,No Data,No Data
1179740803,2007-05-21T09:46:43Z,20.716088,85.693359,73.323,37.78533,0,0,No Data,No Data
1179741056,2007-05-21T09:50:56Z,20.720295,85.698422,69.038,38.49057,0,0,No Data,No Data
1179741356,2007-05-21T09:55:56Z,20.725990,85.703580,70.425,39.32159,0,0,No Data,No Data
