UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,24.808239,93.130605,34.194,0,0,0,No Data,No Data
1179727217,2007-05-21T06:00:17Z,24.808238,93.131073,35.466,0.0473405,0,0,No Data,No Data
1179727235,2007-05-21T06:00:35Z,24.808531,93.131435,36.0,0.096425,0,0,No Data,No Data
1179727266,2007-05-21T06:01:06Z,24.808929,93.132168,35.829,0.1828677,0,0,No Data,No Data
1179727294,2007-05-21T06:01:34Z,24.809328,93.132810,35.562,0.2615647,0,0,No Data,No Data
1179727332,2007-05-21T06:02:12Z,24.810022,93.133538,35.112,0.3683493,0,0,No Data,No Data
1179727358,2007-05-21T06:02:38Z,24.810422,93.134091,34.711,0.4398763,0,0,No Data,No Data
1179727381,2007-05-21T06:03:01Z,24.810822,93.134551,33.996,0.5043091,0,0,No Data,No Data
1179727402,2007-05-21T06:03:22Z,24.811222,93.134917,35.217,0.5622893,0,0,No Data,No Data
1179727426,2007-05-21T06:03:46Z,24.811722,93.135283,36.617,0.6291962,0,0,No Data,No Data
1179727439,2007-05-21T06:03:59Z,24.811925,93.135562,36.542,0.6653711,0,0,No Data,No Data
1179727450,2007-05-21T06:04:10Z,24.812127,93.135747,36.98,0.6946604,0,0,No Data,No Data
1179727479,2007-05-21T06:04:39Z,24.812634,93.136305,36.344,0.774501,0,0,No Data,No Data
1179727500,2007-05-21T06:05:00Z,24.813038,93.136677,36.268,0.8331968,0,0,No Data,No Data
1179727527,2007-05-21T06:05:27Z,24.813350,93.137337,34.631,0.9084331,0,0,No Data,No Data
1179727532,2007-05-21T06:05:32Z,24.813452,93.137430,34.63,0.9232566,0,0,No Data,No Data
1179727567,2007-05-21T06:06:07Z,24.813863,93.138282,33.179,1.020806,0,0,No Data,No Data
1179727578,2007-05-21T06:06:18Z,24.813967,93.138566,32.933,1.051834,0,0,No Data,No Data
1179727604,2007-05-21T06:06:44Z,24.814174,93.139232,33.071,1.123013,0,0,No Data,No Data
1179727622,2007-05-21T06:07:02Z,24.814176,93.139709,33.662,1.171232,0,0,No Data,No Data
1179727650,2007-05-21T06:07:30Z,24.814384,93.140471,35.681,1.251691,0,0,No Data,No Data
1179727668,2007-05-21T06:07:48Z,24.814386,93.140948,36.606,1.299939,0,0,No Data,No Data
1179727699,2007-05-21T06:08:19Z,24.814493,93.141807,37.15,1.387607,0,0,No Data,No Data
1179727722,2007-05-21T06:08:42Z,24.814297,93.142379,39.999,1.449456,0,0,No Data,No Data
1179727728,2007-05-21T06:08:48Z,24.814299,93.142570,40.451,1.468815,0,0,No Data,No Data
1179727765,2007-05-21T06:09:25Z,24.813507,93.143044,36.12,1.56909,0,0,No Data,No Data
1179727789,2007-05-21T06:09:49Z,24.813023,93.143422,34.229,1.635156,0,0,No Data,No Data
1179727806,2007-05-21T06:10:06Z,24.812630,93.143610,33.541,1.68287,0,0,No Data,No Data
1179727830,2007-05-21T06:10:30Z,24.812028,93.143700,33.373,1.750498,0,0,No Data,No Data
1179727855,2007-05-21T06:10:55Z,24.811429,93.143884,34.269,1.81971,0,0,No Data,No Data
1179727871,2007-05-21T06:11:11Z,24.811027,93.143974,35.076,1.865311,0,0,No Data,No Data
1179727896,2007-05-21T06:11:36Z,24.810423,93.144062,35.379,1.933083,0,0,No Data,No Data
1179727916,2007-05-21T06:11:56Z,24.809929,93.144057,35.12,1.988023,0,0,No Data,No Data
1179727939,2007-05-21T06:12:19Z,24.809356,93.144240,34.753,2.054437,0,0,No Data,No Data
