UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,29.792764,77.167517,248.993,0,0,0,No Data,No Data
1179727333,2007-05-21T06:02:13Z,29.789449,77.167438,250.074,0.3690718,0,0,No Data,No Data
1179727599,2007-05-21T06:06:39Z,29.782821,77.167279,253.0,1.107109,0,0,No Data,No Data
1179727914,2007-05-21T06:11:54Z,29.774958,77.166614,251.888,1.984744,0,0,No Data,No Data
1179728316,2007-05-21T06:18:36Z,29.765041,77.164945,250.225,3.100421,0,0,No Data,No Data
1179728765,2007-05-21T06:26:05Z,29.753869,77.164201,251.068,4.346253,0,0,No Data,No Data
1179728980,2007-05-21T06:29:40Z,29.748487,77.164073,250.255,4.945539,0,0,No Data,No Data
1179729146,2007-05-21T06:32:26Z,29.744347,77.163976,249.267,5.406445,0,0,No Data,No Data
1179729362,2007-05-21T06:36:02Z,29.738966,77.163849,250.669,6.005558,0,0,No Data,No Data
1179729544,2007-05-21T06:39:04Z,29.734413,77.163742,249.146,6.51247,0,0,No Data,No Data
1179729662,2007-05-21T06:41:02Z,29.731508,77.164150,250.019,6.83824,0,0,No Data,No Data
1179729815,2007-05-21T06:43:35Z,29.727767,77.165016,249.019,7.263004,0,0,No Data,No Data
1179729864,2007-05-21T06:44:24Z,29.726525,77.164986,249.013,7.401203,0,0,No Data,No Data
1179729990,2007-05-21T06:46:30Z,29.723605,77.166349,251.29,7.75197,0,0,No Data,No Data
1179730092,2007-05-21T06:48:12Z,29.721114,77.166767,248.947,8.032198,0,0,No Data,No Data
1179730176,2007-05-21T06:49:36Z,29.719037,77.167196,250.119,8.26709,0,0,No Data,No Data
1179730277,2007-05-21T06:51:17Z,29.716546,77.167615,248.738,8.54729,0,0,No Data,No Data
1179730426,2007-05-21T06:53:46Z,29.712822,77.167528,249.387,8.961898,0,0,No Data,No Data
1179730543,2007-05-21T06:55:43Z,29.709918,77.167936,249.15,9.287583,0,0,No Data,No Data
1179730677,2007-05-21T06:57:57Z,29.706600,77.168336,248.083,9.658972,0,0,No Data,No Data
1179730859,2007-05-21T07:00:59Z,29.702049,77.168230,251.284,10.16571,0,0,No Data,No Data
1179731058,2007-05-21T07:04:18Z,29.697084,77.168114,248.606,10.71848,0,0,No Data,No Data
1179731308,2007-05-21T07:08:28Z,29.690887,77.167494,246.195,11.41092,0,0,No Data,No Data
1179731549,2007-05-21T07:12:29Z,29.685128,77.165454,246.615,12.08167,0,0,No Data,No Data
1179731759,2007-05-21T07:15:59Z,29.680197,77.163432,246.147,12.66439,0,0,No Data,No Data
1179731953,2007-05-21T07:19:13Z,29.675679,77.161420,245.924,13.20361,0,0,No Data,No Data
1179732171,2007-05-21T07:22:51Z,29.670318,77.160342,245.746,13.80936,0,0,No Data,No Data
1179732533,2007-05-21T07:28:53Z,29.661682,77.157280,244.297,14.81528,0,0,No Data,No Data
1179732743,2007-05-21T07:32:23Z,29.656752,77.155262,245.95,15.39772,0,0,No Data,No Data
1179732959,2007-05-21T07:35:59Z,29.651831,77.152767,244.529,15.99635,0,0,No Data,No Data
1179733184,2007-05-21T07:39:44Z,29.646487,77.150740,245.35,16.62268,0,0,No Data,No Data
1179733357,2007-05-21T07:42:37Z,29.642377,77.149217,244.147,17.10333,0,0,No Data,No Data
1179733462,2007-05-21T07:44:22Z,29.639912,77.148208,242.852,17.39451,0,0,No Data,No Data
1179733619,2007-05-21T07:46:59Z,29.636215,77.146695,243.576,17.83125,0,0,No Data,No Data
1179733761,2007-05-21T07:49:21Z,29.632932,77.145192,245.658,18.22456,0,0,No Data,No Data
1179733872,2007-05-21T07:51:12Z,29.630475,77.143709,244.451,18.53339,0,0,No Data,No Data
1179733998,2007-05-21T07:53:18Z,29.627605,77.142216,243.105,18.88398,0,0,No Data,No Data
1179734087,2007-05-21T07:54:47Z,29.625554,77.141217,244.766,19.13187,0,0,No Data,No Data
1179734198,2007-05-21T07:56:38Z,29.623097,77.139734,244.807,19.44068,0,0,No Data,No Data
1179734295,2007-05-21T07:58:15Z,29.621054,77.138259,244.888,19.70909,0,0,No Data,No Data
1179734378,2007-05-21T07:59:38Z,29.619425,77.136794,244.479,19.93922,0,0,No Data,No Data
1179734475,2007-05-21T08:01:15Z,29.617382,77.135320,242.979,20.20761,0,0,No Data,No Data
1179734545,2007-05-21T08:02:25Z,29.616166,77.133864,243.603,20.4029,0,0,No Data,No Data
1179734628,2007-05-21T08:03:48Z,29.614958,77.131933,242.182,20.63304,0,0,No Data,No Data
1179734712,2007-05-21T08:05:12Z,29.614585,77.129545,243.543,20.8678,0,0,No Data,No Data
1179734838,2007-05-21T08:07:18Z,29.613401,77.126187,244.117,21.21845,0,0,No Data,No Data
1179734921,2007-05-21T08:08:41Z,29.612193,77.124256,244.485,21.4486,0,0,No Data,No Data
1179734990,2007-05-21T08:09:50Z,29.611812,77.122344,241.503,21.63839,0,0,No Data,No Data
