UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.411392,86.861961,71.566,0,0,0,No Data,No Data
1179728738,2007-05-21T06:25:38Z,26.373387,86.867985,69.1,4.273473,0,0,No Data,No Data
1179730769,2007-05-21T06:59:29Z,26.323138,86.875172,65.815,9.913341,0,0,No Data,No Data
1179732969,2007-05-21T07:36:09Z,26.268501,86.881103,63.065,16.02471,0,0,No Data,No Data
1179733906,2007-05-21T07:51:46Z,26.245106,86.880984,61.942,18.62927,0,0,No Data,No Data
1179735022,2007-05-21T08:10:22Z,26.217273,86.880852,61.456,21.72789,0,0,No Data,No Data
1179735468,2007-05-21T08:17:48Z,26.206145,86.880801,60.014,22.96673,0,0,No Data,No Data
1179735836,2007-05-21T08:23:56Z,26.197242,86.878275,59.048,23.98949,0,0,No Data,No Data
1179736317,2007-05-21T08:31:57Z,26.186114,86.873256,57.632,25.32584,0,0,No Data,No Data
1179736677,2007-05-21T08:37:57Z,26.178326,86.868255,59.28,26.32642,0,0,No Data,No Data
1179737099,2007-05-21T08:44:59Z,26.169427,86.862009,58.687,27.49719,0,0,No Data,No Data
1179737448,2007-05-21T08:50:48Z,26.162753,86.855776,58.412,28.46664,0,0,No Data,No Data
1179737860,2007-05-21T08:57:40Z,26.154968,86.848299,56.114,29.61088,0,0,No Data,No Data
1179738244,2007-05-21T09:04:04Z,26.149405,86.839593,56.341,30.67871,0,0,No Data,No Data
1179738827,2007-05-21T09:13:47Z,26.141617,86.825927,55.882,32.29639,0,0,No Data,No Data
1179739326,2007-05-21T09:22:06Z,26.136053,86.813513,55.048,33.68304,0,0,No Data,No Data
1179739785,2007-05-21T09:29:45Z,26.130490,86.802343,55.151,34.95964,0,0,No Data,No Data
1179740384,2007-05-21T09:39:44Z,26.123814,86.787458,54.125,36.62267,0,0,No Data,No Data
1179741303,2007-05-21T09:55:03Z,26.114908,86.763911,54.034,39.17672,0,0,No Data,No Data
1179742322,2007-05-21T10:12:02Z,26.104888,86.737896,53.454,42.00644,0,0,No Data,No Data
1179742960,2007-05-21T10:22:40Z,26.098210,86.721799,54.124,43.77908,0,0,No Data,No Data
1179743328,2007-05-21T10:28:48Z,26.095978,86.711898,54.912,44.79961,0,0,No Data,No Data
1179744173,2007-05-21T10:42:53Z,26.089288,86.689634,52.625,47.14688,0,0,No Data,No Data
1179744731,2007-05-21T10:52:11Z,26.082612,86.676033,52.0,48.69663,0,0,No Data,No Data
1179745055,2007-05-21T10:57:35Z,26.080379,86.667379,51.089,49.59688,0,0,No Data,No Data
1179745692,2007-05-21T11:08:12Z,26.077022,86.650075,52.003,51.36706,0,0,No Data,No Data
1179746316,2007-05-21T11:18:36Z,26.075881,86.632772,52.0,53.10187,0,0,No Data,No Data
1179747251,2007-05-21T11:34:11Z,26.075829,86.606825,51.423,55.69644,0,0,No Data,No Data
1179747748,2007-05-21T11:42:28Z,26.073581,86.593241,51.828,57.07766,0,0,No Data,No Data
1179747926,2007-05-21T11:45:26Z,26.073570,86.588300,52.871,57.57171,0,0,No Data,No Data
1179748103,2007-05-21T11:48:23Z,26.073558,86.583359,50.435,58.06572,0,0,No Data,No Data
1179748287,2007-05-21T11:51:27Z,26.074655,86.578417,49.84,58.57475,0,0,No Data,No Data
1179748794,2007-05-21T11:59:54Z,26.077948,86.564825,49.229,59.98246,0,0,No Data,No Data
1179749033,2007-05-21T12:03:53Z,26.080150,86.558645,47.03,60.64723,0,0,No Data,No Data
1179749314,2007-05-21T12:08:34Z,26.082349,86.551230,54.011,61.42801,0,0,No Data,No Data
1179749637,2007-05-21T12:13:57Z,26.084543,86.542580,49.505,62.32675,0,0,No Data,No Data
1179750017,2007-05-21T12:20:17Z,26.087843,86.532692,49.801,63.38148,0,0,No Data,No Data
1179750284,2007-05-21T12:24:44Z,26.087822,86.525281,49.342,64.12247,0,0,No Data,No Data
1179750347,2007-05-21T12:25:47Z,26.088928,86.524043,50.639,64.29705,0,0,No Data,No Data
