UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,16.726516,74.299543,541.466,0,0,0,No Data,No Data
1179727218,2007-05-21T06:00:18Z,16.726516,74.300022,540.825,0.0511291,0,0,No Data,No Data
1179727261,2007-05-21T06:01:01Z,16.726516,74.301139,540.867,0.1702868,0,0,No Data,No Data
1179727322,2007-05-21T06:02:02Z,16.726516,74.302735,540.741,0.3404911,0,0,No Data,No Data
1179727371,2007-05-21T06:02:51Z,16.726516,74.304012,538.704,0.4766568,0,0,No Data,No Data
1179727402,2007-05-21T06:03:22Z,16.726515,74.304810,538.813,0.5617505,0,0,No Data,No Data
1179727451,2007-05-21T06:04:11Z,16.726363,74.306084,540.192,0.6987245,0,0,No Data,No Data
1179727487,2007-05-21T06:04:47Z,16.725905,74.306879,540.064,0.7976972,0,0,No Data,No Data
1179727539,2007-05-21T06:05:39Z,16.724836,74.307671,541.321,0.9435958,0,0,No Data,No Data
1179727557,2007-05-21T06:05:57Z,16.724530,74.307987,539.629,0.9915143,0,0,No Data,No Data
1179727603,2007-05-21T06:06:43Z,16.723462,74.308458,535.328,1.120533,0,0,No Data,No Data
1179727669,2007-05-21T06:07:49Z,16.721936,74.309084,543.164,1.302999,0,0,No Data,No Data
1179727708,2007-05-21T06:08:28Z,16.721173,74.309719,541.745,1.411593,0,0,No Data,No Data
1179727747,2007-05-21T06:09:07Z,16.720410,74.310347,542.637,1.519728,0,0,No Data,No Data
1179727780,2007-05-21T06:09:40Z,16.719648,74.310661,543.459,1.610922,0,0,No Data,No Data
1179727807,2007-05-21T06:10:07Z,16.719038,74.310979,543.598,1.686814,0,0,No Data,No Data
1179727838,2007-05-21T06:10:38Z,16.718428,74.311454,544.141,1.771543,0,0,No Data,No Data
1179727876,2007-05-21T06:11:16Z,16.717513,74.311769,548.065,1.878786,0,0,No Data,No Data
1179727909,2007-05-21T06:11:49Z,16.716751,74.312083,548.501,1.970006,0,0,No Data,No Data
1179727939,2007-05-21T06:12:19Z,16.715990,74.312068,549.737,2.054737,0,0,No Data,No Data
1179727988,2007-05-21T06:13:08Z,16.714770,74.312063,548.606,2.190455,0,0,No Data,No Data
1179728043,2007-05-21T06:14:03Z,16.713399,74.312058,548.075,2.343042,0,0,No Data,No Data
1179728092,2007-05-21T06:14:52Z,16.712180,74.312052,548.457,2.478661,0,0,No Data,No Data
1179728129,2007-05-21T06:15:29Z,16.711267,74.312045,548.829,2.580253,0,0,No Data,No Data
1179728181,2007-05-21T06:16:21Z,16.710049,74.311562,550.757,2.725235,0,0,No Data,No Data
