UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.768622,94.806387,169.226,0,0,0,No Data,No Data
1179727225,2007-05-21T06:00:25Z,26.768046,94.806693,167.619,0.0709454,0,0,No Data,No Data
1179727262,2007-05-21T06:01:02Z,26.767196,94.807100,162.601,0.1738258,0,0,No Data,No Data
1179727296,2007-05-21T06:01:36Z,26.766358,94.807102,156.441,0.2671034,0,0,No Data,No Data
1179727327,2007-05-21T06:02:07Z,26.765591,94.807104,160.618,0.3524698,0,0,No Data,No Data
1179727342,2007-05-21T06:02:22Z,26.765205,94.807105,166.646,0.3953895,0,0,No Data,No Data
1179727365,2007-05-21T06:02:45Z,26.764628,94.807106,173.122,0.4596077,0,0,No Data,No Data
1179727381,2007-05-21T06:03:01Z,26.764244,94.807107,176.496,0.5023417,0,0,No Data,No Data
1179727399,2007-05-21T06:03:19Z,26.763863,94.806807,175.736,0.5541112,0,0,No Data,No Data
1179727422,2007-05-21T06:03:42Z,26.763405,94.806407,171.522,0.6187133,0,0,No Data,No Data
1179727441,2007-05-21T06:04:01Z,26.763040,94.806107,169.92,0.6690346,0,0,No Data,No Data
1179727468,2007-05-21T06:04:28Z,26.762459,94.805710,172.226,0.7447043,0,0,No Data,No Data
1179727488,2007-05-21T06:04:48Z,26.762100,94.805311,163.227,0.8009884,0,0,No Data,No Data
1179727507,2007-05-21T06:05:07Z,26.761939,94.804809,152.345,0.8539034,0,0,No Data,No Data
1179727523,2007-05-21T06:05:23Z,26.761780,94.804408,144.125,0.8975027,0,0,No Data,No Data
1179727537,2007-05-21T06:05:37Z,26.761805,94.804004,137.279,0.9377006,0,0,No Data,No Data
1179727555,2007-05-21T06:05:55Z,26.761537,94.803604,136.825,0.9873529,0,0,No Data,No Data
1179727574,2007-05-21T06:06:14Z,26.761440,94.803104,136.248,1.038161,0,0,No Data,No Data
1179727589,2007-05-21T06:06:29Z,26.761061,94.803108,137.1,1.080332,0,0,No Data,No Data
1179727608,2007-05-21T06:06:48Z,26.760588,94.803214,136.773,1.13394,0,0,No Data,No Data
1179727632,2007-05-21T06:07:12Z,26.760028,94.803419,136.1,1.199525,0,0,No Data,No Data
1179727667,2007-05-21T06:07:47Z,26.759194,94.803726,138.405,1.297221,0,0,No Data,No Data
1179727704,2007-05-21T06:08:24Z,26.758341,94.804134,140.867,1.4005,0,0,No Data,No Data
1179727750,2007-05-21T06:09:10Z,26.757282,94.804644,164.505,1.528781,0,0,No Data,No Data
1179727791,2007-05-21T06:09:51Z,26.756336,94.805049,173.975,1.641491,0,0,No Data,No Data
1179727831,2007-05-21T06:10:31Z,26.755484,94.805649,177.014,1.753473,0,0,No Data,No Data
1179727861,2007-05-21T06:11:01Z,26.754832,94.806047,184.096,1.836135,0,0,No Data,No Data
1179727882,2007-05-21T06:11:22Z,26.754378,94.806344,188.832,1.894717,0,0,No Data,No Data
1179727920,2007-05-21T06:12:00Z,26.753549,94.806839,195.207,1.99931,0,0,No Data,No Data
1179727939,2007-05-21T06:12:19Z,26.753102,94.807037,197.901,2.052753,0,0,No Data,No Data
1179727960,2007-05-21T06:12:40Z,26.752658,94.807332,201.795,2.110166,0,0,No Data,No Data
1179727982,2007-05-21T06:13:02Z,26.752120,94.807529,202.464,2.17311,0,0,No Data,No Data
1179728019,2007-05-21T06:13:39Z,26.751230,94.807726,194.276,2.274077,0,0,No Data,No Data
1179728043,2007-05-21T06:14:03Z,26.750617,94.807825,186.029,2.342977,0,0,No Data,No Data
1179728061,2007-05-21T06:14:21Z,26.750180,94.807923,180.828,2.392518,0,0,No Data,No Data
1179728074,2007-05-21T06:14:34Z,26.749918,94.808119,178.87,2.427553,0,0,No Data,No Data
1179728089,2007-05-21T06:14:49Z,26.749637,94.808412,181.91,2.47029,0,0,No Data,No Data
1179728105,2007-05-21T06:15:05Z,26.749352,94.808703,193.484,2.513252,0,0,No Data,No Data
1179728125,2007-05-21T06:15:25Z,26.748975,94.809091,209.062,2.570191,0,0,No Data,No Data
1179728150,2007-05-21T06:15:50Z,26.748618,94.809673,209.628,2.640407,0,0,No Data,No Data
1179728176,2007-05-21T06:16:16Z,26.748268,94.810255,208.718,2.710221,0,0,No Data,No Data
1179728195,2007-05-21T06:16:35Z,26.747919,94.810643,207.826,2.764958,0,0,No Data,No Data
1179728217,2007-05-21T06:16:57Z,26.747571,94.811128,203.52,2.82679,0,0,No Data,No Data
1179728253,2007-05-21T06:17:33Z,26.747170,94.812009,180.128,2.925095,0,0,No Data,No Data
1179728279,2007-05-21T06:17:59Z,26.746924,94.812692,169.44,2.998383,0,0,No Data,No Data
1179728299,2007-05-21T06:18:19Z,26.746669,94.813180,166.839,3.054558,0,0,No Data,No Data
1179728326,2007-05-21T06:18:46Z,26.746407,94.813858,157.388,3.128046,0,0,No Data,No Data
1179728342,2007-05-21T06:19:02Z,26.746233,94.814246,152.556,3.171222,0,0,No Data,No Data
1179728357,2007-05-21T06:19:17Z,26.746059,94.814634,153.652,3.214354,0,0,No Data,No Data
1179728382,2007-05-21T06:19:42Z,26.745614,94.815111,154.955,3.282944,0,0,No Data,No Data
1179728405,2007-05-21T06:20:05Z,26.745333,94.815681,169.692,3.347632,0,0,No Data,No Data
1179728427,2007-05-21T06:20:27Z,26.744891,94.816059,178.719,3.409579,0,0,No Data,No Data
1179728447,2007-05-21T06:20:47Z,26.744531,94.816435,186.556,3.464351,0,0,No Data,No Data
1179728472,2007-05-21T06:21:12Z,26.744161,94.816995,205.056,3.533619,0,0,No Data,No Data
1179728494,2007-05-21T06:21:34Z,26.743708,94.817361,216.405,3.595759,0,0,No Data,No Data
1179728532,2007-05-21T06:22:12Z,26.742915,94.817914,225.873,3.69974,0,0,No Data,No Data
1179728541,2007-05-21T06:22:21Z,26.742738,94.818099,228.782,3.726711,0,0,No Data,No Data
1179728581,2007-05-21T06:23:01Z,26.741884,94.818666,217.049,3.837224,0,0,No Data,No Data
1179728600,2007-05-21T06:23:20Z,26.741538,94.819041,215.653,3.89082,0,0,No Data,No Data
1179728618,2007-05-21T06:23:38Z,26.741196,94.819323,215.933,3.938105,0,0,No Data,No Data
1179728644,2007-05-21T06:24:04Z,26.740680,94.819789,220.433,4.011934,0,0,No Data,No Data
1179728666,2007-05-21T06:24:26Z,26.740241,94.820150,230.31,4.072538,0,0,No Data,No Data
1179728688,2007-05-21T06:24:48Z,26.739805,94.820510,241.3,4.132863,0,0,No Data,No Data
1179728704,2007-05-21T06:25:04Z,26.739459,94.820782,248.197,4.179879,0,0,No Data,No Data
1179728736,2007-05-21T06:25:36Z,26.738776,94.821237,249.953,4.268338,0,0,No Data,No Data
1179728763,2007-05-21T06:26:03Z,26.738185,94.821607,247.751,4.343699,0,0,No Data,No Data
1179728790,2007-05-21T06:26:30Z,26.737606,94.821996,232.329,4.418883,0,0,No Data,No Data
1179728810,2007-05-21T06:26:50Z,26.737190,94.822285,218.084,4.473356,0,0,No Data,No Data
1179728823,2007-05-21T06:27:03Z,26.736939,94.822474,210.178,4.507007,0,0,No Data,No Data
1179728843,2007-05-21T06:27:23Z,26.736439,94.822572,198.473,4.56347,0,0,No Data,No Data
1179728869,2007-05-21T06:27:49Z,26.735923,94.823009,216.458,4.635527,0,0,No Data,No Data
1179728891,2007-05-21T06:28:11Z,26.735420,94.823286,215.689,4.697897,0,0,No Data,No Data
1179728915,2007-05-21T06:28:35Z,26.734916,94.823652,211.195,4.76473,0,0,No Data,No Data
1179728934,2007-05-21T06:28:54Z,26.734499,94.823932,205.107,4.81882,0,0,No Data,No Data
1179728970,2007-05-21T06:29:30Z,26.733747,94.824485,200.079,4.918924,0,0,No Data,No Data
1179728988,2007-05-21T06:29:48Z,26.733573,94.824919,221.922,4.96627,0,0,No Data,No Data
1179729007,2007-05-21T06:30:07Z,26.733321,94.825373,228.39,5.019427,0,0,No Data,No Data
1179729016,2007-05-21T06:30:16Z,26.733156,94.825562,227.078,5.045733,0,0,No Data,No Data
1179729042,2007-05-21T06:30:42Z,26.732738,94.826103,230.911,5.116855,0,0,No Data,No Data
1179729073,2007-05-21T06:31:13Z,26.732071,94.826530,238.603,5.202343,0,0,No Data,No Data
1179729093,2007-05-21T06:31:33Z,26.731655,94.826870,253.362,5.259654,0,0,No Data,No Data
1179729100,2007-05-21T06:31:40Z,26.731490,94.826866,254.509,5.277948,0,0,No Data,No Data
1179729118,2007-05-21T06:31:58Z,26.731075,94.827096,271.445,5.329472,0,0,No Data,No Data
1179729159,2007-05-21T06:32:39Z,26.730088,94.827299,287.15,5.441155,0,0,No Data,No Data
1179729175,2007-05-21T06:32:55Z,26.729679,94.827358,298.432,5.487025,0,0,No Data,No Data
1179729198,2007-05-21T06:33:18Z,26.729109,94.827400,313.612,5.550595,0,0,No Data,No Data
1179729221,2007-05-21T06:33:41Z,26.728542,94.827531,331.836,5.615028,0,0,No Data,No Data
