UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,26.773086,94.807360,131.48,0,0,0,No Data,No Data
1179727232,2007-05-21T06:00:32Z,26.772369,94.807795,144.824,0.0907769,0,0,No Data,No Data
1179727265,2007-05-21T06:01:05Z,26.771654,94.808228,166.764,0.1811817,0,0,No Data,No Data
1179727314,2007-05-21T06:01:54Z,26.770549,94.808803,170.076,0.3168098,0,0,No Data,No Data
1179727336,2007-05-21T06:02:16Z,26.769999,94.808947,169.476,0.3796819,0,0,No Data,No Data
1179727383,2007-05-21T06:03:03Z,26.768904,94.809376,169.559,0.5087974,0,0,No Data,No Data
1179727411,2007-05-21T06:03:31Z,26.768249,94.809664,159.706,0.5871353,0,0,No Data,No Data
1179727444,2007-05-21T06:04:04Z,26.767438,94.809806,153.287,0.6784354,0,0,No Data,No Data
1179727460,2007-05-21T06:04:20Z,26.767033,94.809805,156.573,0.7234914,0,0,No Data,No Data
1179727493,2007-05-21T06:04:53Z,26.766221,94.809660,161.495,0.8149549,0,0,No Data,No Data
1179727515,2007-05-21T06:05:15Z,26.765680,94.809658,164.961,0.8750948,0,0,No Data,No Data
1179727549,2007-05-21T06:05:49Z,26.764864,94.809370,168.509,0.9702349,0,0,No Data,No Data
1179727578,2007-05-21T06:06:18Z,26.764188,94.809083,171.142,1.050585,0,0,No Data,No Data
1179727611,2007-05-21T06:06:51Z,26.763373,94.808939,185.322,1.142372,0,0,No Data,No Data
1179727640,2007-05-21T06:07:20Z,26.762691,94.808653,189.636,1.223365,0,0,No Data,No Data
1179727680,2007-05-21T06:08:00Z,26.761744,94.808368,195.787,1.332422,0,0,No Data,No Data
1179727712,2007-05-21T06:08:32Z,26.760937,94.808367,201.192,1.422245,0,0,No Data,No Data
1179727729,2007-05-21T06:08:49Z,26.760531,94.808509,205.146,1.469518,0,0,No Data,No Data
1179727753,2007-05-21T06:09:13Z,26.759988,94.808791,210.982,1.536168,0,0,No Data,No Data
1179727784,2007-05-21T06:09:44Z,26.759307,94.809214,223.048,1.622863,0,0,No Data,No Data
1179727818,2007-05-21T06:10:18Z,26.758626,94.809777,233.562,1.717067,0,0,No Data,No Data
1179727863,2007-05-21T06:11:03Z,26.757678,94.810477,245.785,1.843414,0,0,No Data,No Data
1179727897,2007-05-21T06:11:37Z,26.757010,94.811036,256.863,1.936204,0,0,No Data,No Data
1179727922,2007-05-21T06:12:02Z,26.756520,94.811460,251.494,2.005128,0,0,No Data,No Data
1179727953,2007-05-21T06:12:33Z,26.755918,94.812026,223.755,2.092638,0,0,No Data,No Data
1179728002,2007-05-21T06:13:22Z,26.754871,94.812722,220.809,2.228148,0,0,No Data,No Data
1179728026,2007-05-21T06:13:46Z,26.754323,94.812995,243.697,2.294907,0,0,No Data,No Data
1179728052,2007-05-21T06:14:12Z,26.753770,94.813405,258.269,2.368722,0,0,No Data,No Data
1179728081,2007-05-21T06:14:41Z,26.753279,94.813966,251.927,2.446855,0,0,No Data,No Data
1179728112,2007-05-21T06:15:12Z,26.752538,94.814247,231.66,2.533977,0,0,No Data,No Data
1179728160,2007-05-21T06:16:00Z,26.751512,94.814939,233.382,2.667289,0,0,No Data,No Data
1179728210,2007-05-21T06:16:50Z,26.750374,94.815491,226.658,2.805385,0,0,No Data,No Data
1179728259,2007-05-21T06:17:39Z,26.749309,94.816166,247.561,2.941597,0,0,No Data,No Data
1179728282,2007-05-21T06:18:02Z,26.748782,94.816433,257.871,3.005981,0,0,No Data,No Data
1179728302,2007-05-21T06:18:22Z,26.748287,94.816571,255.744,3.062779,0,0,No Data,No Data
1179728354,2007-05-21T06:19:14Z,26.747149,94.817254,242.36,3.206506,0,0,No Data,No Data
1179728372,2007-05-21T06:19:32Z,26.746772,94.817528,241.132,3.25659,0,0,No Data,No Data
1179728409,2007-05-21T06:20:09Z,26.746003,94.818070,252.909,3.357709,0,0,No Data,No Data
1179728430,2007-05-21T06:20:30Z,26.745603,94.818471,266.663,3.417441,0,0,No Data,No Data
1179728459,2007-05-21T06:20:59Z,26.745072,94.819004,290.374,3.49684,0,0,No Data,No Data
1179728486,2007-05-21T06:21:26Z,26.744433,94.819266,296.906,3.57256,0,0,No Data,No Data
1179728514,2007-05-21T06:21:54Z,26.743906,94.819796,304.795,3.651438,0,0,No Data,No Data
1179728550,2007-05-21T06:22:30Z,26.743146,94.820329,308.587,3.751251,0,0,No Data,No Data
1179728578,2007-05-21T06:22:58Z,26.742643,94.820868,311.168,3.828787,0,0,No Data,No Data
1179728603,2007-05-21T06:23:23Z,26.742132,94.821264,319.648,3.897932,0,0,No Data,No Data
1179728631,2007-05-21T06:23:51Z,26.741623,94.821796,339.542,3.97541,0,0,No Data,No Data
1179728663,2007-05-21T06:24:23Z,26.740991,94.822324,342.433,4.063124,0,0,No Data,No Data
1179728691,2007-05-21T06:24:51Z,26.740389,94.822735,332.443,4.141566,0,0,No Data,No Data
1179728715,2007-05-21T06:25:15Z,26.739789,94.822874,317.558,4.209721,0,0,No Data,No Data
1179728747,2007-05-21T06:25:47Z,26.739167,94.823405,316.434,4.296814,0,0,No Data,No Data
1179728784,2007-05-21T06:26:24Z,26.738314,94.823806,309.529,4.399794,0,0,No Data,No Data
1179728805,2007-05-21T06:26:45Z,26.737938,94.824202,314.435,4.457254,0,0,No Data,No Data
1179728842,2007-05-21T06:27:22Z,26.737071,94.824586,320.868,4.561004,0,0,No Data,No Data
1179728870,2007-05-21T06:27:50Z,26.736443,94.824964,340.724,4.640353,0,0,No Data,No Data
1179728902,2007-05-21T06:28:22Z,26.735729,94.825377,329.502,4.72985,0,0,No Data,No Data
1179728933,2007-05-21T06:28:53Z,26.735019,94.825661,300.34,4.813746,0,0,No Data,No Data
1179728963,2007-05-21T06:29:23Z,26.734307,94.825942,271.822,4.897795,0,0,No Data,No Data
