UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1179727200,2007-05-21T06:00:00Z,25.245804,75.909102,251.895,0,0,0,No Data,No Data
1179727283,2007-05-21T06:01:23Z,25.247822,75.909644,250.592,0.231288,0,0,No Data,No Data
1179727350,2007-05-21T06:02:30Z,25.249282,75.910526,250.175,0.4165598,0,0,No Data,No Data
1179727411,2007-05-21T06:03:31Z,25.250730,75.911093,251.923,0.5876304,0,0,No Data,No Data
1179727488,2007-05-21T06:04:48Z,25.252475,75.911962,250.353,0.8007257,0,0,No Data,No Data
1179727545,2007-05-21T06:05:45Z,25.253649,75.912857,250.0,0.95955,0,0,No Data,No Data
1179727618,2007-05-21T06:06:58Z,25.255120,75.914054,251.605,1.162966,0,0,No Data,No Data
1179727695,2007-05-21T06:08:15Z,25.256865,75.914923,250.497,1.376105,0,0,No Data,No Data
1179727744,2007-05-21T06:09:04Z,25.257754,75.915830,250.996,1.510914,0,0,No Data,No Data
1179727842,2007-05-21T06:10:42Z,25.259807,75.917318,251.18,1.784267,0,0,No Data,No Data
1179727932,2007-05-21T06:12:12Z,25.261575,75.918817,250.482,2.032377,0,0,No Data,No Data
1179728005,2007-05-21T06:13:25Z,25.263046,75.920015,250.299,2.23581,0,0,No Data,No Data
1179728086,2007-05-21T06:14:46Z,25.264528,75.921527,250.638,2.460427,0,0,No Data,No Data
1179728150,2007-05-21T06:15:50Z,25.265714,75.922737,249.511,2.640131,0,0,No Data,No Data
1179728223,2007-05-21T06:17:03Z,25.266910,75.924262,250.374,2.843436,0,0,No Data,No Data
1179728265,2007-05-21T06:17:45Z,25.267788,75.924855,250.774,2.958048,0,0,No Data,No Data
1179728306,2007-05-21T06:18:26Z,25.268393,75.925775,250.0,3.072673,0,0,No Data,No Data
1179728388,2007-05-21T06:19:48Z,25.269603,75.927616,249.959,3.301852,0,0,No Data,No Data
1179728462,2007-05-21T06:21:02Z,25.270799,75.929141,249.069,3.505195,0,0,No Data,No Data
1179728519,2007-05-21T06:21:59Z,25.271700,75.930364,250.621,3.664054,0,0,No Data,No Data
1179728586,2007-05-21T06:23:06Z,25.272611,75.931902,250.718,3.849197,0,0,No Data,No Data
1179728652,2007-05-21T06:24:12Z,25.273523,75.933440,250.872,4.034406,0,0,No Data,No Data
1179728719,2007-05-21T06:25:19Z,25.274435,75.934977,250.314,4.219583,0,0,No Data,No Data
1179728770,2007-05-21T06:26:10Z,25.275050,75.936213,249.522,4.361676,0,0,No Data,No Data
1179728819,2007-05-21T06:26:59Z,25.275939,75.937120,250.336,4.496434,0,0,No Data,No Data
1179728876,2007-05-21T06:27:56Z,25.276840,75.938343,250.981,4.655287,0,0,No Data,No Data
1179728942,2007-05-21T06:29:02Z,25.277752,75.939881,249.761,4.840546,0,0,No Data,No Data
1179728991,2007-05-21T06:29:51Z,25.276942,75.940871,247.316,4.974923,0,0,No Data,No Data
1179729023,2007-05-21T06:30:23Z,25.276396,75.941527,246.298,5.064661,0,0,No Data,No Data
1179729121,2007-05-21T06:32:01Z,25.274458,75.943192,243.941,5.337835,0,0,No Data,No Data
1179729158,2007-05-21T06:32:38Z,25.273614,75.943545,243.169,5.43824,0,0,No Data,No Data
1179729215,2007-05-21T06:33:35Z,25.272508,75.944541,243.974,5.597019,0,0,No Data,No Data
1179729323,2007-05-21T06:35:23Z,25.270283,75.946218,243.919,5.89672,0,0,No Data,No Data
1179729384,2007-05-21T06:36:24Z,25.268880,75.946910,246.968,6.067767,0,0,No Data,No Data
1179729442,2007-05-21T06:37:22Z,25.267466,75.947289,249.95,6.22969,0,0,No Data,No Data
1179729519,2007-05-21T06:38:39Z,25.265800,75.948320,249.069,6.4422,0,0,No Data,No Data
1179729560,2007-05-21T06:39:20Z,25.264966,75.948987,249.247,6.556782,0,0,No Data,No Data
1179729611,2007-05-21T06:40:11Z,25.263846,75.949665,249.247,6.698961,0,0,No Data,No Data
1179729678,2007-05-21T06:41:18Z,25.262452,75.950672,248.829,6.884305,0,0,No Data,No Data
1179729768,2007-05-21T06:42:48Z,25.260796,75.952321,248.956,7.132385,0,0,No Data,No Data
1179729816,2007-05-21T06:43:36Z,25.259974,75.953303,248.03,7.267113,0,0,No Data,No Data
1179729914,2007-05-21T06:45:14Z,25.258627,75.955570,248.091,7.540267,0,0,No Data,No Data
1179729972,2007-05-21T06:46:12Z,25.257816,75.956867,248.909,7.699058,0,0,No Data,No Data
1179730064,2007-05-21T06:47:44Z,25.256755,75.959124,248.0,7.95517,0,0,No Data,No Data
1179730130,2007-05-21T06:48:50Z,25.255958,75.960738,248.299,8.140388,0,0,No Data,No Data
1179730203,2007-05-21T06:50:03Z,25.254875,75.962365,249.678,8.343859,0,0,No Data,No Data
1179730245,2007-05-21T06:50:45Z,25.254339,75.963337,247.21,8.45848,0,0,No Data,No Data
1179730286,2007-05-21T06:51:26Z,25.253803,75.964308,248.074,8.573029,0,0,No Data,No Data
1179730337,2007-05-21T06:52:17Z,25.252686,75.964989,248.23,8.715054,0,0,No Data,No Data
1179730394,2007-05-21T06:53:14Z,25.251579,75.965985,249.0,8.873907,0,0,No Data,No Data
1179730509,2007-05-21T06:55:09Z,25.249367,75.967976,249.434,9.191467,0,0,No Data,No Data
1179730585,2007-05-21T06:56:25Z,25.247690,75.968995,248.754,9.404505,0,0,No Data,No Data
1179730655,2007-05-21T06:57:35Z,25.245990,75.969384,248.788,9.597704,0,0,No Data,No Data
1179730678,2007-05-21T06:57:58Z,25.245420,75.969409,249.059,9.661142,0,0,No Data,No Data
1179730745,2007-05-21T06:59:05Z,25.244029,75.970417,248.0,9.846307,0,0,No Data,No Data
1179730875,2007-05-21T07:01:15Z,25.240928,75.971504,247.299,10.20842,0,0,No Data,No Data
1179730922,2007-05-21T07:02:02Z,25.239799,75.971875,248.82,10.33949,0,0,No Data,No Data
1179730980,2007-05-21T07:03:00Z,25.238385,75.972252,248.703,10.50135,0,0,No Data,No Data
1179731042,2007-05-21T07:04:02Z,25.236983,75.972945,248.643,10.67231,0,0,No Data,No Data
1179731103,2007-05-21T07:05:03Z,25.235580,75.973639,247.816,10.84342,0,0,No Data,No Data
1179731221,2007-05-21T07:07:01Z,25.233071,75.975330,246.018,11.17054,0,0,No Data,No Data
1179731263,2007-05-21T07:07:43Z,25.232238,75.975998,245.764,11.28511,0,0,No Data,No Data
1179731359,2007-05-21T07:09:19Z,25.230595,75.977968,244.145,11.55496,0,0,No Data,No Data
1179731424,2007-05-21T07:10:24Z,25.229500,75.979282,246.161,11.7349,0,0,No Data,No Data
1179731522,2007-05-21T07:12:02Z,25.228154,75.981537,246.537,12.00694,0,0,No Data,No Data
1179731564,2007-05-21T07:12:44Z,25.227617,75.982517,238.725,12.12232,0,0,No Data,No Data
1179731631,2007-05-21T07:13:51Z,25.226818,75.984134,240.817,12.30787,0,0,No Data,No Data
1179731692,2007-05-21T07:14:52Z,25.226304,75.985740,235.399,12.47941,0,0,No Data,No Data
1179731787,2007-05-21T07:16:27Z,25.225825,75.988283,244.871,12.74104,0,0,No Data,No Data
1179731832,2007-05-21T07:17:12Z,25.225870,75.989540,246.429,12.86782,0,0,No Data,No Data
1179731867,2007-05-21T07:17:47Z,25.225904,75.990486,245.213,12.96322,0,0,No Data,No Data
1179731935,2007-05-21T07:18:55Z,25.225971,75.992384,244.073,13.15455,0,0,No Data,No Data
1179732027,2007-05-21T07:20:27Z,25.226062,75.994904,242.231,13.40861,0,0,No Data,No Data
1179732118,2007-05-21T07:21:58Z,25.226153,75.997417,244.785,13.66191,0,0,No Data,No Data
